	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.UPK5.1326.SM.4IHLE	GTEX.T2IS.0926.SM.4DM5B	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	GTEX.WH7G.1526.SM.4LVMX
ABCA7	42.41	53.19	23.93	27.64	45.85	63.45	61.68	237.86	80.01	109.66	189.02	297.17	275.28	412.0	336.79	87.65	336.79	470.14	567.1	351.14	0.0	0.82	67.12	36.79	92.05	71.0	33.78	25.72
ABCC10	209.84	206.94	242.88	108.9	239.52	358.54	358.54	305.55	248.0	480.04	769.69	748.61	743.43	909.17	738.29	351.14	423.61	633.73	723.08	728.11	0.0	0.35	295.11	218.79	277.2	371.22	237.86	195.72
AC135178.1	32.82	24.99	37.59	10.63	37.32	38.67	63.89	57.08	62.56	65.26	211.31	267.73	111.99	181.28	111.21	43.94	81.71	99.43	128.79	158.79	0.0	0.4	34.75	28.04	20.71	18.03	13.03	7.11
ACAD10	158.79	161.02	178.77	177.53	186.4	387.02	329.84	205.5	199.85	366.09	503.95	599.49	521.76	743.43	480.04	356.05	476.71	438.59	540.19	503.95	0.0	0.17	181.28	224.97	242.88	204.07	120.1	173.85
ADAM15	2875.3	928.3	1151.06	1498.22	1135.2	2178.83	1447.15	3515.68	1561.89	1721.16	2367.9	2485.67	3540.14	2956.17	2591.27	2119.22	1583.71	1909.85	2609.3	2417.67	3928.15	1001.93	1498.22	941.27	1225.22	1733.13	1331.57	1819.35
AFMID	267.73	334.46	199.85	197.09	251.48	329.84	189.02	447.82	660.68	423.61	616.37	974.5	764.36	693.58	679.29	514.56	1030.12	1167.14	1583.71	928.3	571.05	10733.74	629.35	642.59	447.82	409.15	265.87	197.09
AGBL2	11.82	6.73	13.42	5.28	13.72	28.04	13.22	34.26	5.02	67.59	46.5	74.58	47.5	65.72	27.84	13.83	20.86	46.18	47.5	29.48	0.0	0.0	20.26	17.38	14.56	14.24	9.7	0.26
AP4B1	180.02	132.44	166.73	115.97	178.77	260.38	281.09	289.02	231.32	361.04	748.61	836.53	551.56	909.17	591.22	256.78	379.04	389.72	486.75	603.67	0.0	0.48	301.33	212.78	193.01	186.4	154.42	138.1
APBB3	181.28	142.01	226.54	194.36	208.38	389.72	493.56	379.04	293.07	718.08	1183.45	1437.15	1051.79	1467.37	1151.06	403.5	759.08	819.3	1167.14	1135.2	0.0	1.14	287.01	273.37	323.03	214.27	132.44	109.66
ARAP1	743.43	759.08	921.88	669.92	995.0	1037.29	1066.48	1104.13	1037.29	1572.76	2148.82	2240.11	1508.65	1844.76	1832.01	1175.27	1286.18	1883.54	2255.7	1685.71	0.0	0.77	1037.29	872.1	854.13	656.11	395.18	688.78
ARHGEF2	483.38	403.5	785.88	967.76	878.17	1216.75	1135.2	1216.75	1268.46	1709.26	1745.2	1551.09	2351.53	1250.98	1844.76	1277.29	1322.37	1896.65	1909.85	1322.37	0.0	0.84	728.11	412.0	660.68	629.35	860.08	961.07
ARMC2	46.84	37.05	44.89	29.7	30.34	46.5	69.52	59.13	51.71	104.42	72.01	98.04	134.3	115.16	130.6	80.57	111.99	74.06	136.19	75.11	0.0	0.11	46.18	66.18	56.68	31.67	29.06	143.01
ATP7B	25.72	13.42	41.81	24.11	27.84	83.45	61.68	27.64	38.67	85.22	166.73	128.79	153.34	152.28	131.51	83.45	90.77	118.43	139.07	176.29	0.0	0.35	39.22	59.55	55.49	28.24	24.46	53.19
B3GNTL1	115.97	50.63	94.67	43.02	99.43	96.01	73.03	109.66	55.1	122.64	234.57	223.41	232.94	187.71	146.03	90.77	113.56	117.6	154.42	287.01	0.0	0.64	113.56	93.35	132.44	137.14	59.13	42.11
BANP	173.85	339.14	208.38	162.14	248.0	248.0	265.87	291.04	285.03	244.57	264.03	256.78	289.02	285.03	358.54	224.97	327.56	480.04	356.05	343.89	0.0	0.37	255.0	193.01	153.34	220.32	212.78	221.86
BBC3	78.34	95.34	119.26	76.17	125.24	122.64	172.65	146.03	111.21	193.01	220.32	214.27	312.0	260.38	318.57	145.02	228.13	217.27	339.14	208.38	0.0	0.24	162.14	102.25	134.3	103.69	75.11	75.11
BRAT1	490.14	325.29	403.5	260.38	403.5	500.46	500.46	669.92	500.46	665.29	928.3	934.76	872.1	890.44	753.83	473.41	698.41	785.88	728.11	878.17	0.0	0.69	466.88	540.19	532.74	595.34	400.71	307.69
C1QTNF2	114.36	31.22	62.56	81.71	131.51	107.38	128.79	120.94	327.56	144.01	145.02	155.5	107.38	149.12	123.5	177.53	97.36	132.44	144.01	152.28	0.0	0.0	108.9	53.95	61.25	22.59	10.0	61.68
C1orf220	0.18	0.4	0.89	3.53	0.0	9.06	19.39	6.36	10.63	20.71	49.56	55.89	33.54	85.82	23.93	18.7	16.15	27.05	36.01	47.84	0.0	0.21	4.03	2.27	2.53	3.23	0.69	0.0
C20orf112	162.14	104.42	185.11	137.14	212.78	336.79	387.02	143.01	126.12	384.34	312.0	264.03	525.39	236.21	301.33	187.71	358.54	387.02	384.34	307.69	166.73	339.14	182.55	163.28	163.28	161.02	161.02	127.0
C9orf142	974.5	728.11	480.04	417.77	607.87	1104.13	884.29	1250.98	660.68	1159.07	1594.73	1674.06	1561.89	1794.29	1359.57	974.5	896.64	1447.15	1508.65	1909.85	0.0	0.67	954.43	981.29	684.02	1044.52	607.87	480.04
CCNI2	113.56	140.04	73.54	121.79	115.16	137.14	116.78	59.13	81.14	187.71	166.73	339.14	260.38	177.53	202.66	389.72	110.43	197.09	121.79	309.83	0.0	0.36	40.07	81.71	31.0	62.56	46.18	25.72
CHKB	629.35	559.28	466.88	327.56	392.44	872.1	713.11	1208.34	603.67	1135.2	2875.3	3018.3	1794.29	3212.66	2032.85	890.44	1529.73	1605.83	3235.01	3039.3	0.0	1.22	796.86	529.06	612.11	384.34	343.89	395.18
CHTF18	241.19	64.34	60.82	48.52	42.11	167.9	46.18	299.25	59.55	126.12	336.79	251.48	303.44	323.03	327.56	68.07	206.94	144.01	226.54	307.69	0.0	0.99	94.67	120.94	86.43	94.67	36.01	52.45
CIAO1	575.03	753.83	775.05	660.68	759.08	995.0	934.76	1015.93	836.53	836.53	961.07	1037.29	1030.12	830.75	775.05	753.83	941.27	1037.29	836.53	866.07	0.0	0.82	988.12	642.59	819.3	836.53	921.88	698.41
CLIC2	167.9	58.3	303.44	277.2	198.47	336.79	190.34	497.0	289.02	269.6	307.69	316.37	180.02	320.8	316.37	181.28	281.09	343.89	187.71	299.25	0.0	0.56	231.32	172.65	76.17	80.57	136.19	185.11
CLUH	624.99	890.44	878.17	780.44	854.13	1081.39	1388.16	1508.65	1199.98	921.88	1322.37	1417.35	1529.73	1216.75	1388.16	1073.91	1250.98	1359.57	1304.15	1096.5	633.73	1167.14	693.58	353.59	629.35	738.29	529.06	591.22
COG7	363.56	232.94	269.6	231.32	271.48	403.5	368.65	414.87	291.04	511.0	1059.11	1143.1	536.45	733.19	748.61	395.18	454.09	559.28	764.36	896.64	348.71	2224.63	358.54	441.64	381.68	414.87	327.56	211.31
CPSF1	1561.89	1467.37	896.64	802.41	1135.2	1572.76	1519.15	1617.0	1151.06	2133.97	3190.46	4607.24	3018.3	3690.52	1397.83	1794.29	2417.67	1605.83	2255.7	3443.31	0.0	0.93	1183.45	1001.93	1340.84	1135.2	669.92	1331.57
CTNND1	1407.55	1015.93	1030.12	1477.58	1111.82	2303.12	1662.49	1844.76	759.08	1991.0	2061.24	2119.22	1936.53	1991.0	1806.78	1594.73	1757.34	1757.34	1662.49	1781.89	1674.06	536.45	934.76	1151.06	1605.83	1508.65	1378.57	1250.98
CTRL	17.0	13.03	12.55	6.16	3.56	10.31	11.82	14.56	8.58	22.92	63.45	70.51	62.12	45.53	45.53	6.01	30.34	24.99	28.86	33.06	0.0	0.56	8.32	4.94	2.68	0.42	4.46	7.57
DFFB	31.45	35.76	43.63	23.42	43.63	85.82	70.51	75.64	56.68	98.73	186.4	189.02	154.42	255.0	138.1	67.12	105.15	198.47	169.07	291.04	0.0	0.2	84.04	54.72	78.34	63.89	43.32	50.98
DPH7	368.65	314.17	299.25	172.65	371.22	470.14	532.74	486.75	397.93	669.92	1477.58	1519.15	1104.13	1697.45	1044.52	432.53	713.11	669.92	988.12	1313.23	0.0	0.93	441.64	327.56	301.33	239.52	267.73	224.97
EFHD2	1096.5	791.35	400.71	1242.34	521.76	1651.0	872.1	890.44	769.69	1015.93	1151.06	1340.84	1594.73	1487.87	1322.37	1127.35	1397.83	1225.22	1369.04	1733.13	0.0	0.72	890.44	595.34	988.12	674.59	511.0	836.53
ENGASE	119.26	140.04	146.03	120.1	176.29	432.53	423.61	616.37	420.68	603.67	941.27	1369.04	1096.5	1628.26	1259.69	309.83	902.89	1159.07	1508.65	1159.07	0.0	1.27	251.48	189.02	149.12	224.97	127.89	94.01
ENTPD2	11.47	22.59	22.92	75.11	31.67	253.23	161.02	71.5	77.79	140.04	255.0	218.79	341.51	209.84	158.79	143.01	116.78	177.53	140.04	420.68	0.0	0.22	53.95	42.11	67.12	55.49	38.67	21.78
FAM193B	500.46	395.18	591.22	217.27	503.95	802.41	890.44	1104.13	642.59	1467.37	2935.74	3349.13	2255.7	3564.78	2119.22	759.08	1427.22	1733.13	3081.75	2720.15	0.0	1.45	753.83	555.41	486.75	389.72	258.57	320.8
FAM213B	323.03	444.72	384.34	265.87	470.14	633.73	679.29	339.14	336.79	607.87	638.15	764.36	954.43	595.34	503.95	551.56	738.29	651.58	603.67	703.28	0.0	0.57	392.44	267.73	429.54	384.34	301.33	348.71
FAM90A1	15.11	6.21	5.19	2.23	12.27	6.06	8.19	3.63	3.63	17.25	25.35	20.26	27.84	17.77	16.39	6.73	15.56	26.86	13.12	17.77	0.0	0.27	18.43	5.5	13.52	7.69	4.74	1.45
FANCG	241.19	140.04	121.79	96.68	120.1	283.05	171.45	197.09	70.01	239.52	441.64	423.61	283.05	343.89	295.11	258.57	273.37	353.59	318.57	395.18	0.0	0.66	193.01	217.27	195.72	144.01	171.45	74.06
FBXL19	177.53	193.01	145.02	115.97	246.28	202.66	242.88	320.8	242.88	269.6	241.19	248.0	373.81	307.69	325.29	193.01	248.0	392.44	339.14	295.11	0.0	0.74	153.34	74.06	138.1	229.72	109.66	176.29
FBXO46	248.0	142.01	157.68	102.97	133.36	269.6	303.44	265.87	170.25	341.51	299.25	353.59	387.02	371.22	389.72	223.41	323.03	366.09	406.31	307.69	0.0	0.57	202.66	281.09	189.02	189.02	191.67	183.82
FCER2	29.27	6.41	17.77	5.32	45.53	26.47	1.81	6.31	8.38	85.82	18.56	18.43	29.91	37.32	39.5	5.5	45.21	191.67	36.01	33.78	0.0	0.17	8.13	16.15	7.63	0.0	2.92	17.77
FGD1	199.85	183.82	153.34	116.78	165.57	102.97	187.71	163.28	177.53	275.28	279.14	273.37	351.14	136.19	273.37	295.11	277.2	414.87	198.47	220.32	0.0	0.58	126.12	93.35	122.64	154.42	161.02	154.42
FHOD1	175.07	132.44	183.82	237.86	223.41	249.73	273.37	521.76	285.03	591.22	1015.93	733.19	1066.48	791.35	785.88	316.37	503.95	638.15	813.63	718.08	0.0	1.22	329.84	129.69	167.9	175.07	96.68	156.59
GAS2L3	27.84	8.78	28.86	62.12	13.22	44.89	22.1	107.38	49.21	62.12	106.63	163.28	106.63	153.34	72.01	35.25	65.26	102.25	82.87	123.5	0.0	0.22	52.45	33.06	13.22	23.93	13.12	44.89
GORAB	47.84	100.13	105.89	67.12	98.04	164.42	82.29	189.02	91.41	163.28	136.19	136.19	220.32	165.57	120.94	190.34	161.02	139.07	151.22	135.24	0.0	0.54	205.5	102.25	111.21	156.59	107.38	58.3
GPER1	198.47	312.0	167.9	85.82	253.23	255.0	693.58	49.91	94.01	587.13	332.14	460.44	934.76	417.77	406.31	466.88	921.88	941.27	607.87	507.46	0.0	0.0	149.12	154.42	118.43	47.17	81.14	97.36
GPR68	40.64	24.81	24.81	63.89	57.89	56.28	42.71	193.01	133.36	172.65	212.78	241.19	183.82	277.2	164.42	229.72	190.34	142.01	147.06	201.25	0.0	0.33	72.01	5.28	28.45	17.0	27.25	45.53
HOOK2	291.04	366.09	209.84	169.07	417.77	500.46	293.07	400.71	84.63	688.78	1242.34	1304.15	934.76	1015.93	878.17	325.29	769.69	884.29	1104.13	967.76	0.0	0.85	406.31	255.0	412.0	511.0	223.41	212.78
