	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3V4.01A.11R.A22U.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EM.A2P1.01A.11R.A206.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A3BN.01A.11R.A19O.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A4V2.01A.11R.A250.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3GU.01A.11R.A21D.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.E8.A2JQ.01A.11R.A180.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.ET.A3DO.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A13U.01A.11R.A10U.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.H2.A422.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CP.01A.11R.A180.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EL.A3CV.01A.11R.A19O.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WHSE.0626.SM.4RGNF	TCGA.AJ.A3BK.01A.11R.A19W.07
AARSD1	392.44	559.28	447.82	1183.45	1259.69	1051.79	1295.13	1378.57	1008.9	1286.18	1477.58	1175.27	1199.98	961.07	1066.48	1066.48	1295.13	1175.27	1159.07	1259.69	1242.34	1369.04	1008.9	1369.04	1233.75	1417.35	1250.98	1096.5	1143.1	1199.98	995.0	1594.73	1322.37	1167.14	1066.48	1529.73	1088.92	1447.15	878.17	1427.22	1331.57	836.53	1250.98	1001.93	1151.06	1437.15	1135.2	1397.83	1277.29	878.17	1733.13	1023.0	1225.22	988.12	967.76	1030.12	1081.39	872.1	1225.22	1096.5	1467.37	830.75	878.17	1322.37	1015.93	1313.23	988.12	1259.69	1037.29	1662.49	1119.56	1037.29	1135.2	1304.15	830.75	878.17	1037.29	1487.87	1159.07	1088.92	1417.35	860.08	995.0	1135.2	1457.23	1277.29	1388.16	1388.16	1467.37	1175.27	1199.98	1159.07	934.76	1081.39	1183.45	1119.56	1350.18	1167.14	1044.52	1051.79	1277.29	1191.69	1340.84	1159.07	1119.56	988.12	1639.59	1844.76	1529.73	1225.22	1143.1	954.43	1167.14	1233.75	1066.48	1008.9	1259.69	1037.29	1233.75	1096.5	1295.13	1127.35	1487.87	974.5	1208.34	1540.37	1159.07	974.5	1277.29	1286.18	1096.5	854.13	1208.34	1286.18	1277.29	1037.29	1044.52	1104.13	1225.22	1081.39	1023.0	1143.1	1304.15	1286.18	1268.46	1313.23	1417.35	1066.48	1487.87	1059.11	961.07	1250.98	1127.35	1073.91	988.12	1199.98	988.12	748.61	921.88	1066.48	1183.45	1498.22	854.13	1277.29	1216.75	1023.0	1268.46	1104.13	1540.37	1769.57	1242.34	995.0	1088.92	1037.29	1277.29	1015.93	1467.37	1225.22	1322.37	1477.58	1081.39	1183.45	1208.34	1119.56	1151.06	1407.55	796.86	1208.34	941.27	1143.1	981.29	860.08	2047.0
ABHD16B	23.08	0.36	50.98	217.27	117.6	125.24	166.73	133.36	136.19	126.12	165.57	151.22	73.03	94.67	86.43	125.24	112.77	120.1	120.94	96.68	163.28	108.14	108.14	163.28	152.28	126.12	119.26	92.05	209.84	88.26	103.69	181.28	223.41	77.25	100.13	303.44	111.99	103.69	117.6	91.41	111.21	70.51	103.69	132.44	161.02	327.56	128.79	153.34	155.5	69.52	105.89	178.77	126.12	83.45	94.01	95.34	110.43	68.55	120.94	122.64	195.72	65.72	162.14	249.73	125.24	112.77	170.25	201.25	109.66	109.66	104.42	153.34	102.97	95.34	111.21	131.51	120.1	172.65	190.34	127.89	202.66	92.05	115.97	41.81	140.04	234.57	148.09	131.51	224.97	171.45	115.16	106.63	88.26	115.16	110.43	180.02	127.89	169.07	83.45	111.21	132.44	106.63	86.43	148.09	149.12	115.97	285.03	239.52	140.04	97.36	165.57	107.38	100.13	128.79	88.26	166.73	142.01	155.5	125.24	110.43	115.16	72.01	127.0	68.07	177.53	137.14	81.14	69.52	86.43	117.6	167.9	71.5	165.57	99.43	86.43	122.64	78.34	125.24	108.14	98.04	100.13	152.28	145.02	120.94	136.19	154.42	90.77	95.34	198.47	97.36	88.88	183.82	99.43	88.88	107.38	114.36	60.82	109.66	164.42	92.05	150.17	175.07	86.43	152.28	170.25	111.21	93.35	142.01	159.9	242.88	122.64	103.69	110.43	82.29	153.34	133.36	201.25	95.34	166.73	193.01	96.01	126.12	145.02	195.72	70.01	134.3	73.54	169.07	148.09	80.01	153.34	72.01	131.51
ACOT1	52.82	0.0	441.64	162.14	104.42	139.07	119.26	339.14	132.44	96.01	87.65	132.44	183.82	229.72	120.94	52.45	173.85	191.67	139.07	92.7	143.01	128.79	94.01	178.77	193.01	153.34	264.03	108.14	121.79	281.09	178.77	93.35	493.56	111.21	140.04	159.9	125.24	133.36	136.19	178.77	183.82	92.05	154.42	115.16	77.25	100.13	55.1	251.48	231.32	129.69	114.36	125.24	130.6	69.52	58.3	83.45	204.07	43.63	42.11	92.7	190.34	39.5	195.72	60.82	71.0	175.07	16.88	132.44	258.57	155.5	80.57	95.34	164.42	56.28	76.17	72.01	97.36	183.82	185.11	93.35	152.28	81.71	90.77	98.73	242.88	167.9	102.97	191.67	147.06	152.28	98.73	71.0	76.17	88.88	114.36	94.67	185.11	115.16	136.19	70.01	105.15	137.14	180.02	152.28	125.24	78.34	195.72	36.01	85.82	141.02	47.5	27.44	175.07	77.79	48.52	189.02	94.01	100.13	150.17	170.25	186.4	105.89	239.52	49.21	87.03	62.12	112.77	54.72	211.31	166.73	119.26	98.73	167.9	215.77	119.26	57.08	146.03	162.14	143.01	81.14	80.57	96.68	112.77	183.82	127.89	101.54	218.79	127.89	153.34	73.54	82.29	152.28	132.44	129.69	88.88	102.97	81.71	100.13	45.21	117.6	161.02	116.78	157.68	88.88	81.71	94.01	81.71	166.73	244.57	145.02	198.47	69.52	128.79	104.42	112.77	90.14	22.26	100.83	226.54	105.89	88.88	74.58	93.35	120.1	140.04	106.63	118.43	83.45	125.24	78.34	34.02	83.45	217.27
ACOT8	260.38	612.11	314.17	669.92	866.07	764.36	624.99	713.11	698.41	684.02	684.02	775.05	607.87	848.22	642.59	638.15	974.5	647.07	647.07	674.59	825.0	620.67	599.49	660.68	559.28	974.5	620.67	660.68	825.0	1051.79	642.59	698.41	743.43	525.39	674.59	743.43	688.78	660.68	624.99	769.69	825.0	500.46	713.11	612.11	764.36	723.08	688.78	848.22	902.89	599.49	808.0	708.18	713.11	500.46	500.46	476.71	791.35	460.44	642.59	583.07	854.13	536.45	836.53	728.11	660.68	708.18	514.56	708.18	842.36	947.83	665.29	642.59	738.29	796.86	738.29	748.61	521.76	728.11	842.36	748.61	981.29	583.07	753.83	688.78	819.3	825.0	819.3	698.41	961.07	693.58	567.1	633.73	543.96	603.67	733.19	579.04	1111.82	595.34	660.68	624.99	764.36	665.29	1066.48	679.29	808.0	511.0	860.08	728.11	896.64	723.08	563.18	656.11	748.61	723.08	555.41	808.0	536.45	738.29	642.59	518.15	764.36	620.67	1051.79	426.57	753.83	928.3	684.02	500.46	723.08	656.11	647.07	480.04	733.19	780.44	629.35	629.35	612.11	547.75	595.34	457.25	426.57	620.67	738.29	743.43	718.08	785.88	753.83	791.35	796.86	529.06	791.35	708.18	629.35	579.04	679.29	463.65	414.87	547.75	693.58	571.05	785.88	872.1	647.07	629.35	660.68	587.13	780.44	647.07	764.36	555.41	764.36	511.0	638.15	540.19	728.11	507.46	988.12	651.58	764.36	866.07	633.73	612.11	988.12	698.41	603.67	728.11	414.87	718.08	698.41	738.29	511.0	297.17	830.75
ADPRHL2	395.18	0.0	366.09	808.0	1167.14	902.89	967.76	665.29	947.83	866.07	872.1	961.07	848.22	607.87	854.13	728.11	1066.48	860.08	713.11	974.5	909.17	941.27	708.18	825.0	713.11	1216.75	713.11	753.83	1378.57	684.02	1030.12	947.83	780.44	884.29	967.76	896.64	780.44	878.17	921.88	819.3	679.29	738.29	1030.12	688.78	1088.92	954.43	909.17	947.83	954.43	708.18	1175.27	1191.69	928.3	616.37	571.05	633.73	890.44	480.04	961.07	785.88	842.36	551.56	1030.12	854.13	909.17	890.44	738.29	988.12	674.59	1073.91	825.0	743.43	813.63	796.86	884.29	785.88	808.0	909.17	981.29	1044.52	1037.29	753.83	854.13	890.44	1044.52	1015.93	1059.11	848.22	1259.69	1135.2	884.29	890.44	802.41	866.07	1051.79	748.61	878.17	802.41	947.83	791.35	819.3	796.86	967.76	796.86	1030.12	748.61	769.69	1096.5	921.88	830.75	921.88	995.0	954.43	890.44	775.05	1183.45	808.0	764.36	836.53	780.44	866.07	684.02	819.3	571.05	974.5	878.17	743.43	723.08	967.76	842.36	896.64	624.99	1104.13	1183.45	872.1	866.07	753.83	813.63	785.88	819.3	591.22	921.88	813.63	1008.9	981.29	1008.9	866.07	785.88	896.64	693.58	1051.79	954.43	872.1	941.27	1051.79	738.29	595.34	836.53	954.43	728.11	954.43	1008.9	660.68	775.05	830.75	813.63	934.76	954.43	1066.48	785.88	909.17	679.29	860.08	769.69	981.29	723.08	860.08	902.89	866.07	941.27	836.53	830.75	1191.69	1008.9	802.41	813.63	769.69	1044.52	629.35	974.5	629.35	753.83	1051.79
AGTRAP	915.51	463.65	1340.84	1757.34	2573.36	1583.71	1883.54	1340.84	2178.83	2119.22	1870.53	2178.83	1896.65	1023.0	1819.35	1417.35	2335.28	1977.24	1617.0	1870.53	2303.12	1733.13	1551.09	1870.53	2287.2	2855.44	1896.65	2133.97	2468.49	2240.11	2018.8	2537.92	1697.45	1870.53	2104.58	1721.16	2004.85	2720.15	1733.13	2367.9	1437.15	1259.69	1857.6	1769.57	2255.7	3168.41	1572.76	2104.58	3257.52	1322.37	2520.38	2209.26	1733.13	1295.13	1096.5	1819.35	1806.78	1304.15	2287.2	1709.26	2193.99	1628.26	2555.58	2537.92	1457.23	2148.82	2061.24	3212.66	1551.09	2956.17	1883.54	1909.85	2148.82	1936.53	1757.34	1923.14	1674.06	2032.85	2303.12	1529.73	2400.97	2090.03	2163.77	1883.54	2163.77	1781.89	2303.12	1628.26	2303.12	2591.27	2335.28	1794.29	1697.45	2434.5	2367.9	1709.26	2777.33	2240.11	2240.11	2163.77	3419.52	2664.15	2485.67	2367.9	1936.53	1674.06	1806.78	1806.78	2434.5	2133.97	1819.35	2384.37	2271.4	1870.53	1769.57	2133.97	2178.83	1605.83	2090.03	1721.16	2835.7	1208.34	2018.8	1407.55	2104.58	1923.14	2451.44	1369.04	2451.44	2224.63	1963.57	1259.69	2701.35	2956.17	2319.15	2004.85	1733.13	2047.0	1437.15	1832.01	1721.16	2451.44	2075.59	2434.5	2018.8	2645.74	2502.97	1977.24	2061.24	1617.0	2367.9	1709.26	1844.76	1651.0	1963.57	1991.0	1340.84	2061.24	2104.58	2133.97	2645.74	2645.74	1259.69	1950.0	2061.24	1709.26	1936.53	2645.74	2573.36	1551.09	1977.24	1639.59	1991.0	1467.37	2468.49	1628.26	2004.85	1923.14	2451.44	2720.15	1594.73	2209.26	2537.92	2451.44	1572.76	1733.13	1639.59	1991.0	1883.54	1963.57	1088.92	872.1	3955.48
ANKRD54	281.09	0.16	129.69	320.8	414.87	381.68	432.53	348.71	454.09	624.99	785.88	460.44	486.75	454.09	368.65	356.05	432.53	406.31	629.35	412.0	521.76	514.56	368.65	486.75	483.38	454.09	638.15	423.61	503.95	438.59	387.02	583.07	603.67	387.02	493.56	708.18	543.96	559.28	366.09	571.05	595.34	373.81	336.79	441.64	457.25	679.29	473.41	603.67	332.14	384.34	764.36	423.61	426.57	507.46	353.59	486.75	339.14	336.79	532.74	454.09	441.64	483.38	281.09	629.35	423.61	392.44	351.14	366.09	575.03	514.56	698.41	406.31	718.08	633.73	368.65	392.44	395.18	599.49	525.39	301.33	514.56	444.72	665.29	447.82	540.19	417.77	656.11	536.45	536.45	529.06	409.15	395.18	368.65	503.95	463.65	432.53	860.08	426.57	480.04	444.72	361.04	540.19	470.14	483.38	441.64	255.0	624.99	753.83	660.68	507.46	521.76	373.81	450.94	444.72	441.64	397.93	507.46	684.02	454.09	483.38	409.15	607.87	647.07	441.64	497.0	703.28	438.59	417.77	429.54	529.06	460.44	346.29	543.96	450.94	500.46	417.77	490.14	409.15	909.17	435.55	414.87	493.56	532.74	476.71	406.31	454.09	503.95	232.94	665.29	457.25	406.31	525.39	387.02	371.22	356.05	486.75	454.09	358.54	470.14	460.44	429.54	536.45	483.38	775.05	511.0	591.22	454.09	521.76	579.04	688.78	713.11	450.94	480.04	371.22	525.39	403.5	808.0	454.09	703.28	915.51	409.15	480.04	503.95	417.77	454.09	718.08	299.25	406.31	473.41	392.44	669.92	579.04	878.17
ARL2	1936.53	0.79	1991.0	1359.57	2163.77	1551.09	1697.45	2537.92	1617.0	1617.0	2271.4	1991.0	2104.58	2976.74	1781.89	988.12	2502.97	1427.22	1857.6	1977.24	1794.29	2148.82	1639.59	1844.76	1322.37	2468.49	1733.13	2075.59	2537.92	2875.3	1286.18	1870.53	1745.2	1331.57	2133.97	1605.83	1963.57	1781.89	1561.89	2148.82	1594.73	1447.15	2004.85	1498.22	2047.0	2047.0	1447.15	1883.54	2739.08	1259.69	1819.35	1923.14	2209.26	1268.46	1088.92	928.3	1628.26	1111.82	1794.29	1427.22	2537.92	1685.71	1977.24	2047.0	1733.13	2367.9	1331.57	1721.16	2119.22	2434.5	1909.85	1322.37	2935.74	2224.63	1769.57	1216.75	1781.89	2367.9	2520.38	1806.78	2434.5	1561.89	1896.65	1662.49	1781.89	1757.34	1674.06	1697.45	2796.65	2163.77	1662.49	1529.73	1350.18	1781.89	1857.6	1437.15	4328.55	1583.71	1709.26	1819.35	2287.2	2061.24	2004.85	2816.11	1781.89	1268.46	3303.0	1757.34	2777.33	2163.77	1175.27	1617.0	2061.24	1407.55	1286.18	2351.53	1350.18	1745.2	1427.22	1551.09	1832.01	1733.13	2777.33	1388.16	2047.0	1991.0	1745.2	1259.69	2319.15	2209.26	1651.0	1199.98	2319.15	1832.01	1806.78	1605.83	1487.87	1617.0	1551.09	1417.35	1662.49	1088.92	1709.26	2148.82	1769.57	2148.82	1745.2	1135.2	2796.65	1467.37	1674.06	1923.14	1721.16	1709.26	1397.83	1378.57	1286.18	1651.0	1322.37	1191.69	2004.85	2319.15	1806.78	2335.28	1745.2	1242.34	1857.6	1721.16	2485.67	1639.59	1594.73	1233.75	2209.26	1350.18	1950.0	1498.22	2351.53	1572.76	1674.06	3564.78	1733.13	1819.35	2434.5	1794.29	1561.89	1936.53	1733.13	1277.29	1242.34	1844.76	2075.59	1277.29	1685.71
ATP5EP2	4.35	0.12	28.04	41.52	112.77	12.45	88.88	43.63	57.49	37.32	66.65	61.68	67.59	30.12	51.35	50.63	151.22	11.73	187.71	49.56	69.03	31.45	11.38	80.01	50.63	113.56	57.49	24.63	9.06	24.28	28.45	60.82	68.07	21.78	90.14	40.36	90.77	80.57	19.97	87.65	95.34	100.13	96.01	10.55	33.3	94.67	12.55	112.77	85.22	12.93	100.83	31.0	27.84	47.5	9.27	8.51	88.88	12.0	36.53	30.34	102.97	12.93	61.68	120.94	54.72	70.51	12.27	33.54	37.32	109.66	42.41	61.25	35.76	51.71	10.24	5.77	0.0	57.89	24.99	29.27	141.02	27.25	163.28	99.43	87.65	171.45	24.63	72.52	100.13	88.26	24.46	22.1	22.1	36.01	74.58	7.63	198.47	14.14	18.56	45.53	50.98	71.0	48.87	19.25	21.01	17.0	96.68	88.88	145.02	77.25	33.3	37.32	47.84	23.76	9.93	35.5	24.28	116.78	52.45	24.99	73.03	20.56	94.01	63.89	114.36	125.24	13.42	23.42	50.63	61.68	23.08	60.82	88.26	76.71	15.34	6.21	43.02	24.81	26.67	27.64	49.21	62.56	24.46	69.03	34.75	161.02	115.97	63.0	99.43	24.99	72.52	49.56	14.56	21.78	18.43	7.34	72.01	37.32	44.25	37.59	77.79	132.44	38.67	38.95	66.18	43.63	155.5	9.56	101.54	15.8	15.91	8.0	43.63	31.67	95.34	10.55	112.77	94.01	27.25	9.34	31.22	47.5	108.14	0.0	96.01	80.01	23.76	94.01	9.34	65.72	33.78	24.63	115.97
AURKAIP1	995.0	0.75	902.89	2935.74	2997.45	2935.74	3081.75	4937.99	2591.27	2573.36	2816.11	2627.46	2240.11	4704.07	2303.12	2434.5	3982.99	2796.65	2627.46	2835.7	2895.31	2701.35	1896.65	3018.3	2855.44	3820.7	2271.4	2032.85	4038.61	4010.71	2485.67	3419.52	3540.14	2104.58	2351.53	3212.66	3018.3	3515.68	2271.4	2537.92	2895.31	1721.16	3325.99	2271.4	3372.43	3564.78	2287.2	3168.41	3589.58	1950.0	2935.74	2935.74	2895.31	1617.0	1936.53	1896.65	2935.74	1628.26	2287.2	2384.37	4152.18	1721.16	2915.45	3395.89	2400.97	3168.41	1923.14	3146.52	2915.45	3982.99	2573.36	2777.33	2777.33	3060.45	2303.12	2627.46	2319.15	3742.05	3467.27	2664.15	4268.94	1819.35	3146.52	1936.53	3395.89	3491.39	3515.68	3190.46	4268.94	3874.05	2796.65	2591.27	2133.97	2400.97	2796.65	2591.27	4575.41	2720.15	2434.5	2573.36	3491.39	2739.08	3081.75	2796.65	3168.41	2240.11	3349.13	4639.29	4328.55	2591.27	2209.26	2816.11	2777.33	2645.74	2119.22	3124.78	2075.59	2645.74	2573.36	2287.2	2573.36	2537.92	4010.71	1088.92	3212.66	3039.3	2384.37	1617.0	3467.27	3103.19	2451.44	1594.73	3190.46	2739.08	2573.36	2645.74	2255.7	2209.26	3168.41	1977.24	1477.58	2664.15	2645.74	2855.44	3081.75	4181.07	3467.27	2645.74	4095.0	2090.03	2835.7	3540.14	2351.53	2255.7	2720.15	2367.9	2178.83	2319.15	2468.49	2104.58	2758.13	3955.48	2417.67	2627.46	2573.36	2032.85	2627.46	2835.7	3540.14	3325.99	3081.75	1697.45	2720.15	2061.24	3303.0	2240.11	4152.18	2224.63	3589.58	6207.38	2255.7	2367.9	4268.94	3018.3	2271.4	3257.52	1819.35	3589.58	2573.36	2915.45	1733.13	1447.15	7749.1
