	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.R6.A8W5.01B.11R.A37I.31	TCGA.L5.A4OH.01A.11R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.145MF.0826.SM.5QGQA	TCGA.FE.A232.01A.11R.A14Y.07
AAR2	802.41	819.3	3303.0	928.3	791.35	540.19	473.41	368.65	476.71	547.75	384.34	612.11
ABLIM2	234.57	76.71	587.13	543.96	497.0	78.34	40.93	18.43	26.28	79.45	25.72	169.07
AC004017.1	92.05	5.73	37.32	38.12	81.14	16.03	0.0	0.0	0.0	0.0	0.0	44.89
AC008443.1	293.07	169.07	2591.27	497.0	629.35	0.0	0.0	0.0	0.0	0.0	3.53	0.0
AC016586.1	3.14	1.33	6.26	13.22	0.95	0.6	1.81	0.0	0.0	0.0	0.0	0.47
AC016745.1	3.96	1.99	4.74	9.34	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACHE	165.57	115.16	579.04	209.84	267.73	129.69	76.17	5.45	55.49	79.45	59.13	12.27
ADAMTSL5	1605.83	320.8	376.41	253.23	205.5	66.65	36.53	52.08	26.86	68.55	38.12	71.5
ADAP1	2384.37	1199.98	2520.38	1467.37	1350.18	167.9	99.43	65.26	50.98	81.71	6.06	316.37
AIM1L	8134.41	1135.2	12676.65	356.05	242.88	14.45	6.89	1.68	5.5	57.49	29.91	37.59
AL353608.1	3.96	1.99	4.74	9.34	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL354898.1	12.0	0.0	55.1	16.63	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0
AL590452.1	7.88	3.53	6.01	6.31	5.68	0.77	0.0	0.79	0.0	0.0	0.0	0.64
