	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYY3.0926.SM.5E454	GTEX.P4QR.1026.SM.2I5GP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.148VJ.0826.SM.5LU8V	GTEX.145LS.1226.SM.5Q5D9	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.22.5482.11A.01R.1635.07
ANKRD13C	215.77	123.5	119.26	55.1	87.03	73.54	148.09	81.14	74.58	84.63	62.12	60.82	79.45	67.12	87.03	61.68	54.33	97.36	105.15	48.18	78.34	102.97	81.71	81.14	59.55	50.98	189.02	156.59	255.0	167.9	295.11	221.86	182.55	236.21	260.38	162.14	231.32	239.52	170.25	279.14	218.79	79.45	629.35	583.07	189.02	212.78	348.71	205.5	224.97
ANO6	406.31	409.15	518.15	237.86	599.49	674.59	579.04	414.87	642.59	312.0	460.44	343.89	595.34	303.44	441.64	454.09	289.02	198.47	647.07	441.64	473.41	376.41	934.76	603.67	543.96	1551.09	559.28	109.66	603.67	409.15	830.75	769.69	450.94	1487.87	1073.91	536.45	1242.34	1119.56	1104.13	1477.58	909.17	214.27	941.27	1605.83	2193.99	753.83	1447.15	642.59	1498.22
ASRGL1	371.22	1407.55	373.81	791.35	152.28	208.38	2255.7	130.6	53.95	1457.23	136.19	127.0	31.0	206.94	303.44	303.44	148.09	493.56	363.56	124.37	35.25	255.0	26.47	46.18	74.06	32.36	432.53	2758.13	414.87	466.88	217.27	813.63	195.72	2664.15	397.93	2148.82	187.71	220.32	507.46	1135.2	1350.18	339.14	3124.78	94.01	4802.93	473.41	2739.08	575.03	656.11
ATF6	409.15	249.73	283.05	201.25	336.79	395.18	318.57	336.79	208.38	163.28	316.37	281.09	341.51	209.84	231.32	258.57	277.2	148.09	312.0	195.72	224.97	361.04	255.0	170.25	217.27	267.73	299.25	334.46	316.37	314.17	327.56	414.87	476.71	571.05	403.5	277.2	473.41	275.28	414.87	665.29	417.77	351.14	587.13	679.29	624.99	679.29	660.68	299.25	392.44
BAG5	441.64	320.8	336.79	325.29	205.5	132.44	99.43	129.69	107.38	151.22	147.06	107.38	163.28	102.97	165.57	87.65	108.9	98.73	221.86	100.13	209.84	130.6	79.45	128.79	159.9	221.86	325.29	486.75	299.25	341.51	718.08	579.04	323.03	466.88	260.38	373.81	409.15	318.57	412.0	265.87	444.72	141.02	466.88	698.41	921.88	195.72	647.07	293.07	438.59
BMPR2	229.72	139.07	253.23	59.13	98.73	122.64	90.14	90.77	50.27	57.08	98.73	58.3	57.89	49.21	76.17	59.55	47.5	32.59	211.31	52.08	115.16	57.49	84.63	97.36	102.97	178.77	384.34	327.56	353.59	518.15	825.0	872.1	305.55	733.19	693.58	540.19	656.11	463.65	684.02	1015.93	624.99	138.1	1781.89	825.0	1896.65	320.8	836.53	285.03	1199.98
BNIP2	1350.18	967.76	915.51	256.78	642.59	500.46	460.44	595.34	423.61	371.22	417.77	392.44	638.15	551.56	543.96	392.44	307.69	202.66	791.35	490.14	961.07	595.34	591.22	616.37	363.56	403.5	1277.29	718.08	1540.37	1561.89	2148.82	1936.53	1191.69	1477.58	1183.45	1407.55	915.51	1467.37	1487.87	2224.63	1487.87	679.29	1487.87	3257.52	2367.9	1487.87	2240.11	1437.15	1477.58
C16orf52	183.82	143.01	134.3	88.26	144.01	138.1	346.29	98.73	81.71	88.26	93.35	96.68	76.17	85.82	167.9	137.14	107.38	81.71	143.01	96.68	231.32	132.44	126.12	249.73	107.38	262.2	194.36	131.51	163.28	148.09	201.25	180.02	158.79	507.46	476.71	153.34	187.71	229.72	150.17	379.04	189.02	94.01	361.04	281.09	387.02	215.77	395.18	197.09	234.57
CAB39	2591.27	808.0	896.64	490.14	503.95	441.64	521.76	435.55	366.09	371.22	507.46	356.05	429.54	318.57	420.68	366.09	312.0	281.09	854.13	253.23	420.68	361.04	348.71	285.03	356.05	567.1	981.29	808.0	1001.93	1030.12	1628.26	1551.09	656.11	1605.83	1447.15	884.29	1096.5	693.58	1051.79	1950.0	995.0	902.89	2664.15	2915.45	2367.9	1605.83	2573.36	836.53	1159.07
CCNI	6516.03	2875.3	6471.02	4123.49	1167.14	921.88	1059.11	830.75	808.0	547.75	860.08	819.3	1001.93	688.78	1088.92	738.29	599.49	723.08	2061.24	1388.16	1617.0	1583.71	2104.58	1233.75	1651.0	4802.93	3235.01	2720.15	4038.61	4607.24	4937.99	3419.52	3168.41	11745.96	9474.59	4066.71	9088.59	4010.71	5006.93	4869.99	5006.93	2224.63	7695.57	5791.62	6426.31	5441.3	7857.29	3395.89	5711.87
