	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CU.11A.11R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13VXU.0826.SM.5KLZ2
ADAM17	124.37	23.59	139.07	122.64	115.16	119.26	164.42	58.3	249.73	116.78	265.87	277.2	234.57	283.05	283.05	275.28	279.14	158.79	178.77	185.11	198.47	204.07	104.42	297.17	197.09	108.9	197.09	198.47	223.41	156.59	181.28	164.42	229.72	285.03	199.85	123.5	186.4	202.66	295.11	285.03	236.21	172.65
ADRBK2	55.1	15.0	51.71	49.21	54.72	40.64	48.52	28.04	103.69	120.94	105.15	193.01	64.8	78.89	195.72	136.19	111.21	92.7	60.82	74.06	62.12	74.06	88.26	220.32	113.56	68.07	86.43	72.52	93.35	56.68	81.71	87.03	78.89	84.63	71.0	73.03	77.79	65.72	100.13	87.65	76.71	53.95
AMD1	507.46	201.25	624.99	775.05	612.11	486.75	775.05	688.78	1572.76	974.5	1313.23	1350.18	1135.2	1359.57	1572.76	1030.12	1259.69	728.11	934.76	1167.14	748.61	928.3	813.63	1617.0	1059.11	941.27	974.5	1073.91	1127.35	1208.34	1216.75	836.53	1073.91	1225.22	1322.37	995.0	1127.35	967.76	1388.16	1216.75	1066.48	1127.35
ANKRD13A	215.77	169.07	665.29	620.67	764.36	665.29	1199.98	1369.04	1151.06	1037.29	1331.57	1572.76	785.88	1594.73	1963.57	988.12	1286.18	1175.27	1030.12	1023.0	1111.82	1051.79	974.5	1769.57	1023.0	1051.79	1119.56	688.78	1159.07	796.86	981.29	1135.2	1066.48	860.08	1096.5	961.07	1127.35	679.29	1268.46	1277.29	1051.79	1159.07
ANKRD28	102.25	112.77	320.8	309.83	229.72	283.05	361.04	169.07	909.17	432.53	934.76	842.36	454.09	1183.45	743.43	607.87	1037.29	532.74	620.67	591.22	466.88	348.71	384.34	748.61	426.57	426.57	638.15	514.56	665.29	295.11	392.44	511.0	536.45	775.05	595.34	406.31	579.04	316.37	995.0	703.28	688.78	417.77
AP1AR	79.45	82.29	149.12	209.84	150.17	152.28	211.31	110.43	301.33	237.86	283.05	267.73	214.27	262.2	346.29	214.27	218.79	189.02	208.38	209.84	239.52	190.34	195.72	314.17	183.82	180.02	260.38	195.72	234.57	176.29	255.0	191.67	226.54	237.86	273.37	175.07	265.87	136.19	291.04	283.05	262.2	231.32
APH1B	395.18	90.14	260.38	381.68	500.46	339.14	441.64	273.37	500.46	325.29	620.67	543.96	361.04	591.22	708.18	426.57	713.11	429.54	361.04	379.04	429.54	493.56	303.44	403.5	384.34	343.89	336.79	332.14	514.56	297.17	303.44	348.71	400.71	426.57	480.04	387.02	612.11	277.2	389.72	356.05	400.71	346.29
ARHGAP26	80.01	51.71	149.12	130.6	67.12	148.09	99.43	108.14	94.67	100.13	181.28	318.57	123.5	201.25	262.2	185.11	256.78	124.37	120.94	153.34	108.9	108.14	121.79	149.12	95.34	116.78	127.89	128.79	130.6	94.01	90.14	136.19	169.07	112.77	150.17	86.43	109.66	89.51	171.45	131.51	133.36	111.99
ARHGAP29	51.71	83.45	450.94	540.19	312.0	438.59	414.87	94.67	638.15	540.19	954.43	2777.33	420.68	1167.14	1369.04	718.08	1340.84	463.65	587.13	587.13	381.68	483.38	361.04	909.17	563.18	406.31	693.58	470.14	753.83	432.53	547.75	503.95	775.05	529.06	934.76	353.59	559.28	348.71	1066.48	808.0	651.58	518.15
ARHGAP32	15.91	30.78	44.57	82.87	40.07	32.82	53.19	16.15	102.25	88.88	125.24	178.77	47.5	132.44	246.28	101.54	145.02	116.78	50.27	96.68	55.89	76.71	79.45	244.57	62.12	78.34	102.97	55.49	111.99	44.89	48.18	98.04	101.54	85.22	107.38	45.21	75.64	44.57	85.82	92.05	94.67	74.58
