	TCGA.AK.3447.01A.01R.1766.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.TML8.0326.SM.4GICN	GTEX.117YX.1326.SM.5H125	GTEX.13N2G.0826.SM.5IJE6	GTEX.1122O.0126.SM.5GICA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13O3Q.0526.SM.5KM18	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.OIZH.0526.SM.2HMKV	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ABI2	121.79	406.31	435.55	423.61	239.52	1051.79	1183.45	389.72	334.46	775.05	237.86	934.76	1030.12	403.5	470.14	341.51	336.79	325.29	1467.37	733.19	314.17	460.44	612.11	532.74	514.56
AC010642.1	1.16	6.84	7.75	4.82	3.63	23.76	17.77	5.87	8.99	3.99	3.26	4.94	12.93	2.86	15.0	1.99	1.85	5.82	16.88	14.35	2.94	6.94	9.56	10.39	5.23
AGO3	31.22	147.06	64.8	72.01	58.3	111.99	182.55	56.28	66.18	92.05	42.71	84.63	150.17	84.04	92.05	68.07	57.08	59.13	92.7	146.03	73.54	84.04	132.44	94.01	81.14
ARHGAP17	127.0	988.12	624.99	872.1	738.29	1806.78	2555.58	909.17	703.28	1286.18	860.08	1259.69	1832.01	902.89	1119.56	733.19	928.3	647.07	2193.99	934.76	769.69	1030.12	1191.69	1023.0	915.51
ARHGEF7	113.56	361.04	412.0	470.14	395.18	1819.35	1923.14	356.05	476.71	1322.37	441.64	1508.65	1407.55	540.19	559.28	341.51	323.03	339.14	1508.65	532.74	334.46	603.67	486.75	490.14	373.81
ARID2	59.13	127.89	115.16	100.83	114.36	287.01	285.03	130.6	124.37	148.09	92.05	229.72	361.04	113.56	165.57	103.69	108.9	96.68	389.72	167.9	95.34	176.29	135.24	158.79	128.79
AVL9	146.03	258.57	143.01	201.25	165.57	400.71	463.65	171.45	173.85	279.14	142.01	297.17	409.15	187.71	318.57	165.57	146.03	164.42	638.15	320.8	146.03	325.29	258.57	334.46	149.12
B3GAT2	0.82	10.55	2.25	3.06	4.5	15.0	13.83	4.39	3.41	4.82	3.11	5.63	17.38	4.1	8.92	3.29	0.64	1.79	17.13	9.56	2.14	10.31	5.28	10.63	1.97
BAZ2A	49.21	518.15	665.29	651.58	376.41	1617.0	2451.44	493.56	607.87	1350.18	543.96	1594.73	1857.6	563.18	1066.48	432.53	248.0	525.39	1467.37	825.0	441.64	872.1	660.68	723.08	748.61
BRAF	125.24	301.33	190.34	214.27	161.02	599.49	518.15	176.29	275.28	323.03	145.02	417.77	438.59	199.85	271.48	173.85	131.51	140.04	540.19	351.14	140.04	265.87	236.21	277.2	220.32
BRWD3	5.45	55.49	46.84	42.71	28.24	96.01	175.07	30.78	53.57	132.44	36.53	152.28	123.5	42.11	98.73	34.26	23.93	31.0	146.03	55.1	32.82	78.89	41.22	65.26	30.34
C11orf30	265.87	166.73	135.24	187.71	113.56	612.11	638.15	140.04	171.45	334.46	140.04	392.44	521.76	169.07	204.07	151.22	113.56	149.12	583.07	226.54	148.09	232.94	256.78	199.85	197.09
C5orf56	122.64	147.06	211.31	409.15	400.71	854.13	1295.13	348.71	217.27	460.44	277.2	693.58	1104.13	208.38	532.74	226.54	194.36	206.94	830.75	470.14	145.02	265.87	346.29	389.72	287.01
CELF1	80.01	753.83	441.64	780.44	356.05	1322.37	1407.55	460.44	507.46	1331.57	343.89	1233.75	1313.23	603.67	1037.29	466.88	221.86	438.59	1617.0	842.36	400.71	830.75	665.29	633.73	607.87
DCAF5	105.15	429.54	563.18	660.68	412.0	1051.79	1437.15	493.56	497.0	1388.16	450.94	1233.75	1015.93	540.19	1175.27	476.71	392.44	392.44	1617.0	674.59	483.38	674.59	616.37	571.05	555.41
DDX42	71.5	1467.37	890.44	1268.46	1111.82	2335.28	2468.49	988.12	1143.1	2417.67	890.44	2664.15	2119.22	1143.1	1950.0	836.53	802.41	902.89	1909.85	1233.75	796.86	1806.78	1059.11	1674.06	961.07
DENND5B	33.3	32.13	33.3	40.93	18.7	223.41	226.54	40.07	61.68	71.5	26.47	80.01	96.68	22.59	95.34	36.27	18.29	31.9	206.94	98.04	27.25	57.49	44.57	61.25	58.3
DGKH	3.96	46.5	39.79	43.02	34.51	190.34	389.72	21.78	51.71	105.89	37.59	217.27	318.57	72.52	146.03	31.9	18.97	25.54	381.68	90.14	24.28	74.06	47.84	89.51	53.19
DLL4	88.26	486.75	205.5	514.56	457.25	1806.78	1733.13	329.84	384.34	525.39	176.29	1498.22	808.0	348.71	785.88	171.45	115.16	183.82	2664.15	1250.98	267.73	417.77	884.29	830.75	575.03
DNAJC18	36.79	130.6	123.5	142.01	102.97	497.0	743.43	123.5	151.22	172.65	157.68	571.05	1135.2	176.29	279.14	146.03	104.42	88.26	660.68	221.86	123.5	236.21	132.44	251.48	98.04
ELK4	26.47	138.1	118.43	181.28	133.36	420.68	728.11	153.34	172.65	301.33	107.38	414.87	473.41	148.09	242.88	126.12	128.79	116.78	769.69	253.23	123.5	262.2	180.02	199.85	148.09
EPG5	26.47	186.4	145.02	224.97	114.36	264.03	334.46	125.24	172.65	223.41	161.02	218.79	497.0	180.02	241.19	162.14	86.43	131.51	389.72	265.87	139.07	181.28	273.37	239.52	153.34
FAM105B	133.36	224.97	111.21	318.57	107.38	409.15	339.14	121.79	264.03	221.86	88.26	289.02	351.14	190.34	503.95	186.4	100.83	161.02	293.07	361.04	120.94	293.07	316.37	253.23	140.04
FAM162B	43.02	97.36	165.57	339.14	417.77	698.41	2367.9	429.54	171.45	356.05	231.32	684.02	2682.69	239.52	480.04	162.14	303.44	81.71	743.43	884.29	180.02	438.59	214.27	567.1	100.13
FER	79.45	66.18	72.52	70.01	50.98	190.34	152.28	56.68	59.55	135.24	47.84	103.69	135.24	59.97	115.16	39.5	55.1	49.56	166.73	81.14	48.18	96.01	80.01	85.22	94.01
FNBP4	41.52	559.28	392.44	647.07	624.99	2271.4	1883.54	420.68	669.92	1769.57	603.67	1757.34	1572.76	688.78	1277.29	514.56	351.14	320.8	1832.01	543.96	392.44	909.17	518.15	836.53	395.18
GBP3	5.15	595.34	253.23	1322.37	575.03	1561.89	3874.05	490.14	80.01	878.17	503.95	1304.15	2148.82	353.59	1051.79	92.05	273.37	583.07	2240.11	1508.65	463.65	819.3	334.46	1151.06	121.79
GPATCH2L	221.86	255.0	135.24	180.02	132.44	297.17	507.46	140.04	234.57	267.73	93.35	343.89	366.09	133.36	376.41	130.6	89.51	108.9	373.81	277.2	149.12	267.73	256.78	220.32	267.73
HES1	144.01	693.58	409.15	902.89	629.35	1540.37	4481.23	555.41	860.08	599.49	511.0	1104.13	1250.98	332.14	819.3	409.15	287.01	318.57	7589.61	2451.44	273.37	400.71	1397.83	1088.92	348.71
HTT	118.43	555.41	403.5	500.46	379.04	961.07	536.45	381.68	384.34	1104.13	325.29	1167.14	698.41	339.14	555.41	363.56	151.22	368.65	915.51	435.55	323.03	674.59	620.67	466.88	312.0
IL32	1259.69	4736.79	5751.61	8718.32	5517.27	23492.92	35609.13	5147.73	4181.07	6745.86	4607.24	15285.81	27745.15	5112.16	18431.96	6079.61	4152.18	7911.95	21768.19	10368.08	3467.27	6745.86	8363.13	6792.79	10154.69
KDM5B	69.52	363.56	206.94	236.21	148.09	660.68	872.1	229.72	249.73	480.04	186.4	567.1	780.44	221.86	381.68	212.78	167.9	197.09	785.88	353.59	248.0	307.69	346.29	334.46	273.37
KMT2A	12.45	208.38	224.97	232.94	116.78	490.14	854.13	157.68	271.48	457.25	190.34	616.37	651.58	186.4	285.03	150.17	89.51	153.34	791.35	264.03	163.28	279.14	253.23	297.17	204.07
LGALS8	366.09	764.36	490.14	842.36	583.07	1295.13	2104.58	551.56	698.41	1111.82	559.28	1159.07	1697.45	651.58	1359.57	738.29	466.88	490.14	1259.69	1001.93	607.87	860.08	612.11	854.13	669.92
LRRTM4	0.0	3.56	2.01	4.98	3.82	44.25	50.63	9.93	0.92	5.63	2.78	22.43	67.12	6.41	9.85	2.43	6.06	3.29	88.26	27.64	3.5	11.73	13.12	23.25	2.86
MCTP1	4.58	209.84	114.36	131.51	63.45	941.27	1104.13	127.0	120.94	320.8	85.22	234.57	698.41	143.01	713.11	166.73	111.99	126.12	1397.83	466.88	105.89	136.19	115.97	353.59	373.81
MID2	21.94	78.34	98.73	101.54	30.78	262.2	384.34	46.84	133.36	239.52	35.0	620.67	271.48	135.24	221.86	81.71	55.49	88.88	483.38	255.0	82.29	214.27	180.02	246.28	221.86
N4BP2L1	115.97	341.51	638.15	540.19	651.58	2119.22	2240.11	497.0	432.53	1208.34	409.15	1561.89	1923.14	277.2	764.36	466.88	435.55	277.2	3280.18	866.07	323.03	571.05	514.56	656.11	341.51
NBEAL1	41.22	98.73	131.51	105.89	94.67	305.55	244.57	77.25	102.25	176.29	59.55	182.55	490.14	106.63	172.65	84.04	68.07	77.79	281.09	241.19	75.64	155.5	122.64	91.41	134.3
NIPSNAP3B	27.05	19.25	49.91	29.7	24.11	92.7	131.51	28.86	20.86	61.68	37.85	63.45	134.3	27.44	52.45	32.59	38.95	16.39	124.37	59.55	20.26	30.34	23.76	57.49	26.86
NPEPPS	193.01	1119.56	854.13	775.05	703.28	2209.26	2178.83	599.49	830.75	2178.83	915.51	2163.77	2537.92	595.34	1508.65	890.44	583.07	813.63	3515.68	1225.22	651.58	1331.57	1233.75	1233.75	1015.93
PACS1	226.54	780.44	629.35	780.44	339.14	1073.91	2047.0	483.38	723.08	921.88	802.41	1088.92	1757.34	521.76	890.44	514.56	389.72	595.34	1551.09	947.83	450.94	660.68	860.08	884.29	660.68
PAG1	7.0	49.21	154.42	133.36	180.02	447.82	1417.35	68.07	165.57	483.38	81.14	759.08	1561.89	221.86	414.87	123.5	32.82	70.01	698.41	381.68	64.8	297.17	172.65	139.07	97.36
PDE8A	171.45	299.25	307.69	277.2	454.09	981.29	1268.46	256.78	392.44	647.07	299.25	1066.48	808.0	454.09	595.34	343.89	244.57	205.5	1066.48	325.29	248.0	460.44	307.69	332.14	265.87
PGM2L1	4.24	32.36	21.78	36.53	13.42	142.01	102.25	24.81	39.22	104.42	13.93	193.01	133.36	42.11	82.87	31.22	12.74	21.47	264.03	74.06	22.1	51.71	30.56	47.5	25.35
PHC3	55.89	239.52	211.31	221.86	105.89	248.0	967.76	98.73	183.82	392.44	114.36	463.65	450.94	194.36	363.56	133.36	70.01	126.12	551.56	353.59	142.01	260.38	329.84	221.86	162.14
PHF8	63.89	190.34	121.79	217.27	143.01	457.25	629.35	151.22	206.94	591.22	185.11	514.56	693.58	242.88	291.04	149.12	81.14	161.02	647.07	246.28	150.17	287.01	239.52	209.84	226.54
PKP4	96.68	412.0	490.14	532.74	483.38	1806.78	1519.15	529.06	559.28	988.12	493.56	1242.34	1183.45	536.45	1151.06	470.14	518.15	460.44	1651.0	1081.39	435.55	536.45	493.56	934.76	708.18
PLK2	59.13	246.28	902.89	450.94	669.92	2104.58	2335.28	536.45	256.78	432.53	314.17	1119.56	961.07	483.38	1369.04	518.15	341.51	193.01	4095.0	1628.26	381.68	599.49	674.59	587.13	412.0
PPP4R1L	36.27	68.55	62.56	80.57	42.11	269.6	267.73	54.33	76.71	155.5	50.63	215.77	361.04	58.3	127.0	61.68	31.67	41.52	264.03	194.36	56.28	115.97	119.26	101.54	41.22
PPP6R3	358.54	860.08	708.18	656.11	669.92	1605.83	1832.01	559.28	723.08	1135.2	633.73	1304.15	1447.15	723.08	1001.93	587.13	460.44	665.29	1583.71	902.89	521.76	981.29	915.51	995.0	785.88
PXDN	9.93	126.12	327.56	329.84	149.12	769.69	5255.91	144.01	414.87	358.54	163.28	1378.57	3491.39	356.05	1023.0	303.44	96.01	476.71	2835.7	1081.39	217.27	698.41	361.04	848.22	567.1
RBM15	24.11	100.83	55.89	84.04	56.68	151.22	169.07	60.39	68.07	152.28	50.63	167.9	156.59	69.52	108.14	82.29	46.84	63.0	211.31	113.56	57.49	85.22	96.68	75.11	60.39
RIF1	17.77	178.77	75.64	126.12	88.88	195.72	295.11	85.82	101.54	115.97	61.25	153.34	242.88	76.17	202.66	83.45	43.94	85.82	231.32	134.3	74.06	206.94	90.77	232.94	117.6
RSRC2	460.44	684.02	808.0	1183.45	1437.15	1794.29	2645.74	796.86	1304.15	1909.85	1143.1	1594.73	2875.3	1127.35	1651.0	775.05	1008.9	791.35	3491.39	1757.34	1001.93	1167.14	1286.18	1127.35	902.89
SAMD14	2.84	64.34	92.7	127.89	91.41	251.48	1143.1	75.11	46.18	86.43	85.22	234.57	759.08	105.89	208.38	61.68	32.36	37.05	587.13	167.9	43.02	67.59	248.0	178.77	108.9
SENP5	48.18	289.02	111.99	140.04	132.44	412.0	536.45	124.37	133.36	212.78	123.5	327.56	476.71	217.27	237.86	155.5	91.41	101.54	409.15	202.66	135.24	264.03	267.73	239.52	198.47
SETD5	55.49	521.76	518.15	607.87	343.89	2119.22	1896.65	441.64	532.74	1225.22	435.55	1572.76	1794.29	688.78	902.89	473.41	262.2	490.14	1806.78	785.88	444.72	684.02	769.69	718.08	571.05
SFTPA1	0.0	5809569.18	4987895.16	4252853.3	2945333.38	663619.99	1208.34	3576208.94	4252853.3	3806410.22	1567462.05	1472666.19	4239.45	2459612.16	2691538.19	1691649.38	2359417.65	1055868.42	275175.93	2408994.05	2343119.96	2546350.23	4558095.38	2425749.94	3028138.0
SIN3A	72.01	543.96	551.56	332.14	285.03	769.69	738.29	423.61	493.56	802.41	450.94	909.17	848.22	376.41	693.58	417.77	318.57	371.22	1216.75	429.54	490.14	651.58	438.59	679.29	525.39
SIPA1L1	35.5	551.56	559.28	470.14	297.17	1088.92	708.18	358.54	397.93	1008.9	400.71	1119.56	1183.45	463.65	738.29	368.65	320.8	358.54	1044.52	607.87	353.59	454.09	395.18	612.11	651.58
