	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.AN.A0AK.01A.21R.A00Z.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.AR.A24H.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AO.A03O.01A.11R.A00Z.07	TCGA.AO.A0J7.01A.11R.A034.07	GTEX.148VI.0226.SM.5RQKA	GTEX.13NYS.1626.SM.5J2MU	GTEX.13U4I.1426.SM.5J2M3	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YECK.0926.SM.4W214	GTEX.111FC.1126.SM.5GZWU	GTEX.WY7C.0426.SM.3NB3C	GTEX.11I78.0126.SM.5HL6F	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.13FTX.0326.SM.5J2NG	GTEX.R55D.0926.SM.3GAEU	GTEX.131XH.0426.SM.5DUWU
AC105020.1	7.69	2.23	1.68	7.69	9.2	1.14	9.2	1.31	6.06	6.26	2.92	0.0	3.08	2.53	58.71	62.12	13.42	40.93	82.87	18.16	5.73	23.08	49.56	10.31	10.16	17.51	13.83	44.25	5.92	10.71	40.64	59.55	80.01
AFAP1L1	55.89	104.42	22.43	55.89	55.1	33.78	121.79	36.53	57.08	32.82	88.26	43.32	38.4	44.25	684.02	392.44	318.57	206.94	1023.0	490.14	204.07	142.01	587.13	607.87	363.56	262.2	57.08	426.57	185.11	336.79	201.25	373.81	463.65
AGO4	107.38	122.64	97.36	107.38	123.5	51.71	175.07	35.0	108.14	244.57	204.07	101.54	128.79	92.7	289.02	457.25	480.04	291.04	307.69	327.56	260.38	301.33	244.57	262.2	275.28	297.17	236.21	414.87	157.68	155.5	297.17	265.87	186.4
ALDH1A2	5.28	16.15	19.97	5.28	9.41	9.41	11.91	1.51	21.94	2.16	8.58	1.06	20.26	9.56	466.88	239.52	100.13	123.5	555.41	57.08	470.14	75.64	599.49	234.57	126.12	176.29	116.78	2255.7	182.55	318.57	194.36	242.88	836.53
ARHGAP6	12.18	45.53	8.19	12.18	22.1	17.9	34.75	10.71	26.47	9.63	14.89	8.85	10.24	13.12	224.97	339.14	165.57	231.32	356.05	260.38	217.27	84.04	514.56	239.52	182.55	255.0	21.01	329.84	52.82	122.64	115.16	400.71	514.56
C19orf69	0.67	0.0	0.96	0.0	1.68	0.0	0.72	0.62	0.69	0.35	2.84	0.0	1.01	0.0	7.17	13.72	11.13	8.71	4.78	9.56	6.46	4.03	36.27	10.24	6.52	14.89	1.07	11.64	7.34	7.11	4.13	13.32	5.45
C9orf9	109.66	156.59	94.67	109.66	75.11	242.88	94.01	255.0	73.03	135.24	126.12	417.77	40.36	218.79	258.57	346.29	150.17	258.57	764.36	473.41	297.17	141.02	486.75	808.0	559.28	693.58	316.37	237.86	748.61	616.37	387.02	279.14	490.14
CASP12	8.85	3.17	0.68	8.85	4.28	3.41	2.73	2.41	3.0	0.99	0.68	3.38	1.36	7.17	49.56	103.69	53.19	29.7	92.05	137.14	28.24	20.86	155.5	42.71	99.43	25.54	5.96	69.03	18.84	67.59	16.27	17.0	126.12
COL11A2	3.03	1.91	2.94	3.03	3.11	1.85	5.19	1.64	3.79	2.32	2.63	1.83	4.06	4.94	31.0	42.71	9.63	13.72	22.92	36.27	5.28	10.0	33.3	6.73	6.84	5.06	5.73	9.93	6.52	4.35	10.71	25.17	12.27
DMD	10.39	55.89	12.45	10.39	24.63	16.75	28.24	6.89	20.56	10.39	21.94	10.31	15.0	9.63	878.17	400.71	76.17	277.2	647.07	620.67	218.79	61.25	450.94	974.5	194.36	262.2	40.07	320.8	251.48	289.02	253.23	497.0	511.0
DOCK4	31.9	96.68	31.45	31.9	126.12	83.45	262.2	34.26	59.55	52.45	73.03	40.93	51.71	78.89	836.53	981.29	423.61	444.72	1208.34	1350.18	521.76	223.41	1540.37	1073.91	551.56	500.46	142.01	1111.82	406.31	432.53	358.54	521.76	1081.39
DOCK6	334.46	460.44	379.04	334.46	426.57	202.66	403.5	221.86	493.56	307.69	232.94	153.34	198.47	223.41	1369.04	1295.13	1088.92	688.78	2119.22	1605.83	493.56	1008.9	1819.35	1081.39	1066.48	748.61	497.0	1143.1	813.63	1167.14	808.0	791.35	1757.34
FMO6P	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.95	0.0	28.24	80.57	6.52	1.36	40.07	31.22	3.99	0.26	27.84	3.32	7.82	5.15	0.09	9.41	8.85	36.01	8.45	3.11	0.09
FRMPD2	7.11	1.6	5.19	7.11	0.59	2.18	8.78	3.29	6.16	1.97	3.44	7.17	3.63	2.2	68.55	25.91	5.59	18.84	76.71	52.45	22.26	19.82	88.88	81.71	78.34	67.59	20.11	35.25	56.28	88.88	34.26	43.32	33.06
GOLGA6L4	15.91	10.47	4.62	15.91	20.56	5.73	28.24	4.1	15.22	8.92	8.06	6.67	10.79	6.16	63.89	118.43	32.59	47.5	241.19	87.03	29.06	151.22	105.89	14.78	21.94	37.85	32.59	130.6	33.54	21.16	20.41	87.03	45.85
GPR20	1.04	6.06	0.0	1.04	1.07	0.75	1.43	0.0	5.73	0.39	0.39	0.0	0.0	0.0	52.45	12.93	23.59	6.84	18.97	18.56	25.54	29.7	78.34	25.91	17.25	33.54	10.55	51.71	35.5	32.13	78.89	23.59	18.84
KCNA5	5.54	16.63	1.5	5.54	1.91	1.31	1.97	2.58	1.93	1.19	0.91	0.0	2.84	1.33	153.34	87.03	16.27	38.12	108.9	19.11	73.03	42.11	67.59	221.86	78.89	65.26	33.06	38.12	157.68	138.1	103.69	30.78	204.07
LHFP	224.97	551.56	171.45	224.97	171.45	400.71	361.04	108.14	483.38	47.84	161.02	70.01	234.57	167.9	3325.99	1977.24	1769.57	1883.54	3325.99	2777.33	1183.45	733.19	3081.75	1369.04	1857.6	1709.26	503.95	2555.58	954.43	1081.39	1467.37	1806.78	3443.31
LMO2	109.66	226.54	76.71	109.66	139.07	204.07	183.82	171.45	198.47	85.22	100.83	221.86	277.2	127.0	1781.89	981.29	1561.89	493.56	1066.48	1167.14	595.34	373.81	2104.58	1304.15	2537.92	1073.91	204.07	1651.0	703.28	808.0	769.69	1183.45	5183.54
LRRC4B	2.66	6.73	2.29	2.66	1.75	5.5	0.79	1.3	8.32	1.97	0.73	0.0	2.07	0.8	285.03	105.15	73.03	20.26	152.28	88.88	59.55	43.32	231.32	36.79	74.58	39.22	35.0	155.5	56.28	61.25	31.9	25.72	220.32
MS4A8	58.3	84.63	0.0	58.3	195.72	121.79	14.45	7.22	0.0	143.01	0.6	2.81	6.57	19.25	1233.75	1225.22	133.36	1044.52	4123.49	3124.78	1088.92	607.87	4210.15	2835.7	3614.55	3443.31	808.0	947.83	3081.75	2351.53	2224.63	1167.14	3540.14
MSLN	26.67	3.72	3.32	26.67	3.2	8.99	22.92	10.88	40.07	0.96	6.52	49.56	35.5	25.17	53.57	98.04	10512.82	54349.29	3491.39	2061.24	23492.92	34876.28	6699.25	1191.69	105.15	55107.99	412.0	14262.1	1794.29	2018.8	17437.64	17804.06	6516.03
MYCT1	48.52	145.02	20.11	48.52	64.8	37.85	92.7	43.63	71.0	35.0	46.18	35.5	49.21	43.63	738.29	616.37	368.65	607.87	934.76	842.36	583.07	155.5	769.69	1572.76	400.71	567.1	90.14	381.68	116.78	234.57	444.72	353.59	866.07
OR5K2	1.53	0.0	0.0	1.53	2.2	0.0	0.99	0.0	0.34	0.0	0.61	0.66	0.0	0.68	6.31	13.52	4.39	5.54	9.85	3.56	2.97	6.62	7.51	3.26	4.39	7.94	3.26	8.32	0.69	0.6	2.61	6.41	4.31
PEAK1	100.83	169.07	65.72	100.83	221.86	85.22	217.27	23.42	112.77	73.54	158.79	38.67	94.01	85.22	629.35	866.07	293.07	525.39	638.15	718.08	698.41	236.21	1127.35	384.34	423.61	718.08	215.77	775.05	356.05	329.84	336.79	848.22	620.67
PGM5	63.45	115.16	4.66	63.45	39.5	20.71	26.67	14.03	61.25	8.13	10.88	17.77	18.16	9.41	1066.48	1417.35	339.14	332.14	2193.99	620.67	665.29	224.97	2664.15	1617.0	872.1	351.14	132.44	2178.83	318.57	529.06	438.59	204.07	1467.37
PLA2G4B	67.59	13.12	56.28	67.59	70.51	21.01	43.32	108.9	82.87	67.12	39.79	15.0	34.51	63.0	85.22	463.65	305.55	189.02	563.18	412.0	120.1	299.25	341.51	127.0	67.12	171.45	199.85	165.57	76.71	223.41	234.57	351.14	115.97
RP11-793H13.10	13.83	23.42	8.78	13.83	21.47	14.35	30.34	25.17	17.64	15.22	4.98	6.06	8.58	26.86	102.97	161.02	84.04	80.57	112.77	87.03	72.52	150.17	80.01	41.81	70.01	73.54	75.64	32.36	38.4	27.44	80.01	112.77	19.25
SCGB3A2	0.0	99.43	0.0	0.0	2.94	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	554180.87	496005.67	2748093.15	1611529.43	863596.77	569761.05	945028.61	1545882.32	1212874.47	663619.99	834179.46	1055868.42	606436.73	506427.83	1345768.59	1535204.12	951601.81	619179.28	1567462.05
SH3BGRL2	102.97	101.54	35.25	102.97	108.14	94.67	241.19	55.49	82.87	19.11	62.56	37.59	13.72	26.86	281.09	1233.75	151.22	1233.75	642.59	647.07	1001.93	244.57	595.34	651.58	563.18	878.17	52.82	275.28	111.21	228.13	426.57	819.3	334.46
SLC5A4	3.08	5.73	0.33	3.08	3.17	1.33	3.92	1.73	2.25	2.97	3.29	0.68	0.66	1.36	40.93	21.94	46.5	6.62	56.28	25.35	13.42	9.06	84.63	23.08	17.0	26.47	2.43	7.11	7.51	30.12	20.41	13.32	10.16
SLC6A16	21.16	5.45	3.29	21.16	24.28	3.92	8.25	3.76	12.64	0.45	6.36	0.0	9.93	2.61	91.41	67.59	47.5	92.05	204.07	101.54	25.91	34.75	137.14	87.03	98.04	77.25	24.99	123.5	48.18	53.95	69.03	54.33	117.6
SRPX	17.51	299.25	63.45	17.51	127.0	273.37	218.79	23.42	228.13	1.48	117.6	19.82	75.64	75.64	511.0	3467.27	289.02	909.17	759.08	441.64	2209.26	412.0	476.71	1819.35	236.21	819.3	381.68	457.25	299.25	307.69	954.43	1015.93	1250.98
SRSF12	2.16	4.62	0.0	2.16	2.53	0.69	3.23	0.89	3.79	0.64	0.64	1.0	0.36	1.03	8.99	9.27	8.25	2.25	15.56	4.31	4.13	2.18	10.16	14.45	6.01	0.55	10.47	3.38	27.44	10.0	1.68	4.66	17.64
SSTR1	1.46	6.94	0.28	1.46	0.91	0.62	1.23	0.82	1.22	3.38	0.85	1.23	0.91	3.14	813.63	486.75	161.02	88.88	1457.23	1151.06	88.26	56.28	1143.1	195.72	164.42	289.02	4.43	808.0	40.07	96.68	68.07	51.71	307.69
TIE1	118.43	417.77	61.68	118.43	126.12	161.02	244.57	106.63	191.67	84.63	115.97	103.69	163.28	100.13	2520.38	1572.76	1498.22	693.58	2935.74	1721.16	1233.75	483.38	3639.7	708.18	1487.87	1167.14	323.03	1605.83	507.46	591.22	954.43	551.56	1844.76
TMEM14E	0.35	0.0	0.0	0.35	0.0	0.0	0.69	0.0	0.68	0.33	0.0	0.0	0.0	0.0	5.5	2.1	1.19	2.27	13.32	9.13	1.36	0.05	7.17	3.69	0.22	0.84	2.36	2.63	0.77	4.46	0.58	0.0	0.96
TMTC1	9.2	46.5	9.56	9.2	108.9	15.45	33.06	14.89	55.89	212.78	18.43	13.72	28.45	9.93	57.08	2178.83	47.17	273.37	43.02	117.6	529.06	17.64	457.25	995.0	29.7	229.72	24.46	78.34	23.93	51.35	119.26	305.55	525.39
UST	2.89	55.89	112.77	2.89	98.73	37.32	65.72	100.83	31.22	2.51	35.0	5.28	15.0	10.31	129.69	629.35	112.77	295.11	218.79	463.65	356.05	157.68	170.25	115.97	75.64	205.5	68.55	373.81	48.87	180.02	212.78	163.28	325.29
VIP	2.97	0.0	0.0	2.97	0.74	0.0	2.46	0.97	3.72	1.0	1.33	1.77	0.74	0.0	5.36	26.28	13.93	24.63	45.21	32.82	17.38	22.1	11.47	18.29	8.51	13.22	14.56	13.42	4.62	3.82	33.06	55.89	5.45
WSB1	591.22	713.11	392.44	591.22	476.71	329.84	785.88	343.89	607.87	878.17	723.08	214.27	660.68	723.08	3212.66	301.33	7803.01	3614.55	4575.41	1950.0	2224.63	4937.99	7537.18	5112.16	3540.14	2240.11	3639.7	4512.4	4038.61	6745.86	3124.78	3982.99	2555.58
WWTR1	450.94	563.18	165.57	450.94	409.15	379.04	624.99	159.9	275.28	152.28	297.17	162.14	384.34	177.53	1487.87	1832.01	872.1	1757.34	1674.06	1015.93	1167.14	769.69	1447.15	2351.53	1135.2	1111.82	493.56	825.0	703.28	1199.98	1216.75	819.3	2133.97
Z98049.1	0.34	0.72	0.0	0.34	1.31	0.0	0.36	0.32	0.0	0.0	0.0	0.0	0.0	0.0	1.07	2.71	0.51	1.39	6.52	1.0	1.62	1.87	0.33	3.59	2.78	6.41	2.66	2.12	0.6	1.39	4.58	2.78	3.14
