	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
AC010547.9	1.93	6.31	2.73	3.47	4.74	4.1	6.84	5.02	4.35	9.34	4.78	6.73	8.92	7.88	0.0	7.17	5.63	3.69	3.38	5.96	5.82	5.73	4.43	3.47	5.87	3.35	11.64	0.0	3.35	3.59	1.3	5.02	2.41	11.3	0.0	1.75	7.34	5.63	4.66	7.22	10.0	0.0	0.16	11.04	27.44	12.27	31.9	9.93	11.91	17.25	21.01	17.13	8.58	18.7	9.63	24.99	13.03	31.0	16.15	27.84	14.67	3.59	26.28	18.29	17.13	21.78	7.34	21.63	45.53	8.13	26.1	33.3	15.34	30.12	18.7	16.63	3.86	23.08	19.53	9.56	16.63	46.18	10.88	29.06	31.45	19.11	29.7	47.84	10.55	10.55	17.0	9.41	19.39	27.05	33.06	14.24	14.78	6.01	45.21	31.67	11.38	34.02	9.48	15.22	16.51	43.94	33.06	25.17	15.8	26.28	29.91	22.26	17.25	4.17	55.89	18.29	17.9	58.3	7.57	19.25	20.26	22.1	4.82	13.62	18.03	9.48	13.72	32.13	9.2	26.28	24.99	13.62	23.59	2.53	19.25	8.38	10.08	9.41	11.13	10.0	11.73
AC090616.2	1.91	7.17	6.57	4.66	1.68	5.63	4.03	4.58	7.63	14.24	4.9	5.87	3.17	3.76	0.85	2.46	8.58	10.96	29.48	3.53	3.89	0.0	6.41	4.1	4.98	3.92	3.08	1.85	1.06	2.51	3.79	0.78	1.79	3.2	2.84	1.89	0.83	1.77	6.36	23.08	7.51	0.0	0.0	7.88	323.03	819.3	466.88	748.61	191.67	281.09	400.71	353.59	323.03	162.14	140.04	351.14	567.1	435.55	698.41	808.0	325.29	105.89	208.38	444.72	346.29	444.72	387.02	444.72	693.58	366.09	351.14	463.65	312.0	567.1	518.15	591.22	151.22	253.23	314.17	473.41	299.25	665.29	748.61	371.22	178.77	295.11	384.34	525.39	204.07	264.03	303.44	64.8	209.84	759.08	303.44	293.07	551.56	264.03	273.37	708.18	85.22	679.29	329.84	301.33	412.0	470.14	99.43	785.88	555.41	450.94	176.29	260.38	395.18	995.0	314.17	575.03	193.01	543.96	237.86	633.73	525.39	167.9	217.27	217.27	547.75	361.04	423.61	414.87	414.87	218.79	429.54	339.14	229.72	148.09	403.5	1.6	7.88	4.06	5.02	4.5	9.13
ACADL	0.0	3.82	8.71	1.93	5.59	4.46	5.63	12.45	31.45	30.56	1.97	12.74	73.54	34.26	52.82	16.63	73.03	0.0	215.77	1.41	8.71	0.0	29.48	0.0	0.0	13.62	7.28	3.2	0.0	0.0	0.69	7.46	1.89	0.0	0.0	15.91	10.47	5.77	2.2	12.36	12.27	0.0	0.1	7.69	1477.58	1909.85	1225.22	1832.01	567.1	764.36	1685.71	2555.58	878.17	1883.54	299.25	1832.01	1023.0	1250.98	1963.57	2816.11	947.83	86.43	1135.2	2075.59	1551.09	2240.11	1896.65	620.67	3168.41	759.08	2319.15	785.88	1883.54	2555.58	2664.15	2209.26	241.19	703.28	351.14	1781.89	381.68	2400.97	1388.16	703.28	412.0	363.56	1508.65	1388.16	186.4	848.22	902.89	111.21	708.18	3589.58	2384.37	198.47	1757.34	265.87	2627.46	4181.07	258.57	2502.97	454.09	1044.52	1617.0	1378.57	299.25	1572.76	1073.91	2255.7	995.0	1457.23	1183.45	1936.53	921.88	1950.0	438.59	1617.0	921.88	2555.58	2193.99	1662.49	669.92	341.51	703.28	1883.54	896.64	3103.19	1498.22	435.55	1519.15	1208.34	866.07	209.84	2271.4	12.36	65.26	10.16	15.0	0.0	66.18
ADH1B	1.66	1.0	1.57	4.5	4.54	0.68	0.36	0.0	3.2	1.2	0.0	1.08	0.0	28.24	0.0	29.06	7.17	0.0	0.72	72.52	25.91	0.0	37.59	0.0	0.61	2.46	25.17	12.09	0.0	2.61	66.18	47.5	1.79	1.43	0.0	7.94	38.12	22.1	1697.45	414.87	6.41	0.0	0.69	83.45	12160.22	33688.23	14765.09	17197.56	1909.85	7695.57	6607.01	23169.48	14163.58	10585.95	1037.29	22072.07	19082.0	6294.04	18304.63	3325.99	6792.79	0.18	995.0	14262.1	23009.42	6294.04	18689.27	6471.02	13033.07	7695.57	5751.61	6164.49	6207.38	12502.12	4937.99	18431.96	15715.58	1487.87	3716.2	29327.18	14561.8	4095.0	28132.47	25530.66	4388.98	18052.61	25179.16	25005.23	14867.79	19482.97	4543.8	525.39	698.41	4095.0	7081.29	7180.15	8421.31	981.29	118127.7	10659.59	460.44	11909.94	4639.29	21172.91	18178.19	43840.21	624.99	16496.96	22535.88	19214.73	19892.37	5791.62	6840.04	13776.25	8305.36	8778.97	16045.82	9945.68	9540.5	8840.04	5403.7	14663.09	14971.21	9215.48	13681.08	9474.59	10084.54	11112.3	2335.28	35363.15	2935.74	3901.01	43236.64	13968.57	3257.52	35.5	28.86	279.14	77.79	3.14	312.0
ADPRH	129.69	63.0	58.71	28.04	22.1	54.72	100.13	29.48	48.52	65.26	9.7	64.8	53.19	56.68	48.52	68.07	52.08	60.39	20.71	35.25	190.34	41.52	151.22	33.54	27.25	87.03	154.42	73.54	27.44	27.25	119.26	48.52	162.14	95.34	14.03	74.06	194.36	142.01	112.77	116.78	56.28	0.0	0.29	90.14	780.44	1697.45	551.56	660.68	249.73	728.11	974.5	748.61	660.68	981.29	289.02	836.53	603.67	988.12	954.43	791.35	698.41	299.25	444.72	796.86	665.29	981.29	785.88	1104.13	878.17	647.07	1023.0	497.0	1127.35	629.35	624.99	603.67	638.15	665.29	429.54	511.0	476.71	785.88	555.41	397.93	620.67	819.3	307.69	205.5	226.54	318.57	325.29	316.37	438.59	915.51	708.18	555.41	1051.79	124.37	246.28	813.63	208.38	896.64	314.17	651.58	791.35	420.68	199.85	802.41	507.46	567.1	490.14	603.67	961.07	563.18	819.3	490.14	915.51	1127.35	262.2	884.29	514.56	878.17	1286.18	343.89	665.29	620.67	819.3	769.69	607.87	759.08	1457.23	444.72	1030.12	281.09	348.71	111.99	77.79	108.14	57.08	47.5	127.89
AGER	36.79	55.89	187.71	118.43	38.4	71.0	35.76	111.21	104.42	155.5	164.42	88.88	64.34	102.97	95.34	106.63	130.6	143.01	120.1	49.56	85.22	40.64	20.86	73.03	24.46	43.32	63.45	12.55	46.5	32.36	99.43	14.67	120.94	70.01	9.48	77.79	48.18	84.04	66.65	878.17	94.67	0.0	0.28	529.06	85283.74	148488.36	90773.53	110983.6	56265.94	43840.21	133825.1	502929.67	93325.55	114897.47	110983.6	104271.56	145432.49	182810.84	6294.04	198667.0	181548.07	36864.92	68318.04	153724.82	171754.88	66912.05	124000.67	34158.52	181548.07	21919.61	141455.6	23492.92	187950.38	79572.48	12676.65	77396.54	34635.37	123144.13	64186.29	60304.42	37379.55	68318.04	146444.06	85283.74	47642.77	41763.8	135693.24	56657.31	286861.53	125731.67	209994.66	155870.75	14065.74	59063.35	64186.29	279017.26	249727.34	29943.43	41763.8	122293.5	290865.98	54349.29	47974.16	60304.42	41763.8	27363.16	79572.48	49322.93	118127.7	68318.04	23986.58	108699.57	253213.41	41763.8	85876.94	363097.14	236256.4	28723.62	16611.71	128373.58	12329.98	90773.53	143430.26	98646.85	29943.43	273275.14	40621.74	151608.43	55877.28	12244.81	10225.32	97965.44	83528.61	191899.64	48307.85	122.64	70.51	409.15	190.34	30.78	486.75
AGTR2	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	3.86	0.0	0.0	0.0	1.11	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.16	13.93	2.39	0.0	0.0	5.68	753.83	7081.29	444.72	2502.97	934.76	775.05	1295.13	4575.41	229.72	1437.15	1561.89	1369.04	57.49	941.27	497.0	81.14	473.41	64.34	1183.45	120.1	314.17	2915.45	1819.35	4802.93	802.41	181.28	2178.83	2434.5	309.83	934.76	1662.49	529.06	3190.46	511.0	2555.58	429.54	244.57	974.5	967.76	866.07	2627.46	262.2	1268.46	218.79	397.93	441.64	191.67	591.22	1781.89	536.45	2303.12	114.36	1487.87	77.25	660.68	669.92	848.22	343.89	651.58	134.3	35.0	2287.2	1304.15	4769.75	412.0	624.99	1437.15	289.02	1561.89	361.04	3614.55	2319.15	796.86	1594.73	473.41	133.36	2997.45	339.14	1233.75	1023.0	312.0	246.28	329.84	5219.6	2075.59	32.82	1977.24	3124.78	2701.35	363.56	551.56	3.2	1.71	10.96	3.79	0.0	72.52
AKTIP	339.14	603.67	417.77	397.93	314.17	412.0	318.57	376.41	403.5	371.22	307.69	587.13	493.56	511.0	149.12	567.1	466.88	486.75	438.59	400.71	363.56	267.73	395.18	400.71	348.71	309.83	507.46	239.52	195.72	162.14	265.87	260.38	305.55	665.29	295.11	429.54	283.05	339.14	769.69	463.65	708.18	0.0	0.59	332.14	753.83	1037.29	785.88	1073.91	928.3	708.18	2032.85	1167.14	1001.93	928.3	651.58	775.05	813.63	866.07	708.18	988.12	1167.14	651.58	785.88	1359.57	967.76	1286.18	813.63	819.3	967.76	591.22	1388.16	651.58	1073.91	909.17	878.17	941.27	1135.2	884.29	521.76	1359.57	921.88	934.76	796.86	896.64	808.0	1073.91	941.27	684.02	656.11	825.0	743.43	928.3	1066.48	872.1	567.1	825.0	1225.22	518.15	1051.79	836.53	387.02	1378.57	718.08	1104.13	1233.75	723.08	447.82	915.51	1250.98	954.43	1023.0	967.76	693.58	1199.98	1044.52	890.44	753.83	738.29	813.63	890.44	1088.92	1199.98	1304.15	669.92	555.41	1111.82	674.59	1159.07	1073.91	567.1	669.92	842.36	1151.06	693.58	848.22	529.06	500.46	400.71	536.45	603.67	417.77
AL078585.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	8.65	0.0	8.13	4.24	3.38	3.79	3.47	17.38	9.63	5.23	0.0	3.32	8.38	4.03	10.47	20.56	0.0	4.98	13.03	17.64	9.7	6.67	7.34	13.93	6.67	11.47	6.21	3.35	10.08	9.48	8.0	0.0	6.73	3.53	10.47	4.86	6.46	4.78	3.44	0.0	6.36	13.72	3.82	3.89	5.36	0.0	5.02	0.0	21.63	8.13	4.74	16.63	10.63	8.51	8.32	0.0	12.45	5.32	3.26	2.86	8.38	7.63	6.89	10.88	14.14	14.14	3.89	8.19	2.89	9.2	13.52	8.25	7.4	6.84	14.24	6.94	11.73	14.45	3.96	12.18	18.7	0.0	17.51	3.32	3.41	0.0	9.06	0.0	3.82	0.0	0.0	0.0	0.16	0.0	0.0	0.0
ARRB1	141.02	143.01	343.89	147.06	17.25	102.25	44.57	336.79	373.81	251.48	41.22	36.79	182.55	291.04	108.9	111.21	86.43	57.89	220.32	56.28	497.0	105.15	316.37	49.56	38.4	131.51	117.6	171.45	35.5	83.45	231.32	45.21	353.59	457.25	67.59	162.14	303.44	217.27	915.51	420.68	74.06	0.0	0.52	363.56	2895.31	8191.0	3018.3	2163.77	1388.16	2645.74	3280.18	13681.08	4268.94	5006.93	281.09	2178.83	1529.73	8134.41	2664.15	4671.57	7589.61	819.3	1551.09	2351.53	5183.54	4152.18	6561.36	1519.15	4358.66	2018.8	5751.61	2485.67	6079.61	2319.15	3168.41	4181.07	5711.87	1594.73	1447.15	2303.12	2047.0	4607.24	5292.48	2255.7	1977.24	3325.99	6207.38	1639.59	842.36	1745.2	3124.78	460.44	2502.97	5517.27	2384.37	3491.39	7331.05	403.5	3325.99	1733.13	988.12	8134.41	2400.97	3303.0	3742.05	2758.13	314.17	4095.0	3874.05	2645.74	1143.1	4181.07	5292.48	1477.58	3955.48	3443.31	3372.43	2915.45	414.87	12415.75	571.05	4066.71	5594.3	4736.79	3060.45	7230.1	7331.05	4937.99	2591.27	1015.93	412.0	4512.4	4388.98	2701.35	1250.98	221.86	119.26	145.02	101.54	171.45	116.78
