	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.XBEW.1526.SM.4AT4K	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11O72.2026.SM.5N9G8	GTEX.11GSP.1726.SM.5A5LI	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	GTEX.139TU.1326.SM.5LZXW	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACAP2	884.29	379.04	559.28	466.88	647.07	327.56	571.05	540.19	616.37	397.93	348.71	551.56	189.02	189.02	232.94	265.87	195.72	264.03	283.05	275.28	281.09	307.69	215.77	153.34	921.88	1183.45	457.25	624.99	813.63	1015.93
ACTR2	2720.15	1819.35	1870.53	1498.22	2335.28	1066.48	2004.85	2319.15	1757.34	1674.06	1369.04	1447.15	830.75	738.29	860.08	830.75	651.58	665.29	961.07	915.51	830.75	1088.92	684.02	733.19	5255.91	4181.07	3124.78	3303.0	2835.7	3212.66
ASPM	218.79	78.34	1001.93	13.93	253.23	10.63	130.6	327.56	11.55	18.56	96.68	88.88	3.0	4.31	1.93	1.03	2.05	1.1	4.35	5.15	2.36	7.75	1.06	1.04	198.47	242.88	176.29	190.34	92.7	208.38
AURKA	327.56	90.14	684.02	136.19	450.94	223.41	140.04	316.37	38.67	212.78	108.14	82.87	14.45	33.78	12.27	16.15	53.19	27.05	31.67	39.5	33.78	50.27	37.05	14.14	563.18	366.09	343.89	314.17	182.55	381.68
BRAP	241.19	361.04	277.2	273.37	293.07	241.19	334.46	277.2	242.88	273.37	239.52	229.72	173.85	187.71	158.79	147.06	201.25	182.55	234.57	234.57	191.67	161.02	186.4	191.67	323.03	301.33	293.07	295.11	323.03	325.29
BRCA2	77.79	19.53	152.28	14.67	71.5	13.32	52.08	52.08	18.84	35.25	32.36	13.83	10.16	5.45	8.19	3.03	6.52	1.11	5.5	12.93	11.91	24.46	4.62	1.57	104.42	109.66	33.54	21.32	100.13	36.79
BROX	743.43	567.1	480.04	511.0	928.3	334.46	612.11	551.56	620.67	525.39	384.34	447.82	293.07	177.53	285.03	214.27	215.77	249.73	269.6	361.04	239.52	361.04	258.57	211.31	842.36	633.73	620.67	607.87	647.07	967.76
C21orf91	217.27	87.65	332.14	140.04	201.25	135.24	211.31	226.54	205.5	124.37	173.85	157.68	77.79	58.71	84.04	81.71	90.14	55.1	60.82	128.79	76.71	97.36	60.82	96.01	612.11	215.77	202.66	205.5	135.24	563.18
CASP3	928.3	490.14	642.59	336.79	457.25	217.27	555.41	703.28	525.39	708.18	529.06	325.29	226.54	173.85	246.28	264.03	265.87	178.77	155.5	242.88	194.36	271.48	204.07	199.85	1286.18	616.37	738.29	1044.52	836.53	934.76
CDCA2	132.44	49.21	251.48	11.3	93.35	49.56	83.45	108.9	11.04	34.75	70.01	40.64	2.78	3.17	1.77	1.83	10.0	2.48	1.39	2.71	4.21	18.03	0.95	0.0	185.11	146.03	146.03	140.04	60.82	221.86
