	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.UZ.A9PR.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13FH7.0126.SM.5KLZ1	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV
ABHD11	2047.0	9215.48	1088.92	5517.27	1498.22	3349.13	2104.58	10296.45	4671.57	1304.15	3690.52	4010.71	3467.27	3589.58	5517.27	6840.04	1277.29	466.88	134.3	255.0	122.64	130.6	157.68	169.07	392.44	260.38	384.34	105.15	136.19	2303.12	1757.34	1617.0	1119.56	1199.98
ABR	348.71	1806.78	808.0	2720.15	1127.35	1135.2	1551.09	1991.0	2075.59	669.92	2319.15	3039.3	1909.85	2520.38	1991.0	1909.85	1350.18	122.64	348.71	83.45	201.25	205.5	226.54	214.27	125.24	320.8	285.03	51.71	102.25	1151.06	1369.04	595.34	392.44	406.31
AL121761.2	4.17	20.41	13.62	57.49	19.68	45.53	16.15	31.0	26.86	5.5	33.78	53.57	24.28	27.64	22.75	17.13	27.64	10.0	5.54	0.0	10.71	7.17	0.0	3.26	17.9	9.2	10.79	3.69	0.0	20.26	14.67	35.0	20.26	20.86
ANKRD45	23.76	154.42	11.13	186.4	33.78	120.94	62.56	70.51	171.45	7.94	166.73	209.84	126.12	149.12	136.19	60.39	127.89	2.46	0.0	0.0	5.23	1.69	0.0	0.74	0.0	1.46	0.0	4.06	2.16	8.71	6.57	8.19	7.63	22.43
ANKRD52	143.01	199.85	218.79	567.1	236.21	450.94	301.33	332.14	353.59	202.66	409.15	518.15	460.44	575.03	381.68	395.18	368.65	69.03	84.04	37.32	55.49	69.03	108.9	52.82	75.11	100.13	48.87	12.64	92.7	171.45	234.57	253.23	299.25	271.48
ARHGAP27	205.5	713.11	289.02	1066.48	669.92	995.0	743.43	1242.34	1844.76	260.38	1159.07	848.22	1044.52	967.76	1073.91	1183.45	503.95	190.34	244.57	28.65	102.25	79.45	137.14	115.16	173.85	256.78	71.5	21.94	43.94	591.22	441.64	373.81	320.8	381.68
ARHGEF16	236.21	1151.06	291.04	753.83	466.88	656.11	514.56	753.83	1081.39	182.55	507.46	450.94	567.1	599.49	743.43	759.08	273.37	65.72	101.54	18.16	31.9	15.11	10.24	53.57	26.86	82.29	100.83	19.25	53.95	414.87	463.65	208.38	295.11	363.56
ARHGEF18	241.19	314.17	361.04	476.71	392.44	529.06	429.54	389.72	525.39	368.65	470.14	583.07	387.02	642.59	441.64	426.57	507.46	221.86	334.46	197.09	346.29	264.03	195.72	309.83	205.5	454.09	125.24	78.34	305.55	429.54	441.64	379.04	366.09	373.81
ARMC7	239.52	361.04	371.22	1073.91	389.72	665.29	493.56	1030.12	1008.9	346.29	961.07	1127.35	647.07	947.83	743.43	808.0	551.56	329.84	209.84	150.17	201.25	169.07	214.27	237.86	128.79	249.73	253.23	76.17	171.45	267.73	256.78	251.48	536.45	307.69
ATG4D	551.56	669.92	612.11	995.0	271.48	1030.12	1143.1	848.22	947.83	555.41	896.64	753.83	1225.22	796.86	1081.39	974.5	665.29	323.03	128.79	253.23	198.47	191.67	239.52	153.34	244.57	256.78	307.69	320.8	199.85	483.38	493.56	638.15	483.38	629.35
