	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.X3Y1.0626.SM.3P5YS	GTEX.145ME.1626.SM.5RQI3	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.8590.01A.11R.2402.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.A4J2.01A.21R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13
ABCC4	25.17	22.59	20.26	71.5	26.86	35.76	66.18	26.1	29.91	36.79	26.67	0.0	0.43	87.65	183.82	39.22	39.5	39.79	41.81	221.86	246.28	185.11	267.73	204.07	124.37	187.71
AC079602.1	6.41	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.68	0.56	0.0	0.0	0.0	48.52	5.11	1.33	0.0	0.0	0.0	100.13	244.57	277.2	1498.22	241.19	116.78	78.34
ACAD8	277.2	358.54	201.25	384.34	323.03	361.04	348.71	320.8	514.56	480.04	454.09	0.0	1.07	723.08	688.78	162.14	201.25	234.57	223.41	529.06	470.14	414.87	420.68	409.15	435.55	387.02
AMICA1	135.24	878.17	40.36	145.02	35.76	23.76	258.57	134.3	143.01	158.79	177.53	0.0	0.4	5403.7	1096.5	226.54	137.14	84.63	93.35	412.0	525.39	521.76	713.11	329.84	395.18	669.92
APBB1IP	52.08	111.99	39.22	131.51	27.44	50.27	88.26	59.97	122.64	115.16	119.26	0.0	0.55	1044.52	301.33	31.45	54.33	32.13	32.82	363.56	575.03	633.73	1191.69	444.72	295.11	571.05
AVPR1A	4.94	15.22	0.0	11.47	0.0	2.84	30.34	2.1	8.45	3.32	1.27	0.0	0.0	19.97	43.63	28.86	0.53	0.51	2.63	50.27	77.79	124.37	77.25	82.87	64.8	165.57
AXIN2	27.25	154.42	27.44	167.9	46.18	77.25	90.14	54.72	41.81	181.28	105.89	0.0	0.6	848.22	209.84	37.85	19.39	22.43	28.86	248.0	529.06	371.22	253.23	206.94	579.04	301.33
C12orf42	0.0	15.34	0.0	0.93	4.98	2.25	3.17	0.78	0.0	2.41	2.53	0.0	0.09	23.25	6.31	0.0	2.2	0.0	0.0	8.13	28.86	37.59	77.25	19.97	9.7	34.51
CACNA1E	2.25	0.0	0.37	0.69	0.23	5.36	0.24	0.27	0.43	0.61	0.0	0.0	0.29	1.03	5.11	1.93	0.0	0.78	0.83	11.55	19.68	17.0	3.56	8.85	7.57	10.31
CBLN3	62.12	30.78	37.59	72.01	39.79	55.89	27.84	20.86	45.53	72.01	36.53	0.0	0.22	139.07	111.21	47.5	20.41	15.0	16.63	71.5	115.16	169.07	158.79	140.04	96.01	232.94
CCR4	2.92	10.39	0.0	7.51	0.0	0.46	8.32	2.36	3.32	10.08	11.73	16.88	205.5	679.29	145.02	4.86	14.03	7.06	7.69	88.26	127.0	159.9	92.7	94.01	43.32	170.25
