	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.DF.A2KZ.01A.11R.A213.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
AGL	53.19	48.87	63.45	381.68	162.14	201.25	301.33	293.07	147.06	137.14	260.38	169.07	187.71	189.02	115.97	253.23	185.11	111.99	212.78	142.01	1388.16	150.17	177.53	69.52	361.04	112.77	211.31	260.38	251.48	325.29	293.07	153.34	297.17	483.38	575.03	961.07	866.07	384.34	332.14	273.37	71.0	395.18	118.43	909.17	159.9	567.1	85.82	73.54	65.26	88.26	73.54	81.14	72.01	56.68
AKAP11	72.52	53.95	83.45	536.45	153.34	151.22	226.54	181.28	277.2	269.6	242.88	169.07	152.28	164.42	255.0	320.8	246.28	108.14	185.11	115.97	348.71	92.7	307.69	99.43	563.18	107.38	189.02	381.68	351.14	303.44	289.02	144.01	426.57	703.28	417.77	480.04	698.41	387.02	395.18	356.05	220.32	511.0	120.94	403.5	150.17	651.58	114.36	57.08	36.53	53.19	68.07	45.21	37.59	56.68
ALS2	107.38	48.52	72.52	336.79	166.73	128.79	189.02	191.67	211.31	175.07	244.57	165.57	132.44	189.02	191.67	264.03	221.86	96.01	167.9	133.36	262.2	111.99	150.17	136.19	271.48	143.01	204.07	224.97	285.03	229.72	231.32	139.07	239.52	368.65	194.36	341.51	320.8	271.48	248.0	229.72	148.09	253.23	74.58	409.15	145.02	283.05	84.63	116.78	131.51	92.7	107.38	47.5	114.36	118.43
AP3M1	185.11	279.14	339.14	934.76	409.15	688.78	915.51	718.08	961.07	684.02	748.61	547.75	571.05	733.19	842.36	599.49	432.53	285.03	660.68	525.39	708.18	387.02	656.11	599.49	872.1	493.56	497.0	819.3	728.11	753.83	738.29	490.14	780.44	909.17	728.11	928.3	1225.22	830.75	974.5	890.44	497.0	890.44	511.0	1127.35	579.04	878.17	339.14	269.6	193.01	145.02	228.13	157.68	229.72	336.79
APH1B	444.72	738.29	297.17	620.67	215.77	403.5	256.78	214.27	595.34	318.57	457.25	356.05	318.57	339.14	307.69	497.0	281.09	81.14	417.77	387.02	476.71	220.32	376.41	490.14	503.95	267.73	444.72	518.15	371.22	473.41	532.74	420.68	525.39	571.05	941.27	540.19	693.58	366.09	764.36	460.44	194.36	579.04	124.37	954.43	409.15	457.25	129.69	187.71	191.67	341.51	211.31	185.11	151.22	138.1
ARFGEF2	71.0	74.06	72.01	669.92	392.44	480.04	567.1	320.8	575.03	356.05	860.08	346.29	281.09	305.55	674.59	376.41	376.41	389.72	381.68	189.02	500.46	166.73	432.53	283.05	660.68	232.94	293.07	447.82	571.05	555.41	409.15	246.28	656.11	813.63	1001.93	684.02	759.08	1233.75	500.46	599.49	339.14	785.88	92.05	607.87	291.04	848.22	132.44	81.14	62.56	178.77	91.41	134.3	115.16	92.05
ARID4A	68.07	46.5	48.52	400.71	148.09	96.01	151.22	183.82	248.0	193.01	248.0	172.65	139.07	133.36	167.9	223.41	114.36	100.13	143.01	110.43	249.73	65.26	177.53	107.38	363.56	98.73	147.06	244.57	301.33	291.04	231.32	134.3	336.79	507.46	470.14	476.71	511.0	435.55	414.87	194.36	108.9	318.57	78.89	575.03	130.6	351.14	77.79	49.21	33.3	70.51	46.5	26.86	30.12	60.82
ATG2B	71.0	36.79	39.79	381.68	145.02	135.24	144.01	128.79	239.52	226.54	187.71	105.15	95.34	144.01	199.85	199.85	92.05	57.08	163.28	87.65	251.48	57.49	158.79	73.54	363.56	86.43	126.12	295.11	256.78	267.73	231.32	141.02	316.37	493.56	417.77	256.78	423.61	400.71	325.29	275.28	181.28	271.48	36.01	242.88	85.22	295.11	41.52	76.71	31.67	42.71	44.57	37.59	32.36	70.01
ATRN	194.36	277.2	204.07	830.75	332.14	241.19	511.0	414.87	612.11	384.34	540.19	334.46	289.02	341.51	595.34	620.67	423.61	414.87	490.14	400.71	665.29	361.04	647.07	283.05	723.08	366.09	518.15	647.07	647.07	713.11	595.34	403.5	738.29	503.95	486.75	1167.14	791.35	684.02	1023.0	490.14	412.0	819.3	206.94	802.41	713.11	713.11	22.43	97.36	195.72	101.54	185.11	185.11	156.59	175.07
BIRC6	275.28	258.57	273.37	954.43	493.56	616.37	728.11	638.15	842.36	647.07	954.43	551.56	435.55	599.49	551.56	780.44	624.99	579.04	647.07	547.75	819.3	373.81	642.59	432.53	995.0	480.04	571.05	769.69	813.63	733.19	728.11	476.71	866.07	961.07	808.0	941.27	915.51	974.5	718.08	679.29	392.44	1081.39	346.29	775.05	389.72	915.51	323.03	336.79	279.14	251.48	293.07	343.89	223.41	289.02
