	TCGA.38.4625.01A.01R.1206.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.145LS.1226.SM.5Q5D9	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ABHD14A	0.0	229.72	417.77	629.35	579.04	2240.11	713.11	323.03	1277.29	1066.48	397.93	743.43	409.15	1250.98	723.08	525.39	470.14	1119.56	543.96	1594.73	1378.57	791.35	802.41	988.12	1073.91	1583.71	723.08	591.22	195.72	1844.76	1208.34	595.34	1167.14	1008.9	483.38	693.58	660.68	1151.06	921.88	1015.93	679.29	785.88	1519.15	441.64	1674.06	1277.29	872.1	1304.15	1037.29	571.05	1127.35	591.22	555.41	890.44	941.27	764.36	525.39	409.15	1159.07	551.56	579.04	808.0	514.56	438.59	1359.57	723.08	624.99	1044.52	525.39	1697.45	995.0	587.13	624.99	1427.22	995.0	591.22	1378.57	1233.75	1001.93	819.3	753.83	909.17	830.75	1135.2	718.08	514.56	830.75	1397.83
ACAA1	0.0	1183.45	808.0	2816.11	2875.3	3955.48	3639.7	2319.15	3325.99	3820.7	1628.26	3955.48	2193.99	3589.58	3491.39	2956.17	1594.73	3443.31	1896.65	3874.05	4575.41	4481.23	4152.18	3794.3	4152.18	3928.15	3515.68	2682.69	915.51	3901.01	3515.68	3589.58	3768.09	3564.78	1832.01	2287.2	3018.3	3060.45	2417.67	4388.98	2777.33	4802.93	3928.15	2075.59	4543.8	4066.71	3018.3	3060.45	3874.05	3168.41	3190.46	2855.44	2004.85	3491.39	3443.31	2240.11	2367.9	2163.77	3820.7	2956.17	3146.52	2627.46	1477.58	2417.67	3280.18	3395.89	2335.28	2645.74	2485.67	4543.8	3039.3	3982.99	2976.74	3212.66	4123.49	2609.3	3124.78	3794.3	4512.4	3515.68	3060.45	3491.39	4736.79	4095.0	3614.55	2133.97	4543.8	3665.02
AL035252.1	0.0	190.34	327.56	796.86	1551.09	3614.55	1059.11	201.25	1044.52	1662.49	412.0	1769.57	703.28	2739.08	703.28	759.08	866.07	2367.9	406.31	3742.05	2875.3	1407.55	3564.78	1950.0	1794.29	3901.01	1508.65	713.11	896.64	2451.44	928.3	830.75	2502.97	3103.19	555.41	1088.92	1350.18	567.1	3325.99	2303.12	1059.11	633.73	3190.46	271.48	1617.0	3124.78	1015.93	921.88	2573.36	587.13	2148.82	1268.46	329.84	2047.0	2032.85	1467.37	1159.07	1023.0	4010.71	314.17	346.29	1605.83	961.07	988.12	4419.52	1457.23	490.14	1096.5	1551.09	5076.84	387.02	1709.26	1096.5	2537.92	2573.36	1617.0	5006.93	6337.83	1175.27	4512.4	1883.54	738.29	2163.77	2502.97	1001.93	490.14	2367.9	2319.15
ANAPC15	0.0	525.39	346.29	1359.57	1313.23	2061.24	1870.53	961.07	1857.6	1806.78	967.76	1806.78	1135.2	1991.0	1697.45	1437.15	902.89	2271.4	1199.98	1781.89	2209.26	1896.65	1639.59	2148.82	2032.85	2468.49	1709.26	1313.23	896.64	1651.0	1628.26	1540.37	2119.22	2193.99	1250.98	1322.37	2018.8	1685.71	2287.2	2417.67	1135.2	1697.45	2777.33	1225.22	2148.82	2367.9	1757.34	1769.57	2240.11	1832.01	1819.35	1250.98	1191.69	1572.76	1709.26	1322.37	947.83	1769.57	2163.77	1467.37	1143.1	2104.58	1023.0	1268.46	2645.74	2133.97	1216.75	1806.78	954.43	2287.2	1378.57	2032.85	1350.18	1529.73	2609.3	1304.15	2367.9	2627.46	2032.85	2682.69	1977.24	1674.06	2018.8	1950.0	1561.89	1477.58	2367.9	2004.85
ATP5D	0.0	1208.34	995.0	3060.45	3395.89	7803.01	3794.3	1857.6	4123.49	4268.94	1685.71	4450.27	2451.44	4869.99	4358.66	3039.3	3665.02	7485.11	2417.67	5183.54	5555.65	4388.98	3690.52	5292.48	5517.27	6935.54	3794.3	1870.53	1991.0	6840.04	4704.07	3349.13	5555.65	6294.04	3168.41	4152.18	3614.55	2816.11	6207.38	9344.14	2682.69	3665.02	6983.79	2061.24	4704.07	6337.83	4512.4	5112.16	7382.04	3982.99	4802.93	2739.08	3325.99	3372.43	6337.83	4671.57	2303.12	3820.7	5831.91	1819.35	2163.77	4836.35	2485.67	2997.45	10014.87	4066.71	2739.08	6037.61	3589.58	8247.98	3928.15	5954.47	2816.11	3874.05	5479.15	3540.14	6426.31	7032.37	5183.54	5441.3	5479.15	2796.65	3847.29	5711.87	2976.74	2915.45	3081.75	4972.34
AUP1	0.0	1628.26	1208.34	2032.85	3018.3	4802.93	2209.26	2287.2	3018.3	3443.31	1909.85	2777.33	2163.77	3955.48	2935.74	2148.82	2520.38	3372.43	2148.82	2976.74	3372.43	3564.78	3146.52	2956.17	3146.52	4298.64	2835.7	2090.03	1819.35	3874.05	2682.69	2796.65	3235.01	3794.3	3146.52	2627.46	2451.44	2209.26	4639.29	3955.48	2855.44	2485.67	4450.27	1857.6	4481.23	3395.89	2835.7	3081.75	4010.71	2434.5	3491.39	2133.97	2209.26	2835.7	2701.35	3039.3	2451.44	2163.77	3564.78	2047.0	2090.03	3325.99	2303.12	2555.58	4419.52	2664.15	2104.58	3146.52	2520.38	3820.7	2976.74	3212.66	2777.33	2351.53	3325.99	2720.15	3955.48	4210.15	4328.55	4239.45	3280.18	2485.67	1697.45	3212.66	2451.44	1950.0	2739.08	3847.29
AURKAIP1	0.0	607.87	693.58	2255.7	2855.44	4607.24	2796.65	1651.0	3540.14	3614.55	1733.13	3168.41	2032.85	3874.05	3168.41	2303.12	2682.69	4450.27	1844.76	3589.58	4010.71	3443.31	3212.66	3955.48	3794.3	5366.37	3325.99	1883.54	1709.26	4736.79	3349.13	3124.78	4358.66	4181.07	2956.17	2935.74	3235.01	2555.58	5041.77	5995.9	2520.38	3039.3	4903.87	1896.65	4704.07	4181.07	3212.66	4095.0	4937.99	3081.75	3768.09	2119.22	2434.5	2609.3	4123.49	3212.66	2061.24	2777.33	4298.64	1844.76	2032.85	3280.18	2178.83	2502.97	5403.7	3467.27	2032.85	4038.61	2400.97	5255.91	2976.74	4010.71	2384.37	3081.75	4543.8	2855.44	5147.73	4639.29	3928.15	4543.8	3901.01	2367.9	2875.3	4095.0	2303.12	2384.37	3060.45	4181.07
BOLA3	0.0	327.56	447.82	890.44	866.07	1477.58	1051.79	860.08	1322.37	1250.98	872.1	1119.56	785.88	1417.35	878.17	791.35	1044.52	1721.16	941.27	954.43	1437.15	1051.79	1088.92	1268.46	1037.29	1457.23	1044.52	656.11	647.07	941.27	974.5	1175.27	1447.15	1167.14	878.17	728.11	753.83	1044.52	1529.73	1639.59	890.44	748.61	1697.45	854.13	1583.71	1143.1	1059.11	1096.5	1322.37	1135.2	1250.98	679.29	1015.93	1051.79	743.43	679.29	753.83	890.44	1030.12	878.17	780.44	1277.29	713.11	723.08	1721.16	1313.23	1037.29	1191.69	571.05	1191.69	934.76	1111.82	860.08	1037.29	1794.29	759.08	1561.89	1059.11	647.07	1044.52	1313.23	1088.92	947.83	1259.69	995.0	909.17	1111.82	1225.22
C11orf48	0.0	703.28	1199.98	3081.75	2351.53	5633.22	2777.33	1923.14	4512.4	3665.02	1733.13	3589.58	2163.77	3982.99	3820.7	2018.8	2255.7	4869.99	2178.83	4481.23	4972.34	3235.01	3639.7	4607.24	3589.58	5711.87	2739.08	2090.03	2133.97	5112.16	4210.15	3280.18	5183.54	5292.48	2855.44	2018.8	2148.82	3103.19	5517.27	5292.48	2271.4	2796.65	8963.45	2004.85	3847.29	3794.3	4095.0	4066.71	3639.7	2555.58	4181.07	2119.22	2537.92	3325.99	5041.77	3280.18	2609.3	2255.7	5403.7	2384.37	2351.53	4010.71	1769.57	2047.0	6607.01	3515.68	2163.77	3372.43	2502.97	6079.61	3665.02	3794.3	3103.19	3928.15	5219.6	2434.5	5147.73	5255.91	4328.55	5292.48	3768.09	2758.13	2645.74	3280.18	2417.67	1870.53	3419.52	3820.7
C11orf83	218.79	62.12	66.18	480.04	366.09	1151.06	454.09	194.36	848.22	633.73	253.23	575.03	466.88	764.36	647.07	403.5	376.41	842.36	271.48	872.1	819.3	579.04	599.49	1051.79	595.34	1088.92	599.49	231.32	273.37	1066.48	603.67	633.73	988.12	947.83	432.53	444.72	444.72	341.51	934.76	1066.48	486.75	503.95	1721.16	279.14	785.88	723.08	688.78	780.44	896.64	575.03	674.59	341.51	339.14	555.41	1044.52	753.83	334.46	591.22	1191.69	260.38	334.46	764.36	327.56	429.54	1304.15	583.07	351.14	583.07	486.75	1066.48	583.07	866.07	395.18	738.29	934.76	444.72	1059.11	909.17	723.08	947.83	684.02	466.88	470.14	559.28	379.04	297.17	444.72	651.58
