	TCGA.GU.A767.01A.11R.A32O.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.C8.A8HQ.01A.11R.A36F.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.CZ.5986.01A.11R.1672.07
ADRM1	4123.49	2537.92	1225.22	1936.53	2520.38	1487.87	2090.03	3235.01	1359.57	1225.22	2835.7	1030.12	1477.58	3039.3	2520.38	2997.45	2537.92	2468.49	1950.0	2915.45	1551.09	1369.04	7280.4	1286.18	2163.77	2664.15	2133.97	2303.12	2287.2	2148.82	1883.54	3589.58	6561.36	2701.35	1008.9	854.13	1008.9	1388.16	444.72	497.0	1286.18	500.46	1769.57	1135.2	1242.34	748.61	1350.18	2935.74	748.61
ANAPC15	2701.35	1572.76	348.71	1407.55	1104.13	612.11	1088.92	928.3	607.87	775.05	1991.0	967.76	1427.22	1059.11	743.43	1322.37	1044.52	1233.75	921.88	1583.71	728.11	693.58	718.08	872.1	1250.98	1104.13	934.76	718.08	1008.9	1037.29	813.63	1378.57	2816.11	1313.23	708.18	775.05	629.35	836.53	521.76	647.07	934.76	518.15	884.29	1066.48	748.61	842.36	813.63	1685.71	532.74
AP2S1	4543.8	4450.27	3564.78	2224.63	3540.14	2018.8	3146.52	3928.15	3443.31	2816.11	5517.27	3060.45	2796.65	4388.98	2997.45	4769.75	3257.52	3190.46	2240.11	5517.27	2816.11	2895.31	4481.23	5403.7	3589.58	3589.58	3955.48	2645.74	4388.98	1883.54	2537.92	6745.86	1769.57	3280.18	1487.87	1467.37	2104.58	2255.7	1388.16	1540.37	1487.87	947.83	2384.37	1781.89	1519.15	1769.57	1936.53	4419.52	1369.04
APEX2	825.0	493.56	285.03	269.6	397.93	423.61	305.55	426.57	363.56	334.46	417.77	277.2	323.03	450.94	376.41	483.38	397.93	476.71	309.83	429.54	366.09	543.96	638.15	323.03	316.37	454.09	346.29	373.81	473.41	264.03	341.51	674.59	400.71	346.29	289.02	318.57	309.83	348.71	241.19	242.88	366.09	167.9	303.44	361.04	262.2	167.9	432.53	785.88	242.88
AUP1	4704.07	3716.2	1745.2	2335.28	2758.13	1639.59	2319.15	3794.3	2537.92	2915.45	3665.02	2351.53	2720.15	3716.2	2209.26	3443.31	2875.3	2255.7	2240.11	3794.3	2855.44	1583.71	5479.15	2367.9	3515.68	2835.7	3349.13	2935.74	2119.22	2591.27	2209.26	2796.65	3124.78	3146.52	1991.0	1605.83	1605.83	2178.83	1685.71	1304.15	1950.0	1427.22	2119.22	2163.77	1135.2	1331.57	1268.46	5041.77	1457.23
BIRC5	902.89	195.72	99.43	138.1	167.9	348.71	830.75	450.94	214.27	189.02	450.94	86.43	307.69	928.3	125.24	194.36	325.29	95.34	392.44	109.66	163.28	132.44	974.5	75.64	591.22	473.41	236.21	206.94	275.28	41.52	125.24	688.78	279.14	684.02	9.78	103.69	139.07	13.32	40.07	17.38	91.41	3.41	13.52	45.21	6.31	24.63	121.79	723.08	66.18
BLOC1S3	269.6	208.38	281.09	281.09	271.48	212.78	172.65	414.87	277.2	303.44	387.02	283.05	208.38	255.0	363.56	341.51	236.21	368.65	264.03	307.69	291.04	215.77	473.41	329.84	262.2	255.0	307.69	307.69	273.37	215.77	195.72	346.29	1977.24	241.19	218.79	111.21	151.22	157.68	154.42	170.25	110.43	167.9	65.26	151.22	124.37	183.82	187.71	543.96	117.6
BOLA2	1175.27	392.44	209.84	190.34	229.72	267.73	327.56	507.46	130.6	195.72	679.29	239.52	120.1	733.19	293.07	713.11	221.86	373.81	150.17	339.14	177.53	150.17	624.99	195.72	217.27	575.03	314.17	320.8	271.48	220.32	150.17	497.0	346.29	220.32	80.01	61.68	72.52	126.12	41.22	27.64	52.45	40.36	97.36	63.0	48.18	23.08	86.43	941.27	48.18
BOLA2B	7032.37	3564.78	1709.26	1605.83	2075.59	1617.0	3060.45	4769.75	2047.0	1936.53	6207.38	2777.33	884.29	3742.05	1832.01	4181.07	1709.26	2537.92	1233.75	3039.3	1427.22	1175.27	4450.27	1651.0	1909.85	3665.02	1991.0	2303.12	2935.74	2240.11	1151.06	3443.31	2895.31	1806.78	583.07	813.63	1037.29	1331.57	612.11	595.34	633.73	551.56	1662.49	1378.57	532.74	1477.58	915.51	5366.37	748.61
BRMS1	2119.22	1662.49	633.73	718.08	1183.45	738.29	1066.48	1322.37	743.43	698.41	1225.22	599.49	866.07	1397.83	1037.29	2319.15	1427.22	1322.37	1088.92	1709.26	967.76	633.73	1674.06	836.53	1037.29	1208.34	1111.82	1143.1	753.83	896.64	866.07	1923.14	1096.5	1159.07	514.56	497.0	457.25	624.99	309.83	314.17	599.49	301.33	417.77	764.36	366.09	358.54	490.14	1628.26	532.74
