	TCGA.E9.A226.01A.21R.A157.07	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AC.A3QQ.01B.06R.A22O.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	GTEX.R55G.0826.SM.2TC5U	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8683.01A.11R.2402.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ATP5D	387.02	612.11	511.0	414.87	11992.79	4095.0	2627.46	3443.31	3419.52	3081.75	2434.5	3665.02	4481.23	5183.54	12415.75	6840.04	9673.69	6792.79	6164.49	2758.13	7485.11	1844.76	5183.54	2976.74	3639.7	4704.07	4328.55	8718.32	7331.05	13033.07	8247.98	6652.97	9025.81	8840.04	11745.96	10225.32	11112.3	15824.9	11112.3
ATP5J	1963.57	2485.67	1467.37	2701.35	18560.17	6426.31	5441.3	4671.57	4802.93	2520.38	3235.01	4181.07	6207.38	4575.41	8247.98	4937.99	6079.61	4010.71	5041.77	5633.22	5441.3	2855.44	3060.45	5366.37	3614.55	4639.29	4123.49	7589.61	5751.61	9673.69	5517.27	5672.41	7537.18	10959.3	9151.82	7966.99	22535.88	14361.31	11112.3
BAD	521.76	555.41	808.0	444.72	5633.22	2075.59	1806.78	1674.06	902.89	981.29	836.53	775.05	1674.06	1359.57	2384.37	1427.22	2075.59	1662.49	1883.54	947.83	2319.15	836.53	1617.0	1015.93	769.69	813.63	1991.0	2004.85	2796.65	2335.28	3060.45	2816.11	1936.53	2591.27	4123.49	2701.35	4358.66	3690.52	2976.74
BRK1	2682.69	1857.6	1794.29	2875.3	10733.74	5441.3	4481.23	4388.98	2591.27	2434.5	2119.22	2224.63	3257.52	2816.11	3768.09	2777.33	3443.31	3103.19	4095.0	3257.52	5366.37	1844.76	2956.17	3874.05	2537.92	2255.7	2720.15	3794.3	3847.29	3901.01	3419.52	3982.99	3589.58	6337.83	4836.35	4095.0	9673.69	5147.73	6745.86
C19orf70	287.01	387.02	651.58	379.04	6840.04	1794.29	1963.57	2271.4	1175.27	769.69	743.43	728.11	1143.1	1030.12	2209.26	1208.34	1685.71	1407.55	1540.37	688.78	1477.58	669.92	981.29	490.14	988.12	1359.57	928.3	1651.0	1540.37	1977.24	1359.57	1388.16	1540.37	1977.24	2032.85	2271.4	4328.55	2609.3	2004.85
CAPZB	5219.6	1883.54	1583.71	2148.82	8598.28	7230.1	6792.79	4512.4	4450.27	4575.41	2573.36	4298.64	4450.27	5147.73	8840.04	5913.33	7130.55	2976.74	5594.3	4388.98	5633.22	3928.15	4836.35	3742.05	2701.35	3847.29	6294.04	6792.79	7589.61	6561.36	7589.61	6294.04	7032.37	5751.61	6792.79	7081.29	5076.84	7180.15	6840.04
CCDC124	242.88	305.55	264.03	145.02	5555.65	2573.36	1745.2	1487.87	1447.15	1313.23	1259.69	1242.34	1388.16	1350.18	3124.78	1923.14	3081.75	1794.29	2335.28	830.75	2193.99	1111.82	1304.15	967.76	1183.45	1277.29	2018.8	1963.57	2627.46	2303.12	2485.67	1977.24	2047.0	2758.13	3081.75	2701.35	1757.34	3039.3	3124.78
COMMD1	860.08	842.36	703.28	813.63	2351.53	1023.0	1304.15	890.44	529.06	395.18	435.55	432.53	866.07	665.29	921.88	532.74	728.11	651.58	921.88	842.36	688.78	384.34	490.14	974.5	387.02	363.56	529.06	848.22	854.13	878.17	728.11	896.64	764.36	1119.56	1096.5	1066.48	2367.9	1331.57	1437.15
COX8A	3716.2	3690.52	3190.46	2485.67	34158.52	12329.98	17804.06	14461.21	8421.31	5517.27	6840.04	7331.05	13123.73	12853.63	29124.6	11424.74	16496.96	10659.59	15715.58	6887.62	14765.09	5441.3	12943.04	9215.48	10296.45	9740.98	10014.87	16727.26	13681.08	26067.14	13586.57	13492.72	17317.18	20030.74	22535.88	20593.91	43537.38	37639.55	19754.96
DCTN3	1143.1	447.82	813.63	1001.93	7537.18	2319.15	2303.12	2351.53	1088.92	866.07	1233.75	748.61	1662.49	1286.18	1936.53	1159.07	1508.65	1651.0	1467.37	1896.65	2119.22	567.1	921.88	2104.58	743.43	825.0	1008.9	1844.76	2090.03	2163.77	1769.57	1794.29	1639.59	2502.97	2502.97	2573.36	4802.93	2627.46	3257.52
