	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.S7SE.0926.SM.2XCD6	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07	TCGA.85.7710.11A.01R.2125.07
AC008964.1	2209.26	595.34	563.18	106.63	27.84	145.02	76.71	111.21	52.45	48.18	58.71	2.94	6.62	22.92	15.45	866.07	23.08	12.93	14.14	36.27	135.24	103.69	15.91	92.7	30.12	113.56	30.56	457.25	486.75	351.14	1059.11	525.39	1008.9	503.95	381.68	2816.11	242.88	483.38	620.67	289.02	334.46	595.34	543.96
ACAP1	3491.39	532.74	457.25	361.04	47.84	197.09	115.97	141.02	58.71	73.54	147.06	7.88	22.1	89.51	38.12	1745.2	77.79	32.59	37.59	60.39	199.85	47.17	220.32	291.04	103.69	77.79	50.63	638.15	301.33	441.64	1819.35	518.15	974.5	293.07	441.64	3820.7	346.29	620.67	961.07	376.41	460.44	599.49	2796.65
ADAMTS3	23.25	19.97	27.64	7.28	2.07	2.94	5.19	2.89	0.59	1.11	0.54	0.0	0.0	0.55	3.72	9.85	0.59	0.0	3.82	1.25	0.0	6.73	0.0	0.27	0.64	2.34	1.0	20.71	18.16	7.63	10.79	4.28	5.54	3.17	49.56	9.85	18.16	12.09	5.87	9.41	10.39	27.44	23.76
AKAP5	70.01	14.78	11.13	1.1	11.04	8.51	6.78	4.98	1.93	4.9	3.56	1.41	5.54	4.62	2.27	33.06	2.97	11.3	1.46	7.22	5.54	5.92	4.35	4.06	6.36	3.47	6.52	17.77	14.03	28.45	120.1	31.45	30.78	36.79	63.0	105.89	35.76	26.86	145.02	32.82	53.95	16.88	74.06
AL358813.2	142.01	52.45	48.18	10.88	17.51	55.89	28.24	5.68	7.4	138.1	6.52	20.11	67.12	32.36	15.0	140.04	0.0	5.96	8.06	2.51	30.34	29.27	33.3	43.02	5.59	15.68	21.63	88.26	55.1	111.99	267.73	187.71	170.25	101.54	62.56	195.72	8.65	128.79	140.04	72.52	46.84	64.8	126.12
ANKRD13D	1487.87	743.43	802.41	463.65	194.36	444.72	591.22	473.41	220.32	376.41	381.68	115.16	392.44	312.0	305.55	981.29	255.0	172.65	529.06	253.23	299.25	255.0	97.36	301.33	237.86	94.67	128.79	1286.18	325.29	775.05	1388.16	1175.27	1322.37	890.44	642.59	1617.0	607.87	915.51	1551.09	493.56	1059.11	890.44	1167.14
ANXA2R	361.04	37.32	69.03	40.93	25.72	30.12	24.99	18.84	6.57	21.78	24.28	7.51	15.11	30.34	21.78	212.78	4.35	18.43	55.49	25.72	8.38	14.14	13.22	23.08	4.06	8.06	2.32	66.65	35.25	37.59	295.11	102.25	130.6	60.82	81.14	226.54	26.67	24.81	151.22	31.9	55.89	64.8	159.9
APOBEC3F	242.88	215.77	183.82	220.32	57.89	49.91	53.95	44.89	83.45	55.49	44.89	37.32	52.82	67.12	26.47	256.78	92.7	8.13	64.8	48.52	51.35	132.44	86.43	90.14	37.85	151.22	85.22	132.44	104.42	327.56	202.66	208.38	285.03	102.25	199.85	217.27	46.5	136.19	134.3	52.45	172.65	224.97	197.09
APOBEC3G	2090.03	444.72	748.61	256.78	77.79	115.16	46.84	170.25	84.04	63.45	110.43	12.09	15.34	79.45	40.36	1127.35	42.11	29.48	39.5	49.56	48.18	155.5	81.71	193.01	33.06	138.1	111.99	423.61	642.59	1304.15	2451.44	753.83	1844.76	444.72	947.83	2032.85	438.59	426.57	813.63	389.72	466.88	819.3	884.29
ARAP2	497.0	80.57	68.55	19.97	41.22	43.32	86.43	35.5	30.34	53.19	33.3	20.41	37.85	17.25	62.56	291.04	38.95	27.44	17.0	7.94	92.7	34.51	59.97	52.08	63.89	48.18	91.41	229.72	157.68	123.5	470.14	182.55	156.59	157.68	173.85	684.02	674.59	112.77	206.94	358.54	232.94	187.71	314.17
