	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.145MH.0626.SM.5NQAK	GTEX.13NZ9.0926.SM.5KM12	GTEX.12WSD.0826.SM.5GCNE	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.X4XX.1026.SM.4QARO	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.U3ZH.0526.SM.3DB75	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.12ZZW.0926.SM.5LZUD	GTEX.ZE7O.0826.SM.57WCP	GTEX.RTLS.0926.SM.2TF5X	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZYVF.1726.SM.5E443	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.11WQK.2926.SM.5EQKT
ABCA10	24.28	66.65	115.97	122.64	62.56	111.99	58.71	48.18	30.56	8.13	0.0	0.44	201.25	201.25	226.54	72.52	226.54	165.57	59.55	176.29	177.53	248.0	307.69	540.19	224.97	52.45	111.21	242.88	88.88	218.79	158.79	0.34	33.3	29.27	17.77	13.93	10.08	5.15	8.51	0.27
ABHD1	33.54	13.03	7.34	19.53	3.53	15.68	12.64	4.62	1.22	3.08	0.0	0.14	9.93	78.89	27.05	17.38	11.64	16.39	1.91	26.86	56.28	31.9	35.25	21.01	31.45	3.69	11.3	56.68	12.27	22.75	6.67	0.89	20.41	0.0	12.0	11.21	1.79	12.36	0.61	4.62
ABHD10	139.07	158.79	248.0	293.07	159.9	177.53	206.94	127.89	76.17	116.78	0.0	0.28	273.37	595.34	473.41	356.05	525.39	323.03	353.59	463.65	612.11	656.11	493.56	775.05	723.08	279.14	438.59	660.68	395.18	620.67	384.34	183.82	759.08	96.68	97.36	201.25	133.36	185.11	100.83	144.01
ABI2	52.08	267.73	287.01	356.05	136.19	164.42	201.25	206.94	176.29	198.47	314.17	64.8	1051.79	878.17	595.34	599.49	571.05	785.88	638.15	470.14	571.05	728.11	738.29	633.73	753.83	698.41	759.08	836.53	909.17	642.59	423.61	201.25	283.05	118.43	228.13	189.02	77.25	74.06	49.91	258.57
AC104057.1	0.0	1.58	5.23	1.23	1.69	0.38	0.56	0.49	0.0	0.0	0.0	0.1	6.57	7.0	1.73	3.59	2.48	6.78	4.58	0.83	2.81	1.83	3.41	0.0	6.73	0.0	6.16	3.99	5.19	1.97	7.17	0.0	0.93	1.23	0.0	1.1	0.0	0.2	0.13	0.0
ACBD5	301.33	211.31	325.29	256.78	218.79	236.21	205.5	194.36	316.37	156.59	0.0	0.21	295.11	457.25	500.46	273.37	684.02	212.78	454.09	511.0	616.37	808.0	624.99	514.56	231.32	255.0	420.68	518.15	460.44	476.71	320.8	599.49	273.37	327.56	89.51	287.01	299.25	366.09	256.78	204.07
ACD	314.17	447.82	660.68	603.67	346.29	444.72	836.53	348.71	139.07	291.04	0.0	0.61	587.13	684.02	660.68	551.56	642.59	511.0	571.05	753.83	532.74	387.02	791.35	819.3	713.11	409.15	507.46	733.19	718.08	769.69	379.04	158.79	187.71	180.02	409.15	202.66	130.6	169.07	170.25	183.82
ADAMTS13	89.51	20.11	41.81	23.25	24.28	15.34	21.16	24.63	5.92	16.15	0.0	0.59	151.22	111.21	100.83	73.03	62.56	79.45	29.91	242.88	128.79	97.36	96.01	46.84	102.97	22.92	46.84	120.1	69.03	177.53	48.52	6.36	27.84	14.78	36.79	16.03	12.0	10.96	8.58	0.07
AGO1	94.67	132.44	173.85	159.9	109.66	120.1	122.64	127.89	75.11	85.82	57.89	61.68	121.79	170.25	234.57	111.99	199.85	151.22	122.64	232.94	209.84	157.68	295.11	312.0	201.25	255.0	187.71	164.42	173.85	142.01	128.79	64.8	141.02	64.8	41.22	95.34	72.52	99.43	63.89	98.73
AHSA2	262.2	808.0	1216.75	1233.75	1008.9	825.0	1286.18	629.35	420.68	144.01	0.0	1.58	1806.78	1977.24	1104.13	785.88	1030.12	1617.0	674.59	848.22	693.58	651.58	1051.79	1467.37	854.13	607.87	961.07	1781.89	1233.75	1059.11	723.08	4.94	172.65	83.45	20.11	61.25	50.27	35.76	27.84	37.05
AMT	65.72	226.54	281.09	236.21	176.29	166.73	202.66	231.32	163.28	42.11	0.0	0.99	665.29	819.3	493.56	460.44	457.25	1208.34	167.9	961.07	616.37	571.05	1175.27	718.08	603.67	228.13	486.75	934.76	733.19	1159.07	339.14	3.72	98.73	36.27	48.52	43.02	31.45	26.28	15.91	11.21
ANKMY2	177.53	128.79	218.79	152.28	127.89	173.85	128.79	117.6	107.38	60.39	0.0	0.4	743.43	466.88	473.41	307.69	529.06	260.38	249.73	620.67	483.38	525.39	518.15	728.11	339.14	186.4	397.93	651.58	309.83	536.45	295.11	111.99	366.09	104.42	88.26	132.44	256.78	152.28	146.03	132.44
AR	21.16	12.83	4.82	10.31	11.13	4.43	2.89	37.05	1.51	3.26	0.0	0.22	102.97	218.79	120.94	46.84	76.71	46.5	59.13	155.5	195.72	748.61	258.57	248.0	182.55	86.43	36.79	116.78	121.79	647.07	44.89	58.3	17.64	54.33	21.47	12.55	34.26	20.71	6.57	2.14
ARHGEF25	7.51	575.03	514.56	435.55	264.03	104.42	111.21	753.83	33.3	21.78	0.0	0.61	543.96	769.69	595.34	432.53	348.71	567.1	373.81	718.08	466.88	665.29	780.44	791.35	759.08	197.09	426.57	738.29	759.08	1950.0	457.25	33.54	129.69	70.01	42.41	58.3	22.92	30.56	15.45	8.19
ARHGEF37	251.48	154.42	87.65	123.5	218.79	164.42	60.82	237.86	884.29	193.01	0.0	0.18	249.73	713.11	423.61	107.38	198.47	136.19	121.79	500.46	381.68	555.41	688.78	571.05	241.19	147.06	305.55	674.59	295.11	368.65	327.56	106.63	525.39	63.89	39.79	363.56	197.09	223.41	121.79	73.03
B3GNT1	68.55	214.27	214.27	285.03	144.01	105.89	158.79	138.1	115.16	82.29	0.0	0.19	647.07	1023.0	884.29	423.61	688.78	738.29	612.11	1037.29	1340.84	1331.57	1259.69	780.44	928.3	371.22	1030.12	1081.39	1127.35	872.1	612.11	127.89	279.14	129.69	109.66	178.77	108.9	146.03	89.51	48.18
BMP5	0.0	2.48	18.43	4.1	1.6	8.65	1.73	0.0	0.0	1.14	0.0	0.23	860.08	563.18	1015.93	1111.82	2451.44	1331.57	325.29	4239.45	3564.78	2777.33	3955.48	2061.24	2895.31	55.49	128.79	1697.45	248.0	1225.22	674.59	10.16	9.63	3.99	0.0	1.79	4.39	0.82	0.32	0.0
C1QTNF7	88.26	65.26	19.68	29.48	4.66	10.63	5.11	21.01	0.0	2.43	0.0	0.0	135.24	665.29	392.44	237.86	507.46	429.54	167.9	884.29	1407.55	1617.0	1340.84	688.78	684.02	118.43	1023.0	679.29	540.19	674.59	205.5	69.52	19.11	86.43	22.59	25.91	24.11	20.56	36.53	0.38
C20orf194	16.88	136.19	66.18	136.19	132.44	115.16	108.9	143.01	74.58	91.41	0.0	0.52	400.71	447.82	283.05	320.8	486.75	366.09	295.11	514.56	339.14	441.64	638.15	525.39	414.87	251.48	346.29	466.88	384.34	624.99	279.14	41.22	73.03	86.43	70.51	81.14	52.45	49.91	41.22	36.79
C2orf72	12.74	17.51	37.59	2.68	1.68	14.67	0.61	4.24	0.55	0.95	0.0	0.36	43.63	283.05	41.81	18.84	48.87	34.26	2.01	108.9	205.5	183.82	356.05	45.85	175.07	22.26	24.81	303.44	127.89	195.72	16.03	1.25	6.46	2.36	4.7	7.28	1.31	4.58	0.0	0.0
C5	11.82	20.71	25.35	33.54	24.11	13.52	13.62	22.1	5.59	17.51	0.0	0.15	152.28	199.85	183.82	159.9	55.89	206.94	129.69	214.27	343.89	536.45	258.57	624.99	197.09	81.14	279.14	361.04	264.03	244.57	209.84	15.11	32.13	32.36	10.24	24.99	10.31	22.59	13.52	1.06
C8orf46	0.0	10.08	6.52	27.05	19.11	8.06	3.41	3.5	1.35	0.0	0.0	0.48	44.89	74.58	166.73	22.43	30.12	31.45	7.22	46.84	103.69	75.64	43.63	283.05	33.54	22.1	41.22	110.43	87.03	38.95	21.16	0.33	8.71	0.0	0.49	6.46	0.67	2.41	5.68	1.35
C9orf96	55.49	13.12	14.35	20.86	15.0	5.87	5.06	5.92	20.26	7.28	0.0	0.17	35.76	50.98	33.78	12.83	12.09	53.95	15.45	44.57	20.11	23.93	19.82	43.94	46.5	4.66	40.07	75.64	49.21	26.67	28.04	4.74	27.64	18.43	11.3	6.73	23.08	6.89	9.41	5.5
CADM1	1561.89	95.34	84.04	76.71	76.17	57.08	127.89	146.03	68.55	69.52	142.01	212.78	172.65	3614.55	2335.28	1540.37	2417.67	2133.97	384.34	2796.65	3614.55	8658.09	5112.16	1183.45	2075.59	137.14	620.67	3847.29	1407.55	1340.84	1066.48	74.58	665.29	70.01	51.71	100.13	50.98	111.21	29.91	226.54
CCDC152	25.91	27.44	29.06	23.76	15.34	28.24	14.78	22.92	15.91	13.72	0.0	0.27	293.07	228.13	733.19	133.36	305.55	241.19	106.63	500.46	244.57	287.01	297.17	1407.55	303.44	32.59	181.28	363.56	209.84	309.83	169.07	234.57	22.59	5.87	21.94	19.39	76.17	21.16	35.5	3.56
CCM2L	31.67	75.64	140.04	53.95	42.41	73.03	18.97	33.78	9.41	13.22	0.0	0.04	356.05	995.0	1051.79	253.23	463.65	265.87	358.54	995.0	854.13	684.02	947.83	473.41	341.51	158.79	423.61	511.0	460.44	703.28	190.34	13.22	34.75	44.57	44.57	41.52	22.59	24.11	29.7	5.59
CDC14A	27.05	32.82	50.63	31.67	30.34	24.11	43.02	37.32	9.41	22.59	0.0	0.29	170.25	309.83	287.01	201.25	295.11	305.55	126.12	218.79	373.81	579.04	336.79	256.78	297.17	221.86	191.67	429.54	258.57	172.65	151.22	24.11	23.08	17.13	36.01	26.28	16.51	17.51	24.63	39.22
CDC14B	57.49	67.12	152.28	76.71	63.45	64.8	67.59	53.19	141.02	65.72	144.01	72.01	299.25	343.89	299.25	140.04	351.14	269.6	162.14	454.09	373.81	371.22	414.87	435.55	303.44	145.02	291.04	480.04	242.88	392.44	244.57	133.36	229.72	75.11	186.4	57.08	90.77	74.58	60.39	157.68
CDK10	684.02	1268.46	1417.35	1477.58	1159.07	1259.69	1250.98	1088.92	802.41	748.61	0.0	1.0	2303.12	2555.58	2451.44	1572.76	1721.16	1662.49	1819.35	2193.99	1583.71	848.22	2240.11	2018.8	872.1	842.36	915.51	2609.3	1529.73	1540.37	2104.58	195.72	571.05	612.11	684.02	607.87	389.72	403.5	251.48	258.57
CDKN1C	47.5	480.04	435.55	376.41	234.57	88.26	189.02	366.09	121.79	62.56	0.0	0.23	2090.03	1963.57	1769.57	651.58	813.63	1008.9	486.75	2796.65	3039.3	3467.27	1628.26	1437.15	954.43	460.44	1819.35	1936.53	1769.57	1651.0	665.29	209.84	106.63	57.89	40.07	131.51	76.17	176.29	62.12	21.47
CFDP1	1340.84	954.43	1268.46	1369.04	902.89	1008.9	1295.13	915.51	563.18	896.64	0.0	0.58	1844.76	2855.44	1427.22	1923.14	1551.09	1487.87	1605.83	2018.8	2119.22	2193.99	2004.85	1508.65	2193.99	1242.34	2664.15	2591.27	2645.74	2351.53	2400.97	1594.73	1081.39	921.88	1208.34	1135.2	703.28	743.43	1119.56	575.03
CLK4	206.94	323.03	358.54	406.31	348.71	242.88	249.73	387.02	246.28	159.9	0.0	0.66	463.65	470.14	607.87	420.68	559.28	237.86	392.44	423.61	536.45	738.29	753.83	1081.39	507.46	234.57	460.44	547.75	376.41	500.46	332.14	56.28	142.01	99.43	45.85	108.9	82.87	96.68	84.63	44.57
CMBL	8.32	33.3	283.05	78.89	18.56	108.9	61.25	26.47	19.53	55.1	579.04	162.14	1183.45	555.41	647.07	212.78	460.44	143.01	420.68	743.43	595.34	669.92	759.08	796.86	536.45	163.28	412.0	1259.69	480.04	974.5	638.15	190.34	860.08	61.25	55.89	84.63	52.82	51.35	39.22	47.84
CYP39A1	90.14	67.59	38.95	87.65	85.22	63.0	83.45	92.05	126.12	30.78	0.0	0.15	518.15	343.89	555.41	98.73	389.72	165.57	239.52	624.99	299.25	473.41	363.56	275.28	228.13	77.79	314.17	825.0	112.77	249.73	603.67	57.08	142.01	15.11	82.29	53.57	18.7	63.0	59.55	2.43
DDR2	2.39	295.11	167.9	128.79	43.63	41.22	27.05	88.88	17.25	15.11	62.56	41.81	854.13	1051.79	928.3	201.25	688.78	293.07	470.14	1081.39	902.89	1519.15	764.36	748.61	819.3	599.49	669.92	341.51	555.41	961.07	285.03	346.29	85.82	78.89	51.35	73.03	45.85	24.28	40.93	57.89
DHX40	363.56	332.14	361.04	571.05	336.79	277.2	244.57	301.33	212.78	271.48	0.0	0.48	842.36	1104.13	511.0	438.59	825.0	567.1	514.56	759.08	967.76	1151.06	764.36	819.3	660.68	607.87	718.08	909.17	753.83	974.5	559.28	575.03	316.37	363.56	204.07	366.09	353.59	260.38	361.04	395.18
DIXDC1	12.36	120.1	119.26	119.26	41.81	43.94	19.11	28.45	14.14	47.17	0.0	0.16	457.25	656.11	307.69	197.09	348.71	500.46	264.03	305.55	384.34	842.36	503.95	511.0	511.0	356.05	429.54	532.74	447.82	748.61	356.05	101.54	145.02	28.65	28.04	64.8	25.35	36.79	11.21	33.3
DNASE1	368.65	165.57	224.97	135.24	215.77	142.01	157.68	165.57	129.69	125.24	0.0	0.51	287.01	295.11	447.82	202.66	281.09	122.64	295.11	232.94	209.84	140.04	351.14	256.78	121.79	178.77	138.1	295.11	204.07	273.37	295.11	79.45	98.04	102.25	151.22	215.77	77.79	93.35	57.08	78.89
ECI2	40.36	334.46	480.04	323.03	283.05	289.02	283.05	511.0	223.41	607.87	0.0	0.67	2193.99	1651.0	1359.57	1159.07	1191.69	1519.15	1487.87	1135.2	1561.89	1674.06	1359.57	1936.53	1594.73	1159.07	1572.76	1709.26	2133.97	1277.29	1286.18	1008.9	961.07	525.39	915.51	551.56	447.82	473.41	470.14	525.39
EFCC1	7.22	42.41	76.71	27.64	21.32	34.51	16.75	29.06	14.78	5.54	0.0	0.17	75.64	1883.54	1081.39	540.19	1175.27	1304.15	395.18	3419.52	2664.15	2485.67	1651.0	583.07	1685.71	273.37	507.46	1477.58	808.0	1977.24	409.15	1.83	13.83	40.64	9.27	7.57	18.84	12.55	40.93	0.95
EPHX1	1388.16	3665.02	1950.0	3168.41	3847.29	2835.7	3665.02	4937.99	1051.79	1628.26	0.0	0.65	9409.14	30999.42	9673.69	3589.58	14262.1	8840.04	3955.48	45386.27	27938.14	17437.64	20737.16	9945.68	18178.19	3235.01	14163.58	19348.38	4802.93	14561.8	10440.2	2400.97	5594.3	2303.12	890.44	3103.19	2434.5	7966.99	5913.33	1769.57
ETV1	363.56	88.26	291.04	72.01	60.39	107.38	43.63	82.87	22.26	18.03	0.0	0.33	384.34	450.94	1030.12	507.46	1159.07	738.29	287.01	3212.66	1896.65	2555.58	2075.59	1639.59	872.1	140.04	854.13	764.36	555.41	1051.79	571.05	21.78	420.68	13.42	23.25	54.72	15.56	25.17	9.93	62.12
EVC	11.04	111.99	63.0	149.12	104.42	63.0	64.34	125.24	32.13	100.13	0.0	0.33	281.09	384.34	265.87	167.9	346.29	289.02	167.9	532.74	289.02	463.65	356.05	348.71	514.56	117.6	231.32	384.34	251.48	518.15	166.73	29.7	105.89	61.25	53.95	71.0	39.22	37.32	12.93	31.0
FAM13A	21.32	96.68	175.07	140.04	64.34	81.71	115.16	90.14	43.94	76.71	0.0	0.62	438.59	1015.93	718.08	575.03	698.41	1225.22	384.34	1277.29	1551.09	1721.16	802.41	941.27	551.56	392.44	665.29	1151.06	698.41	785.88	587.13	78.89	124.37	59.97	76.71	111.21	80.57	66.65	51.35	93.35
FAM13C	42.41	162.14	161.02	106.63	149.12	70.01	28.45	153.34	22.92	38.4	0.0	0.0	450.94	775.05	438.59	198.47	417.77	318.57	279.14	567.1	629.35	748.61	536.45	529.06	409.15	182.55	595.34	490.14	301.33	660.68	409.15	51.35	148.09	99.43	31.0	43.32	57.89	21.16	29.27	3.92
FAM162B	18.97	94.01	96.01	54.72	79.45	197.09	52.08	53.57	4.86	8.25	0.0	0.03	684.02	1685.71	1242.34	698.41	1295.13	1151.06	318.57	1322.37	1628.26	1794.29	1794.29	1183.45	1081.39	275.28	1081.39	1991.0	318.57	1183.45	351.14	8.19	14.56	12.83	33.54	12.0	10.63	8.65	6.41	0.78
FAM172A	118.43	171.45	149.12	198.47	204.07	133.36	135.24	209.84	52.08	147.06	0.0	0.33	373.81	412.0	275.28	265.87	363.56	312.0	267.73	343.89	381.68	503.95	397.93	373.81	253.23	327.56	423.61	575.03	283.05	379.04	397.93	384.34	267.73	231.32	93.35	273.37	100.13	204.07	256.78	102.97
FAM175A	69.52	95.34	84.63	118.43	87.65	72.01	69.03	109.66	36.53	42.41	0.0	0.14	295.11	334.46	239.52	115.97	327.56	209.84	131.51	244.57	197.09	316.37	271.48	297.17	246.28	202.66	312.0	447.82	228.13	281.09	221.86	262.2	61.68	145.02	45.21	115.16	74.06	120.1	77.79	66.18
FN3K	64.8	173.85	173.85	77.79	63.0	112.77	82.29	96.01	11.82	63.0	0.0	0.41	406.31	1015.93	660.68	397.93	223.41	1044.52	150.17	743.43	651.58	616.37	872.1	406.31	995.0	125.24	470.14	1111.82	647.07	1857.6	392.44	19.68	320.8	33.54	28.04	109.66	59.13	67.59	12.0	140.04
FOXO6	29.48	12.27	83.45	22.75	11.47	17.38	52.45	8.92	4.54	7.82	0.0	0.39	13.42	99.43	30.34	10.88	11.55	88.26	46.84	38.95	21.63	63.0	26.86	10.31	127.89	22.1	24.46	97.36	30.78	120.94	28.65	1.97	41.81	10.88	13.72	17.25	6.62	2.51	0.96	28.24
FOXP2	17.25	111.21	97.36	78.34	74.58	63.89	104.42	118.43	15.45	60.82	0.0	0.24	412.0	423.61	77.79	65.72	129.69	191.67	20.11	107.38	329.84	291.04	249.73	108.9	234.57	55.49	126.12	351.14	229.72	363.56	106.63	172.65	62.12	323.03	67.12	260.38	166.73	111.21	157.68	26.86
FRA10AC1	297.17	334.46	423.61	540.19	327.56	283.05	397.93	256.78	140.04	255.0	0.0	0.54	575.03	551.56	450.94	466.88	633.73	438.59	343.89	884.29	543.96	1030.12	603.67	579.04	713.11	361.04	718.08	775.05	967.76	921.88	607.87	199.85	307.69	206.94	215.77	269.6	211.31	80.57	205.5	139.07
GALT	486.75	934.76	848.22	909.17	607.87	693.58	575.03	769.69	395.18	318.57	0.0	0.45	1268.46	1617.0	2255.7	1519.15	1397.83	981.29	1030.12	2520.38	1697.45	1628.26	1733.13	1819.35	1378.57	723.08	1081.39	1977.24	1216.75	2271.4	1191.69	155.5	536.45	244.57	607.87	441.64	371.22	275.28	178.77	115.16
GAS6	187.71	2400.97	1662.49	1286.18	1331.57	813.63	607.87	1745.2	961.07	1191.69	0.0	0.74	12943.04	11345.82	7966.99	4937.99	9808.75	18052.61	4671.57	7382.04	7130.55	10084.54	15180.22	5255.91	7695.57	5872.48	9474.59	17437.64	6164.49	18052.61	3081.75	718.08	1277.29	476.71	748.61	1794.29	961.07	1143.1	460.44	273.37
GLIPR1L2	11.13	2.1	14.24	21.63	18.7	4.1	6.46	10.55	3.26	7.69	0.0	0.0	50.63	202.66	63.0	50.27	102.97	24.28	19.68	49.21	114.36	156.59	74.58	73.03	17.25	39.22	48.52	139.07	88.26	88.26	66.65	26.1	43.94	18.43	11.47	15.56	26.47	7.88	19.39	1.27
GLT8D2	31.67	170.25	104.42	106.63	37.05	69.52	22.59	44.89	54.33	10.55	0.0	0.28	587.13	728.11	361.04	323.03	547.75	525.39	220.32	860.08	563.18	854.13	638.15	559.28	825.0	153.34	358.54	769.69	384.34	1023.0	193.01	167.9	114.36	90.14	64.8	52.82	27.05	21.47	19.53	9.41
GPSM1	49.91	108.14	371.22	64.8	226.54	61.68	97.36	87.03	371.22	244.57	0.0	0.77	343.89	476.71	854.13	497.0	314.17	848.22	244.57	1950.0	1051.79	665.29	1015.93	947.83	921.88	166.73	728.11	1487.87	1175.27	1151.06	486.75	50.98	59.97	163.28	98.04	72.52	31.67	33.06	31.9	197.09
GSTM2	148.09	1662.49	748.61	1286.18	1397.83	769.69	1963.57	2609.3	125.24	287.01	0.0	1.22	1417.35	2956.17	1242.34	1583.71	4123.49	6607.01	674.59	5366.37	3665.02	3372.43	3794.3	6121.9	5076.84	612.11	1977.24	7433.4	3039.3	6381.92	921.88	70.51	748.61	339.14	896.64	204.07	336.79	176.29	197.09	423.61
GULP1	24.99	187.71	118.43	194.36	223.41	181.28	100.83	336.79	23.76	53.19	0.0	0.56	1059.11	713.11	500.46	454.09	1037.29	791.35	242.88	1605.83	1397.83	1950.0	1359.57	1628.26	954.43	264.03	1378.57	1127.35	890.44	2384.37	1008.9	466.88	173.85	125.24	95.34	1216.75	77.79	563.18	87.03	57.08
HCFC1R1	1769.57	2178.83	2271.4	2271.4	1529.73	2075.59	3716.2	1769.57	1059.11	1030.12	0.0	0.51	2796.65	4268.94	3235.01	3491.39	3395.89	6294.04	2609.3	3665.02	3212.66	3665.02	4481.23	3212.66	4903.87	1015.93	4123.49	6337.83	2434.5	7749.1	2018.8	2816.11	1540.37	3018.3	2502.97	1697.45	2255.7	1674.06	1617.0	1030.12
IKBKAP	140.04	327.56	346.29	457.25	305.55	339.14	384.34	231.32	193.01	299.25	0.0	0.6	583.07	559.28	500.46	400.71	620.67	395.18	426.57	444.72	587.13	463.65	607.87	708.18	348.71	323.03	389.72	612.11	587.13	514.56	493.56	149.12	409.15	126.12	480.04	277.2	131.51	152.28	169.07	137.14
ITLN2	22.92	4.66	2.23	9.7	3.99	5.77	7.17	4.06	0.0	3.89	0.0	0.0	93.35	5255.91	8305.36	532.74	1832.01	1350.18	961.07	1870.53	5041.77	11267.44	4543.8	1721.16	708.18	170.25	842.36	9540.5	2255.7	6887.62	1806.78	0.0	0.0	2.2	4.39	5.87	13.22	15.68	2.84	0.0
