	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ZG.A9L6.01A.11R.A41O.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3T8.11A.11R.A22L.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EM.A1CU.11A.11R.A13Y.07	GTEX.ZAB5.0726.SM.5P9JG	GTEX.SE5C.0726.SM.4BRWY	GTEX.RNOR.0926.SM.2TF56	GTEX.OXRK.0626.SM.2HMJ5	GTEX.13112.0326.SM.5P9IW
ZDHHC15	32.36	36.79	33.78	71.5	4.35	0.0	1.07	0.0	0.16	71.0	10.79	7.4	13.32	17.13	0.6	73.54	79.45	90.77	104.42	100.13	89.51	163.28	87.03	120.1
ZFP3	31.0	37.85	32.59	49.56	4.74	3.2	2.23	0.0	0.01	65.72	6.16	56.28	24.46	19.68	4.9	125.24	122.64	148.09	142.01	126.12	156.59	123.5	140.04	130.6
ZNF10	67.12	95.34	81.71	92.05	14.35	14.56	20.71	0.0	0.25	264.03	36.79	41.22	40.36	31.9	38.95	277.2	363.56	543.96	476.71	341.51	412.0	529.06	423.61	629.35
ZNF107	79.45	67.12	65.72	55.89	55.49	35.5	46.5	0.0	0.28	78.34	34.51	35.5	38.4	71.5	35.76	90.77	80.57	136.19	146.03	125.24	115.97	83.45	97.36	110.43
ZNF138	77.79	84.04	113.56	94.67	98.04	99.43	111.99	0.0	0.13	120.94	114.36	97.36	122.64	128.79	121.79	152.28	143.01	159.9	209.84	171.45	172.65	172.65	156.59	208.38
ZNF471	40.93	42.11	48.52	75.64	1.87	0.79	0.0	0.0	0.49	108.9	4.28	32.36	5.63	4.74	1.43	122.64	187.71	237.86	218.79	283.05	177.53	211.31	189.02	212.78
ZNF529	96.01	100.83	77.79	91.41	26.28	16.27	21.16	0.0	0.68	162.14	34.51	32.36	29.27	24.63	12.27	214.27	223.41	236.21	318.57	229.72	220.32	265.87	185.11	214.27
ZNF667	23.76	31.9	26.67	21.78	2.34	1.79	1.79	0.0	0.48	86.43	1.28	4.13	2.27	0.72	0.39	140.04	180.02	269.6	153.34	165.57	229.72	182.55	205.5	172.65
ZNF680	77.79	71.5	66.65	52.82	25.17	43.94	21.16	0.0	0.41	371.22	46.84	62.12	56.68	54.33	46.84	503.95	460.44	540.19	860.08	476.71	684.02	547.75	480.04	514.56
ZNF736	48.87	53.19	53.19	75.11	7.22	4.03	3.5	92.05	64.8	127.89	6.62	28.45	17.25	11.82	1.85	193.01	189.02	246.28	301.33	202.66	198.47	291.04	170.25	217.27
ZNF84	204.07	228.13	172.65	164.42	60.39	70.01	115.16	0.0	0.64	409.15	46.18	180.02	82.87	111.99	53.19	409.15	470.14	532.74	647.07	466.88	536.45	547.75	507.46	536.45
ZNF92	62.12	173.85	141.02	133.36	23.08	56.68	27.25	0.0	0.16	94.67	30.56	65.72	34.26	84.63	56.68	150.17	101.54	106.63	180.02	108.14	120.94	113.56	112.77	82.29
