	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
AC008964.1	132.44	6.84	208.38	264.03	159.9	463.65	152.28	409.15	242.88	152.28	13.22	264.03	194.36	126.12	9.63	283.05	110.43	480.04	14.56	9.34	30.12	2.78	19.68	14.03	31.67	30.34	16.63	41.81	11.55	53.19	316.37	35.5	98.73	104.42	40.64	35.76	12.36	25.54	69.52	13.42	36.79	28.04	20.56	47.17	102.25	7.06	18.03	5.36	105.15	14.89	38.95	42.41	45.53	12.83
AGAP2	78.89	6.94	119.26	169.07	104.42	185.11	85.82	246.28	137.14	109.66	17.38	153.34	118.43	68.07	13.22	153.34	54.33	115.97	67.12	49.91	56.28	90.77	28.45	12.36	36.01	68.07	13.52	41.81	61.25	113.56	161.02	36.01	41.81	108.9	36.79	28.65	60.39	25.91	42.11	16.75	18.16	22.59	22.59	107.38	27.84	10.47	13.03	19.68	63.89	13.62	34.02	69.52	66.18	44.57
ANXA2R	45.53	8.19	60.82	94.01	74.58	101.54	43.63	163.28	65.72	75.11	16.15	81.14	57.89	39.22	12.27	95.34	33.06	145.02	29.91	16.63	19.82	11.21	15.8	18.16	37.59	21.47	12.64	43.32	15.56	48.18	105.15	12.36	24.81	23.76	35.5	13.83	22.75	10.31	64.8	17.38	20.11	24.28	14.24	16.75	12.74	11.64	21.01	11.64	33.78	13.72	13.62	18.97	48.18	11.55
APBB1IP	185.11	6.62	242.88	351.14	206.94	483.38	214.27	500.46	258.57	228.13	21.32	368.65	246.28	195.72	13.32	356.05	70.51	293.07	55.1	87.03	38.67	6.78	16.27	133.36	104.42	50.63	64.8	75.64	46.18	98.04	273.37	46.18	163.28	107.38	26.86	211.31	27.05	55.1	78.89	19.39	92.05	56.68	29.06	42.11	146.03	3.69	25.72	20.26	189.02	28.45	48.18	41.22	43.63	24.28
ARHGAP25	267.73	31.67	358.54	460.44	325.29	656.11	271.48	693.58	400.71	329.84	62.12	463.65	327.56	275.28	36.53	435.55	193.01	521.76	81.14	72.01	107.38	19.53	28.04	50.63	130.6	128.79	50.98	198.47	74.58	146.03	525.39	53.19	146.03	208.38	125.24	80.01	102.25	68.55	297.17	47.5	146.03	100.83	29.48	55.49	167.9	49.21	43.94	46.84	204.07	100.83	82.87	84.63	147.06	87.65
ARHGAP9	624.99	27.05	743.43	981.29	575.03	1286.18	629.35	2287.2	703.28	599.49	35.25	995.0	769.69	426.57	17.13	1151.06	265.87	2664.15	87.03	172.65	215.77	57.89	52.82	32.82	108.9	90.77	140.04	152.28	62.56	500.46	1819.35	172.65	406.31	339.14	158.79	175.07	87.03	102.97	480.04	74.06	221.86	72.01	34.51	262.2	120.94	29.06	37.05	27.44	291.04	43.02	173.85	339.14	218.79	63.45
ARHGDIB	9540.5	2075.59	7966.99	10368.08	7485.11	10659.59	4607.24	10084.54	5594.3	5672.41	1498.22	7485.11	5403.7	3955.48	884.29	7537.18	3235.01	4268.94	3443.31	2758.13	2739.08	954.43	1167.14	2303.12	2178.83	1819.35	1896.65	5183.54	2502.97	2664.15	5219.6	1651.0	4575.41	4903.87	2609.3	3235.01	4268.94	1709.26	3982.99	2075.59	1806.78	1617.0	1167.14	2758.13	3303.0	1331.57	2104.58	1745.2	5872.48	2032.85	2255.7	1529.73	3419.52	1991.0
ARHGEF6	167.9	28.45	185.11	242.88	169.07	384.34	171.45	463.65	241.19	175.07	55.49	299.25	249.73	177.53	34.51	206.94	167.9	271.48	60.39	90.77	154.42	40.64	55.89	87.65	75.64	51.35	59.13	199.85	87.03	147.06	262.2	64.34	226.54	143.01	105.15	76.71	65.26	65.26	138.1	40.93	66.65	59.13	53.95	111.21	145.02	33.78	27.64	43.63	118.43	51.35	61.68	53.95	108.14	96.01
BATF	146.03	9.2	180.02	275.28	182.55	417.77	136.19	303.44	172.65	211.31	12.64	303.44	159.9	122.64	9.78	287.01	67.59	249.73	25.54	31.22	16.63	4.66	9.63	42.41	33.54	107.38	37.05	17.77	37.05	26.67	176.29	127.0	28.04	81.14	11.64	144.01	68.07	11.38	76.71	21.47	22.43	20.71	17.77	4.78	61.25	9.93	33.3	5.36	92.7	9.93	107.38	32.13	64.8	7.34
BIN2	211.31	11.13	269.6	356.05	226.54	500.46	226.54	616.37	283.05	197.09	20.71	417.77	299.25	206.94	10.79	371.22	138.1	624.99	48.18	70.51	49.91	7.22	26.86	15.56	71.0	38.12	31.67	85.82	37.32	127.0	624.99	90.14	98.73	108.14	43.63	90.14	23.08	42.41	165.57	18.97	75.11	57.49	29.27	63.89	128.79	9.41	10.16	24.81	229.72	17.51	79.45	120.94	82.87	27.84
