	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.NFK9.0726.SM.2HMJW	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.11P7K.0226.SM.5986Z	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.X5EB.0726.SM.46MVR	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
AHSA1	0.41	2104.58	1104.13	2133.97	1963.57	1909.85	1457.23	1674.06	1617.0	1540.37	1936.53	1733.13	1572.76	2209.26	1191.69	1259.69	1697.45	1498.22	1651.0	1721.16	1508.65	2032.85	1870.53	2032.85	1540.37	1844.76	1745.2	1639.59	1733.13	2004.85	1936.53	1697.45	1794.29	1963.57	1651.0	1397.83	1572.76	1745.2	1721.16	1519.15	1583.71	2335.28	1781.89	2319.15	1529.73	1498.22	1950.0	1781.89	1685.71	2032.85	1340.84	2163.77	1322.37	2287.2	1662.49	1540.37	1757.34	1950.0	1605.83	1832.01	1437.15	2133.97	1870.53
ARL1	0.47	2485.67	1322.37	2520.38	2004.85	2287.2	1313.23	1844.76	1498.22	1832.01	1733.13	2351.53	1529.73	2193.99	1697.45	954.43	1963.57	1662.49	1529.73	1277.29	1066.48	2287.2	2090.03	2303.12	2090.03	1844.76	1388.16	1322.37	1208.34	2004.85	2367.9	1662.49	1674.06	2451.44	1151.06	1388.16	1199.98	1857.6	1832.01	1277.29	1551.09	2367.9	2255.7	2895.31	1561.89	1883.54	2287.2	2224.63	2061.24	2573.36	1051.79	1950.0	1268.46	2224.63	1388.16	1487.87	2061.24	1991.0	1572.76	2271.4	1313.23	2209.26	1769.57
ATP5F1	0.59	7857.29	4298.64	6471.02	7230.1	6426.31	3467.27	6745.86	4704.07	6207.38	5112.16	6983.79	3874.05	6381.92	3982.99	3982.99	5479.15	4181.07	5041.77	4903.87	4268.94	6887.62	5791.62	8598.28	5872.48	6381.92	4802.93	4639.29	4903.87	5995.9	6887.62	6426.31	5441.3	7642.41	5255.91	4639.29	4575.41	6887.62	5479.15	4639.29	4903.87	6337.83	7280.4	8305.36	5219.6	5555.65	8078.22	7331.05	6164.49	7642.41	3589.58	7537.18	4038.61	6983.79	5255.91	5711.87	6792.79	6471.02	5076.84	6561.36	3874.05	6250.56	5954.47
ATP5G1	0.57	12329.98	3820.7	7382.04	10154.69	6471.02	3372.43	7749.1	4869.99	6516.03	5366.37	7642.41	3467.27	6037.61	3039.3	2319.15	6840.04	2935.74	6164.49	4298.64	4010.71	9540.5	6250.56	13399.51	6471.02	7642.41	3847.29	5076.84	5219.6	5366.37	9876.98	6037.61	5479.15	10014.87	4328.55	4095.0	3280.18	15392.14	6699.25	4239.45	4937.99	8134.41	10084.54	15180.22	5183.54	4671.57	13872.08	8718.32	5366.37	16157.44	2400.97	7537.18	2720.15	10225.32	3081.75	4704.07	10084.54	7803.01	5791.62	6561.36	3614.55	6983.79	7485.11
C19orf10	0.46	4419.52	1628.26	3690.52	3303.0	2319.15	1733.13	2335.28	1950.0	2915.45	2502.97	2855.44	1572.76	2609.3	2537.92	1508.65	3280.18	1487.87	2303.12	2777.33	1487.87	4607.24	2816.11	4512.4	2895.31	3372.43	2240.11	2384.37	2193.99	2835.7	3419.52	2997.45	2061.24	3349.13	2255.7	1977.24	1540.37	3564.78	2855.44	1844.76	2018.8	4736.79	4123.49	4010.71	2255.7	2777.33	4268.94	5517.27	2351.53	5041.77	1407.55	4268.94	1769.57	4298.64	1909.85	1819.35	3146.52	3467.27	1896.65	2956.17	1662.49	4358.66	2739.08
CCDC167	0.06	1030.12	223.41	842.36	819.3	511.0	154.42	223.41	395.18	684.02	547.75	507.46	299.25	417.77	98.04	122.64	595.34	172.65	723.08	403.5	221.86	1369.04	454.09	974.5	620.67	493.56	486.75	507.46	376.41	660.68	679.29	551.56	438.59	559.28	316.37	289.02	229.72	941.27	624.99	299.25	181.28	981.29	854.13	1250.98	454.09	435.55	1073.91	1111.82	301.33	1561.89	173.85	928.3	153.34	1127.35	193.01	131.51	435.55	420.68	299.25	583.07	373.81	878.17	642.59
CCT3	0.55	3742.05	1437.15	3564.78	2627.46	2335.28	1745.2	2664.15	2104.58	2520.38	2573.36	2739.08	2148.82	2400.97	1519.15	1721.16	2319.15	2335.28	2193.99	2537.92	2367.9	2935.74	2875.3	3349.13	2796.65	2573.36	2367.9	2075.59	1757.34	2855.44	3303.0	2468.49	2319.15	3039.3	1844.76	2351.53	2451.44	2935.74	2209.26	2520.38	2451.44	3820.7	2573.36	3124.78	2502.97	2209.26	2976.74	2720.15	2573.36	3212.66	1991.0	3325.99	1896.65	2701.35	2502.97	2287.2	2720.15	2682.69	2335.28	2400.97	1936.53	3124.78	2133.97
CDK2AP2	0.65	5751.61	2502.97	5954.47	3589.58	2627.46	1467.37	2555.58	2075.59	3820.7	2400.97	2434.5	2816.11	2485.67	1369.04	1225.22	2895.31	1417.35	3443.31	3419.52	1697.45	7695.57	3372.43	4869.99	3665.02	3467.27	2627.46	2591.27	2417.67	5872.48	3874.05	2720.15	1832.01	3257.52	2319.15	1674.06	1605.83	5219.6	2855.44	1529.73	1896.65	7331.05	6381.92	7280.4	2303.12	2816.11	6164.49	4769.75	4095.0	6471.02	1242.34	5112.16	1066.48	4802.93	1340.84	1407.55	2758.13	4066.71	2287.2	3212.66	1617.0	5441.3	3665.02
CRELD1	0.47	4358.66	1936.53	3515.68	1923.14	1331.57	947.83	1397.83	2104.58	2351.53	1769.57	1605.83	2193.99	1733.13	1662.49	1001.93	2119.22	1427.22	1950.0	2133.97	1769.57	3874.05	2573.36	2303.12	1857.6	2004.85	1639.59	1977.24	1617.0	3690.52	1794.29	1844.76	1437.15	1844.76	1896.65	1477.58	1437.15	2133.97	1225.22	1001.93	860.08	3874.05	3257.52	3955.48	1540.37	1583.71	2895.31	2468.49	1870.53	3235.01	2240.11	2485.67	1023.0	2935.74	1059.11	612.11	1651.0	2682.69	1857.6	1594.73	1583.71	3564.78	2935.74
CRELD2	0.49	4543.8	2434.5	5913.33	2956.17	1909.85	995.0	1561.89	2335.28	5751.61	2224.63	3081.75	2417.67	1781.89	2502.97	684.02	3325.99	1151.06	2335.28	2627.46	954.43	6840.04	2855.44	5255.91	3325.99	4937.99	1369.04	1909.85	1674.06	5255.91	3257.52	3018.3	1295.13	4802.93	1127.35	1806.78	688.78	3665.02	2271.4	896.64	1015.93	7331.05	4869.99	8778.97	2835.7	2485.67	6294.04	4937.99	3564.78	9151.82	656.11	5255.91	967.76	6983.79	642.59	1208.34	2777.33	3168.41	1617.0	2485.67	708.18	7966.99	3168.41
