	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A233.01A.11R.A14Y.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.DJ.A3UX.01A.11R.A22L.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.J8.A3YD.01A.11R.A22U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.EM.A2OZ.01A.11R.A206.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2PN.01A.21R.A19O.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.EL.A3T8.01A.21R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
AHR	473.41	796.86	1159.07	1709.26	674.59	796.86	521.76	733.19	796.86	934.76	1119.56	775.05	759.08	743.43	743.43	339.14	406.31	743.43	1008.9	928.3	1250.98	1819.35	1617.0	1183.45	775.05	142.01	371.22	303.44	265.87	167.9	132.44	299.25	229.72	138.1	361.04	358.54	115.16	336.79	128.79	141.02	241.19	316.37	180.02	279.14	221.86	271.48	231.32	164.42	285.03	503.95	612.11	307.69	144.01	162.14	381.68	473.41	343.89	209.84	83.45	155.5	165.57	307.69	136.19
AKIRIN2	890.44	825.0	836.53	718.08	759.08	629.35	669.92	529.06	759.08	748.61	780.44	802.41	669.92	651.58	698.41	511.0	616.37	961.07	764.36	693.58	620.67	878.17	854.13	759.08	665.29	460.44	583.07	525.39	1066.48	665.29	447.82	536.45	314.17	503.95	599.49	454.09	525.39	511.0	567.1	356.05	414.87	575.03	325.29	842.36	603.67	343.89	723.08	693.58	620.67	825.0	896.64	447.82	466.88	543.96	674.59	567.1	656.11	373.81	466.88	351.14	400.71	620.67	323.03
ANKFY1	400.71	616.37	595.34	759.08	559.28	521.76	493.56	497.0	540.19	656.11	567.1	583.07	540.19	684.02	536.45	450.94	426.57	551.56	651.58	633.73	738.29	656.11	551.56	669.92	466.88	395.18	325.29	356.05	387.02	483.38	348.71	258.57	366.09	447.82	287.01	525.39	392.44	397.93	379.04	309.83	231.32	392.44	299.25	339.14	293.07	256.78	429.54	195.72	435.55	293.07	420.68	444.72	220.32	353.59	320.8	441.64	426.57	438.59	193.01	387.02	320.8	376.41	356.05
ANKH	2075.59	1508.65	1909.85	1561.89	1388.16	1844.76	1331.57	1529.73	1605.83	1508.65	2682.69	1508.65	1936.53	1819.35	2367.9	825.0	1044.52	1651.0	3018.3	2351.53	1936.53	1674.06	1268.46	2075.59	1936.53	457.25	860.08	470.14	748.61	426.57	1030.12	1191.69	775.05	607.87	432.53	503.95	713.11	1208.34	693.58	1397.83	915.51	878.17	921.88	995.0	309.83	830.75	511.0	397.93	457.25	878.17	1467.37	490.14	279.14	356.05	878.17	260.38	775.05	620.67	713.11	688.78	825.0	728.11	775.05
ANKLE2	1322.37	1073.91	1127.35	1199.98	1030.12	1175.27	974.5	947.83	1088.92	1104.13	1259.69	808.0	954.43	1259.69	1073.91	764.36	860.08	967.76	1151.06	954.43	1208.34	1037.29	1096.5	1322.37	1268.46	563.18	470.14	665.29	808.0	775.05	493.56	366.09	521.76	713.11	563.18	764.36	579.04	612.11	656.11	493.56	587.13	624.99	551.56	674.59	607.87	444.72	848.22	500.46	547.75	848.22	775.05	698.41	579.04	595.34	540.19	698.41	703.28	638.15	583.07	665.29	412.0	638.15	629.35
ARMCX3	4937.99	4869.99	4836.35	4358.66	8718.32	6250.56	3515.68	4903.87	4419.52	3928.15	7081.29	4869.99	4181.07	7280.4	5441.3	2047.0	3820.7	8718.32	6561.36	8479.89	6516.03	3515.68	2319.15	6121.9	4512.4	738.29	2777.33	1051.79	1909.85	1857.6	2178.83	1674.06	872.1	559.28	2502.97	1233.75	1508.65	1259.69	2163.77	688.78	1331.57	1104.13	1963.57	1216.75	941.27	1745.2	1159.07	748.61	3395.89	1417.35	2209.26	2119.22	432.53	1963.57	1167.14	1498.22	1896.65	1594.73	1605.83	775.05	2468.49	1605.83	1119.56
ARMCX6	2591.27	2502.97	2193.99	2090.03	4239.45	2701.35	2240.11	2976.74	2682.69	2224.63	2777.33	2777.33	2468.49	3564.78	3168.41	2075.59	2485.67	3395.89	3103.19	3349.13	2895.31	1709.26	1605.83	1991.0	3280.18	748.61	1781.89	872.1	1628.26	1322.37	1397.83	1111.82	1819.35	612.11	836.53	656.11	1350.18	1857.6	1304.15	1437.15	2240.11	1151.06	2104.58	974.5	1216.75	2240.11	1073.91	1551.09	1540.37	902.89	974.5	1081.39	1286.18	1233.75	1119.56	1216.75	1023.0	1397.83	1350.18	1662.49	1519.15	848.22	1498.22
ARNTL	3349.13	2720.15	2209.26	1457.23	1059.11	2835.7	2148.82	902.89	2240.11	3018.3	4123.49	1295.13	921.88	1806.78	1304.15	336.79	642.59	2018.8	2090.03	902.89	1322.37	1519.15	1697.45	1697.45	1909.85	493.56	88.26	305.55	764.36	575.03	141.02	264.03	848.22	872.1	435.55	785.88	476.71	384.34	293.07	92.7	629.35	316.37	100.83	514.56	384.34	57.89	660.68	450.94	669.92	848.22	220.32	376.41	551.56	947.83	246.28	156.59	486.75	70.51	146.03	141.02	49.56	921.88	473.41
ATP13A4	2816.11	2520.38	2609.3	3039.3	3742.05	3419.52	2609.3	2133.97	2935.74	4066.71	3901.01	2739.08	2209.26	3794.3	2351.53	2240.11	1896.65	3419.52	3564.78	2645.74	4639.29	2758.13	1508.65	4903.87	4010.71	981.29	620.67	1628.26	1757.34	1685.71	1081.39	759.08	503.95	1639.59	1870.53	1781.89	1159.07	2163.77	1191.69	708.18	921.88	780.44	780.44	1819.35	1551.09	397.93	1896.65	1407.55	764.36	2664.15	1806.78	2319.15	1259.69	1819.35	988.12	2090.03	1662.49	759.08	1159.07	941.27	466.88	1628.26	660.68
BASP1	1088.92	1447.15	1259.69	1135.2	1242.34	1369.04	1066.48	738.29	1397.83	1143.1	1233.75	1208.34	698.41	1135.2	884.29	295.11	703.28	1819.35	1001.93	780.44	1001.93	1059.11	1001.93	1015.93	1605.83	373.81	460.44	351.14	148.09	120.1	529.06	503.95	287.01	177.53	118.43	150.17	185.11	314.17	158.79	536.45	486.75	656.11	708.18	234.57	269.6	2468.49	281.09	202.66	343.89	173.85	152.28	406.31	212.78	218.79	825.0	262.2	152.28	273.37	514.56	229.72	660.68	265.87	234.57
