	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.PE.A5DE.01A.11R.A27Q.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.B6.A0I8.01A.11R.A034.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.AC.A2FE.01A.11R.A19W.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.T6MO.1426.SM.4DM73	TCGA.86.8671.01A.11R.2403.07	GTEX.X4EO.0926.SM.3P5Z2	TCGA.FC.A5OB.01A.11R.A29R.07
AD000671.6	19.11	46.18	3.82	78.89	13.42	66.18	9.06	29.7	6.67	25.35	14.03	36.53	3.38	21.94	15.0	21.01	10.55	24.46	32.36	11.3	3.66	11.04	13.62	9.7	17.38	3.82	40.64	10.47	7.82	4.54	114.36	38.67	12.93	36.01	24.81	2.84	23.25	29.91	1.14	11.64	30.56	4.35	41.52	3.44	8.65	8.13	27.44	16.27	98.73	56.28	4.7
ARHGAP30	299.25	571.05	56.28	733.19	133.36	583.07	111.21	414.87	127.0	253.23	215.77	733.19	105.15	417.77	187.71	239.52	161.02	361.04	571.05	138.1	78.89	82.29	163.28	58.71	105.15	55.49	373.81	110.43	125.24	66.18	1208.34	414.87	211.31	397.93	325.29	85.82	432.53	414.87	115.16	279.14	325.29	79.45	575.03	172.65	113.56	57.49	201.25	172.65	1119.56	2090.03	19.68
ARHGAP9	500.46	723.08	96.01	728.11	205.5	848.22	115.16	447.82	129.69	318.57	166.73	796.86	75.11	514.56	176.29	341.51	244.57	420.68	525.39	178.77	61.68	84.63	127.0	62.12	159.9	75.11	432.53	166.73	128.79	101.54	1313.23	441.64	255.0	447.82	265.87	61.25	575.03	450.94	79.45	361.04	269.6	78.34	463.65	180.02	87.65	156.59	93.35	703.28	2271.4	2271.4	39.5
ARRB2	884.29	1268.46	371.22	902.89	780.44	1135.2	466.88	974.5	435.55	1073.91	674.59	1037.29	435.55	1208.34	679.29	1073.91	486.75	1159.07	1233.75	575.03	579.04	316.37	612.11	353.59	591.22	587.13	947.83	543.96	327.56	703.28	2303.12	928.3	733.19	1066.48	830.75	493.56	866.07	1119.56	327.56	1183.45	866.07	575.03	1208.34	693.58	842.36	624.99	651.58	1119.56	2287.2	4123.49	470.14
ASGR2	9.27	26.28	4.31	77.25	21.47	27.64	5.82	26.47	3.63	24.46	10.16	23.76	2.94	15.34	7.46	23.25	4.43	18.7	14.56	10.71	2.39	3.03	9.13	1.11	12.83	3.14	17.51	4.03	6.36	5.11	43.94	17.0	12.0	20.86	16.27	2.36	12.64	25.17	1.45	11.47	10.24	1.11	25.72	4.94	6.11	14.78	9.34	10.31	46.18	30.78	3.86
BIN2	156.59	417.77	32.82	395.18	144.01	454.09	65.72	281.09	63.89	172.65	142.01	457.25	35.0	223.41	127.89	186.4	118.43	195.72	309.83	100.13	34.75	45.21	80.01	38.95	95.34	31.22	260.38	97.36	63.45	51.71	743.43	204.07	138.1	264.03	156.59	69.03	392.44	208.38	39.5	198.47	255.0	17.9	318.57	92.05	62.56	49.56	61.68	93.35	759.08	1397.83	14.67
C16orf54	33.54	181.28	8.13	209.84	25.17	155.5	26.67	107.38	15.56	55.49	26.47	220.32	3.86	63.0	22.1	67.59	27.84	74.58	195.72	24.46	5.63	7.51	25.35	6.16	8.0	4.13	74.06	18.16	24.28	3.11	249.73	87.65	34.02	71.0	24.28	6.36	68.55	52.82	5.68	35.25	51.35	3.89	122.64	27.25	13.52	13.22	13.12	101.54	283.05	318.57	5.02
C5orf20	1.45	33.54	0.0	11.82	0.36	12.36	0.31	5.92	0.91	6.84	0.67	28.65	0.0	7.57	1.38	13.93	0.93	4.9	13.32	0.93	0.27	0.0	2.29	0.32	0.0	0.26	4.28	0.61	0.88	0.3	20.86	13.03	3.41	3.79	1.25	0.35	5.5	5.59	0.31	2.14	10.0	0.0	15.0	0.29	0.0	0.0	0.0	0.0	63.89	121.79	0.26
CCL17	29.06	130.6	16.27	73.03	25.35	42.71	32.59	86.43	1.79	60.39	8.45	62.12	20.41	51.35	33.78	587.13	3.44	61.25	387.02	20.71	7.82	2.14	11.04	87.03	5.11	23.93	77.25	10.39	7.94	2.51	132.44	175.07	38.4	87.65	2.78	1.79	45.21	36.79	28.86	1.41	37.59	1.62	149.12	18.29	4.06	22.26	15.45	25.54	152.28	1427.22	1.03
CCL5	723.08	4268.94	195.72	5594.3	769.69	5403.7	480.04	2209.26	175.07	1467.37	848.22	3235.01	78.34	1963.57	500.46	2032.85	450.94	1378.57	4010.71	497.0	74.58	325.29	283.05	172.65	119.26	86.43	1605.83	301.33	480.04	153.34	5076.84	1216.75	1259.69	1572.76	500.46	80.01	1769.57	1242.34	753.83	934.76	1397.83	48.18	3742.05	567.1	289.02	647.07	743.43	921.88	5329.3	16383.0	23.76
CCR5	95.34	521.76	36.53	289.02	61.25	260.38	75.64	351.14	38.95	109.66	129.69	305.55	19.53	120.94	114.36	136.19	97.36	124.37	283.05	80.57	10.55	28.24	40.36	23.25	21.94	11.21	241.19	56.28	53.95	10.0	759.08	108.14	126.12	253.23	141.02	20.26	180.02	127.0	33.06	105.89	253.23	12.64	329.84	71.0	44.89	58.3	16.63	107.38	457.25	1066.48	3.56
CCR7	56.68	1073.91	12.74	591.22	28.65	532.74	33.3	232.94	19.53	151.22	57.89	563.18	30.12	255.0	30.34	224.97	29.48	139.07	447.82	73.03	12.83	19.53	78.34	14.67	18.16	5.28	194.36	29.06	29.7	8.06	232.94	460.44	109.66	133.36	65.26	12.0	100.13	81.14	24.99	18.29	77.25	9.48	303.44	39.5	28.65	15.0	36.01	49.91	651.58	599.49	0.68
CD1B	2.89	27.44	0.85	123.5	0.73	25.35	16.27	26.47	0.29	14.45	1.03	50.27	0.29	8.25	4.17	120.94	5.32	11.21	28.04	6.89	0.0	0.0	1.99	0.66	1.51	0.0	23.93	2.48	0.89	4.1	23.93	70.51	3.44	11.3	0.0	1.81	5.59	8.92	1.95	0.0	2.18	0.66	45.85	2.76	2.84	20.86	0.0	0.0	46.84	429.54	0.0
CD2	183.82	1561.89	49.91	1561.89	229.72	1561.89	209.84	1044.52	75.64	397.93	450.94	1304.15	14.78	723.08	287.01	525.39	171.45	429.54	1250.98	242.88	22.26	61.68	104.42	63.0	43.02	19.39	587.13	120.1	201.25	37.05	1628.26	551.56	366.09	599.49	150.17	33.78	872.1	341.51	70.51	191.67	660.68	5.96	1183.45	170.25	67.12	68.55	96.01	612.11	1896.65	8363.13	6.62
CD247	62.56	423.61	16.27	669.92	63.89	620.67	52.08	226.54	18.16	151.22	101.54	463.65	7.57	215.77	103.69	183.82	42.11	139.07	379.04	55.1	8.32	18.16	35.25	19.11	13.42	8.06	231.32	44.57	41.52	24.81	698.41	269.6	130.6	229.72	59.55	32.59	211.31	131.51	24.81	62.12	197.09	32.13	447.82	38.12	32.59	57.08	81.71	120.1	884.29	2061.24	8.58
CD3E	228.13	1977.24	50.27	2400.97	334.46	2627.46	220.32	813.63	74.58	733.19	384.34	1991.0	20.86	1143.1	267.73	819.3	176.29	583.07	1427.22	176.29	21.16	41.81	197.09	66.65	48.18	19.11	785.88	125.24	205.5	49.56	2104.58	995.0	432.53	660.68	147.06	25.91	860.08	444.72	84.63	251.48	521.76	6.46	1397.83	186.4	97.36	226.54	297.17	660.68	2609.3	9945.68	13.22
CD48	587.13	2209.26	231.32	2758.13	316.37	2075.59	246.28	1331.57	142.01	679.29	363.56	1977.24	84.04	954.43	483.38	656.11	320.8	463.65	1199.98	269.6	86.43	132.44	194.36	85.22	69.03	63.45	928.3	287.01	285.03	91.41	1991.0	1225.22	629.35	848.22	361.04	123.5	660.68	555.41	108.14	444.72	679.29	29.48	1051.79	348.71	185.11	241.19	201.25	199.85	2255.7	6840.04	32.13
CD5	26.1	400.71	6.67	403.5	62.56	320.8	47.17	194.36	15.22	103.69	68.55	336.79	5.77	135.24	57.08	87.03	55.1	103.69	316.37	35.25	9.78	10.71	40.64	7.0	13.62	5.06	141.02	34.02	39.5	3.41	518.15	166.73	64.8	142.01	32.36	4.66	194.36	100.83	17.51	29.7	83.45	1.46	271.48	25.35	27.44	73.54	46.84	40.64	656.11	2664.15	2.34
CD52	2777.33	5672.41	346.29	9606.86	1259.69	7803.01	728.11	3847.29	473.41	2335.28	2032.85	5954.47	117.6	2816.11	1111.82	3060.45	540.19	2032.85	6121.9	1216.75	155.5	267.73	555.41	273.37	543.96	132.44	3820.7	543.96	884.29	246.28	8840.04	4903.87	2417.67	3467.27	684.02	185.11	2351.53	2682.69	295.11	1051.79	1870.53	63.89	5147.73	791.35	406.31	1685.71	521.76	954.43	8718.32	32540.65	48.18
CD6	54.72	403.5	18.84	460.44	84.04	486.75	51.71	217.27	23.25	111.99	87.65	389.72	21.16	146.03	79.45	129.69	80.01	197.09	457.25	55.1	10.0	15.8	49.21	21.78	21.63	8.25	151.22	56.68	55.49	6.84	1088.92	228.13	108.14	205.5	47.5	12.83	206.94	165.57	40.64	59.55	115.97	4.66	395.18	49.56	32.82	85.22	59.55	201.25	1096.5	3982.99	2.61
CORO1A	1407.55	2701.35	429.54	6294.04	633.73	4869.99	320.8	1605.83	423.61	1277.29	551.56	2400.97	172.65	1388.16	854.13	1081.39	444.72	1457.23	3168.41	447.82	183.82	314.17	656.11	201.25	435.55	275.28	1457.23	497.0	387.02	208.38	5112.16	2777.33	860.08	1870.53	890.44	169.07	1378.57	1572.76	249.73	1508.65	1662.49	108.9	3665.02	718.08	551.56	106.63	275.28	1044.52	7230.1	7382.04	61.25
CTSW	111.21	660.68	16.51	1977.24	110.43	1159.07	48.52	409.15	24.99	309.83	161.02	563.18	19.25	412.0	98.73	299.25	66.18	264.03	567.1	75.64	14.67	37.59	60.39	27.05	19.97	20.11	215.77	6.31	11.64	26.67	1135.2	167.9	90.77	202.66	73.03	12.55	329.84	228.13	10.63	156.59	193.01	2.18	320.8	8.51	30.56	140.04	177.53	92.7	693.58	2451.44	4.17
CXCR3	44.25	460.44	10.16	890.44	123.5	497.0	36.27	208.38	8.13	120.94	55.49	403.5	11.64	156.59	70.51	82.29	32.59	135.24	361.04	45.21	3.29	15.11	28.04	17.77	8.38	2.63	181.28	18.56	66.18	3.79	753.83	175.07	75.64	166.73	46.5	3.63	201.25	114.36	10.24	49.56	105.89	2.63	444.72	49.21	19.25	9.2	7.17	55.89	708.18	547.75	0.65
DOCK2	256.78	555.41	53.57	480.04	125.24	432.53	111.99	353.59	107.38	206.94	397.93	525.39	59.97	193.01	165.57	214.27	172.65	255.0	351.14	135.24	52.45	46.84	156.59	45.21	90.77	35.76	343.89	130.6	96.68	65.72	848.22	265.87	201.25	275.28	177.53	88.88	329.84	267.73	99.43	229.72	283.05	32.59	460.44	113.56	115.97	78.89	88.26	262.2	1037.29	7331.05	21.16
DOK2	109.66	289.02	18.43	738.29	42.11	426.57	58.71	185.11	44.25	177.53	140.04	299.25	26.67	132.44	90.77	153.34	33.3	131.51	620.67	62.12	8.78	13.83	148.09	17.25	80.57	26.67	241.19	27.64	40.36	35.76	665.29	283.05	139.07	177.53	215.77	13.12	212.78	258.57	21.32	80.01	206.94	20.26	480.04	38.67	87.03	87.03	54.72	49.56	928.3	1896.65	15.8
EBI3	76.71	273.37	25.35	348.71	61.25	249.73	47.17	157.68	31.22	84.63	24.81	195.72	15.0	136.19	117.6	67.59	31.0	139.07	267.73	20.26	12.93	13.93	37.85	21.78	16.63	43.32	215.77	47.5	48.52	6.57	265.87	114.36	52.82	146.03	24.11	16.75	102.97	150.17	18.43	129.69	59.13	15.22	161.02	46.84	66.18	26.28	24.28	142.01	351.14	152.28	19.53
FAM78A	88.26	206.94	25.35	236.21	94.01	236.21	44.89	156.59	34.51	103.69	66.65	265.87	33.54	91.41	60.39	94.01	51.35	115.16	211.31	43.94	20.26	45.85	64.8	31.9	26.47	19.82	125.24	44.89	37.59	26.28	400.71	124.37	59.13	138.1	90.77	23.25	120.1	138.1	31.22	89.51	99.43	14.78	193.01	42.71	33.78	29.7	17.51	100.83	470.14	575.03	7.06
FASLG	17.64	44.89	2.51	96.68	16.27	51.71	13.93	60.82	2.97	17.0	36.01	76.71	2.05	29.7	12.18	21.47	17.9	29.48	63.0	13.52	1.33	5.41	5.19	4.21	3.56	2.05	30.12	9.06	19.53	1.22	198.47	9.56	17.64	52.45	10.63	3.53	31.67	28.04	4.43	19.11	63.45	2.89	80.01	16.03	4.03	17.51	13.42	21.16	129.69	101.54	0.55
FERMT3	802.41	791.35	120.94	1427.22	277.2	1437.15	149.12	514.56	166.73	616.37	341.51	679.29	135.24	642.59	336.79	368.65	163.28	532.74	954.43	234.57	83.45	232.94	305.55	87.65	173.85	104.42	612.11	186.4	241.19	265.87	2303.12	684.02	500.46	688.78	688.78	98.04	595.34	872.1	178.77	571.05	651.58	72.52	1250.98	334.46	180.02	244.57	145.02	647.07	2384.37	4639.29	29.27
FMNL1	414.87	915.51	156.59	1066.48	417.77	1051.79	215.77	511.0	205.5	476.71	224.97	954.43	265.87	389.72	242.88	470.14	241.19	559.28	902.89	318.57	197.09	181.28	395.18	111.21	193.01	81.71	503.95	277.2	165.57	144.01	1794.29	733.19	429.54	713.11	698.41	92.7	642.59	679.29	102.97	483.38	384.34	72.52	753.83	397.93	273.37	450.94	182.55	559.28	2178.83	4903.87	70.51
FUT7	11.73	46.5	4.54	148.09	3.5	55.49	3.08	17.9	1.66	9.34	2.23	26.67	1.33	15.91	2.97	15.8	2.05	12.18	31.22	5.63	1.5	2.66	8.32	0.75	4.82	2.27	18.84	3.32	1.31	3.38	22.43	32.36	6.57	16.88	17.0	1.58	14.24	18.84	3.11	9.7	17.0	2.81	33.3	6.78	1.39	0.49	3.96	18.43	116.78	33.78	0.4
GP1BA	4.06	76.71	1.28	53.57	11.21	49.21	6.16	28.86	6.16	26.67	6.21	117.6	3.26	22.92	3.03	14.78	8.65	25.17	16.03	5.73	1.22	0.71	7.4	2.51	5.19	0.61	18.16	3.35	2.92	1.73	64.8	39.22	6.01	12.09	7.34	4.28	14.56	16.15	2.46	9.13	14.67	10.08	41.52	2.01	4.74	0.0	19.25	9.63	150.17	37.59	0.42
GPSM3	540.19	1295.13	830.75	1819.35	514.56	1417.35	237.86	842.36	211.31	620.67	318.57	1259.69	457.25	748.61	457.25	961.07	674.59	633.73	1030.12	287.01	111.99	255.0	285.03	183.82	206.94	163.28	599.49	353.59	218.79	209.84	1806.78	928.3	395.18	780.44	532.74	136.19	703.28	684.02	143.01	674.59	426.57	72.01	1030.12	961.07	403.5	236.21	204.07	633.73	2384.37	4239.45	55.89
GZMH	58.71	285.03	34.75	253.23	102.97	450.94	55.89	305.55	12.0	78.34	133.36	193.01	12.0	87.65	77.25	226.54	75.64	115.16	392.44	36.53	6.52	10.08	17.38	15.34	14.14	18.29	236.21	33.78	59.13	17.51	1167.14	83.45	74.06	142.01	52.45	6.84	97.36	209.84	19.82	136.19	194.36	0.0	303.44	72.01	37.59	128.79	143.01	212.78	543.96	1322.37	8.25
GZMM	28.45	217.27	58.71	718.08	26.28	684.02	18.7	134.3	9.48	99.43	29.91	215.77	5.92	64.8	47.84	77.25	13.12	140.04	429.54	23.93	1.27	1.41	25.54	9.63	3.35	4.62	127.0	12.0	31.67	6.52	457.25	193.01	78.89	129.69	35.76	2.03	57.49	105.89	10.39	39.79	27.25	1.51	299.25	26.86	23.42	54.33	50.63	137.14	651.58	1081.39	1.81
HCST	921.88	1870.53	197.09	3928.15	447.82	2609.3	267.73	974.5	187.71	743.43	358.54	1529.73	72.52	836.53	466.88	656.11	205.5	723.08	1977.24	271.48	111.21	232.94	323.03	164.42	100.13	173.85	981.29	177.53	253.23	118.43	2434.5	981.29	547.75	1088.92	698.41	99.43	575.03	915.51	149.12	791.35	476.71	81.71	1498.22	438.59	236.21	1313.23	295.11	591.22	2816.11	9344.14	51.71
IGFLR1	395.18	759.08	165.57	1397.83	251.48	1151.06	146.03	503.95	155.5	253.23	262.2	638.15	95.34	642.59	320.8	346.29	144.01	432.53	547.75	283.05	226.54	145.02	237.86	98.73	309.83	244.57	525.39	198.47	242.88	215.77	1359.57	633.73	438.59	476.71	323.03	88.88	536.45	450.94	305.55	249.73	454.09	90.77	872.1	358.54	387.02	99.43	189.02	480.04	2178.83	1870.53	187.71
IL10RA	289.02	974.5	43.94	688.78	156.59	674.59	163.28	435.55	139.07	241.19	212.78	836.53	92.7	336.79	170.25	236.21	208.38	497.0	684.02	161.02	44.25	69.52	536.45	37.32	65.26	45.53	387.02	126.12	95.34	50.98	1208.34	334.46	265.87	299.25	406.31	79.45	555.41	438.59	52.45	400.71	371.22	36.53	473.41	128.79	165.57	90.14	81.14	395.18	1135.2	8479.89	27.64
IL12B	2.1	34.02	1.19	10.47	0.39	13.52	3.26	14.03	0.33	8.19	4.86	18.16	0.0	10.63	1.45	2.01	1.62	6.78	17.51	2.27	0.3	0.0	0.36	0.36	0.95	0.0	10.31	1.6	4.82	0.0	8.32	7.75	4.74	7.34	0.34	0.39	6.41	2.73	1.68	0.75	5.02	0.36	12.83	0.96	0.34	0.8	5.06	12.18	17.77	12.83	0.0
IL12RB1	43.02	115.97	15.68	165.57	35.0	236.21	20.41	129.69	19.97	57.08	48.18	120.94	9.27	93.35	57.08	46.84	27.64	61.68	91.41	27.84	14.03	19.68	20.11	12.55	18.43	5.68	75.64	18.16	13.22	6.41	303.44	47.17	44.25	60.39	46.84	11.47	111.99	78.89	10.96	43.94	64.8	3.59	147.06	37.32	22.43	7.63	13.03	38.67	237.86	1268.46	5.36
IL2RB	58.3	507.46	11.91	974.5	114.36	688.78	75.11	318.57	136.19	178.77	185.11	599.49	13.72	279.14	101.54	116.78	60.82	165.57	373.81	98.73	15.8	40.36	1529.73	24.99	48.52	8.0	299.25	148.09	92.7	38.95	764.36	171.45	167.9	249.73	80.57	435.55	503.95	169.07	26.1	45.85	265.87	25.72	483.38	46.5	34.02	71.0	28.45	204.07	981.29	1191.69	2.78
IL2RG	514.56	2502.97	73.03	3564.78	343.89	2796.65	251.48	1359.57	105.89	884.29	647.07	2224.63	47.17	1745.2	403.5	902.89	265.87	559.28	1781.89	327.56	44.25	76.71	214.27	81.14	154.42	50.27	1127.35	215.77	283.05	136.19	2609.3	1250.98	674.59	1111.82	267.73	75.64	1733.13	698.41	87.03	327.56	1104.13	53.95	2209.26	486.75	157.68	239.52	87.65	624.99	3794.3	15180.22	13.83
IL9R	8.92	22.26	3.08	23.08	7.4	39.79	4.78	33.06	4.86	24.81	14.45	18.7	7.69	15.0	8.85	8.65	15.56	19.82	21.32	5.41	1.2	4.28	2.51	4.58	8.38	0.88	12.64	7.57	7.94	2.39	112.77	16.03	17.51	20.41	5.36	1.58	11.04	18.29	4.86	9.48	12.83	3.2	30.56	18.03	7.75	0.0	5.32	4.21	32.82	112.77	0.47
IRF5	264.03	239.52	94.67	406.31	138.1	323.03	53.57	255.0	191.67	142.01	125.24	217.27	175.07	146.03	166.73	175.07	91.41	226.54	244.57	127.0	33.54	96.68	112.77	72.52	115.97	45.21	248.0	147.06	97.36	101.54	624.99	211.31	141.02	273.37	327.56	104.42	229.72	351.14	72.01	204.07	141.02	166.73	403.5	141.02	102.25	39.22	115.97	173.85	638.15	486.75	100.13
JAK3	47.17	241.19	10.63	229.72	80.57	379.04	40.36	149.12	50.27	126.12	55.89	373.81	10.55	175.07	58.71	143.01	45.85	154.42	193.01	45.53	12.0	33.54	85.22	31.22	16.75	4.74	153.34	40.36	30.56	26.47	403.5	214.27	88.88	166.73	83.45	14.14	209.84	130.6	28.45	42.41	99.43	9.93	264.03	33.54	17.38	81.71	64.8	169.07	1066.48	764.36	3.06
KCNAB2	264.03	343.89	42.11	438.59	189.02	503.95	77.79	312.0	217.27	246.28	228.13	480.04	67.59	202.66	127.0	172.65	99.43	297.17	447.82	115.16	50.98	74.06	191.67	41.22	81.71	46.84	312.0	96.68	90.77	108.9	1073.91	267.73	170.25	297.17	309.83	85.22	323.03	412.0	86.43	181.28	275.28	153.34	353.59	81.71	363.56	83.45	116.78	162.14	1159.07	3257.52	38.12
