	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.PE.A5DE.01A.11R.A27Q.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.B6.A0I8.01A.11R.A034.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.AC.A2FE.01A.11R.A19W.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.T6MO.1426.SM.4DM73	TCGA.86.8671.01A.11R.2403.07	GTEX.X4EO.0926.SM.3P5Z2	TCGA.FC.A5OB.01A.11R.A29R.07
PDE6G	59.13	115.16	12.93	140.04	26.28	150.17	8.58	79.45	24.99	63.45	46.84	93.35	6.52	176.29	14.24	42.11	19.82	24.99	145.02	13.93	13.72	10.71	18.84	7.11	27.44	8.92	142.01	18.29	15.22	11.04	205.5	55.49	90.14	94.67	20.41	24.99	98.73	64.34	10.63	26.28	46.84	10.79	150.17	22.26	21.32	46.5	31.67	75.11	232.94	884.29	13.03
PRF1	33.54	262.2	11.64	559.28	39.22	400.71	37.85	164.42	12.0	90.77	99.43	224.97	14.14	149.12	63.0	113.56	31.67	98.73	267.73	28.86	7.11	16.75	31.67	19.53	8.85	11.91	221.86	24.81	29.06	22.75	395.18	137.14	68.55	89.51	41.81	8.58	148.09	97.36	16.15	70.51	186.4	2.94	226.54	26.47	26.28	35.5	114.36	134.3	1183.45	1467.37	8.38
PTPN6	1059.11	1594.73	808.0	2451.44	543.96	2209.26	500.46	1277.29	780.44	1059.11	688.78	1662.49	785.88	1977.24	854.13	1407.55	753.83	1073.91	1519.15	1066.48	684.02	909.17	813.63	884.29	842.36	1417.35	1216.75	1127.35	583.07	775.05	2520.38	1794.29	1151.06	1388.16	1745.2	890.44	1073.91	1540.37	733.19	1225.22	1081.39	802.41	1498.22	753.83	1350.18	447.82	941.27	1322.37	3716.2	3467.27	480.04
PTPN7	85.82	332.14	23.59	503.95	74.58	476.71	53.57	237.86	29.27	132.44	125.24	412.0	14.89	217.27	72.52	131.51	72.52	191.67	297.17	67.12	12.0	20.41	49.91	21.47	40.64	13.62	220.32	64.8	64.34	44.25	642.59	183.82	88.88	212.78	73.54	22.26	316.37	206.94	22.1	133.36	215.77	13.72	366.09	79.45	36.27	55.89	36.79	100.13	896.64	2434.5	7.51
PTPRCAP	156.59	954.43	52.08	3690.52	136.19	2133.97	88.88	624.99	67.59	368.65	156.59	1127.35	42.41	387.02	193.01	303.44	59.97	450.94	1313.23	131.51	14.03	37.32	129.69	39.22	57.89	26.28	563.18	66.65	125.24	40.36	1844.76	1051.79	248.0	470.14	142.01	13.93	339.14	555.41	127.89	209.84	283.05	16.75	1199.98	180.02	85.82	53.57	157.68	2319.15	2915.45	5479.15	37.05
PVRIG	25.35	248.0	7.46	444.72	23.93	371.22	23.42	108.9	11.82	54.72	20.26	206.94	15.0	72.52	36.53	40.93	12.27	25.35	198.47	24.81	8.0	8.65	20.41	4.94	6.21	0.0	111.21	12.09	18.03	3.32	316.37	143.01	41.22	86.43	23.42	15.56	49.91	53.95	9.06	30.56	50.63	8.51	154.42	12.64	6.11	13.03	87.65	90.77	373.81	753.83	0.0
RASAL3	131.51	295.11	31.45	429.54	81.71	493.56	44.25	209.84	47.17	150.17	82.29	368.65	25.91	142.01	87.03	145.02	75.11	277.2	309.83	64.34	37.05	47.84	64.34	58.71	81.71	31.9	187.71	74.06	53.57	34.51	896.64	281.09	85.82	205.5	120.1	24.99	218.79	220.32	36.79	140.04	107.38	22.1	301.33	70.01	42.71	50.98	87.03	183.82	1135.2	3257.52	16.88
S1PR4	28.45	166.73	13.03	441.64	26.67	237.86	15.91	75.64	8.19	53.19	24.99	218.79	3.17	63.0	31.9	53.95	13.62	67.12	287.01	24.81	4.98	8.32	31.22	14.56	5.54	4.24	79.45	13.42	17.38	6.78	229.72	163.28	50.98	69.52	25.35	1.75	49.56	87.03	8.0	25.17	45.53	1.97	157.68	29.06	13.32	13.42	6.36	221.86	450.94	493.56	4.31
SASH3	295.11	748.61	66.65	902.89	156.59	825.0	116.78	480.04	120.94	256.78	214.27	764.36	53.95	293.07	208.38	255.0	223.41	346.29	583.07	134.3	46.84	90.14	158.79	62.56	101.54	65.26	450.94	169.07	130.6	54.33	1313.23	507.46	224.97	507.46	258.57	64.8	384.34	412.0	56.68	318.57	379.04	33.06	567.1	157.68	126.12	74.58	37.32	303.44	1498.22	3690.52	12.36
SCGB2A2	964885.69	193234.41	736332.6	299043.36	762299.34	280957.98	701458.36	1800541.22	845824.19	336441.4	800198.39	180294.02	218912.29	978355.0	668235.84	589853.66	1318073.06	875652.15	207103.59	919186.72	296977.71	1163466.92	1238359.56	1788103.97	1034138.94	1751305.3	672883.8	2279047.19	1668359.93	1422501.74	668235.84	887875.81	589853.66	783730.52	1600397.78	834179.46	1524599.69	303217.87	845824.19	8805660.77	912837.43	253213.41	499455.67	894051.48	1578364.61	1442359.14	1019901.63	1503610.06	9.78	0.41	8.99
