	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11DXX.1526.SM.5H115
ADAMTS5	6.21	5.41	6.89	7.06	25.17	785.88	395.18	703.28	454.09	902.89	503.95	476.71	118.43	91.41	0.0	0.28	214.27
ADCY4	47.17	40.64	65.72	77.79	228.13	476.71	473.41	579.04	1331.57	647.07	703.28	521.76	693.58	209.84	0.0	0.82	447.82
AHCTF1	297.17	273.37	567.1	305.55	258.57	595.34	525.39	660.68	665.29	575.03	638.15	547.75	256.78	271.48	0.0	0.61	346.29
AK3	591.22	450.94	830.75	493.56	854.13	1286.18	1498.22	1508.65	1304.15	2148.82	1216.75	1191.69	1277.29	1304.15	0.0	0.56	638.15
AKT3	15.34	28.86	16.51	32.82	93.35	909.17	540.19	567.1	902.89	633.73	674.59	775.05	320.8	244.57	0.0	0.59	145.02
AMOTL2	70.51	269.6	88.26	72.01	616.37	1304.15	2104.58	1709.26	1551.09	2047.0	2075.59	2720.15	796.86	967.76	0.0	0.28	514.56
ANKRD28	189.02	194.36	366.09	183.82	248.0	764.36	507.46	651.58	796.86	748.61	647.07	555.41	791.35	457.25	0.0	0.42	215.77
AP000695.1	0.62	0.6	0.58	0.0	0.34	3.06	1.13	0.79	1.1	3.14	0.0	1.17	0.0	0.0	0.0	0.05	0.0
APPBP2	127.0	172.65	158.79	119.26	201.25	551.56	444.72	567.1	587.13	656.11	536.45	470.14	297.17	332.14	0.0	0.45	237.86
ARHGAP35	140.04	197.09	232.94	132.44	329.84	866.07	674.59	941.27	842.36	629.35	769.69	679.29	358.54	417.77	0.0	0.41	486.75
ARHGEF7	389.72	299.25	379.04	493.56	309.83	791.35	748.61	1044.52	1073.91	1023.0	890.44	780.44	753.83	551.56	0.0	0.38	463.65
ARL6IP5	2104.58	2555.58	718.08	1407.55	2240.11	4328.55	3614.55	3901.01	3515.68	6337.83	3146.52	4010.71	5441.3	3690.52	0.0	0.8	2384.37
ATG13	305.55	470.14	532.74	587.13	941.27	1143.1	1037.29	1167.14	1008.9	1044.52	1051.79	1242.34	1030.12	651.58	791.35	178.77	669.92
AUTS2	100.13	181.28	116.78	109.66	244.57	1286.18	647.07	1259.69	1015.93	1199.98	967.76	665.29	265.87	457.25	155.5	332.14	289.02
AZGP1	1467.37	8.85	1081.39	194.36	269.6	28723.62	29943.43	25179.16	27938.14	13776.25	21026.65	23986.58	902.89	521.76	0.0	0.09	14.03
BMP4	34.51	100.83	105.15	58.71	341.51	536.45	373.81	500.46	463.65	332.14	397.93	607.87	703.28	688.78	0.0	0.41	368.65
BMPR2	195.72	206.94	171.45	157.68	260.38	802.41	563.18	579.04	830.75	872.1	647.07	665.29	473.41	470.14	0.0	0.13	332.14
C10orf128	65.72	22.92	44.89	53.95	275.28	587.13	825.0	607.87	1208.34	921.88	866.07	928.3	854.13	295.11	0.0	0.36	493.56
C10orf82	115.97	16.03	0.31	11.38	5.41	66.65	59.97	77.79	26.1	24.99	25.17	51.35	297.17	71.5	0.0	0.16	1.91
C1QTNF9	0.92	0.6	0.58	0.0	9.7	34.02	43.32	26.86	38.67	69.03	55.49	127.0	25.17	4.62	0.0	0.0	8.85
