	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.KC.A4BV.01A.31R.A26U.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
CSF1R	450.94	150.17	18.16	69.52	166.73	476.71	316.37	140.04	507.46	343.89	173.85	211.31	255.0	307.69	113.56	190.34	129.69	336.79	457.25	89.51	82.29	92.05	842.36	463.65	265.87	132.44	414.87	87.03	234.57	395.18	384.34	96.68	151.22	329.84	32.82	273.37	974.5	769.69	113.56	165.57	64.34	414.87	55.89	228.13	136.19	115.16	232.94	381.68	813.63	107.38	260.38	66.18	190.34	156.59	256.78	141.02	144.01	265.87	44.89	665.29	503.95	423.61	129.69	141.02	100.83	94.01	59.97	305.55	63.0	255.0	114.36	82.87	99.43	224.97	92.05	152.28	154.42	212.78	540.19	301.33	78.89	389.72	78.89	101.54	108.9	341.51	368.65	249.73	361.04	217.27	718.08
CSF2RA	46.18	14.45	4.28	13.93	19.97	47.84	37.85	22.75	47.84	25.91	26.86	28.24	27.25	47.84	15.68	21.63	19.97	56.28	54.72	10.96	17.77	13.93	96.68	123.5	28.45	13.22	52.08	19.82	29.91	59.55	55.49	21.47	20.86	37.32	5.11	44.89	195.72	87.03	13.83	28.65	8.92	48.18	10.63	22.43	15.8	18.29	38.4	29.27	105.89	16.15	30.12	3.99	22.43	13.42	37.32	25.72	12.45	39.22	5.19	121.79	70.51	43.32	14.89	13.93	14.24	7.46	9.27	38.95	5.96	40.07	13.03	11.55	15.68	24.46	6.89	22.59	22.92	28.04	99.43	31.0	8.99	50.63	8.71	9.7	10.47	60.82	39.22	101.54	52.82	22.92	80.57
CSF2RB	56.28	12.0	2.97	7.57	16.03	90.14	37.85	46.84	59.97	36.79	19.53	15.22	34.02	38.4	27.84	15.11	37.32	49.21	75.11	11.21	13.42	8.32	82.29	171.45	40.64	13.52	84.63	12.55	28.86	51.35	95.34	17.25	18.16	40.07	3.82	14.67	224.97	120.1	12.64	23.42	7.94	69.03	7.63	40.64	108.9	19.11	50.98	29.06	156.59	13.52	28.45	9.06	28.04	23.93	76.17	13.93	19.82	17.38	9.85	71.0	116.78	50.98	18.16	10.63	11.55	12.09	9.41	55.1	7.88	21.78	13.32	8.13	13.62	38.12	4.9	34.51	24.63	29.91	55.89	17.9	8.78	32.82	9.41	10.16	8.85	46.5	70.01	127.89	71.0	23.42	67.59
CXCR4	928.3	265.87	73.03	156.59	287.01	624.99	738.29	1594.73	896.64	633.73	603.67	684.02	348.71	466.88	403.5	363.56	780.44	928.3	1806.78	193.01	435.55	249.73	1417.35	2701.35	802.41	223.41	1991.0	224.97	555.41	995.0	2664.15	521.76	660.68	802.41	75.11	366.09	4210.15	1259.69	307.69	656.11	307.69	723.08	190.34	389.72	204.07	297.17	1769.57	679.29	2061.24	217.27	457.25	199.85	363.56	483.38	563.18	255.0	647.07	395.18	125.24	2520.38	1369.04	896.64	297.17	309.83	314.17	162.14	146.03	1104.13	193.01	836.53	356.05	368.65	497.0	785.88	82.29	299.25	432.53	253.23	1977.24	417.77	346.29	896.64	171.45	450.94	175.07	842.36	1605.83	1583.71	1295.13	435.55	1277.29
CXorf21	17.51	4.06	0.0	1.27	7.69	22.59	27.64	14.89	24.81	15.22	13.32	7.69	7.63	16.51	8.06	2.51	5.92	13.72	22.75	5.68	3.35	2.32	35.25	36.01	10.71	4.58	16.88	2.36	15.45	15.56	28.65	8.0	5.11	13.12	2.71	6.11	71.5	34.02	4.06	5.82	1.73	32.82	3.5	5.73	7.63	3.59	10.63	13.42	42.71	5.87	7.63	2.53	8.25	7.82	22.26	2.71	5.02	8.85	1.95	33.54	25.17	16.27	4.82	2.32	3.59	2.27	0.33	14.03	2.2	10.71	2.53	2.27	3.76	10.96	1.73	7.0	9.7	8.78	27.44	5.19	2.36	13.32	1.46	6.06	4.21	13.32	26.47	31.45	14.67	12.74	26.67
CYTH4	75.11	41.52	8.92	24.99	49.91	115.97	112.77	98.04	105.15	94.67	53.95	57.89	82.29	92.7	25.17	91.41	45.85	84.63	153.34	29.48	23.59	21.16	221.86	137.14	140.04	42.41	131.51	42.11	58.3	113.56	171.45	42.41	63.45	123.5	22.92	57.89	343.89	169.07	33.3	53.19	16.51	199.85	15.56	58.71	105.89	43.94	73.03	74.06	269.6	20.26	41.52	15.91	62.56	76.71	82.29	39.5	47.5	84.63	21.94	194.36	178.77	108.14	43.94	36.53	34.26	27.25	18.03	82.87	14.67	97.36	27.44	24.11	44.89	52.82	30.56	59.13	60.82	77.79	113.56	69.52	21.16	102.25	23.42	38.95	33.54	107.38	135.24	127.89	102.97	64.8	100.83
DOCK10	64.8	9.85	8.38	21.47	31.22	77.79	94.67	72.52	115.16	71.0	26.86	52.08	54.33	83.45	37.85	34.02	35.0	36.01	111.99	27.44	14.56	26.47	94.67	198.47	69.52	23.76	116.78	33.54	44.25	108.14	125.24	24.28	53.57	75.11	3.0	27.05	466.88	129.69	8.92	16.88	23.59	126.12	16.27	68.55	57.08	22.1	108.14	47.5	260.38	28.86	54.33	10.24	20.71	45.53	64.34	21.01	26.86	50.98	15.8	130.6	140.04	100.13	21.94	27.25	18.84	27.25	11.13	57.89	15.91	40.93	39.5	20.86	15.22	56.68	17.25	25.91	21.32	47.5	104.42	43.94	11.21	103.69	18.84	23.59	23.59	75.11	67.12	126.12	103.69	38.95	118.43
DOCK11	72.01	8.71	15.8	8.51	25.72	41.81	38.12	50.63	94.67	42.41	14.45	43.32	43.94	46.18	31.0	21.16	32.59	43.32	78.34	9.2	10.79	17.13	63.0	63.89	35.25	25.35	55.49	14.45	28.86	35.76	62.56	14.14	19.53	43.94	3.63	18.7	133.36	71.5	16.88	28.65	22.92	45.21	30.34	31.0	46.5	15.8	45.21	34.26	109.66	27.05	36.79	7.94	17.64	21.47	39.5	19.97	15.8	20.26	30.12	57.89	113.56	67.12	19.39	31.22	6.89	27.05	16.39	38.4	14.45	17.51	23.42	8.13	10.31	23.59	7.75	38.4	28.24	24.28	77.25	21.32	11.38	49.21	13.03	17.64	15.56	46.84	42.71	56.28	43.02	45.21	77.79
DOCK2	116.78	40.36	18.16	21.16	50.98	112.77	74.06	108.14	100.13	87.03	58.71	52.82	73.03	94.01	33.54	65.26	76.17	88.26	169.07	28.04	33.06	26.47	167.9	248.0	100.13	30.56	115.97	17.13	52.45	149.12	162.14	47.17	56.68	103.69	10.08	50.63	503.95	176.29	27.05	46.5	21.63	96.68	30.78	38.12	74.58	30.56	109.66	73.03	320.8	33.3	55.1	18.7	46.5	65.72	75.64	35.5	37.85	67.12	12.0	242.88	166.73	84.04	31.9	58.71	26.28	24.28	17.51	69.52	16.63	63.0	34.02	32.59	31.9	63.89	17.51	53.19	36.79	65.72	167.9	55.1	22.1	86.43	29.91	40.64	30.12	82.87	125.24	118.43	104.42	49.21	133.36
EPB41L2	540.19	84.63	35.25	90.14	191.67	379.04	329.84	212.78	483.38	368.65	166.73	303.44	293.07	314.17	248.0	217.27	130.6	379.04	417.77	71.0	119.26	104.42	493.56	397.93	341.51	137.14	559.28	129.69	154.42	389.72	454.09	138.1	198.47	295.11	44.25	151.22	587.13	525.39	96.01	191.67	185.11	379.04	73.54	271.48	336.79	144.01	244.57	348.71	503.95	166.73	273.37	70.01	166.73	195.72	256.78	149.12	151.22	224.97	74.06	638.15	647.07	607.87	133.36	138.1	122.64	146.03	69.03	314.17	63.89	242.88	115.97	94.67	83.45	209.84	40.64	228.13	141.02	229.72	764.36	316.37	144.01	379.04	72.52	134.3	94.67	414.87	476.71	373.81	447.82	435.55	656.11
EVI2A	110.43	39.79	8.06	15.0	40.64	120.94	90.77	83.45	118.43	71.0	66.18	56.68	91.41	100.83	43.63	39.5	55.49	79.45	111.21	21.47	40.93	32.13	150.17	234.57	97.36	33.06	144.01	43.32	43.02	112.77	152.28	41.81	80.57	110.43	8.78	59.13	343.89	164.42	25.35	77.79	29.91	88.26	20.86	46.18	102.25	23.42	104.42	85.82	303.44	31.0	65.26	13.32	50.98	43.63	64.34	30.56	37.32	62.56	22.59	283.05	193.01	103.69	34.02	24.46	20.11	20.11	15.68	83.45	24.63	75.11	30.78	33.78	28.45	42.71	14.89	63.0	35.5	51.35	180.02	49.21	19.53	100.83	11.38	37.05	28.24	135.24	109.66	327.56	85.22	48.18	128.79
EVI2B	215.77	47.84	9.78	21.01	63.0	171.45	132.44	175.07	170.25	126.12	86.43	77.79	127.89	139.07	62.56	52.82	111.99	140.04	265.87	38.4	51.35	54.33	305.55	441.64	159.9	48.87	239.52	48.18	63.0	251.48	181.28	74.06	66.65	149.12	7.17	60.39	703.28	271.48	42.71	77.79	33.06	113.56	36.79	52.45	94.67	41.52	187.71	120.1	607.87	34.51	84.63	10.79	69.52	70.01	87.03	48.87	68.55	118.43	30.34	420.68	339.14	157.68	52.08	53.95	30.78	39.5	19.53	118.43	33.3	118.43	51.71	38.4	39.22	75.11	18.56	74.06	47.84	113.56	273.37	73.54	31.67	187.71	24.99	43.02	46.18	170.25	152.28	323.03	169.07	77.79	265.87
FGD6	66.18	8.58	13.12	28.24	26.1	74.06	34.75	28.65	57.08	84.63	29.06	33.54	48.52	43.02	33.54	23.25	24.28	29.7	52.45	31.9	21.94	20.26	80.01	78.89	28.04	21.47	46.18	21.94	22.1	47.17	47.5	18.56	51.71	37.05	11.13	19.25	85.82	72.52	13.83	21.94	19.25	49.91	23.25	36.53	31.22	21.47	32.82	42.71	82.87	22.43	28.24	31.0	19.53	31.0	57.08	29.06	18.29	26.67	17.51	33.78	96.01	70.51	29.7	26.47	15.45	19.68	18.29	38.95	12.93	25.72	19.97	22.75	12.93	25.35	9.63	23.93	22.26	32.59	59.55	34.75	18.97	41.81	26.67	11.91	17.51	48.52	44.25	47.84	48.87	53.57	87.65
FGL2	269.6	44.89	10.71	23.76	100.83	215.77	186.4	71.5	279.14	141.02	93.35	114.36	111.99	138.1	70.01	51.35	57.08	190.34	121.79	57.49	108.14	42.11	253.23	303.44	182.55	53.19	309.83	53.19	144.01	161.02	246.28	82.87	62.56	146.03	11.64	94.67	514.56	251.48	81.14	84.04	48.18	166.73	44.89	114.36	81.71	43.32	131.51	122.64	450.94	75.64	120.94	26.47	45.21	67.12	147.06	70.51	75.64	111.99	38.12	253.23	273.37	178.77	52.08	69.52	38.95	46.18	24.11	199.85	45.85	70.51	72.52	39.79	53.19	92.7	27.84	90.77	59.13	81.71	289.02	82.29	57.89	199.85	25.91	68.07	38.4	246.28	220.32	409.15	191.67	147.06	379.04
FMNL3	133.36	35.25	13.93	57.49	73.03	231.32	151.22	102.97	211.31	102.97	95.34	87.03	109.66	145.02	79.45	87.65	71.5	103.69	166.73	50.63	75.64	67.12	241.19	163.28	112.77	48.87	137.14	35.25	99.43	163.28	139.07	53.57	90.14	176.29	32.59	74.06	373.81	244.57	43.63	78.89	62.56	185.11	32.59	146.03	149.12	55.89	127.0	170.25	241.19	64.34	119.26	38.95	67.59	92.05	74.58	75.64	80.01	118.43	28.04	269.6	212.78	181.28	66.65	64.8	51.71	43.94	48.87	143.01	26.28	109.66	70.51	65.72	72.01	94.67	25.72	92.05	104.42	97.36	320.8	117.6	60.39	190.34	39.79	58.3	54.33	121.79	173.85	116.78	111.99	106.63	191.67
FYB	143.01	6.67	2.16	10.63	21.63	61.25	63.0	90.14	146.03	47.84	20.41	28.86	70.01	56.68	19.53	22.75	70.01	46.18	63.45	21.94	14.78	14.78	107.38	258.57	63.45	19.53	117.6	12.27	30.12	93.35	105.15	19.11	38.12	50.63	0.35	7.51	334.46	134.3	21.16	17.25	9.63	77.25	13.32	18.16	12.45	14.35	110.43	63.89	417.77	31.9	53.19	8.06	23.76	22.75	84.63	21.16	29.06	56.68	13.62	152.28	153.34	96.01	22.1	38.67	17.64	14.56	7.22	43.63	10.31	21.94	17.0	12.09	12.27	42.41	4.28	25.91	18.7	21.78	191.67	30.12	15.0	71.0	16.27	14.14	16.03	77.79	52.82	144.01	101.54	27.44	132.44
GAPT	56.28	11.21	0.0	6.16	16.63	50.98	41.81	29.91	50.63	34.02	22.1	14.78	31.67	52.08	12.55	22.59	24.99	21.01	72.01	8.0	13.32	10.63	112.77	50.27	17.64	8.0	51.35	17.0	13.93	63.45	24.28	13.83	14.67	64.34	2.03	27.64	106.63	80.01	3.66	16.27	5.73	37.59	3.69	18.7	29.27	14.67	38.4	25.72	105.15	14.03	33.3	7.4	23.59	8.65	23.93	15.45	13.62	53.57	17.13	166.73	103.69	41.52	10.39	21.78	4.17	8.25	3.44	17.0	3.38	37.32	19.25	9.78	6.11	25.91	8.45	24.99	13.93	34.02	122.64	31.67	7.51	55.89	7.69	8.85	9.63	34.75	39.5	54.72	37.85	34.26	96.68
GPR132	23.59	10.96	3.17	6.01	19.25	38.12	23.76	30.56	29.48	25.54	14.67	18.56	13.12	24.46	11.91	11.38	11.21	28.65	34.26	8.78	8.25	6.67	48.52	76.17	18.56	8.38	20.56	3.5	23.42	22.26	78.89	16.15	17.9	20.56	2.14	22.59	149.12	59.13	6.31	16.63	6.57	52.08	3.99	11.82	10.71	15.68	31.9	17.9	94.67	8.38	13.83	2.14	12.74	14.14	26.47	8.99	8.38	22.1	1.95	36.01	40.64	25.35	8.25	9.13	5.54	7.57	3.69	22.92	5.68	23.59	6.36	10.39	13.42	24.46	3.96	12.74	13.22	15.0	34.51	14.45	6.41	30.34	4.62	15.11	8.19	23.42	40.93	47.5	31.9	12.27	36.79
GPR183	167.9	42.11	9.13	29.48	78.89	106.63	208.38	189.02	297.17	77.25	197.09	117.6	51.71	115.16	46.5	52.82	74.06	211.31	231.32	32.82	131.51	34.02	275.28	403.5	148.09	33.3	563.18	65.26	218.79	170.25	665.29	81.71	80.57	108.9	17.38	49.56	1001.93	185.11	49.21	72.52	51.71	201.25	40.64	30.56	43.63	71.5	199.85	118.43	301.33	50.63	100.83	17.64	43.63	128.79	309.83	31.22	99.43	30.34	22.75	620.67	229.72	125.24	35.0	38.95	31.0	37.59	26.67	209.84	23.76	75.64	31.0	33.78	119.26	111.99	6.94	77.79	76.71	61.25	190.34	49.56	75.64	151.22	16.88	151.22	38.12	167.9	423.61	559.28	217.27	84.04	195.72
GPR55	4.78	1.51	0.0	1.23	1.91	9.2	4.21	6.41	3.99	6.84	2.58	0.99	2.27	4.9	1.66	1.04	4.21	4.54	8.06	1.23	0.72	1.93	7.4	7.46	2.73	0.96	3.53	0.99	1.3	3.76	4.13	1.25	1.07	3.86	0.0	2.84	21.63	8.85	0.6	0.71	0.67	6.84	0.3	3.32	4.28	1.28	5.23	2.46	22.43	0.64	0.97	0.0	1.95	4.35	2.27	1.31	2.46	3.56	0.3	10.16	9.63	4.35	0.95	3.53	1.93	0.95	0.62	1.58	0.92	1.71	1.53	1.27	0.6	4.78	0.56	2.05	2.23	2.56	6.31	5.82	0.97	4.54	0.27	2.66	1.03	5.36	6.26	4.17	4.86	6.62	8.71
GPR65	38.95	10.79	6.36	15.8	22.26	49.56	31.9	37.32	49.56	24.11	24.11	28.04	39.5	42.71	30.78	20.11	17.51	30.34	32.36	10.63	19.25	9.27	58.71	57.49	31.9	16.75	55.1	10.55	24.81	37.85	79.45	17.51	18.7	42.71	4.62	18.56	159.9	55.49	9.13	34.51	9.7	57.08	3.56	13.72	65.26	16.75	34.02	26.86	100.83	10.96	21.32	7.46	17.0	22.75	40.36	11.3	24.63	38.95	5.02	108.9	60.39	42.71	15.22	9.63	9.56	10.88	7.75	40.07	5.54	30.12	7.22	11.21	16.75	35.25	5.11	19.39	21.16	29.06	76.17	11.64	9.41	32.82	2.66	12.74	8.78	42.11	55.1	113.56	53.19	24.81	52.82
GPRIN3	27.84	3.66	1.53	3.35	9.13	19.25	14.24	13.42	30.56	14.03	11.04	9.48	10.79	13.72	6.21	9.63	8.92	12.27	16.27	4.78	5.11	4.21	19.82	57.49	10.55	3.82	23.76	4.66	7.22	18.16	29.91	9.41	13.93	17.77	1.51	5.92	68.55	22.92	5.41	5.02	3.26	23.76	4.06	7.63	9.78	5.28	15.56	15.45	44.89	7.11	13.72	3.0	4.98	9.2	16.51	6.16	6.94	10.39	2.36	35.25	28.04	19.25	7.34	6.01	4.21	3.44	2.71	13.62	2.27	10.16	4.03	7.0	4.74	11.64	1.79	6.41	5.96	9.93	29.27	8.65	4.28	13.93	3.11	5.82	4.1	18.84	21.47	33.54	18.56	8.45	23.08
GPSM3	228.13	139.07	31.45	57.89	177.53	309.83	231.32	435.55	221.86	297.17	140.04	166.73	205.5	248.0	122.64	144.01	181.28	244.57	543.96	79.45	93.35	90.14	450.94	543.96	271.48	92.05	283.05	74.06	173.85	316.37	432.53	158.79	157.68	242.88	41.81	217.27	1127.35	417.77	112.77	177.53	81.14	273.37	60.82	145.02	212.78	153.34	351.14	172.65	819.3	74.58	133.36	37.59	135.24	158.79	150.17	104.42	134.3	169.07	50.98	693.58	406.31	267.73	141.02	132.44	115.16	109.66	55.1	183.82	63.45	309.83	103.69	104.42	111.99	226.54	65.26	156.59	176.29	201.25	336.79	189.02	127.89	271.48	44.25	124.37	92.7	297.17	403.5	587.13	363.56	217.27	409.15
HCK	153.34	33.78	11.3	28.45	111.21	190.34	120.1	91.41	138.1	115.16	106.63	82.29	113.56	119.26	48.18	92.05	57.89	120.1	166.73	38.4	54.72	33.3	303.44	356.05	132.44	50.98	199.85	42.41	106.63	224.97	197.09	67.12	66.18	105.89	24.11	105.15	480.04	346.29	57.08	50.27	17.25	176.29	31.45	78.89	45.85	59.97	71.5	85.82	381.68	44.25	70.51	18.29	77.25	64.8	201.25	52.08	36.79	105.89	27.84	353.59	212.78	146.03	59.97	47.17	41.22	33.54	20.11	100.83	16.51	87.03	37.59	33.06	40.64	101.54	25.54	66.65	56.28	101.54	206.94	70.51	28.65	121.79	24.99	63.0	42.11	185.11	170.25	249.73	148.09	94.67	211.31
HCLS1	457.25	265.87	41.52	112.77	293.07	583.07	423.61	497.0	423.61	379.04	251.48	260.38	279.14	392.44	220.32	232.94	236.21	417.77	738.29	127.89	171.45	167.9	684.02	954.43	366.09	148.09	417.77	170.25	265.87	551.56	693.58	237.86	283.05	423.61	86.43	325.29	1950.0	748.61	143.01	291.04	124.37	457.25	104.42	249.73	318.57	209.84	514.56	409.15	1359.57	142.01	236.21	75.64	204.07	264.03	314.17	187.71	201.25	265.87	84.63	896.64	698.41	392.44	220.32	181.28	186.4	115.97	83.45	339.14	70.01	339.14	185.11	182.55	143.01	316.37	92.05	237.86	228.13	297.17	713.11	348.71	154.42	450.94	85.22	161.02	123.5	384.34	529.06	521.76	403.5	314.17	629.35
HLA-DOA	190.34	48.87	14.45	33.3	96.68	336.79	195.72	204.07	267.73	291.04	113.56	105.15	152.28	172.65	90.77	120.1	92.05	215.77	281.09	45.85	60.82	69.52	463.65	785.88	128.79	42.11	224.97	46.84	108.14	248.0	246.28	77.79	90.77	178.77	10.39	117.6	1051.79	414.87	65.72	88.88	45.53	231.32	33.54	113.56	85.82	87.03	163.28	189.02	660.68	58.3	124.37	29.91	120.1	143.01	84.04	74.06	102.25	181.28	32.13	748.61	303.44	309.83	80.01	118.43	77.79	63.89	31.9	120.1	32.59	103.69	73.54	60.82	66.18	180.02	44.57	75.64	102.25	229.72	325.29	172.65	44.89	146.03	50.27	84.63	56.68	353.59	346.29	426.57	376.41	211.31	532.74
HTR7	5.77	0.32	0.61	0.95	5.68	11.73	10.0	2.36	8.58	7.46	3.23	3.63	4.58	4.9	3.0	2.46	2.27	3.14	7.94	0.95	2.2	1.64	17.9	12.09	4.1	1.95	13.62	5.28	4.9	6.46	9.85	0.96	2.53	6.94	0.6	1.93	26.67	12.0	2.16	1.08	1.71	8.38	0.0	4.94	1.33	0.66	3.92	5.92	9.27	0.99	3.59	0.72	4.24	3.69	5.82	2.34	4.24	1.64	1.3	19.53	10.55	8.32	2.86	2.27	2.92	1.6	0.96	8.45	0.95	3.44	1.57	1.93	2.48	9.48	0.87	2.43	2.25	4.5	10.55	4.78	2.32	8.32	1.73	2.01	2.1	17.0	11.38	11.82	10.55	2.71	7.06
IL10RA	189.02	55.49	11.91	31.67	68.55	201.25	139.07	156.59	244.57	126.12	91.41	131.51	115.16	166.73	80.57	77.79	67.12	147.06	183.82	43.02	38.4	37.32	301.33	293.07	167.9	60.82	279.14	23.42	113.56	151.22	273.37	101.54	98.73	153.34	11.73	81.14	878.17	244.57	43.63	75.64	28.45	211.31	28.24	82.87	61.68	89.51	175.07	127.89	529.06	46.84	146.03	32.36	71.0	127.89	100.13	66.18	72.01	85.22	27.05	334.46	267.73	151.22	76.71	47.84	38.12	44.25	29.06	167.9	31.67	137.14	50.27	50.27	43.32	105.15	30.12	71.0	93.35	111.21	256.78	71.0	37.32	144.01	23.08	63.89	46.84	182.55	175.07	283.05	173.85	98.04	223.41
IL16	180.02	43.32	12.09	28.86	64.34	148.09	151.22	229.72	163.28	120.1	57.89	105.15	81.14	115.97	80.57	71.5	87.65	144.01	246.28	34.26	26.67	53.95	241.19	297.17	152.28	41.22	162.14	38.12	68.07	154.42	214.27	72.01	74.58	169.07	7.75	98.73	896.64	269.6	51.35	92.7	35.5	135.24	12.55	62.56	66.65	60.39	166.73	98.73	525.39	34.26	105.89	22.75	63.45	102.25	81.71	63.0	90.77	63.89	26.47	289.02	323.03	165.57	69.52	46.5	44.57	29.91	43.32	122.64	37.05	93.35	44.25	43.63	38.67	116.78	23.93	78.89	54.72	127.0	218.79	78.89	31.0	149.12	20.86	47.84	48.87	176.29	208.38	341.51	197.09	108.14	241.19
IL27RA	85.22	51.71	11.91	20.56	115.16	89.51	110.43	108.9	77.25	112.77	59.55	26.86	53.57	85.82	64.8	27.25	39.79	67.12	102.25	31.45	22.26	37.59	120.1	152.28	59.13	34.02	73.54	25.91	45.21	165.57	67.59	36.01	32.36	59.13	23.93	55.1	253.23	173.85	30.78	51.71	62.12	94.67	11.13	55.49	84.04	57.49	60.39	78.34	209.84	43.94	40.93	11.13	36.27	57.08	75.11	30.12	36.01	34.02	30.56	96.68	127.89	127.89	38.4	48.87	31.9	26.47	12.55	53.95	36.01	82.87	24.28	40.36	24.99	57.49	16.63	26.86	34.51	67.12	94.67	63.89	40.36	55.89	36.79	47.84	41.52	92.05	137.14	113.56	90.14	102.25	154.42
INPP5D	277.2	46.84	24.46	33.06	90.77	265.87	189.02	242.88	251.48	228.13	100.13	120.1	182.55	187.71	108.9	106.63	107.38	267.73	343.89	58.71	81.14	68.07	420.68	323.03	177.53	59.13	206.94	53.57	120.94	244.57	244.57	128.79	155.5	224.97	16.63	117.6	748.61	409.15	64.34	119.26	57.08	223.41	29.7	140.04	120.94	140.04	260.38	183.82	583.07	67.59	156.59	35.5	115.16	127.0	140.04	85.82	99.43	119.26	29.7	563.18	387.02	309.83	126.12	120.1	61.25	45.21	27.25	161.02	28.45	180.02	55.1	79.45	69.03	171.45	34.51	89.51	103.69	127.0	329.84	185.11	73.54	228.13	34.26	75.64	62.56	327.56	571.05	307.69	327.56	173.85	567.1
