	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.KC.A4BV.01A.31R.A26U.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
CARD6	33.54	9.7	2.43	7.51	16.39	50.63	32.59	12.45	46.5	18.43	11.91	15.0	23.08	20.11	19.97	12.93	8.85	27.05	33.78	7.22	10.71	10.96	40.64	27.84	28.04	11.91	34.26	7.28	15.56	32.82	29.06	10.39	17.13	29.06	4.62	12.09	46.5	40.07	8.13	19.25	11.82	24.63	4.21	21.94	28.65	11.21	19.68	23.93	45.53	12.93	29.48	7.06	10.71	14.45	18.97	10.16	13.72	15.45	6.01	36.79	55.1	43.02	14.03	11.91	8.85	9.13	33.3	24.63	4.5	16.27	14.78	11.82	11.38	21.32	2.61	24.99	15.91	17.64	37.59	23.08	9.7	25.91	4.82	8.71	8.38	37.32	37.59	48.52	24.81	27.64	52.08
CASS4	20.71	2.23	1.27	7.22	2.32	13.03	14.67	7.51	19.53	10.0	4.94	13.52	9.2	9.56	9.06	21.16	5.92	17.0	16.03	3.2	7.75	3.99	25.17	28.45	8.99	4.94	27.25	4.39	12.83	13.42	24.99	8.92	6.57	11.64	2.73	3.26	48.87	18.29	2.23	7.94	4.17	12.09	4.46	4.06	8.32	3.63	12.18	9.2	34.75	5.87	7.94	7.17	9.85	7.46	21.63	7.69	6.11	9.85	0.69	19.11	16.88	12.83	5.5	4.94	6.84	3.29	4.21	8.92	0.99	5.92	5.68	5.82	6.26	10.96	1.2	4.94	15.91	4.58	18.84	10.96	3.38	13.62	3.23	4.74	4.24	15.8	21.78	25.54	29.06	7.11	27.25
CCR2	36.27	7.63	3.59	3.72	18.56	54.33	49.21	20.56	59.55	53.95	10.24	26.28	19.68	59.55	17.77	6.31	14.78	22.43	53.95	8.38	2.18	17.0	74.06	59.55	38.67	10.55	65.72	18.03	12.64	39.79	49.91	8.51	15.68	39.79	1.19	14.14	166.73	107.38	8.85	20.41	5.11	40.93	1.89	10.88	8.85	13.42	20.11	34.51	175.07	7.06	26.86	3.2	15.22	22.75	31.0	14.78	11.91	20.86	4.46	53.95	105.15	78.34	7.28	13.72	5.77	7.0	5.36	29.7	7.69	21.01	9.27	8.85	5.87	23.93	4.24	17.77	7.63	21.16	26.67	12.83	7.22	25.72	6.01	9.85	15.11	73.03	32.13	72.01	35.76	25.91	66.65
CD180	24.81	3.26	1.81	4.17	10.79	31.9	14.89	30.12	31.0	38.4	15.56	10.0	31.45	24.46	6.06	17.25	13.42	11.21	70.01	5.63	5.28	9.78	65.26	59.97	21.01	5.82	43.94	10.31	12.74	59.13	22.59	5.45	6.57	31.9	3.92	11.13	151.22	96.01	10.47	7.17	3.96	41.81	4.78	7.88	7.17	12.18	23.25	12.64	85.22	3.14	10.55	4.13	15.11	11.04	19.97	7.57	10.08	29.7	3.69	100.13	57.49	41.52	9.27	8.85	7.06	7.28	3.38	9.85	2.43	17.13	7.34	2.51	4.43	16.27	1.97	6.26	7.0	18.43	50.27	6.84	4.43	18.97	7.57	8.19	6.26	32.59	15.11	52.45	16.15	12.83	38.12
CD200R1	7.46	3.08	1.51	0.95	2.56	10.79	12.45	7.06	15.22	8.51	2.92	6.94	7.17	10.71	6.31	3.17	4.86	5.23	11.47	1.57	1.11	2.29	19.11	24.11	7.82	2.27	29.7	4.98	5.23	7.88	14.03	3.5	4.7	8.71	0.6	4.78	39.22	15.8	2.78	3.23	0.69	11.64	2.51	4.98	16.51	4.21	9.78	6.67	49.56	2.27	9.41	2.51	3.92	4.7	6.16	3.99	3.53	3.26	1.93	15.56	18.7	13.32	3.5	3.26	1.95	0.33	1.93	11.3	0.95	7.51	1.89	2.58	3.11	7.34	1.16	2.78	3.53	7.69	12.18	6.84	1.0	10.24	0.88	5.32	3.47	22.75	14.14	30.78	11.91	5.02	17.38
CD4	346.29	120.94	24.46	71.5	165.57	307.69	242.88	275.28	356.05	262.2	178.77	172.65	258.57	281.09	120.94	172.65	183.82	220.32	420.68	78.34	115.16	90.77	540.19	674.59	251.48	92.7	366.09	70.51	208.38	503.95	376.41	169.07	156.59	221.86	40.36	186.4	947.83	620.67	106.63	101.54	45.21	363.56	59.97	145.02	111.21	88.26	228.13	217.27	954.43	93.35	164.42	47.5	166.73	176.29	229.72	105.15	121.79	218.79	56.28	660.68	521.76	295.11	134.3	102.97	89.51	70.01	54.72	229.72	51.71	204.07	84.63	68.07	81.71	135.24	47.84	162.14	109.66	177.53	460.44	144.01	60.39	289.02	69.03	120.1	76.71	223.41	299.25	373.81	249.73	108.9	441.64
CD53	466.88	228.13	43.63	121.79	309.83	563.18	400.71	587.13	447.82	460.44	341.51	255.0	444.72	389.72	187.71	258.57	289.02	379.04	743.43	122.64	176.29	175.07	748.61	1359.57	432.53	140.04	595.34	148.09	251.48	728.11	708.18	262.2	201.25	414.87	58.71	281.09	2240.11	928.3	177.53	293.07	135.24	521.76	121.79	208.38	305.55	193.01	595.34	262.2	1794.29	125.24	248.0	69.03	251.48	264.03	379.04	135.24	234.57	392.44	92.7	1104.13	743.43	389.72	185.11	185.11	133.36	109.66	79.45	327.56	102.25	368.65	187.71	173.85	129.69	281.09	84.63	258.57	178.77	334.46	708.18	285.03	128.79	420.68	102.25	186.4	171.45	460.44	503.95	909.17	450.94	289.02	603.67
CHST11	76.71	25.17	5.54	13.22	57.49	96.68	78.89	90.77	91.41	65.72	59.13	43.63	46.5	58.3	42.11	26.67	32.59	55.49	94.01	25.35	19.82	26.28	141.02	150.17	76.17	20.11	90.14	20.41	51.35	106.63	86.43	31.67	50.63	53.57	9.34	32.82	220.32	135.24	31.67	32.13	29.48	72.01	12.74	46.84	49.56	42.71	89.51	77.25	163.28	23.59	59.55	7.57	29.48	49.56	105.89	32.59	33.78	35.76	32.82	117.6	88.26	90.14	41.81	32.82	35.25	27.84	15.8	45.85	15.11	90.14	26.47	37.32	26.86	64.8	12.18	22.26	32.82	38.4	96.01	54.33	26.67	63.89	14.89	50.98	21.63	77.79	92.7	81.71	85.22	56.28	134.3
CLEC9A	16.03	2.48	0.0	0.64	6.94	6.01	23.76	5.92	12.27	14.67	9.06	13.22	3.2	9.48	2.71	2.84	6.78	15.45	15.0	3.59	5.5	5.41	28.24	28.45	12.27	1.5	12.64	3.26	3.79	6.94	14.45	1.19	3.26	13.52	0.0	9.7	32.13	9.48	2.73	6.01	3.63	9.13	3.32	1.55	4.66	4.54	8.65	4.98	15.11	3.44	7.17	1.36	6.89	5.32	3.47	3.53	7.46	14.78	2.03	35.5	23.93	15.0	0.92	11.55	3.17	0.66	0.11	11.3	3.82	9.27	2.23	1.2	5.68	9.78	2.03	6.67	3.69	5.36	9.63	14.24	5.77	27.25	1.07	2.97	3.72	25.35	16.27	30.34	17.38	13.32	32.59
CMKLR1	148.09	29.7	13.32	32.13	59.55	101.54	77.79	37.05	133.36	46.84	49.21	71.0	86.43	64.34	41.52	65.26	39.22	88.88	110.43	22.26	48.52	53.19	190.34	129.69	114.36	32.36	108.14	33.54	40.36	116.78	115.97	33.78	61.68	108.9	10.47	32.82	187.71	165.57	31.22	45.53	35.76	93.35	19.82	76.17	107.38	30.56	44.57	100.13	180.02	23.76	61.25	23.59	31.67	52.45	55.1	26.86	64.34	41.22	16.39	139.07	162.14	129.69	36.01	31.9	31.9	31.67	23.25	51.35	13.03	49.56	36.79	26.67	30.56	39.79	12.64	53.19	37.32	51.71	205.5	87.65	15.45	71.5	35.76	27.64	27.05	68.55	88.26	65.26	68.07	90.77	149.12
