	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3TB.11A.11R.A22L.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.ET.A3DP.11A.22R.A21D.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.YJ89.0726.SM.5P9F7	GTEX.113JC.0126.SM.5EGJW	GTEX.ZV6S.0226.SM.59HJT	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.11EQ9.0626.SM.5A5K1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13FH7.0126.SM.5KLZ1	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.11I78.0526.SM.5986A	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.P4QT.2626.SM.2I3FM	GTEX.11NSD.0126.SM.5987F	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.SE5C.0726.SM.4BRWY	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.144GM.0226.SM.5Q5CB	GTEX.11P7K.0226.SM.5986Z	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.139TS.0126.SM.5K7XJ	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.13OW5.0626.SM.5J2N2	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.U8T8.2326.SM.3DB96	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.13112.0326.SM.5P9IW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.12696.0326.SM.5EGL4	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX	GTEX.13FTW.0626.SM.5IFEX
ABCA5	450.94	389.72	120.94	435.55	514.56	366.09	218.79	271.48	397.93	466.88	417.77	215.77	217.27	305.55	341.51	248.0	361.04	228.13	406.31	429.54	149.12	255.0	638.15	271.48	172.65	271.48	409.15	253.23	447.82	269.6	260.38	551.56	441.64	536.45	249.73	642.59	264.03	285.03	361.04	441.64	420.68	106.63	291.04	432.53	429.54	341.51	297.17	371.22	463.65	373.81	339.14	303.44	323.03	320.8	435.55	351.14	363.56	339.14	470.14	490.14	423.61	209.84	860.08	438.59	483.38	281.09	264.03	295.11	336.79	389.72	195.72	242.88	397.93	327.56	320.8	379.04	253.23	463.65	343.89	432.53	563.18	339.14	395.18	392.44	314.17	312.0	507.46	267.73	336.79	551.56	341.51	312.0	486.75	429.54	381.68	356.05	348.71	381.68	285.03	206.94	287.01	305.55	403.5	271.48	476.71	334.46	191.67	237.86	323.03	361.04	395.18	400.71	470.14	612.11	242.88	199.85	248.0	256.78	395.18	318.57	206.94	346.29	392.44	476.71	540.19	387.02	414.87	265.87	291.04	400.71	409.15	334.46	336.79	277.2	249.73	642.59	343.89	209.84	447.82	429.54	314.17	339.14	429.54	287.01	441.64	285.03	287.01	400.71	262.2	429.54	441.64	307.69	384.34	307.69	267.73	293.07	476.71	303.44	204.07	218.79	559.28	301.33	339.14	318.57	412.0	244.57	563.18	363.56	457.25	346.29	447.82	339.14	414.87	323.03	351.14	229.72	332.14	435.55	198.47
AHCTF1	426.57	353.59	172.65	279.14	395.18	314.17	236.21	201.25	287.01	358.54	301.33	457.25	314.17	301.33	336.79	215.77	289.02	215.77	220.32	406.31	205.5	273.37	260.38	287.01	211.31	211.31	314.17	209.84	279.14	373.81	287.01	293.07	271.48	480.04	303.44	353.59	305.55	251.48	348.71	353.59	283.05	159.9	285.03	518.15	511.0	323.03	271.48	493.56	435.55	454.09	441.64	409.15	444.72	406.31	460.44	305.55	435.55	406.31	540.19	497.0	480.04	356.05	435.55	343.89	348.71	432.53	279.14	460.44	406.31	529.06	329.84	409.15	358.54	387.02	343.89	441.64	500.46	728.11	490.14	343.89	318.57	414.87	454.09	423.61	318.57	507.46	500.46	438.59	412.0	483.38	521.76	426.57	305.55	371.22	392.44	423.61	414.87	366.09	441.64	332.14	525.39	575.03	444.72	397.93	346.29	532.74	511.0	373.81	358.54	358.54	406.31	343.89	376.41	358.54	314.17	381.68	279.14	379.04	417.77	417.77	441.64	334.46	633.73	348.71	656.11	305.55	441.64	366.09	500.46	441.64	406.31	341.51	493.56	426.57	466.88	507.46	466.88	312.0	473.41	660.68	275.28	476.71	379.04	307.69	400.71	426.57	371.22	435.55	371.22	423.61	426.57	599.49	414.87	351.14	267.73	348.71	414.87	242.88	309.83	392.44	409.15	447.82	575.03	403.5	656.11	409.15	307.69	450.94	351.14	432.53	480.04	336.79	414.87	493.56	387.02	444.72	384.34	575.03	327.56
AKAP9	961.07	1008.9	363.56	713.11	629.35	599.49	679.29	567.1	819.3	633.73	620.67	642.59	665.29	836.53	759.08	587.13	620.67	543.96	406.31	759.08	320.8	423.61	620.67	713.11	607.87	473.41	571.05	373.81	642.59	612.11	587.13	507.46	638.15	836.53	638.15	688.78	620.67	429.54	743.43	693.58	493.56	830.75	679.29	1008.9	860.08	679.29	575.03	890.44	988.12	813.63	791.35	708.18	703.28	612.11	915.51	866.07	825.0	791.35	928.3	1081.39	1037.29	708.18	1191.69	674.59	941.27	743.43	595.34	764.36	941.27	753.83	723.08	647.07	728.11	890.44	718.08	693.58	563.18	896.64	967.76	748.61	915.51	878.17	1388.16	848.22	555.41	638.15	616.37	684.02	624.99	1417.35	836.53	854.13	819.3	915.51	961.07	967.76	728.11	651.58	764.36	713.11	603.67	679.29	802.41	764.36	775.05	854.13	612.11	878.17	836.53	813.63	1008.9	796.86	830.75	884.29	713.11	759.08	559.28	698.41	1066.48	860.08	571.05	796.86	854.13	738.29	1088.92	651.58	928.3	466.88	884.29	579.04	813.63	624.99	607.87	780.44	567.1	753.83	848.22	688.78	764.36	954.43	638.15	684.02	902.89	728.11	842.36	679.29	915.51	796.86	532.74	934.76	830.75	995.0	941.27	785.88	674.59	860.08	802.41	780.44	567.1	603.67	1350.18	791.35	743.43	854.13	842.36	791.35	1081.39	909.17	679.29	753.83	780.44	633.73	587.13	830.75	830.75	579.04	780.44	825.0	620.67
ANAPC4	381.68	420.68	181.28	409.15	497.0	291.04	384.34	395.18	457.25	289.02	417.77	432.53	291.04	403.5	329.84	336.79	480.04	277.2	255.0	486.75	183.82	356.05	429.54	320.8	381.68	343.89	476.71	162.14	392.44	341.51	435.55	429.54	497.0	529.06	255.0	447.82	366.09	366.09	283.05	473.41	373.81	251.48	493.56	423.61	490.14	334.46	384.34	497.0	575.03	511.0	361.04	363.56	371.22	381.68	476.71	441.64	366.09	435.55	563.18	575.03	486.75	368.65	780.44	514.56	320.8	441.64	339.14	518.15	473.41	457.25	332.14	314.17	525.39	457.25	379.04	381.68	358.54	633.73	514.56	579.04	438.59	454.09	297.17	450.94	297.17	493.56	397.93	400.71	389.72	521.76	473.41	417.77	551.56	438.59	409.15	480.04	470.14	384.34	403.5	351.14	395.18	366.09	429.54	379.04	447.82	457.25	397.93	373.81	460.44	616.37	575.03	476.71	406.31	403.5	368.65	361.04	371.22	417.77	432.53	447.82	363.56	518.15	500.46	490.14	647.07	323.03	346.29	343.89	460.44	423.61	525.39	414.87	483.38	389.72	293.07	547.75	429.54	277.2	575.03	642.59	356.05	366.09	624.99	450.94	567.1	348.71	432.53	341.51	373.81	483.38	389.72	438.59	432.53	529.06	334.46	429.54	718.08	466.88	281.09	387.02	587.13	503.95	351.14	624.99	454.09	371.22	651.58	624.99	341.51	426.57	371.22	353.59	536.45	450.94	387.02	414.87	406.31	529.06	348.71
AP3M2	303.44	220.32	126.12	287.01	318.57	295.11	153.34	226.54	289.02	361.04	283.05	277.2	105.15	212.78	473.41	178.77	277.2	211.31	281.09	389.72	253.23	218.79	289.02	285.03	190.34	228.13	260.38	183.82	241.19	281.09	217.27	209.84	373.81	348.71	285.03	305.55	279.14	171.45	253.23	303.44	194.36	248.0	256.78	314.17	271.48	232.94	295.11	287.01	314.17	283.05	316.37	285.03	226.54	267.73	289.02	244.57	205.5	277.2	277.2	343.89	307.69	218.79	381.68	384.34	175.07	221.86	251.48	253.23	236.21	246.28	327.56	211.31	323.03	191.67	181.28	231.32	208.38	285.03	267.73	334.46	316.37	339.14	142.01	220.32	234.57	334.46	273.37	205.5	318.57	206.94	312.0	204.07	217.27	267.73	204.07	353.59	226.54	183.82	218.79	164.42	234.57	171.45	215.77	220.32	329.84	244.57	217.27	183.82	303.44	325.29	348.71	256.78	237.86	249.73	343.89	226.54	253.23	343.89	181.28	353.59	177.53	351.14	297.17	307.69	384.34	251.48	215.77	202.66	204.07	232.94	327.56	194.36	353.59	185.11	218.79	214.27	204.07	223.41	275.28	414.87	161.02	320.8	363.56	232.94	312.0	218.79	190.34	251.48	267.73	316.37	197.09	236.21	187.71	193.01	158.79	244.57	353.59	258.57	220.32	258.57	343.89	224.97	223.41	343.89	147.06	229.72	206.94	314.17	281.09	205.5	318.57	305.55	283.05	218.79	237.86	224.97	323.03	314.17	161.02
APPL2	486.75	406.31	249.73	381.68	463.65	351.14	447.82	412.0	429.54	387.02	325.29	423.61	242.88	406.31	438.59	346.29	403.5	429.54	307.69	503.95	325.29	320.8	400.71	444.72	301.33	305.55	457.25	215.77	373.81	403.5	384.34	312.0	460.44	547.75	341.51	387.02	454.09	389.72	371.22	403.5	356.05	314.17	529.06	450.94	514.56	363.56	353.59	441.64	511.0	521.76	373.81	438.59	423.61	336.79	500.46	417.77	417.77	441.64	518.15	591.22	620.67	371.22	616.37	532.74	253.23	432.53	249.73	514.56	497.0	543.96	320.8	348.71	454.09	532.74	376.41	438.59	457.25	454.09	480.04	529.06	438.59	426.57	277.2	567.1	409.15	403.5	432.53	353.59	426.57	595.34	507.46	529.06	358.54	532.74	525.39	514.56	400.71	414.87	536.45	423.61	312.0	314.17	503.95	521.76	483.38	476.71	309.83	454.09	571.05	493.56	532.74	441.64	348.71	329.84	511.0	366.09	320.8	607.87	507.46	575.03	363.56	473.41	616.37	429.54	500.46	329.84	277.2	301.33	529.06	417.77	483.38	295.11	423.61	454.09	318.57	476.71	511.0	348.71	463.65	435.55	366.09	457.25	483.38	371.22	429.54	384.34	454.09	518.15	363.56	507.46	447.82	441.64	454.09	368.65	277.2	361.04	500.46	379.04	368.65	348.71	759.08	368.65	329.84	529.06	525.39	463.65	612.11	480.04	336.79	497.0	412.0	444.72	486.75	426.57	432.53	329.84	429.54	454.09	314.17
ASAH2	15.91	13.93	8.78	21.01	15.11	10.47	8.85	4.74	12.09	14.45	15.45	15.45	9.48	9.93	10.96	10.39	9.13	13.12	22.75	26.67	5.73	7.28	10.71	7.34	7.94	6.26	12.0	9.48	10.79	9.2	8.0	14.45	14.89	15.22	11.55	11.38	22.75	9.78	7.34	16.75	12.64	8.25	12.64	13.72	21.32	10.63	16.39	11.47	18.84	13.22	16.27	16.51	5.32	10.63	16.63	16.15	10.63	13.12	14.67	13.22	12.45	11.04	48.18	15.34	6.89	8.32	5.32	12.93	7.22	10.08	15.68	7.34	23.59	23.25	9.2	7.06	7.17	11.82	21.16	20.26	25.72	7.34	29.48	7.22	4.5	11.04	3.53	6.41	9.2	19.53	21.78	7.34	8.38	15.91	7.11	14.45	9.93	18.03	8.06	14.78	18.97	15.56	14.89	7.94	5.63	11.3	6.89	6.62	11.13	20.11	10.0	27.44	8.92	15.45	8.92	8.78	12.74	13.42	9.7	19.97	6.36	14.89	10.08	13.72	10.16	7.75	4.1	7.51	14.78	32.36	19.97	6.36	8.92	23.42	4.66	14.14	27.84	31.22	13.72	8.65	15.45	20.26	29.91	12.74	14.89	10.79	7.28	32.82	8.58	16.15	9.63	24.81	30.34	36.79	11.47	9.85	13.72	9.27	11.55	9.2	22.92	8.45	8.78	18.56	8.78	13.83	9.93	6.46	8.99	14.24	4.66	12.09	18.29	9.27	9.13	10.16	11.13	11.82	20.11
BIVM	215.77	271.48	98.73	249.73	348.71	232.94	190.34	147.06	248.0	244.57	214.27	256.78	154.42	191.67	205.5	137.14	221.86	149.12	177.53	384.34	92.05	164.42	260.38	197.09	153.34	172.65	211.31	177.53	202.66	267.73	194.36	283.05	231.32	279.14	209.84	217.27	201.25	173.85	162.14	260.38	231.32	135.24	199.85	307.69	305.55	267.73	275.28	267.73	325.29	289.02	279.14	215.77	248.0	246.28	327.56	269.6	273.37	323.03	327.56	361.04	277.2	218.79	397.93	327.56	120.94	223.41	173.85	323.03	299.25	291.04	289.02	185.11	314.17	239.52	175.07	251.48	273.37	215.77	273.37	265.87	251.48	312.0	152.28	198.47	221.86	249.73	187.71	206.94	249.73	314.17	241.19	255.0	269.6	269.6	303.44	323.03	275.28	195.72	285.03	208.38	181.28	237.86	301.33	262.2	253.23	205.5	212.78	277.2	329.84	273.37	293.07	303.44	253.23	325.29	221.86	181.28	312.0	356.05	260.38	348.71	172.65	341.51	373.81	323.03	460.44	312.0	217.27	155.5	323.03	231.32	389.72	170.25	224.97	242.88	255.0	371.22	229.72	169.07	314.17	323.03	236.21	343.89	258.57	242.88	273.37	228.13	173.85	332.14	185.11	228.13	244.57	236.21	271.48	287.01	127.0	223.41	358.54	246.28	145.02	248.0	403.5	246.28	178.77	323.03	206.94	199.85	316.37	295.11	242.88	234.57	228.13	244.57	264.03	212.78	234.57	241.19	316.37	309.83	189.02
BOD1L1	429.54	336.79	201.25	389.72	426.57	320.8	289.02	246.28	387.02	363.56	339.14	426.57	343.89	346.29	336.79	198.47	392.44	301.33	244.57	438.59	215.77	262.2	297.17	387.02	253.23	211.31	348.71	191.67	258.57	490.14	339.14	371.22	353.59	543.96	281.09	376.41	420.68	269.6	299.25	409.15	323.03	154.42	376.41	454.09	575.03	412.0	420.68	503.95	624.99	454.09	497.0	473.41	429.54	426.57	555.41	412.0	429.54	500.46	563.18	612.11	603.67	379.04	684.02	444.72	389.72	493.56	244.57	547.75	470.14	500.46	447.82	457.25	587.13	435.55	466.88	500.46	473.41	555.41	629.35	518.15	460.44	412.0	476.71	529.06	406.31	400.71	507.46	624.99	536.45	551.56	514.56	497.0	511.0	450.94	511.0	563.18	444.72	381.68	473.41	339.14	563.18	579.04	514.56	466.88	423.61	486.75	540.19	438.59	521.76	607.87	698.41	551.56	343.89	571.05	507.46	403.5	400.71	507.46	579.04	547.75	480.04	525.39	555.41	497.0	551.56	412.0	567.1	417.77	529.06	403.5	738.29	279.14	466.88	514.56	420.68	633.73	503.95	334.46	555.41	599.49	275.28	397.93	665.29	381.68	532.74	547.75	470.14	432.53	441.64	567.1	521.76	547.75	397.93	447.82	356.05	414.87	551.56	463.65	343.89	373.81	540.19	532.74	603.67	571.05	693.58	547.75	555.41	563.18	323.03	497.0	454.09	392.44	500.46	540.19	423.61	438.59	466.88	551.56	514.56
C10orf137	281.09	299.25	120.1	289.02	356.05	177.53	267.73	346.29	395.18	212.78	287.01	214.27	162.14	299.25	228.13	314.17	327.56	214.27	182.55	329.84	139.07	253.23	287.01	185.11	289.02	273.37	301.33	117.6	236.21	241.19	293.07	314.17	301.33	373.81	181.28	260.38	217.27	277.2	180.02	287.01	258.57	134.3	371.22	256.78	269.6	199.85	246.28	297.17	412.0	287.01	234.57	242.88	264.03	220.32	309.83	295.11	236.21	249.73	381.68	387.02	346.29	208.38	473.41	334.46	136.19	269.6	199.85	323.03	307.69	264.03	253.23	229.72	332.14	269.6	283.05	221.86	232.94	334.46	312.0	307.69	275.28	264.03	178.77	269.6	224.97	242.88	204.07	244.57	264.03	403.5	291.04	332.14	363.56	281.09	307.69	351.14	258.57	309.83	258.57	215.77	303.44	273.37	299.25	251.48	320.8	329.84	232.94	287.01	363.56	444.72	325.29	325.29	246.28	170.25	251.48	301.33	242.88	291.04	332.14	295.11	237.86	327.56	361.04	323.03	426.57	237.86	255.0	237.86	318.57	279.14	343.89	232.94	201.25	234.57	249.73	395.18	289.02	180.02	373.81	291.04	279.14	193.01	363.56	237.86	356.05	299.25	258.57	253.23	256.78	234.57	287.01	262.2	269.6	316.37	232.94	281.09	368.65	316.37	176.29	201.25	327.56	312.0	320.8	387.02	397.93	327.56	336.79	361.04	177.53	341.51	193.01	182.55	381.68	281.09	253.23	358.54	258.57	395.18	234.57
