	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.97.8172.01A.11R.2287.07	TCGA.55.7573.01A.11R.2039.07	GTEX.12WSE.0826.SM.5S2VL	TCGA.BR.8592.01A.11R.2402.13	TCGA.BK.A6W4.01A.12R.A34R.07
ADNP	1119.56	1159.07	1208.34	961.07	497.0	376.41	297.17	273.37	341.51	518.15	277.2	429.54	466.88	540.19	1096.5	343.89	255.0	323.03	379.04	384.34	387.02	1225.22	314.17	228.13	450.94	305.55	329.84	514.56	432.53	201.25	239.52	483.38	223.41	848.22	356.05	314.17	688.78	551.56	511.0	368.65	271.48	483.38	248.0	429.54	961.07	536.45	323.03	493.56	571.05	915.51	575.03	163.28	251.48	447.82	127.0	154.42	198.47	212.78	275.28	141.02	116.78	279.14	518.15	733.19	769.69	802.41	848.22
ADNP2	256.78	273.37	309.83	198.47	140.04	138.1	81.71	64.34	94.67	117.6	91.41	78.34	164.42	126.12	356.05	131.51	43.63	88.26	87.03	102.25	105.15	295.11	100.13	68.07	217.27	52.08	102.25	189.02	176.29	62.12	43.63	189.02	69.03	287.01	111.21	102.25	112.77	124.37	271.48	72.01	87.65	182.55	55.1	126.12	183.82	195.72	68.07	131.51	163.28	281.09	125.24	50.98	67.59	102.25	65.26	46.84	30.56	57.08	42.41	53.95	66.18	53.57	246.28	169.07	195.72	265.87	244.57
AKAP8	460.44	529.06	507.46	379.04	244.57	248.0	236.21	201.25	269.6	314.17	228.13	234.57	384.34	339.14	463.65	212.78	285.03	218.79	159.9	239.52	242.88	525.39	256.78	161.02	258.57	237.86	215.77	289.02	285.03	158.79	120.94	226.54	198.47	473.41	162.14	262.2	283.05	301.33	339.14	309.83	164.42	307.69	182.55	218.79	444.72	435.55	209.84	275.28	303.44	336.79	432.53	98.04	151.22	137.14	201.25	141.02	157.68	177.53	128.79	109.66	100.13	121.79	476.71	379.04	237.86	441.64	521.76
ANKRD26	134.3	120.94	126.12	86.43	25.72	36.79	19.25	13.83	34.26	37.05	36.79	37.05	41.22	37.05	60.82	18.97	36.01	32.36	36.27	18.16	24.99	47.5	35.25	25.91	29.91	47.84	24.46	49.91	27.84	14.78	17.51	20.71	14.24	100.83	20.11	18.43	45.53	48.18	37.59	19.39	18.43	71.5	32.59	40.36	67.59	48.87	19.25	31.67	46.5	53.19	42.11	3.26	22.75	43.02	11.73	37.59	16.39	12.0	17.51	17.64	9.27	15.45	64.34	58.3	71.5	124.37	90.77
ANKS6	116.78	95.34	124.37	148.09	45.53	44.57	139.07	8.32	120.1	180.02	85.82	258.57	158.79	108.14	507.46	14.56	96.68	163.28	4.31	120.1	351.14	320.8	169.07	143.01	105.15	41.22	189.02	111.99	144.01	10.47	93.35	28.45	88.88	289.02	14.56	15.8	119.26	211.31	450.94	379.04	107.38	120.1	16.15	110.43	543.96	156.59	99.43	115.97	215.77	249.73	119.26	109.66	56.68	24.99	15.91	17.77	97.36	60.39	37.59	187.71	70.51	111.21	329.84	334.46	236.21	409.15	454.09
ANP32E	651.58	503.95	612.11	642.59	358.54	620.67	251.48	368.65	583.07	525.39	503.95	518.15	476.71	684.02	1250.98	733.19	457.25	400.71	703.28	612.11	591.22	780.44	842.36	309.83	595.34	409.15	679.29	476.71	1008.9	309.83	366.09	547.75	444.72	1081.39	457.25	460.44	902.89	575.03	595.34	466.88	323.03	813.63	497.0	620.67	571.05	603.67	412.0	665.29	660.68	860.08	490.14	140.04	336.79	507.46	221.86	189.02	318.57	228.13	412.0	450.94	318.57	312.0	497.0	1407.55	536.45	579.04	988.12
AREL1	332.14	332.14	329.84	351.14	214.27	169.07	134.3	170.25	161.02	301.33	201.25	271.48	205.5	217.27	163.28	283.05	120.1	177.53	163.28	221.86	190.34	285.03	182.55	264.03	186.4	167.9	186.4	193.01	111.21	137.14	165.57	291.04	164.42	341.51	194.36	135.24	215.77	256.78	253.23	117.6	124.37	262.2	120.94	201.25	327.56	518.15	206.94	265.87	156.59	409.15	285.03	108.9	132.44	136.19	107.38	130.6	131.51	71.0	156.59	84.63	78.89	164.42	389.72	417.77	575.03	346.29	332.14
ARID2	320.8	299.25	320.8	251.48	70.01	73.54	81.14	47.84	77.79	129.69	77.25	69.03	149.12	100.13	178.77	89.51	59.97	82.29	100.13	83.45	71.5	193.01	87.65	60.39	169.07	60.39	63.0	109.66	96.68	35.76	43.94	103.69	70.51	186.4	61.68	103.69	116.78	116.78	155.5	75.64	56.28	121.79	69.52	87.03	173.85	198.47	64.8	127.89	127.0	214.27	87.65	32.59	42.11	68.55	69.03	47.84	61.68	54.33	42.11	84.63	37.05	45.21	178.77	208.38	205.5	297.17	201.25
ASH1L	723.08	660.68	723.08	583.07	209.84	177.53	134.3	60.82	140.04	189.02	142.01	159.9	236.21	201.25	358.54	221.86	99.43	161.02	303.44	206.94	232.94	435.55	124.37	105.89	409.15	98.73	136.19	212.78	325.29	64.8	84.63	228.13	110.43	435.55	126.12	82.29	392.44	180.02	226.54	185.11	78.34	224.97	93.35	193.01	293.07	202.66	103.69	223.41	392.44	441.64	217.27	24.11	70.01	149.12	57.08	54.72	36.53	92.7	94.67	81.14	35.25	119.26	447.82	511.0	277.2	651.58	334.46
BCL7A	253.23	314.17	303.44	224.97	171.45	142.01	67.59	158.79	79.45	157.68	205.5	107.38	170.25	194.36	334.46	138.1	101.54	120.94	140.04	173.85	126.12	358.54	94.67	125.24	127.0	54.72	94.01	202.66	94.01	72.52	57.89	70.51	98.73	660.68	57.49	75.64	138.1	226.54	343.89	91.41	69.03	242.88	59.55	159.9	403.5	167.9	119.26	182.55	167.9	444.72	141.02	91.41	98.73	76.71	120.94	94.67	46.84	47.5	78.34	53.95	82.29	75.64	343.89	269.6	181.28	206.94	262.2
BEND7	500.46	323.03	444.72	334.46	234.57	165.57	206.94	11.3	133.36	273.37	163.28	305.55	287.01	291.04	476.71	125.24	198.47	112.77	139.07	206.94	135.24	371.22	163.28	381.68	444.72	214.27	186.4	291.04	262.2	187.71	154.42	279.14	166.73	693.58	115.16	153.34	18.16	318.57	293.07	201.25	217.27	323.03	23.93	251.48	164.42	191.67	155.5	244.57	381.68	454.09	154.42	136.19	248.0	215.77	229.72	63.45	135.24	339.14	177.53	81.71	163.28	511.0	248.0	167.9	540.19	447.82	242.88
BMPR1A	444.72	406.31	599.49	412.0	79.45	49.21	45.53	47.5	43.32	84.63	56.68	92.7	113.56	148.09	145.02	49.21	45.21	33.54	60.82	77.25	47.84	186.4	72.52	66.65	37.59	116.78	48.52	90.77	86.43	26.86	37.05	82.87	53.95	183.82	85.82	46.18	140.04	111.21	133.36	43.63	52.82	127.0	43.94	107.38	161.02	162.14	50.63	122.64	111.99	246.28	51.71	33.54	69.03	79.45	24.11	129.69	38.12	25.35	65.26	47.5	42.11	96.01	199.85	189.02	299.25	543.96	214.27
BOD1L1	860.08	733.19	738.29	665.29	220.32	271.48	145.02	75.64	226.54	346.29	224.97	231.32	395.18	226.54	346.29	171.45	155.5	176.29	195.72	214.27	148.09	318.57	157.68	255.0	314.17	117.6	165.57	251.48	287.01	96.01	78.89	248.0	155.5	384.34	125.24	114.36	195.72	275.28	258.57	142.01	151.22	287.01	150.17	309.83	395.18	299.25	164.42	312.0	232.94	450.94	325.29	31.9	70.51	220.32	191.67	72.52	82.29	69.03	125.24	63.0	52.08	109.66	579.04	595.34	493.56	698.41	540.19
BRD1	532.74	547.75	525.39	511.0	253.23	232.94	199.85	148.09	116.78	341.51	237.86	277.2	454.09	295.11	802.41	124.37	212.78	224.97	305.55	224.97	343.89	612.11	124.37	120.94	218.79	122.64	163.28	323.03	186.4	119.26	231.32	316.37	154.42	521.76	237.86	178.77	178.77	343.89	339.14	193.01	152.28	397.93	191.67	279.14	521.76	470.14	185.11	318.57	218.79	500.46	334.46	161.02	146.03	111.99	211.31	132.44	228.13	249.73	107.38	158.79	102.97	173.85	647.07	532.74	902.89	620.67	583.07
BTBD7	466.88	435.55	567.1	395.18	67.59	115.16	85.82	55.1	115.16	176.29	82.29	144.01	178.77	82.87	162.14	127.0	81.14	113.56	80.01	93.35	118.43	226.54	130.6	107.38	154.42	96.01	85.22	112.77	90.77	60.39	78.89	147.06	75.11	186.4	100.83	87.03	167.9	152.28	133.36	66.65	77.79	147.06	88.88	111.99	209.84	283.05	99.43	163.28	134.3	237.86	136.19	46.18	74.06	127.0	55.49	32.36	64.34	85.22	68.07	66.18	27.25	102.25	318.57	287.01	361.04	323.03	297.17
BTRC	432.53	353.59	450.94	260.38	130.6	97.36	83.45	60.82	96.01	139.07	92.05	98.04	103.69	106.63	186.4	53.57	61.68	77.79	92.7	96.68	77.79	189.02	82.87	82.29	57.49	84.63	61.68	109.66	127.89	58.3	66.18	115.97	78.34	148.09	76.17	52.82	156.59	154.42	127.89	89.51	78.34	156.59	54.33	95.34	158.79	198.47	61.25	165.57	156.59	242.88	167.9	52.82	74.06	85.82	28.65	70.51	62.56	45.53	94.67	97.36	32.59	105.15	194.36	215.77	120.94	195.72	180.02
