	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.P78B.1126.SM.3P615	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	TCGA.38.4625.01A.01R.1206.07	GTEX.14C5O.2826.SM.5RQI6	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.P4QT.1526.SM.3NMCT	GTEX.WH7G.1526.SM.4LVMX
AAAS	713.11	529.06	575.03	493.56	708.18	1135.2	860.08	1104.13	1066.48	1477.58	1208.34	1127.35	954.43	1104.13	1639.59	1883.54	3103.19	1769.57	2178.83	2739.08	2209.26	3639.7	2061.24	2417.67	1397.83	1936.53	3325.99	3212.66	2720.15	1051.79	2555.58	1950.0	1844.76	1832.01	2133.97	2997.45	2255.7	2468.49	2758.13	1313.23	2537.92	2032.85	2451.44	0.0	785.88	769.69	1008.9	575.03	981.29	1088.92	1066.48	1135.2	1088.92	1151.06	567.1	753.83
AATK	32.59	94.67	34.75	119.26	20.41	156.59	132.44	195.72	178.77	106.63	223.41	353.59	414.87	339.14	854.13	738.29	1417.35	389.72	463.65	1051.79	1037.29	1709.26	595.34	728.11	1175.27	616.37	1242.34	941.27	813.63	376.41	1030.12	616.37	796.86	902.89	1340.84	703.28	500.46	603.67	1119.56	305.55	656.11	1104.13	1008.9	0.0	155.5	104.42	149.12	70.01	217.27	289.02	358.54	194.36	429.54	265.87	271.48	51.71
ABCA2	454.09	397.93	473.41	299.25	466.88	536.45	769.69	473.41	525.39	420.68	406.31	529.06	518.15	785.88	1651.0	1721.16	2075.59	836.53	1199.98	1870.53	1540.37	2061.24	1417.35	1487.87	1721.16	981.29	1977.24	1540.37	1268.46	921.88	2271.4	967.76	1467.37	1572.76	1628.26	1313.23	1096.5	896.64	1857.6	1388.16	1066.48	1304.15	1857.6	0.0	483.38	358.54	521.76	165.57	480.04	738.29	698.41	890.44	896.64	1233.75	195.72	111.21
AC008443.1	0.0	0.0	0.0	0.0	0.0	0.0	34.51	0.0	0.0	547.75	122.64	262.2	0.0	0.0	260.38	267.73	264.03	37.59	87.03	218.79	241.19	395.18	108.14	165.57	194.36	92.7	273.37	236.21	190.34	5.59	190.34	54.72	195.72	256.78	265.87	217.27	241.19	185.11	157.68	94.67	120.94	107.38	205.5	0.0	0.06	0.0	5.92	0.0	39.5	0.0	0.0	0.0	0.0	10.24	0.0	1.53
AC020922.1	2.23	0.0	2.18	0.91	1.35	13.62	5.41	4.46	11.47	44.57	7.46	15.56	4.17	13.52	29.06	34.51	42.41	9.56	53.95	28.65	53.19	57.49	49.56	16.75	50.63	18.29	43.63	45.53	36.01	6.01	37.85	19.82	31.0	38.12	25.72	33.06	28.45	40.93	47.5	26.67	31.22	15.8	70.51	0.0	2.73	3.82	4.98	3.26	12.0	6.67	12.18	8.99	7.46	18.7	0.73	2.16
AC090186.1	555.41	551.56	620.67	470.14	518.15	718.08	555.41	688.78	463.65	624.99	476.71	529.06	813.63	836.53	1977.24	2319.15	1832.01	890.44	688.78	2271.4	2090.03	1950.0	1378.57	1757.34	1950.0	1008.9	1870.53	1295.13	974.5	713.11	1277.29	854.13	1685.71	1733.13	1378.57	1561.89	1709.26	1242.34	1487.87	1662.49	1781.89	1143.1	1674.06	0.0	1175.27	361.04	884.29	555.41	981.29	470.14	921.88	629.35	679.29	397.93	143.01	237.86
AC124890.1	0.0	0.91	2.18	0.89	2.66	5.45	2.2	2.12	8.85	10.16	5.59	7.46	6.31	4.54	10.63	15.22	15.0	7.82	22.75	22.59	30.12	27.44	8.65	16.51	21.94	8.78	24.99	17.0	15.45	2.36	24.81	5.68	13.83	20.56	13.52	28.65	15.56	13.42	20.56	14.67	23.08	3.47	14.35	0.0	1.87	3.11	1.77	1.57	3.0	2.89	9.2	5.06	3.53	3.41	0.0	2.76
AC135178.1	22.43	22.1	37.59	10.63	37.32	33.54	30.34	38.67	63.89	111.99	57.08	55.1	62.56	46.18	178.77	171.45	237.86	65.26	133.36	180.02	169.07	226.54	108.9	127.0	211.31	110.43	267.73	181.28	197.09	43.94	135.24	68.55	177.53	176.29	138.1	234.57	159.9	170.25	178.77	120.94	151.22	73.03	234.57	0.0	25.17	18.03	19.25	13.03	61.25	33.54	68.07	79.45	38.67	42.41	6.16	7.11
ACAP3	497.0	575.03	579.04	785.88	616.37	909.17	718.08	493.56	1350.18	1467.37	1508.65	1175.27	1350.18	1407.55	2875.3	2502.97	3955.48	1923.14	4038.61	3039.3	3257.52	3901.01	2555.58	2739.08	2875.3	1870.53	4419.52	3564.78	3103.19	884.29	2367.9	1651.0	2976.74	2520.38	3018.3	2193.99	2502.97	3716.2	4419.52	1572.76	2319.15	2573.36	3124.78	0.0	356.05	329.84	1030.12	271.48	733.19	836.53	1111.82	1015.93	860.08	1216.75	490.14	420.68
ACBD4	303.44	363.56	361.04	271.48	341.51	293.07	423.61	529.06	500.46	363.56	417.77	620.67	616.37	518.15	713.11	733.19	1151.06	599.49	819.3	1104.13	1015.93	1023.0	872.1	878.17	1008.9	775.05	842.36	995.0	733.19	503.95	830.75	629.35	753.83	780.44	759.08	909.17	728.11	674.59	866.07	563.18	860.08	808.0	896.64	0.0	759.08	426.57	575.03	320.8	503.95	371.22	470.14	450.94	679.29	660.68	318.57	343.89
