	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.S3.AA14.01A.11R.A41B.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.D8.A1XD.01A.11R.A14D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.KB.A93G.01A.11R.A39E.31	GTEX.12WSB.0726.SM.5N9GD
AC003002.6	5.02	9.78	16.27	54.33	39.22	26.67	18.03	10.0	15.0	23.08	14.24	9.06	10.96	21.16	11.21	15.0	31.67	6.57	14.67	217.27	33.3	0.0	7.82	13.32	15.8	3.76	8.13	3.56	4.62	8.13	3.14	21.32	12.27	12.0	15.11	0.0	0.0	1.35	0.0	0.0	6.84	7.51	20.41	18.7	2.01	20.11
AC005609.1	0.0	4.24	0.73	7.82	3.66	3.96	43.32	4.58	1.43	0.68	11.13	1.51	1.97	9.7	4.39	7.75	14.03	5.5	3.96	64.8	31.0	5.87	4.43	3.03	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	7.46	4.17	1.64	43.94	22.92
AC024580.1	2.39	9.48	5.92	101.54	37.05	15.91	42.41	1.66	32.36	17.51	72.52	27.44	17.25	15.91	13.42	8.85	49.91	3.63	35.76	299.25	82.87	3.11	8.13	27.64	4.31	0.0	19.97	10.47	7.17	0.0	2.32	0.0	8.45	6.57	6.84	14.35	8.78	7.28	2.58	4.1	4.82	7.75	25.91	12.64	74.58	26.1
AKAP10	120.94	217.27	178.77	429.54	480.04	409.15	423.61	249.73	343.89	211.31	371.22	327.56	293.07	269.6	447.82	239.52	450.94	221.86	348.71	473.41	698.41	521.76	314.17	373.81	220.32	212.78	185.11	303.44	189.02	180.02	158.79	218.79	237.86	273.37	368.65	77.25	66.18	92.7	43.32	53.95	159.9	273.37	358.54	316.37	444.72	392.44
ANKFY1	142.01	293.07	221.86	376.41	660.68	579.04	665.29	397.93	599.49	373.81	441.64	409.15	476.71	371.22	571.05	363.56	753.83	343.89	543.96	660.68	738.29	540.19	273.37	656.11	242.88	218.79	255.0	493.56	226.54	229.72	178.77	392.44	346.29	450.94	447.82	155.5	167.9	80.57	53.57	46.5	177.53	414.87	532.74	660.68	647.07	414.87
APPL1	242.88	209.84	195.72	647.07	638.15	616.37	514.56	356.05	466.88	476.71	373.81	486.75	392.44	297.17	684.02	287.01	674.59	318.57	547.75	819.3	775.05	320.8	332.14	395.18	232.94	182.55	130.6	162.14	164.42	194.36	74.58	199.85	273.37	185.11	334.46	127.0	100.83	89.51	125.24	138.1	255.0	343.89	336.79	507.46	387.02	381.68
ASH1L	72.01	204.07	147.06	518.15	525.39	583.07	703.28	271.48	366.09	525.39	341.51	397.93	363.56	258.57	483.38	212.78	733.19	211.31	599.49	555.41	764.36	214.27	211.31	361.04	199.85	102.97	125.24	181.28	151.22	112.77	67.59	208.38	202.66	198.47	287.01	36.79	54.33	64.8	84.63	55.1	114.36	267.73	312.0	366.09	460.44	318.57
ATP9A	108.14	466.88	429.54	1023.0	591.22	642.59	674.59	480.04	339.14	470.14	450.94	420.68	476.71	325.29	718.08	289.02	587.13	287.01	571.05	3564.78	1001.93	629.35	105.89	234.57	466.88	63.0	212.78	358.54	176.29	73.54	54.72	323.03	260.38	277.2	325.29	130.6	76.17	181.28	149.12	127.89	223.41	567.1	450.94	329.84	665.29	389.72
BAG4	97.36	190.34	176.29	438.59	583.07	480.04	1159.07	244.57	161.02	195.72	220.32	231.32	244.57	441.64	285.03	178.77	356.05	209.84	241.19	1015.93	423.61	108.9	201.25	193.01	98.73	190.34	146.03	77.25	242.88	170.25	78.89	185.11	164.42	202.66	223.41	57.08	71.5	34.02	38.95	44.57	118.43	239.52	171.45	273.37	159.9	162.14
BDP1	117.6	140.04	100.83	450.94	285.03	325.29	309.83	173.85	246.28	291.04	267.73	186.4	215.77	224.97	373.81	224.97	384.34	136.19	289.02	403.5	389.72	159.9	137.14	283.05	95.34	50.98	94.01	133.36	129.69	92.05	107.38	157.68	133.36	158.79	147.06	59.97	54.72	61.68	81.14	58.71	116.78	180.02	262.2	327.56	325.29	285.03
