	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E2.A15I.11A.32R.A137.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.1226.SM.32QON	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.14753.1626.SM.5NQ9L
ADNP	1051.79	830.75	1286.18	1572.76	1199.98	228.13	289.02	620.67	529.06	255.0	163.28	175.07	116.78
AGAP6	161.02	101.54	182.55	186.4	204.07	124.37	125.24	358.54	403.5	99.43	8.32	84.63	19.82
AGO1	201.25	187.71	289.02	371.22	287.01	51.35	72.01	119.26	146.03	61.68	41.52	41.52	35.76
ANAPC5	2319.15	1896.65	2537.92	2835.7	2367.9	1437.15	1487.87	1909.85	2777.33	1295.13	1159.07	1407.55	802.41
ANKFY1	607.87	460.44	698.41	738.29	563.18	262.2	295.11	356.05	511.0	202.66	153.34	141.02	155.5
ANKRD17	785.88	507.46	1051.79	1088.92	878.17	277.2	389.72	693.58	620.67	269.6	176.29	217.27	114.36
ANKRD27	389.72	366.09	507.46	473.41	514.56	88.88	53.57	275.28	285.03	80.57	36.01	57.89	49.21
ANKRD28	748.61	476.71	575.03	679.29	633.73	336.79	303.44	536.45	387.02	234.57	112.77	218.79	291.04
ASB7	185.11	165.57	239.52	226.54	185.11	80.01	90.77	95.34	71.0	90.77	46.5	52.82	48.52
ATP6V1E2	303.44	289.02	291.04	291.04	244.57	36.27	63.0	61.25	105.15	46.84	43.63	47.84	31.22
ATXN7L3B	1313.23	1242.34	2351.53	2682.69	1583.71	540.19	902.89	791.35	954.43	599.49	571.05	470.14	559.28
BRD8	796.86	723.08	1340.84	1437.15	1051.79	339.14	373.81	854.13	1313.23	293.07	170.25	291.04	105.15
BRPF3	490.14	432.53	775.05	890.44	480.04	244.57	299.25	423.61	414.87	265.87	208.38	189.02	162.14
CAPRIN2	320.8	285.03	368.65	339.14	371.22	159.9	159.9	287.01	341.51	154.42	65.72	126.12	29.06
CDK13	555.41	438.59	633.73	624.99	748.61	226.54	414.87	473.41	503.95	221.86	124.37	214.27	122.64
COG2	441.64	371.22	791.35	651.58	532.74	165.57	180.02	392.44	371.22	144.01	150.17	104.42	37.59
CPSF7	1359.57	1127.35	1662.49	1540.37	1883.54	543.96	713.11	1519.15	1617.0	529.06	346.29	346.29	297.17
CPT1B	260.38	447.82	738.29	511.0	567.1	220.32	248.0	1127.35	1183.45	173.85	34.75	209.84	31.67
DCAF17	285.03	189.02	241.19	320.8	275.28	52.82	76.17	135.24	191.67	50.27	29.27	34.02	32.82
DCAF4	248.0	255.0	463.65	426.57	366.09	128.79	167.9	305.55	260.38	150.17	94.67	91.41	29.91
DDX20	244.57	146.03	265.87	305.55	239.52	67.12	69.03	140.04	161.02	59.97	32.82	44.25	15.45
DENND2D	674.59	941.27	1073.91	954.43	928.3	285.03	447.82	988.12	1143.1	441.64	417.77	221.86	136.19
DPH5	669.92	748.61	872.1	1023.0	878.17	423.61	460.44	441.64	698.41	403.5	299.25	447.82	287.01
EML5	68.55	66.18	158.79	112.77	142.01	43.32	49.21	70.01	42.41	37.59	15.8	31.0	18.43
EP400	229.72	189.02	392.44	353.59	283.05	63.0	82.29	194.36	224.97	58.3	36.53	43.32	12.55
ERI2	409.15	417.77	723.08	791.35	603.67	262.2	341.51	189.02	438.59	223.41	120.1	191.67	124.37
FAM200A	129.69	134.3	325.29	281.09	178.77	45.85	55.89	87.65	72.52	46.18	12.64	44.89	34.02
FAM98B	616.37	392.44	500.46	633.73	941.27	108.14	156.59	171.45	147.06	94.01	61.68	114.36	65.26
FIG4	412.0	316.37	503.95	525.39	486.75	96.68	100.13	187.71	258.57	102.25	81.71	88.88	70.51
GEMIN4	329.84	291.04	743.43	728.11	366.09	88.88	142.01	444.72	555.41	105.89	141.02	90.14	98.73
GOLGA1	277.2	287.01	447.82	389.72	432.53	186.4	186.4	265.87	332.14	237.86	96.01	182.55	81.71
GPR179	0.79	0.89	5.73	5.15	2.68	0.85	0.79	0.0	0.82	0.0	0.0	0.0	0.03
GPR89B	463.65	260.38	473.41	435.55	389.72	211.31	232.94	206.94	318.57	287.01	229.72	221.86	102.97
HEATR1	327.56	241.19	743.43	395.18	361.04	59.55	77.79	234.57	195.72	49.91	32.13	37.05	15.45
HEATR6	224.97	214.27	551.56	536.45	460.44	88.88	93.35	197.09	217.27	39.79	55.1	40.93	15.0
HLCS	265.87	248.0	397.93	412.0	351.14	187.71	189.02	140.04	104.42	145.02	119.26	149.12	109.66
HUWE1	1651.0	1427.22	2075.59	1923.14	1832.01	718.08	819.3	1639.59	2104.58	708.18	571.05	567.1	260.38
INO80	299.25	281.09	579.04	363.56	353.59	122.64	151.22	486.75	363.56	100.83	80.57	114.36	57.08
IP6K1	591.22	591.22	909.17	848.22	743.43	173.85	214.27	616.37	543.96	167.9	205.5	156.59	154.42
KCTD6	287.01	325.29	718.08	595.34	529.06	117.6	236.21	214.27	173.85	185.11	89.51	126.12	33.54
KDM1B	208.38	177.53	327.56	334.46	305.55	60.39	84.04	164.42	135.24	64.34	51.71	60.82	49.56
KIAA1147	376.41	336.79	490.14	547.75	629.35	150.17	314.17	476.71	323.03	165.57	122.64	120.94	63.89
LHX4	14.89	8.32	18.43	21.47	16.63	2.14	4.86	14.14	27.25	1.23	0.0	0.0	0.34
LRRC69	21.63	7.0	8.85	54.72	53.19	7.4	5.36	57.89	45.21	5.15	0.0	5.32	0.0
LSM14A	1651.0	1540.37	1639.59	2335.28	2133.97	866.07	1088.92	988.12	921.88	764.36	473.41	684.02	796.86
MARCH5	1051.79	967.76	1540.37	1277.29	830.75	438.59	536.45	1561.89	567.1	503.95	417.77	426.57	444.72
MFSD8	299.25	224.97	305.55	301.33	389.72	191.67	229.72	289.02	275.28	154.42	76.17	125.24	140.04
MKRN1	1313.23	1674.06	2351.53	2664.15	1594.73	708.18	693.58	1167.14	1044.52	759.08	483.38	633.73	547.75
MUC6	41.52	13.32	447.82	348.71	1.23	85.22	43.94	4.13103505E7	2.782734531E7	40.93	57.49	140.04	0.65
NEK4	256.78	264.03	490.14	497.0	454.09	116.78	202.66	161.02	146.03	140.04	69.03	121.79	69.52
NOL8	493.56	429.54	819.3	684.02	684.02	248.0	215.77	447.82	438.59	202.66	38.95	167.9	60.39
PDPK1	587.13	497.0	759.08	780.44	583.07	131.51	248.0	387.02	387.02	123.5	105.89	90.77	74.58
PERP	2367.9	780.44	3540.14	2895.31	2047.0	1127.35	1447.15	11112.3	13123.73	1059.11	1111.82	1407.55	1857.6
PHF10	1427.22	1628.26	2209.26	1870.53	2224.63	633.73	764.36	1081.39	921.88	620.67	409.15	723.08	406.31
PIGG	848.22	607.87	1001.93	1044.52	1127.35	403.5	403.5	836.53	1135.2	400.71	303.44	358.54	215.77
POLR2B	1457.23	1030.12	1467.37	1977.24	1594.73	441.64	587.13	1023.0	1340.84	435.55	332.14	351.14	185.11
PROX2	8.38	6.36	10.79	16.39	12.18	1.89	1.01	10.71	7.57	3.11	0.92	1.0	0.42
PRR3	262.2	271.48	368.65	387.02	271.48	87.65	88.88	186.4	258.57	82.87	52.45	76.17	33.06
PRSS37	0.41	0.0	0.44	2.53	1.75	0.0	0.0	2.27	1.16	0.0	0.0	0.0	0.0
PSMD5	624.99	642.59	748.61	808.0	813.63	368.65	356.05	503.95	426.57	285.03	246.28	189.02	197.09
PTER	343.89	285.03	480.04	599.49	460.44	138.1	218.79	285.03	162.14	149.12	76.71	90.14	189.02
RAD54L2	172.65	198.47	232.94	165.57	189.02	83.45	110.43	165.57	169.07	114.36	53.19	38.4	45.85
RGP1	301.33	323.03	392.44	493.56	426.57	111.21	102.25	237.86	325.29	96.68	94.01	91.41	50.27
SERAC1	165.57	85.82	176.29	135.24	132.44	41.81	61.25	157.68	117.6	41.81	32.13	40.36	15.91
SERTAD4	218.79	138.1	339.14	457.25	514.56	4.66	1.03	120.1	62.56	4.94	0.0	2.92	0.0
SLC6A15	16.15	5.82	3.41	0.74	50.98	0.0	0.0	98.04	111.21	0.0	0.0	0.0	0.0
SON	4038.61	3124.78	3820.7	3235.01	4802.93	1250.98	1519.15	3491.39	3146.52	1151.06	665.29	974.5	417.77
SPATA5L1	202.66	189.02	301.33	258.57	246.28	140.04	176.29	466.88	267.73	182.55	70.51	130.6	85.82
SPECC1L	529.06	441.64	848.22	947.83	728.11	183.82	236.21	353.59	320.8	226.54	122.64	158.79	86.43
SPIN3	109.66	102.25	204.07	194.36	182.55	43.32	67.59	81.71	185.11	28.24	20.41	39.22	15.34
SS18	1378.57	1119.56	1977.24	1883.54	1950.0	665.29	679.29	1175.27	1191.69	599.49	332.14	463.65	785.88
STT3B	2319.15	1757.34	1639.59	1268.46	2573.36	1066.48	1096.5	1151.06	1044.52	988.12	563.18	988.12	543.96
TAS2R5	31.67	15.56	55.89	38.67	47.5	0.0	3.06	40.07	62.12	3.72	0.0	2.25	0.0
TAX1BP1	2384.37	1857.6	1977.24	2720.15	2255.7	981.29	1151.06	2758.13	1151.06	1051.79	162.14	934.76	915.51
TIA1	1540.37	995.0	2502.97	2720.15	2018.8	473.41	571.05	1487.87	1331.57	414.87	108.14	265.87	149.12
TIGD7	187.71	148.09	665.29	409.15	490.14	36.53	32.36	58.3	45.85	30.34	9.41	30.34	17.13
TPR	1066.48	836.53	1447.15	1437.15	1183.45	295.11	368.65	796.86	954.43	309.83	99.43	325.29	133.36
TRMT2B	271.48	271.48	289.02	271.48	309.83	92.05	136.19	273.37	299.25	83.45	89.51	102.97	161.02
TUBD1	231.32	299.25	409.15	336.79	379.04	96.01	85.22	175.07	299.25	85.22	40.64	85.22	40.07
UBA3	1159.07	915.51	1487.87	1051.79	1551.09	403.5	412.0	836.53	878.17	343.89	212.78	320.8	190.34
UBN1	387.02	379.04	500.46	497.0	571.05	167.9	224.97	703.28	647.07	155.5	132.44	117.6	134.3
URGCP	579.04	438.59	928.3	753.83	775.05	320.8	457.25	511.0	432.53	336.79	297.17	293.07	153.34
USP46	291.04	212.78	258.57	447.82	334.46	27.44	40.64	329.84	295.11	36.27	21.32	22.92	17.9
USP48	860.08	802.41	995.0	1044.52	860.08	260.38	403.5	854.13	854.13	275.28	155.5	264.03	120.1
USP7	1313.23	1127.35	1819.35	1617.0	1242.34	595.34	624.99	1551.09	1487.87	532.74	429.54	521.76	353.59
UTP20	201.25	142.01	220.32	194.36	190.34	41.22	55.1	104.42	101.54	38.67	20.11	30.78	15.45
VAPA	4903.87	3372.43	4239.45	3982.99	4358.66	2075.59	2609.3	4671.57	4010.71	2163.77	1844.76	2104.58	2163.77
VHL	651.58	616.37	842.36	1096.5	591.22	220.32	307.69	403.5	389.72	234.57	115.97	148.09	77.25
VN1R1	24.81	9.13	54.72	14.56	43.63	2.92	4.17	10.24	10.31	5.36	0.0	1.97	5.63
ZBTB26	141.02	120.94	205.5	208.38	183.82	21.32	28.65	94.01	94.67	19.53	8.85	17.13	2.94
ZC3H11A	2133.97	1991.0	2485.67	2935.74	2777.33	915.51	1023.0	1605.83	1540.37	708.18	334.46	684.02	320.8
ZC3H14	1096.5	1001.93	1388.16	1733.13	1066.48	633.73	780.44	507.46	647.07	633.73	363.56	612.11	409.15
ZFYVE26	248.0	223.41	323.03	368.65	291.04	68.55	65.26	144.01	206.94	43.02	52.45	34.02	20.56
ZNF100	87.65	93.35	209.84	108.14	231.32	27.25	23.08	27.44	64.34	15.45	10.79	6.46	11.73
ZNF142	229.72	176.29	329.84	414.87	275.28	50.98	67.59	316.37	305.55	45.85	46.84	24.46	15.8
