	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	TCGA.EL.A3N3.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	TCGA.BK.A26L.01A.11R.A277.07
ABHD2	785.88	802.41	1572.76	620.67	780.44	785.88	162.14	129.69	144.01	232.94	112.77	212.78	163.28	176.29	117.6	141.02	133.36	130.6	142.01	242.88	142.01	156.59	214.27	153.34	137.14	115.16	115.97	127.89	181.28	151.22	142.01	132.44	153.34	376.41	327.56	616.37	483.38	363.56	366.09	547.75	173.85	466.88	497.0	320.8	264.03	447.82	371.22	143.01	279.14	389.72	293.07	299.25	232.94	299.25	329.84	361.04	265.87	420.68	289.02	395.18	318.57	318.57	490.14	287.01	297.17	228.13	511.0	348.71	281.09	320.8	409.15	441.64	341.51	229.72	190.34	220.32	275.28	412.0	376.41	473.41	518.15	334.46	182.55	316.37	444.72	438.59	543.96	299.25	182.55	273.37	356.05	363.56	334.46	246.28	234.57	287.01	226.54	267.73	403.5	248.0	2451.44
ACTR2	2758.13	2351.53	2816.11	2701.35	2075.59	2240.11	1407.55	848.22	1250.98	1066.48	921.88	764.36	1015.93	1175.27	1104.13	1135.2	1088.92	638.15	1044.52	1397.83	723.08	1037.29	1191.69	1159.07	1015.93	1119.56	825.0	1127.35	1191.69	967.76	878.17	995.0	902.89	2451.44	896.64	1923.14	1769.57	1498.22	1498.22	1870.53	1183.45	1417.35	1572.76	1487.87	1313.23	1388.16	1745.2	954.43	1551.09	1467.37	1519.15	988.12	1051.79	974.5	1832.01	1051.79	1096.5	1651.0	1295.13	1467.37	1605.83	1191.69	1909.85	1159.07	753.83	854.13	1883.54	1417.35	1477.58	1378.57	1277.29	1199.98	1540.37	1008.9	1322.37	967.76	1259.69	1259.69	1572.76	1896.65	1651.0	1529.73	1167.14	1594.73	1407.55	1340.84	1977.24	1388.16	1259.69	1322.37	1313.23	1745.2	1369.04	1119.56	1183.45	1662.49	1143.1	1037.29	1529.73	1119.56	5872.48
ALG11	289.02	246.28	249.73	368.65	277.2	297.17	42.41	37.05	43.32	72.52	32.13	22.1	60.82	50.27	52.82	43.63	38.67	36.27	40.36	85.22	50.27	43.32	56.68	80.57	45.53	34.26	41.52	41.81	39.5	36.79	38.4	48.18	63.89	183.82	84.63	241.19	208.38	201.25	113.56	189.02	64.34	169.07	121.79	171.45	175.07	239.52	105.15	76.71	74.58	148.09	172.65	94.01	93.35	120.1	148.09	199.85	132.44	131.51	105.15	170.25	136.19	169.07	201.25	101.54	105.89	60.82	214.27	223.41	162.14	79.45	158.79	164.42	157.68	72.01	100.83	71.5	101.54	181.28	53.19	244.57	167.9	194.36	50.98	167.9	223.41	208.38	285.03	153.34	52.45	144.01	123.5	291.04	171.45	108.14	76.17	108.9	70.51	63.45	177.53	133.36	567.1
ASH1L	748.61	612.11	813.63	780.44	660.68	802.41	167.9	171.45	180.02	275.28	177.53	176.29	215.77	208.38	135.24	220.32	199.85	139.07	178.77	297.17	205.5	159.9	218.79	215.77	186.4	148.09	163.28	199.85	187.71	159.9	151.22	187.71	239.52	525.39	339.14	629.35	363.56	638.15	307.69	563.18	111.99	450.94	343.89	444.72	409.15	536.45	384.34	426.57	353.59	366.09	373.81	301.33	334.46	503.95	325.29	493.56	258.57	329.84	348.71	432.53	329.84	343.89	371.22	267.73	334.46	249.73	403.5	414.87	356.05	303.44	361.04	444.72	339.14	318.57	180.02	318.57	256.78	444.72	275.28	571.05	444.72	346.29	175.07	295.11	493.56	373.81	454.09	435.55	150.17	358.54	457.25	583.07	400.71	406.31	234.57	361.04	212.78	303.44	426.57	366.09	974.5
ATXN1L	497.0	500.46	432.53	480.04	521.76	536.45	142.01	127.0	146.03	217.27	108.9	130.6	212.78	201.25	130.6	206.94	161.02	103.69	120.94	204.07	157.68	141.02	183.82	159.9	164.42	120.1	204.07	165.57	149.12	148.09	130.6	167.9	211.31	358.54	323.03	441.64	309.83	376.41	309.83	368.65	164.42	336.79	318.57	325.29	239.52	438.59	305.55	226.54	214.27	389.72	295.11	228.13	260.38	314.17	226.54	332.14	244.57	414.87	309.83	329.84	305.55	318.57	395.18	318.57	293.07	264.03	395.18	358.54	264.03	279.14	320.8	384.34	348.71	260.38	177.53	251.48	295.11	381.68	303.44	400.71	412.0	277.2	176.29	242.88	379.04	426.57	429.54	323.03	197.09	303.44	346.29	384.34	414.87	242.88	185.11	283.05	231.32	251.48	258.57	265.87	559.28
BIVM-ERCC5	98.73	164.42	181.28	150.17	158.79	187.71	0.0	0.0	0.0	3.86	0.0	0.0	5.28	0.0	0.0	0.0	0.0	0.0	0.0	7.06	0.0	0.0	10.16	0.0	0.0	0.0	3.44	1.83	0.0	0.0	0.0	0.0	0.0	80.57	69.03	173.85	50.63	193.01	18.43	58.71	0.0	60.39	105.15	182.55	111.21	140.04	96.01	69.03	34.26	104.42	7.0	0.0	84.63	152.28	0.0	85.22	92.05	13.72	135.24	87.03	104.42	123.5	101.54	30.12	76.17	14.89	97.36	180.02	12.55	13.03	133.36	36.53	75.64	24.28	0.0	24.99	13.52	55.49	13.52	229.72	109.66	49.56	0.0	117.6	167.9	109.66	120.1	70.51	0.0	73.54	102.97	115.16	141.02	48.18	3.29	0.0	15.11	0.0	127.89	0.0	237.86
BMS1	275.28	314.17	316.37	312.0	325.29	351.14	159.9	190.34	165.57	195.72	108.9	169.07	182.55	169.07	170.25	173.85	171.45	170.25	161.02	224.97	157.68	186.4	156.59	186.4	163.28	128.79	173.85	163.28	161.02	157.68	175.07	162.14	176.29	251.48	194.36	214.27	218.79	220.32	208.38	205.5	153.34	178.77	212.78	183.82	180.02	217.27	190.34	171.45	208.38	205.5	198.47	186.4	165.57	189.02	194.36	205.5	244.57	226.54	197.09	223.41	204.07	208.38	299.25	183.82	212.78	175.07	209.84	271.48	189.02	165.57	218.79	197.09	221.86	211.31	202.66	187.71	194.36	194.36	190.34	256.78	208.38	236.21	147.06	239.52	186.4	204.07	244.57	178.77	163.28	189.02	195.72	246.28	234.57	189.02	202.66	198.47	189.02	194.36	171.45	239.52	348.71
CEP350	429.54	336.79	575.03	432.53	395.18	555.41	80.01	110.43	92.7	148.09	114.36	73.03	108.14	102.97	96.01	114.36	102.97	81.71	108.14	135.24	92.05	80.01	106.63	114.36	96.01	87.65	71.5	94.67	96.01	81.71	130.6	94.67	106.63	363.56	256.78	303.44	176.29	389.72	277.2	381.68	131.51	236.21	170.25	157.68	195.72	264.03	249.73	148.09	202.66	175.07	124.37	271.48	176.29	293.07	183.82	178.77	96.01	223.41	154.42	228.13	190.34	170.25	175.07	206.94	256.78	186.4	208.38	159.9	208.38	275.28	182.55	256.78	153.34	229.72	93.35	180.02	229.72	171.45	241.19	186.4	237.86	123.5	62.56	122.64	224.97	193.01	251.48	246.28	71.5	130.6	183.82	305.55	152.28	195.72	191.67	279.14	148.09	204.07	264.03	231.32	947.83
CSNK1A1	3665.02	3665.02	4298.64	5219.6	4181.07	3847.29	1709.26	1081.39	1111.82	1369.04	954.43	1081.39	1066.48	1167.14	1127.35	1208.34	1167.14	1073.91	1175.27	1617.0	1081.39	1159.07	1250.98	1457.23	954.43	890.44	738.29	988.12	1088.92	1662.49	974.5	1008.9	1066.48	2335.28	1208.34	2367.9	2400.97	1963.57	1662.49	2047.0	1427.22	2090.03	2627.46	1963.57	2682.69	2434.5	1819.35	1628.26	1745.2	2645.74	2271.4	1322.37	1896.65	1991.0	1832.01	2240.11	2004.85	1832.01	2090.03	2627.46	1508.65	1991.0	2855.44	1407.55	1369.04	1519.15	2319.15	2701.35	1628.26	1467.37	2018.8	1781.89	2609.3	1159.07	1295.13	1685.71	1508.65	2303.12	1250.98	2682.69	2555.58	2645.74	1208.34	1781.89	2367.9	2148.82	2835.7	1844.76	1313.23	1781.89	2075.59	2739.08	2451.44	1674.06	1135.2	1883.54	1350.18	1304.15	1896.65	1467.37	3742.05
CSNK2A3	20.71	34.75	35.76	33.06	27.44	27.25	8.25	2.25	5.54	9.78	4.21	2.92	5.06	4.06	8.92	11.82	1.17	4.28	6.62	9.7	5.96	1.83	12.93	6.41	3.03	10.39	10.47	2.68	3.2	7.06	6.78	5.5	9.41	16.75	12.83	29.06	45.85	40.07	13.03	13.72	6.16	16.88	23.59	3.82	18.43	28.45	20.86	5.41	12.74	23.76	13.03	9.56	14.78	12.45	6.26	7.11	10.24	11.55	33.78	26.1	11.73	23.08	19.68	23.08	12.18	17.38	39.79	28.65	11.3	17.77	8.78	19.68	18.43	8.78	23.08	14.67	15.0	32.36	12.64	29.7	14.24	40.07	4.24	11.21	28.04	11.55	42.41	16.88	6.31	10.96	18.84	25.72	13.32	8.38	10.47	34.02	7.57	9.63	19.68	16.39	36.79
