	TCGA.A7.A26G.01A.21R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.5552.11A.01R.1672.07	TCGA.49.6744.11A.01R.1858.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
ABHD16B	21.01	30.78	23.59	29.7	20.71	3.56	23.08	63.0	91.41	100.13	97.36	258.57	114.36	88.88	81.71	171.45	132.44	59.55	189.02	86.43	271.48	171.45	146.03	127.89	55.89	137.14	122.64	125.24	130.6	98.04	140.04	140.04	92.05	205.5	84.04	131.51	131.51	175.07	153.34	106.63	124.37	159.9	214.27	141.02	193.01	264.03	41.22	148.09	94.67	185.11	76.17	92.7	180.02	195.72	84.63	182.55	71.0	131.51	201.25	113.56	96.01	43.02	76.71	189.02	177.53	441.64	111.99	115.97	170.25	68.07	48.18	218.79	105.15	242.88	120.1	139.07	76.17	91.41	112.77	217.27	185.11	165.57	267.73	49.21	114.36	96.01	91.41	129.69	193.01	201.25	85.22	135.24	223.41	181.28	172.65	114.36	29.06	51.71	119.26	218.79	152.28	127.0	234.57	161.02	100.83	125.24	74.58	125.24	98.04	267.73	159.9	220.32	111.99	164.42	47.84	303.44	99.43	112.77	164.42	325.29	181.28	180.02	199.85	220.32	105.89	81.14	92.05	124.37	76.71	162.14	102.25	107.38	87.03	115.16	87.03	105.15	84.04	86.43	80.57
ABHD17A	277.2	339.14	412.0	536.45	258.57	96.01	176.29	660.68	1023.0	713.11	1135.2	1806.78	1322.37	1304.15	684.02	1498.22	1359.57	629.35	1639.59	1037.29	2090.03	1369.04	1397.83	1467.37	540.19	1551.09	1066.48	1199.98	1923.14	1605.83	1583.71	1250.98	1487.87	2537.92	854.13	1605.83	1250.98	1651.0	1844.76	1508.65	1023.0	1529.73	2303.12	1519.15	1794.29	1819.35	575.03	1639.59	718.08	2004.85	1059.11	902.89	1697.45	1844.76	1605.83	1794.29	1143.1	1191.69	1487.87	1313.23	1167.14	647.07	872.1	1832.01	1359.57	2178.83	2537.92	1088.92	1721.16	1529.73	854.13	1529.73	1551.09	2271.4	1561.89	1397.83	1407.55	1378.57	1883.54	2104.58	1487.87	1794.29	2271.4	1073.91	1388.16	909.17	902.89	1199.98	1583.71	1769.57	1088.92	791.35	1806.78	1551.09	1769.57	1104.13	473.41	543.96	1143.1	2148.82	1540.37	1111.82	2451.44	1277.29	967.76	1322.37	785.88	1551.09	1104.13	2075.59	1369.04	2163.77	1551.09	1745.2	660.68	1540.37	1183.45	1697.45	1870.53	2384.37	2075.59	1594.73	1950.0	1397.83	1519.15	954.43	934.76	1350.18	1407.55	1551.09	738.29	1250.98	1066.48	1250.98	785.88	1151.06	872.1	1088.92	624.99
AC022400.2	0.0	0.0	2.63	5.68	0.0	0.0	0.0	0.0	10.08	0.0	17.0	65.26	6.46	21.16	2.78	17.77	66.65	0.0	10.0	7.94	29.91	0.0	27.05	10.08	0.0	10.31	12.27	9.27	27.84	18.84	45.53	3.17	7.28	26.28	8.58	0.0	2.29	10.47	12.0	2.71	7.22	29.7	23.93	4.58	24.81	72.01	0.0	19.68	3.11	5.11	4.94	2.66	6.26	46.18	42.11	28.86	0.0	2.39	26.28	9.85	7.4	0.0	0.0	53.19	6.52	85.22	25.54	13.32	12.27	14.78	6.62	16.75	12.64	26.67	8.45	31.22	37.59	8.58	6.57	16.39	24.11	10.08	42.11	9.41	32.82	3.53	2.32	12.45	17.9	23.93	9.63	14.78	47.5	17.64	10.16	3.38	0.0	0.0	3.5	22.1	23.08	17.77	24.28	18.56	10.16	5.77	0.0	29.7	13.93	19.97	15.8	33.06	7.0	33.78	0.0	5.32	5.92	12.27	12.0	20.11	34.26	0.0	23.76	9.78	8.99	4.86	0.0	0.0	5.32	16.75	0.0	8.99	0.0	0.0	0.0	6.89	0.0	0.0	0.0
ADAM15	1508.65	1963.57	2133.97	2047.0	1477.58	679.29	1119.56	2303.12	2555.58	1806.78	2645.74	4937.99	2240.11	2682.69	1322.37	3955.48	2997.45	2018.8	2915.45	3212.66	3564.78	4450.27	4358.66	2591.27	1936.53	3039.3	2351.53	2915.45	3690.52	2224.63	4239.45	1844.76	2287.2	2758.13	2119.22	3874.05	3325.99	4095.0	4972.34	3190.46	2777.33	3081.75	2739.08	3564.78	2384.37	3395.89	2133.97	3081.75	1674.06	2915.45	2739.08	1806.78	2148.82	3874.05	2664.15	3395.89	3467.27	3395.89	2758.13	3768.09	4210.15	1594.73	2209.26	4066.71	5633.22	5479.15	4181.07	1819.35	2915.45	2758.13	1529.73	3190.46	3372.43	3614.55	4802.93	2855.44	2682.69	3303.0	2796.65	4836.35	1923.14	2400.97	2777.33	4010.71	2335.28	1844.76	2319.15	2148.82	3589.58	3794.3	2163.77	2537.92	2701.35	3955.48	3146.52	2468.49	1628.26	2004.85	2319.15	3639.7	3018.3	2434.5	6745.86	2209.26	2271.4	2119.22	1844.76	2417.67	2090.03	5711.87	2018.8	2609.3	4095.0	3690.52	2367.9	2682.69	3467.27	2627.46	3768.09	3060.45	3395.89	3955.48	3874.05	2682.69	2777.33	1896.65	3742.05	3467.27	2417.67	4671.57	3303.0	2434.5	2178.83	2255.7	2287.2	3639.7	1819.35	2485.67	1340.84
ADAT3	6.78	12.27	3.69	9.48	9.78	0.0	5.54	17.25	62.56	32.82	124.37	111.99	65.26	90.77	35.76	98.04	120.1	22.59	146.03	46.18	143.01	86.43	145.02	169.07	8.45	108.9	66.18	69.03	151.22	94.01	91.41	106.63	55.89	142.01	43.63	76.17	55.89	110.43	209.84	86.43	43.94	114.36	161.02	109.66	108.9	106.63	26.86	121.79	35.76	172.65	37.05	51.71	112.77	122.64	108.9	143.01	130.6	43.02	111.21	42.41	65.72	20.11	25.72	124.37	68.55	120.94	185.11	63.89	112.77	84.04	27.25	94.67	95.34	183.82	80.01	68.55	150.17	57.49	94.01	145.02	121.79	159.9	190.34	58.3	56.28	54.33	19.39	75.11	123.5	181.28	88.88	43.94	193.01	115.97	191.67	28.86	22.26	10.24	78.34	120.94	106.63	73.54	237.86	73.54	53.19	65.72	27.64	75.64	74.06	124.37	56.68	167.9	53.95	135.24	18.29	95.34	40.36	63.89	152.28	118.43	104.42	147.06	140.04	134.3	75.64	35.5	24.81	73.03	36.53	113.56	30.78	46.5	24.81	71.5	17.25	70.51	35.76	44.89	22.75
ADCK1	77.25	113.56	146.03	120.1	96.01	161.02	94.67	128.79	215.77	197.09	164.42	384.34	251.48	289.02	166.73	205.5	265.87	140.04	307.69	223.41	246.28	221.86	303.44	217.27	111.99	260.38	173.85	237.86	287.01	234.57	187.71	198.47	329.84	269.6	134.3	256.78	293.07	234.57	303.44	320.8	253.23	208.38	244.57	209.84	194.36	209.84	165.57	246.28	228.13	234.57	229.72	234.57	229.72	244.57	264.03	281.09	182.55	193.01	189.02	258.57	255.0	180.02	248.0	229.72	239.52	301.33	279.14	150.17	248.0	264.03	141.02	205.5	223.41	275.28	228.13	191.67	214.27	204.07	190.34	283.05	204.07	205.5	314.17	275.28	211.31	189.02	239.52	155.5	336.79	232.94	164.42	189.02	167.9	269.6	253.23	134.3	152.28	217.27	163.28	279.14	161.02	178.77	305.55	232.94	162.14	305.55	165.57	226.54	186.4	320.8	248.0	218.79	275.28	327.56	223.41	170.25	267.73	269.6	269.6	255.0	211.31	265.87	293.07	255.0	217.27	195.72	242.88	265.87	181.28	269.6	201.25	209.84	190.34	134.3	224.97	215.77	142.01	171.45	134.3
AL592284.1	55.49	48.18	31.45	65.72	22.59	14.03	70.01	72.01	82.87	84.04	45.53	441.64	126.12	69.03	95.34	120.1	221.86	135.24	167.9	138.1	271.48	77.79	112.77	90.14	70.51	150.17	91.41	137.14	125.24	145.02	239.52	102.97	165.57	151.22	79.45	193.01	147.06	194.36	224.97	164.42	195.72	185.11	287.01	133.36	138.1	389.72	104.42	147.06	90.77	236.21	71.5	193.01	128.79	236.21	193.01	146.03	105.15	124.37	128.79	124.37	90.14	94.67	123.5	212.78	117.6	460.44	161.02	102.97	151.22	242.88	98.73	258.57	155.5	190.34	103.69	135.24	154.42	101.54	172.65	97.36	117.6	194.36	287.01	121.79	84.63	93.35	80.01	105.15	157.68	171.45	76.17	208.38	211.31	197.09	267.73	94.01	71.5	82.29	85.22	149.12	217.27	66.18	173.85	137.14	81.71	94.01	85.82	178.77	88.26	400.71	90.77	218.79	199.85	307.69	97.36	186.4	172.65	185.11	229.72	187.71	283.05	239.52	361.04	141.02	114.36	92.05	102.97	133.36	143.01	82.87	77.79	113.56	90.14	105.15	136.19	96.68	120.94	52.08	66.18
ANKRD9	19.11	46.5	56.68	56.68	38.12	13.32	43.02	78.89	122.64	185.11	143.01	441.64	127.89	208.38	140.04	244.57	373.81	122.64	392.44	103.69	420.68	103.69	450.94	246.28	66.18	228.13	176.29	293.07	208.38	293.07	332.14	246.28	102.97	212.78	80.57	289.02	180.02	269.6	432.53	206.94	150.17	339.14	450.94	153.34	447.82	376.41	128.79	195.72	265.87	309.83	80.01	147.06	341.51	511.0	373.81	295.11	182.55	101.54	246.28	146.03	232.94	80.01	127.89	215.77	198.47	961.07	384.34	159.9	591.22	183.82	108.14	220.32	206.94	500.46	316.37	158.79	409.15	297.17	293.07	236.21	291.04	236.21	291.04	189.02	191.67	120.94	81.71	97.36	318.57	624.99	147.06	191.67	454.09	293.07	356.05	120.94	69.52	105.15	281.09	518.15	521.76	159.9	500.46	149.12	118.43	96.68	80.57	208.38	224.97	536.45	206.94	674.59	217.27	497.0	94.67	194.36	159.9	156.59	429.54	256.78	260.38	264.03	713.11	273.37	251.48	56.28	91.41	182.55	111.21	134.3	111.99	215.77	187.71	127.89	137.14	114.36	166.73	55.49	70.01
AP003733.1	2.92	4.46	3.38	3.0	1.97	3.92	1.81	2.41	6.16	12.93	11.73	12.55	7.06	7.0	11.47	10.96	16.15	4.86	18.29	6.06	30.78	7.34	9.06	8.85	2.41	6.52	7.63	15.22	5.45	8.0	19.68	9.78	11.82	12.18	5.82	18.84	16.75	12.64	25.91	11.47	8.99	29.06	16.27	7.69	12.09	24.46	7.22	13.42	8.38	12.18	3.08	11.73	6.06	17.25	9.34	13.93	10.63	4.06	5.92	10.08	8.0	3.29	5.59	16.88	24.28	36.27	16.03	3.99	6.67	15.0	4.39	8.51	12.0	5.77	7.46	10.96	19.39	6.78	15.0	12.83	12.0	11.13	33.54	5.23	2.84	6.06	3.11	6.57	7.51	14.03	2.71	8.65	16.75	10.63	24.99	13.42	3.11	3.23	1.93	14.45	18.97	6.41	18.56	19.11	3.26	4.46	2.43	5.73	7.88	32.59	6.01	17.25	17.38	9.34	10.31	33.06	4.43	4.43	13.03	14.24	23.42	14.45	28.86	9.2	7.88	7.11	4.78	12.0	5.32	7.69	8.19	2.68	4.86	3.26	17.0	4.58	9.06	2.34	3.59
ARSA	438.59	521.76	473.41	567.1	309.83	100.83	389.72	808.0	1369.04	1175.27	1733.13	1697.45	1447.15	1427.22	884.29	1487.87	1781.89	759.08	1477.58	1498.22	1477.58	1923.14	1313.23	1674.06	1044.52	813.63	967.76	1259.69	1023.0	1437.15	988.12	1313.23	1991.0	1923.14	753.83	1561.89	1447.15	1023.0	1697.45	1781.89	1477.58	1819.35	1674.06	1583.71	1594.73	1909.85	743.43	1733.13	624.99	1697.45	1498.22	1457.23	1977.24	1295.13	1936.53	2104.58	1407.55	1519.15	2351.53	1674.06	909.17	1259.69	1030.12	1477.58	1331.57	1896.65	3212.66	1250.98	1397.83	1508.65	1191.69	2163.77	1119.56	1487.87	1427.22	1572.76	1417.35	1487.87	1572.76	1417.35	1583.71	2018.8	1685.71	1519.15	1397.83	842.36	1199.98	1313.23	1745.2	1605.83	878.17	1628.26	603.67	1909.85	1769.57	890.44	547.75	854.13	1111.82	1508.65	1467.37	1417.35	2627.46	2004.85	1183.45	1674.06	796.86	1322.37	1447.15	2133.97	1794.29	1844.76	1806.78	2417.67	1151.06	1498.22	2627.46	1498.22	1242.34	1662.49	1617.0	1709.26	915.51	1233.75	995.0	1628.26	1259.69	1286.18	1023.0	1662.49	1519.15	1167.14	708.18	1001.93	1369.04	1457.23	1081.39	1487.87	743.43
