	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111CU.0326.SM.5GZXO
ABCA6	248.0	2004.85	1119.56	1617.0	612.11	414.87	269.6	480.04	21.63	76.71	579.04	332.14	941.27	1605.83	536.45	1250.98	507.46	591.22	1015.93	713.11	320.8	1313.23	1030.12	1059.11	1322.37	1268.46	1662.49	1417.35	2271.4	1081.39	4239.45	3257.52	1487.87	1697.45	1259.69	3716.2	3639.7	3303.0	2351.53	7749.1	2816.11	2664.15	1806.78	3491.39	5403.7	1806.78	2758.13	3103.19	2777.33	2287.2	738.29	3257.52	1551.09	2335.28	8022.41	802.41	3874.05	1794.29	0.0	171.45	0.27	63.0
ACADSB	503.95	4836.35	3103.19	2224.63	1242.34	915.51	1268.46	1417.35	1909.85	1096.5	1111.82	3515.68	1030.12	1896.65	2163.77	3349.13	884.29	480.04	896.64	186.4	476.71	2796.65	2468.49	3060.45	5872.48	3614.55	8191.0	4298.64	5255.91	6652.97	6294.04	5555.65	819.3	4575.41	4543.8	7966.99	16045.82	9025.81	5255.91	6037.61	8538.88	13492.72	5183.54	5255.91	12589.08	9215.48	6983.79	5517.27	10585.95	6250.56	1923.14	3768.09	3235.01	5366.37	8658.09	4239.45	8134.41	9474.59	0.0	381.68	0.33	169.07
ACBD4	878.17	2090.03	1709.26	995.0	1030.12	381.68	748.61	320.8	339.14	500.46	660.68	1175.27	954.43	1529.73	543.96	1242.34	236.21	185.11	1447.15	1051.79	651.58	1896.65	1030.12	1313.23	1594.73	1896.65	2573.36	3690.52	2976.74	3280.18	1583.71	3325.99	2335.28	2796.65	1081.39	4388.98	2537.92	2739.08	2178.83	3060.45	2178.83	1832.01	3303.0	3874.05	2384.37	2335.28	2485.67	2351.53	2664.15	4802.93	1870.53	2816.11	2075.59	3303.0	1950.0	819.3	2502.97	3419.52	0.0	295.11	0.48	69.52
ACOX2	1059.11	8421.31	5791.62	3874.05	2485.67	3491.39	6337.83	3690.52	387.02	1936.53	2816.11	2555.58	3060.45	4607.24	5006.93	4639.29	2240.11	1417.35	4358.66	1519.15	438.59	5954.47	4607.24	4543.8	4450.27	5633.22	4210.15	13306.94	10808.41	11345.82	14971.21	17197.56	6207.38	12076.21	5441.3	24660.96	19082.0	25005.23	8778.97	31650.8	8538.88	10585.95	7280.4	17197.56	25708.25	19892.37	19618.49	21919.61	13872.08	21320.18	5791.62	15607.02	7803.01	14867.79	19214.73	4736.79	21919.61	20030.74	0.0	432.53	0.45	50.27
ACSM2A	1651.0	9876.98	5831.91	8363.13	4769.75	2163.77	356.05	1769.57	511.0	764.36	3955.48	4358.66	5219.6	8191.0	9151.82	6079.61	281.09	202.66	11504.21	1923.14	660.68	9808.75	5672.41	4123.49	9876.98	9088.59	7749.1	14561.8	14065.74	50011.46	22225.61	33688.23	19892.37	17317.18	17197.56	63742.91	65082.31	42054.3	15180.22	105727.15	13033.07	12676.65	10959.3	45386.27	48982.22	8134.41	87075.75	70727.3	34158.52	53230.77	4575.41	29124.6	35856.82	18178.19	85283.74	3614.55	37121.34	38164.99	0.0	0.4	0.0	0.77
ACSM2B	2573.36	12676.65	10512.82	14262.1	5292.48	5555.65	1721.16	2573.36	1295.13	1225.22	4210.15	10084.54	8191.0	17558.94	10585.95	8778.97	536.45	444.72	25530.66	3665.02	848.22	12329.98	8191.0	7032.37	15607.02	12676.65	14971.21	14663.09	20881.4	44761.41	54727.32	28723.62	20030.74	23169.48	18689.27	75803.72	36864.92	81244.48	23986.58	107948.72	20737.16	17927.91	17558.94	57847.82	54727.32	10440.2	92680.9	91404.92	20310.37	65535.0	8901.53	23986.58	37901.36	23656.34	163620.18	9808.75	49666.0	45072.75	0.0	0.84	0.0	1.57
ACSM5	551.56	6250.56	4095.0	1639.59	1896.65	1199.98	253.23	339.14	34.26	46.5	536.45	2303.12	1617.0	4066.71	825.0	1857.6	241.19	11.38	2701.35	629.35	161.02	4095.0	2701.35	3039.3	4937.99	2591.27	5112.16	7857.29	14262.1	9740.98	5292.48	11992.79	5594.3	4736.79	6337.83	15285.81	6840.04	13681.08	4769.75	21172.91	8598.28	9279.58	5441.3	18689.27	25887.07	6250.56	14971.21	11504.21	19892.37	36357.37	1594.73	9215.48	4639.29	4298.64	14971.21	1304.15	7485.11	10440.2	0.0	125.24	0.14	7.82
ACY3	361.04	1066.48	642.59	420.68	466.88	507.46	339.14	271.48	17.9	460.44	351.14	309.83	480.04	825.0	1233.75	575.03	76.71	181.28	723.08	142.01	62.12	785.88	607.87	785.88	665.29	802.41	476.71	3060.45	1104.13	2555.58	1909.85	1977.24	540.19	1167.14	748.61	2240.11	1794.29	1447.15	1685.71	3564.78	1073.91	1369.04	1001.93	2061.24	3665.02	1216.75	2664.15	2997.45	1923.14	3039.3	567.1	693.58	1119.56	723.08	1572.76	2351.53	1208.34	2104.58	0.0	7.94	0.02	5.02
ADI1	1909.85	13681.08	11189.6	11267.44	6840.04	5292.48	3768.09	3639.7	2555.58	3443.31	4095.0	11424.74	10959.3	14262.1	6887.62	5292.48	3146.52	3467.27	15499.21	2835.7	2384.37	8022.41	10959.3	9344.14	14163.58	7485.11	12589.08	21320.18	13306.94	10368.08	11112.3	10154.69	10014.87	12943.04	8963.45	17804.06	34396.12	11745.96	17681.08	15934.98	24832.5	15934.98	14262.1	19348.38	23820.89	23169.48	16383.0	16496.96	26614.89	12853.63	14561.8	17317.18	13306.94	14867.79	16496.96	13399.51	23169.48	19082.0	0.0	1709.26	0.4	1216.75
AGL	105.15	409.15	316.37	197.09	167.9	70.01	232.94	41.52	116.78	214.27	71.5	111.99	110.43	162.14	119.26	287.01	105.89	44.89	98.04	154.42	236.21	463.65	314.17	183.82	463.65	307.69	483.38	420.68	450.94	466.88	748.61	571.05	444.72	660.68	307.69	934.76	525.39	642.59	500.46	591.22	392.44	551.56	376.41	476.71	854.13	381.68	656.11	764.36	616.37	587.13	232.94	341.51	281.09	507.46	738.29	255.0	529.06	780.44	0.0	117.6	0.2	76.71
