	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11O72.1926.SM.5PNW1	GTEX.11GSP.0626.SM.5986T	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.131YS.1626.SM.5HL6C	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13VXU.0926.SM.5IFFH	GTEX.111VG.0726.SM.5GIDC	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
AAR2	432.53	341.51	384.34	223.41	361.04	329.84	392.44	356.05	363.56	460.44	336.79	723.08	532.74	612.11	638.15	441.64	579.04	417.77	665.29	480.04	400.71	651.58	507.46	412.0	395.18	363.56	647.07	642.59	486.75	591.22	656.11	587.13	656.11	656.11	656.11	638.15	624.99	764.36	532.74	567.1	381.68	403.5	346.29	642.59	713.11	406.31	571.05	660.68	674.59	470.14	466.88	612.11	543.96	441.64	620.67	514.56	684.02	547.75	595.34	423.61	559.28	406.31	612.11	679.29	387.02	728.11	713.11	575.03	620.67	579.04	381.68	708.18	595.34	620.67	518.15	503.95	500.46	486.75	514.56	457.25	647.07	599.49	514.56
AARS	1143.1	1199.98	1286.18	1119.56	769.69	791.35	808.0	981.29	1167.14	830.75	961.07	3491.39	1977.24	2502.97	3212.66	1896.65	3280.18	1617.0	2976.74	1674.06	1508.65	2303.12	1806.78	1417.35	1844.76	2178.83	3395.89	2609.3	1268.46	2367.9	4419.52	3515.68	2758.13	3060.45	3039.3	3212.66	2682.69	3820.7	1617.0	1844.76	1225.22	1417.35	1950.0	3146.52	2384.37	1508.65	1674.06	3325.99	2997.45	1628.26	1233.75	1674.06	2224.63	1498.22	3257.52	1250.98	4419.52	1950.0	2485.67	1617.0	4066.71	1639.59	5255.91	2303.12	1651.0	2609.3	2400.97	2875.3	3280.18	2555.58	1628.26	3081.75	4543.8	2758.13	1950.0	2335.28	1991.0	2434.5	1628.26	1662.49	2935.74	2720.15	1733.13
APEX2	163.28	209.84	150.17	115.97	113.56	131.51	122.64	120.94	145.02	112.77	153.34	291.04	199.85	229.72	249.73	193.01	220.32	170.25	248.0	212.78	143.01	226.54	224.97	175.07	142.01	180.02	193.01	244.57	185.11	181.28	251.48	251.48	256.78	305.55	229.72	195.72	223.41	258.57	199.85	205.5	138.1	193.01	155.5	236.21	332.14	178.77	205.5	242.88	242.88	217.27	158.79	208.38	229.72	173.85	212.78	205.5	297.17	220.32	244.57	153.34	287.01	149.12	211.31	228.13	175.07	275.28	239.52	229.72	228.13	212.78	183.82	267.73	218.79	267.73	185.11	177.53	145.02	169.07	181.28	198.47	231.32	214.27	204.07
BRPF1	173.85	201.25	173.85	60.39	133.36	81.14	117.6	105.15	90.14	76.17	108.14	332.14	249.73	285.03	356.05	236.21	332.14	169.07	275.28	260.38	202.66	409.15	295.11	232.94	217.27	193.01	341.51	287.01	299.25	353.59	343.89	295.11	400.71	379.04	309.83	361.04	356.05	336.79	281.09	295.11	215.77	220.32	265.87	343.89	457.25	224.97	244.57	387.02	346.29	255.0	223.41	332.14	323.03	258.57	384.34	309.83	346.29	332.14	246.28	275.28	269.6	224.97	329.84	351.14	283.05	423.61	376.41	301.33	305.55	312.0	212.78	361.04	283.05	384.34	253.23	283.05	293.07	234.57	314.17	239.52	283.05	309.83	297.17
C10orf2	43.94	36.01	58.3	23.08	81.71	34.26	57.89	70.01	76.17	54.72	37.59	145.02	92.05	112.77	156.59	66.65	96.68	51.35	158.79	104.42	56.68	139.07	94.67	74.58	57.49	59.13	108.9	120.94	82.87	93.35	92.05	100.83	149.12	126.12	115.16	142.01	120.1	215.77	71.5	107.38	85.22	64.8	53.95	123.5	194.36	83.45	83.45	120.1	150.17	74.06	115.97	99.43	92.7	49.56	107.38	105.89	144.01	108.9	84.63	60.82	104.42	76.71	124.37	140.04	49.21	137.14	164.42	127.89	109.66	99.43	46.18	102.97	114.36	154.42	72.52	95.34	88.26	108.14	92.7	77.25	113.56	111.21	117.6
C6orf47	226.54	166.73	220.32	87.03	166.73	153.34	137.14	156.59	126.12	147.06	228.13	543.96	426.57	500.46	571.05	334.46	450.94	320.8	514.56	403.5	343.89	563.18	423.61	318.57	387.02	316.37	497.0	486.75	301.33	450.94	514.56	463.65	532.74	555.41	483.38	514.56	551.56	612.11	395.18	397.93	301.33	336.79	381.68	536.45	591.22	358.54	403.5	518.15	518.15	384.34	366.09	460.44	460.44	358.54	503.95	353.59	603.67	457.25	423.61	363.56	551.56	361.04	547.75	624.99	392.44	540.19	559.28	432.53	450.94	555.41	305.55	540.19	493.56	521.76	403.5	438.59	435.55	389.72	395.18	371.22	497.0	473.41	373.81
CCDC71	275.28	150.17	187.71	157.68	214.27	201.25	273.37	206.94	193.01	287.01	197.09	764.36	629.35	684.02	665.29	540.19	536.45	450.94	620.67	547.75	460.44	708.18	457.25	521.76	511.0	389.72	679.29	624.99	521.76	547.75	708.18	579.04	802.41	651.58	651.58	669.92	629.35	718.08	583.07	599.49	444.72	500.46	366.09	651.58	791.35	521.76	599.49	651.58	718.08	457.25	547.75	624.99	555.41	444.72	728.11	571.05	764.36	525.39	555.41	466.88	518.15	417.77	753.83	708.18	441.64	642.59	629.35	579.04	638.15	563.18	460.44	718.08	647.07	638.15	591.22	579.04	511.0	450.94	540.19	525.39	674.59	616.37	587.13
CLP1	76.71	42.71	61.68	80.01	178.77	146.03	112.77	153.34	169.07	159.9	102.97	264.03	180.02	273.37	256.78	98.73	218.79	119.26	285.03	90.14	98.73	289.02	190.34	115.16	163.28	113.56	226.54	221.86	140.04	198.47	206.94	264.03	289.02	260.38	241.19	239.52	281.09	329.84	120.1	166.73	166.73	96.01	155.5	256.78	341.51	106.63	111.21	251.48	314.17	146.03	154.42	228.13	220.32	117.6	253.23	223.41	262.2	208.38	265.87	145.02	237.86	117.6	262.2	267.73	139.07	253.23	312.0	244.57	267.73	248.0	84.63	329.84	221.86	283.05	137.14	144.01	121.79	147.06	181.28	105.89	246.28	214.27	167.9
DCAF7	336.79	307.69	273.37	116.78	198.47	163.28	215.77	236.21	241.19	273.37	397.93	728.11	718.08	708.18	769.69	551.56	703.28	507.46	802.41	612.11	518.15	915.51	642.59	607.87	620.67	480.04	780.44	651.58	507.46	595.34	563.18	567.1	769.69	703.28	660.68	723.08	780.44	830.75	525.39	438.59	493.56	500.46	507.46	902.89	733.19	559.28	642.59	764.36	780.44	525.39	529.06	633.73	603.67	466.88	802.41	567.1	764.36	607.87	555.41	532.74	669.92	620.67	808.0	780.44	503.95	748.61	842.36	647.07	599.49	660.68	486.75	718.08	693.58	785.88	543.96	457.25	514.56	423.61	679.29	651.58	638.15	587.13	567.1
DDX1	941.27	854.13	830.75	688.78	603.67	507.46	571.05	642.59	775.05	665.29	651.58	1844.76	1639.59	1745.2	1794.29	1340.84	1617.0	1233.75	1583.71	1457.23	1286.18	1674.06	1733.13	1427.22	1225.22	1340.84	1733.13	1819.35	1216.75	1551.09	1540.37	1857.6	1674.06	2032.85	1769.57	1757.34	1832.01	1883.54	1242.34	1208.34	1081.39	1208.34	1208.34	1594.73	2032.85	1331.57	1397.83	1594.73	1819.35	1639.59	1151.06	1487.87	1508.65	1175.27	1685.71	1388.16	1857.6	1519.15	1709.26	1457.23	1844.76	1359.57	1540.37	1685.71	1498.22	1721.16	1909.85	1733.13	1685.71	1781.89	1242.34	1674.06	1605.83	1963.57	1572.76	1143.1	1277.29	1088.92	1583.71	1639.59	1844.76	1639.59	1427.22
