	TCGA.C8.A26Y.01A.11R.A16F.07	TCGA.MA.AA41.01A.11R.A38B.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.C5.A8YQ.01A.11R.A37O.07	TCGA.C5.A7XC.01A.11R.A38B.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.ZJ.A8QR.01A.11R.A37O.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.90.6837.01A.11R.1949.07	TCGA.96.8170.01A.11R.2296.07	TCGA.21.1076.01A.01R.0692.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
ABHD6	336.79	122.64	193.01	122.64	185.11	72.01	84.63	120.94	55.89	106.63	0.0	90.14	73.03	194.36	180.02	854.13	1066.48	503.95	1088.92	693.58	1167.14	490.14	470.14
AGAP1	384.34	133.36	56.68	161.02	107.38	183.82	75.64	66.65	102.25	90.77	0.0	111.99	147.06	154.42	232.94	201.25	253.23	314.17	193.01	212.78	241.19	242.88	182.55
ANXA9	1923.14	23.76	60.39	58.71	58.71	27.05	215.77	185.11	74.06	13.93	0.0	12.55	44.57	29.7	115.97	1001.93	1583.71	1340.84	1407.55	1023.0	1487.87	1286.18	3103.19
ARFGEF2	559.28	155.5	137.14	283.05	291.04	159.9	169.07	291.04	189.02	140.04	0.0	223.41	279.14	289.02	480.04	341.51	348.71	403.5	406.31	432.53	389.72	435.55	525.39
ARHGAP44	429.54	10.39	3.11	34.26	44.57	4.94	3.14	24.81	8.25	9.78	0.0	21.32	57.49	116.78	242.88	190.34	208.38	339.14	162.14	173.85	218.79	334.46	285.03
BRS3	2.84	0.0	0.0	0.0	0.0	0.0	0.36	0.37	0.0	0.0	0.0	0.0	0.0	0.39	1.6	0.0	0.47	3.03	0.48	1.04	0.48	0.48	0.72
C20orf112	381.68	76.71	31.0	90.14	110.43	21.63	145.02	66.18	106.63	30.12	166.73	63.0	116.78	202.66	309.83	343.89	348.71	262.2	215.77	293.07	318.57	400.71	273.37
C3orf18	124.37	23.93	20.56	102.97	61.68	9.93	14.03	23.59	31.67	12.74	0.0	40.93	51.35	57.89	218.79	441.64	190.34	217.27	150.17	249.73	246.28	285.03	441.64
CASC4	1159.07	269.6	246.28	329.84	775.05	206.94	299.25	447.82	395.18	152.28	780.44	511.0	521.76	825.0	2075.59	1594.73	2178.83	1977.24	1508.65	2090.03	2032.85	2224.63	1991.0
CCDC149	555.41	74.06	9.63	65.26	105.15	58.71	39.79	61.25	118.43	63.89	0.0	98.73	155.5	138.1	373.81	287.01	271.48	229.72	356.05	249.73	297.17	246.28	366.09
CCT6B	108.9	23.42	5.59	10.71	56.28	7.4	8.38	27.44	44.57	15.45	0.0	7.51	18.97	54.33	87.65	62.12	49.21	78.34	84.63	59.13	65.26	51.71	92.05
CHM	264.03	131.51	138.1	153.34	159.9	122.64	71.5	194.36	166.73	75.64	0.0	121.79	154.42	217.27	301.33	176.29	148.09	214.27	178.77	218.79	185.11	204.07	224.97
CNNM3	543.96	152.28	242.88	157.68	307.69	167.9	187.71	236.21	124.37	116.78	154.42	215.77	246.28	283.05	540.19	454.09	351.14	417.77	353.59	403.5	400.71	376.41	500.46
CTC-241N9.1	49.56	18.03	5.77	8.0	19.68	4.82	10.39	15.56	23.59	14.67	0.0	9.78	13.62	23.76	41.81	52.45	30.34	75.64	87.65	55.89	55.49	45.85	64.8
CTNND2	26.67	0.0	0.0	0.0	0.58	1.53	0.0	0.0	0.58	3.41	0.0	0.25	2.14	4.17	49.91	3.86	1.93	16.51	3.63	8.99	21.94	9.93	46.84
CTXN2	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.96	5.68	1.64	3.59	0.0	3.5	0.0	0.39	12.09
DIRAS3	387.02	4.78	0.74	7.34	39.22	3.14	1.77	8.32	8.25	15.91	0.0	10.0	26.1	35.76	98.04	82.87	109.66	77.25	214.27	66.18	76.17	209.84	72.52
FAM167A	470.14	7.88	1.69	204.07	31.0	9.2	13.93	4.21	13.62	4.9	26.86	9.41	18.29	16.88	45.85	802.41	305.55	137.14	1216.75	660.68	981.29	780.44	470.14
FAM210B	2485.67	248.0	500.46	497.0	587.13	275.28	325.29	693.58	503.95	583.07	633.73	728.11	616.37	1159.07	1745.2	1583.71	1268.46	1896.65	1304.15	1639.59	1477.58	1407.55	1369.04
FAM228B	551.56	138.1	46.84	52.82	96.68	48.52	17.0	117.6	162.14	38.12	0.0	95.34	131.51	224.97	348.71	361.04	229.72	236.21	187.71	371.22	237.86	291.04	297.17
FBXL5	1487.87	1127.35	674.59	368.65	796.86	384.34	287.01	403.5	540.19	698.41	0.0	647.07	825.0	1059.11	1781.89	1662.49	1295.13	1561.89	1225.22	1498.22	1340.84	1529.73	1427.22
FSIP1	9.34	3.06	1.79	0.0	4.74	1.13	2.32	5.77	1.36	2.81	0.0	1.68	2.86	5.11	7.88	4.28	4.78	17.13	8.32	5.96	5.32	7.51	12.45
GPR45	2.86	0.37	0.0	0.72	0.36	0.61	0.0	0.99	1.91	0.82	0.0	0.0	0.41	1.19	2.78	0.52	5.45	1.93	1.03	5.28	1.53	2.03	4.46
GREB1L	49.56	0.65	0.0	3.11	1.79	0.95	0.62	1.39	2.32	3.17	0.0	4.06	5.06	10.96	16.27	77.25	97.36	82.29	59.55	113.56	72.52	75.64	39.22
HNRNPH2	2609.3	1015.93	1044.52	1467.37	1191.69	738.29	612.11	1216.75	1457.23	1066.48	0.0	1551.09	1044.52	1529.73	1844.76	1757.34	2209.26	2573.36	1923.14	1769.57	1674.06	2163.77	1674.06
HTR1F	5.68	0.0	0.39	0.47	1.79	0.0	1.38	0.78	1.14	1.19	0.0	2.32	0.43	2.51	7.11	3.66	0.51	2.73	1.46	4.46	1.93	3.35	7.57
IGSF5	23.25	0.0	0.0	0.0	1.23	0.13	0.0	0.69	0.0	0.0	0.0	1.36	1.89	12.27	30.34	4.7	0.58	5.77	2.16	1.43	2.53	4.13	20.26
KIAA0232	314.17	72.52	63.89	113.56	176.29	68.07	53.95	78.34	100.83	88.88	0.0	98.04	183.82	124.37	423.61	348.71	217.27	312.0	265.87	341.51	234.57	283.05	246.28
KLHL1	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.83	0.0	0.4	0.87	4.46	0.42	4.74	27.05
LARGE	438.59	123.5	5.23	66.18	116.78	11.13	12.09	61.68	14.56	28.24	0.0	53.19	297.17	154.42	376.41	684.02	277.2	417.77	297.17	490.14	353.59	381.68	379.04
LDLRAD4	974.5	31.45	111.21	26.1	229.72	15.11	21.63	70.01	94.67	55.49	42.41	65.72	76.17	173.85	1008.9	258.57	162.14	195.72	167.9	224.97	202.66	162.14	1250.98
LIMCH1	3146.52	74.58	29.27	51.35	131.51	7.51	5.68	67.59	63.0	50.98	0.0	89.51	361.04	307.69	1819.35	961.07	860.08	1008.9	1001.93	1183.45	1199.98	995.0	1447.15
LYRM9	323.03	69.03	10.79	341.51	103.69	33.78	26.1	97.36	136.19	60.82	0.0	54.33	142.01	138.1	540.19	708.18	769.69	743.43	703.28	669.92	769.69	753.83	638.15
MAP1LC3B	1572.76	384.34	660.68	624.99	995.0	656.11	909.17	551.56	1073.91	1151.06	860.08	890.44	780.44	1208.34	1191.69	1350.18	1457.23	1313.23	1216.75	1378.57	1417.35	1437.15	915.51
NBEA	79.45	1.73	1.17	3.99	29.48	1.89	1.64	7.0	9.7	4.43	0.0	8.25	21.78	28.86	334.46	255.0	336.79	271.48	237.86	309.83	224.97	253.23	267.73
NEDD9	669.92	24.28	111.21	47.17	289.02	50.98	31.67	62.56	420.68	53.19	0.0	141.02	480.04	961.07	1277.29	1167.14	1896.65	1745.2	1199.98	1594.73	669.92	995.0	486.75
NPTXR	511.0	8.85	4.9	9.63	66.18	4.66	22.92	56.68	8.45	4.58	0.0	114.36	186.4	98.04	373.81	309.83	153.34	152.28	98.73	187.71	131.51	190.34	244.57
NRG3	4.54	0.0	0.16	0.0	0.47	0.0	0.45	0.0	0.61	0.0	0.0	0.36	1.95	5.11	9.93	4.58	31.22	7.17	5.19	12.27	6.36	17.64	11.47
OPTC	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	1.1	9.48	3.47	0.39	0.92	5.45	3.0	1.43	3.14
