	GTEX.QLQW.1626.SM.4R1K1	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.A5Y1.01A.11R.A28H.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07
PANK3	426.57	285.03	143.01	193.01	409.15	353.59	412.0	780.44	379.04	470.14	165.57	124.37	43.94	91.41	70.01	152.28	115.97	98.04	149.12	124.37	158.79	154.42	62.12	136.19	189.02	159.9	94.01	153.34	74.58	241.19	156.59	60.82	171.45	221.86	70.51	384.34	249.73	45.53	193.01	63.89	312.0
PCDHAC2	62.56	11.38	21.01	26.28	22.43	15.45	21.63	24.63	12.09	25.17	1.64	0.34	3.99	4.54	4.21	10.63	5.11	5.96	22.1	2.16	2.14	2.53	2.53	8.25	7.0	8.45	5.82	6.26	4.98	42.41	8.51	1.97	9.85	28.04	0.33	69.52	6.31	1.53	14.45	7.0	16.03
PGBD1	55.1	82.29	15.45	53.19	88.88	105.15	62.12	54.33	76.17	63.89	22.26	64.34	55.89	36.27	12.27	9.93	16.15	20.56	27.84	35.5	29.27	17.25	23.76	23.93	14.03	54.72	46.5	37.59	31.9	82.87	9.48	4.74	20.86	77.25	10.55	98.04	9.13	18.97	28.86	19.97	53.95
PGM3	521.76	693.58	295.11	551.56	503.95	497.0	341.51	540.19	356.05	500.46	305.55	178.77	189.02	251.48	248.0	265.87	343.89	242.88	231.32	279.14	303.44	248.0	126.12	303.44	253.23	397.93	170.25	269.6	323.03	748.61	351.14	176.29	170.25	463.65	90.14	607.87	435.55	224.97	426.57	212.78	409.15
PHF6	264.03	242.88	114.36	223.41	273.37	265.87	265.87	884.29	228.13	325.29	209.84	205.5	67.12	159.9	88.26	165.57	113.56	154.42	148.09	129.69	154.42	169.07	87.03	150.17	208.38	229.72	118.43	154.42	115.16	358.54	136.19	136.19	190.34	665.29	158.79	262.2	236.21	75.11	208.38	86.43	273.37
PHTF1	346.29	307.69	190.34	198.47	353.59	348.71	309.83	432.53	293.07	297.17	438.59	279.14	228.13	279.14	201.25	185.11	157.68	195.72	19.97	251.48	299.25	180.02	166.73	323.03	283.05	339.14	293.07	260.38	128.79	414.87	201.25	204.07	389.72	379.04	176.29	738.29	346.29	239.52	325.29	104.42	397.93
PLBD2	612.11	660.68	500.46	629.35	802.41	688.78	532.74	536.45	638.15	612.11	647.07	480.04	299.25	253.23	447.82	616.37	830.75	518.15	463.65	507.46	616.37	376.41	166.73	480.04	620.67	1111.82	379.04	571.05	264.03	1909.85	1001.93	441.64	351.14	483.38	255.0	1651.0	780.44	327.56	1073.91	307.69	563.18
POLK	363.56	376.41	96.01	229.72	358.54	366.09	332.14	543.96	244.57	412.0	201.25	163.28	52.45	98.73	59.13	215.77	102.25	119.26	146.03	110.43	135.24	116.78	76.71	153.34	208.38	251.48	81.14	151.22	127.0	226.54	154.42	110.43	146.03	289.02	91.41	356.05	217.27	59.55	226.54	55.1	281.09
PRRC2C	1277.29	1397.83	743.43	1651.0	1119.56	1427.22	1159.07	1268.46	1023.0	1378.57	1023.0	860.08	587.13	921.88	575.03	1066.48	967.76	848.22	1015.93	684.02	1088.92	825.0	503.95	974.5	1583.71	1322.37	575.03	1001.93	748.61	3955.48	848.22	941.27	698.41	2104.58	708.18	1991.0	733.19	703.28	1487.87	332.14	1508.65
PRUNE	1001.93	753.83	341.51	651.58	679.29	665.29	802.41	575.03	947.83	651.58	420.68	974.5	291.04	351.14	273.37	371.22	312.0	336.79	371.22	486.75	406.31	403.5	253.23	323.03	532.74	1127.35	356.05	312.0	248.0	813.63	579.04	307.69	476.71	384.34	275.28	961.07	420.68	295.11	460.44	363.56	679.29
RAB3GAP2	329.84	303.44	136.19	379.04	371.22	320.8	341.51	511.0	291.04	395.18	241.19	249.73	104.42	159.9	111.99	180.02	152.28	159.9	237.86	159.9	197.09	185.11	117.6	199.85	244.57	316.37	115.97	208.38	173.85	327.56	201.25	131.51	178.77	358.54	137.14	486.75	260.38	90.14	273.37	130.6	305.55
RAP2C	463.65	336.79	165.57	395.18	417.77	450.94	447.82	674.59	373.81	395.18	201.25	389.72	78.89	186.4	144.01	183.82	177.53	194.36	237.86	147.06	202.66	140.04	169.07	256.78	220.32	204.07	141.02	189.02	166.73	521.76	497.0	151.22	258.57	1023.0	161.02	368.65	277.2	105.15	283.05	127.89	327.56
RBBP5	353.59	226.54	140.04	251.48	320.8	314.17	295.11	389.72	271.48	339.14	161.02	218.79	113.56	158.79	102.97	108.9	144.01	127.0	205.5	154.42	169.07	164.42	90.77	159.9	161.02	271.48	139.07	127.0	87.65	423.61	158.79	111.21	220.32	209.84	82.87	447.82	264.03	110.43	198.47	114.36	253.23
RFFL	432.53	684.02	307.69	633.73	480.04	480.04	536.45	346.29	460.44	368.65	283.05	928.3	169.07	217.27	186.4	316.37	267.73	351.14	265.87	215.77	381.68	187.71	237.86	299.25	185.11	1709.26	248.0	291.04	189.02	587.13	1519.15	297.17	193.01	409.15	111.21	620.67	150.17	265.87	376.41	223.41	358.54
RNF115	660.68	447.82	228.13	438.59	518.15	466.88	540.19	387.02	466.88	532.74	423.61	500.46	178.77	211.31	224.97	212.78	269.6	299.25	403.5	361.04	358.54	312.0	187.71	329.84	463.65	454.09	287.01	312.0	146.03	633.73	420.68	202.66	563.18	397.93	158.79	738.29	567.1	170.25	470.14	244.57	466.88
RNF141	420.68	703.28	299.25	466.88	612.11	571.05	825.0	1295.13	583.07	738.29	361.04	303.44	239.52	253.23	217.27	297.17	297.17	244.57	336.79	314.17	454.09	351.14	166.73	366.09	353.59	547.75	281.09	332.14	169.07	571.05	403.5	208.38	454.09	316.37	177.53	713.11	470.14	212.78	429.54	220.32	480.04
RNF6	493.56	463.65	258.57	490.14	507.46	559.28	579.04	785.88	483.38	620.67	299.25	353.59	152.28	218.79	291.04	384.34	332.14	249.73	329.84	246.28	314.17	212.78	180.02	400.71	341.51	387.02	208.38	297.17	206.94	780.44	409.15	265.87	341.51	532.74	172.65	753.83	406.31	176.29	356.05	164.42	384.34
RP2	299.25	299.25	115.97	138.1	228.13	223.41	195.72	525.39	186.4	285.03	118.43	134.3	62.12	105.89	101.54	139.07	116.78	117.6	126.12	101.54	143.01	99.43	87.03	172.65	181.28	172.65	98.04	134.3	108.9	426.57	163.28	92.7	108.9	221.86	84.63	438.59	93.35	81.14	150.17	24.46	163.28
RPL7L1	1896.65	1277.29	748.61	1259.69	1233.75	1369.04	1437.15	1183.45	1286.18	1359.57	967.76	1216.75	624.99	769.69	599.49	753.83	915.51	738.29	753.83	902.89	941.27	785.88	854.13	884.29	884.29	1417.35	708.18	848.22	583.07	1477.58	1159.07	651.58	921.88	1268.46	334.46	1135.2	1350.18	674.59	1183.45	660.68	1350.18
RPS6KA3	642.59	733.19	336.79	353.59	674.59	669.92	567.1	1457.23	551.56	860.08	387.02	651.58	152.28	246.28	154.42	334.46	339.14	336.79	241.19	265.87	346.29	191.67	125.24	353.59	507.46	620.67	228.13	341.51	189.02	934.76	490.14	176.29	260.38	417.77	128.79	785.88	264.03	256.78	454.09	117.6	483.38
RPS6KC1	152.28	167.9	92.7	155.5	191.67	181.28	156.59	260.38	139.07	206.94	93.35	125.24	69.52	79.45	65.72	84.63	74.58	80.57	75.64	112.77	102.25	100.13	98.73	118.43	104.42	135.24	74.06	79.45	83.45	178.77	125.24	59.13	90.77	116.78	65.26	166.73	102.25	73.03	132.44	54.33	162.14
RSC1A1	124.37	9.63	1.57	18.97	25.91	12.74	11.47	96.68	23.59	43.94	4.06	8.58	0.0	0.0	0.0	0.0	0.0	6.94	9.06	0.0	0.0	2.41	0.0	0.0	8.38	31.45	0.0	0.0	0.0	18.56	51.35	0.0	6.89	25.54	0.0	64.34	7.69	0.0	20.86	0.0	0.0
RTN3	3280.18	2485.67	1806.78	3124.78	2835.7	2758.13	2664.15	5594.3	2537.92	2502.97	2682.69	2573.36	2240.11	2384.37	2090.03	2287.2	2451.44	2351.53	1369.04	2224.63	2119.22	1529.73	1605.83	2367.9	2417.67	2997.45	2451.44	2075.59	1896.65	3955.48	1437.15	1870.53	2645.74	1806.78	1991.0	4972.34	2758.13	2193.99	2351.53	2502.97	2935.74
RXRG	2.81	0.37	0.0	0.43	3.86	4.1	6.84	1.79	3.17	5.77	0.0	0.67	0.0	0.34	0.33	0.33	0.0	0.64	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.34	0.0	0.0	0.0	6.31	0.69	0.0	1.71	0.0	0.0	10.55	0.0	0.31	1.2	0.0	1.35
SEC24D	301.33	612.11	177.53	297.17	395.18	432.53	356.05	884.29	297.17	633.73	450.94	262.2	91.41	143.01	133.36	253.23	353.59	171.45	138.1	182.55	265.87	159.9	77.25	476.71	228.13	204.07	158.79	176.29	96.68	651.58	236.21	142.01	126.12	289.02	68.07	371.22	279.14	117.6	802.41	67.12	307.69
SENP6	748.61	884.29	463.65	884.29	813.63	890.44	1073.91	1467.37	813.63	1008.9	684.02	327.56	395.18	587.13	358.54	473.41	371.22	426.57	497.0	486.75	579.04	414.87	432.53	703.28	555.41	651.58	466.88	540.19	669.92	1417.35	612.11	521.76	703.28	1135.2	295.11	769.69	808.0	320.8	679.29	392.44	1008.9
SGK1	7749.1	3742.05	2148.82	2573.36	2319.15	4972.34	2758.13	4512.4	3349.13	3018.3	555.41	941.27	563.18	476.71	1685.71	2468.49	1359.57	1023.0	836.53	1685.71	1709.26	1143.1	518.15	4152.18	1870.53	748.61	1498.22	2193.99	2537.92	5292.48	3614.55	642.59	8421.31	2032.85	599.49	3349.13	3874.05	1487.87	1268.46	759.08	2004.85
SH3BGRL	1896.65	3190.46	1674.06	2935.74	3124.78	2609.3	3639.7	5403.7	2777.33	3589.58	1806.78	2451.44	1151.06	1477.58	1331.57	1639.59	1572.76	1697.45	2004.85	1709.26	1447.15	1250.98	813.63	1757.34	1963.57	1870.53	1685.71	1697.45	1199.98	3081.75	1427.22	1001.93	2816.11	4066.71	890.44	4268.94	2627.46	1216.75	1977.24	1250.98	3190.46
SH3KBP1	417.77	599.49	275.28	323.03	476.71	518.15	358.54	356.05	473.41	540.19	426.57	406.31	138.1	185.11	167.9	248.0	206.94	256.78	251.48	202.66	146.03	69.03	71.0	251.48	318.57	234.57	241.19	202.66	144.01	409.15	500.46	175.07	353.59	256.78	237.86	954.43	447.82	217.27	521.76	128.79	426.57
SPG20	3639.7	1950.0	476.71	1268.46	1651.0	1674.06	1551.09	1551.09	1540.37	2240.11	1151.06	896.64	387.02	473.41	575.03	842.36	514.56	633.73	825.0	1199.98	1044.52	571.05	275.28	878.17	1111.82	1044.52	511.0	718.08	551.56	2104.58	981.29	470.14	669.92	808.0	493.56	1447.15	796.86	583.07	884.29	583.07	1304.15
SPP1	184082.4	168220.2	405683.88	654483.73	348306.01	111755.56	177811.84	200048.85	226632.25	263966.36	363097.14	422911.59	179048.63	258533.99	94628.34	311742.51	402881.61	221968.2	614902.29	397335.0	334117.42	368165.8	118949.35	363097.14	414208.18	520665.48	234624.45	386469.83	142439.51	185362.8	450134.56	299043.36	822695.06	472513.8	55107.99	8078.22	499455.67	233003.78	405683.88	422911.59	221968.2
STX17	275.28	260.38	135.24	241.19	301.33	239.52	318.57	490.14	269.6	366.09	171.45	191.67	56.68	88.26	55.89	115.97	140.04	122.64	167.9	119.26	193.01	121.79	43.02	177.53	191.67	255.0	87.03	166.73	82.29	193.01	145.02	64.34	154.42	229.72	55.1	271.48	212.78	77.79	221.86	44.57	271.48
SURF4	3212.66	2777.33	2119.22	2520.38	3257.52	3146.52	2645.74	2537.92	3060.45	3395.89	2627.46	3124.78	1508.65	1561.89	1674.06	1781.89	2148.82	1583.71	2319.15	1721.16	2047.0	1561.89	1529.73	2133.97	2047.0	2209.26	1857.6	1857.6	1508.65	2976.74	3235.01	1721.16	2224.63	2664.15	1359.57	3874.05	2240.11	1662.49	3303.0	1662.49	2434.5
SYT11	318.57	323.03	142.01	69.52	384.34	638.15	305.55	409.15	351.14	389.72	281.09	24.11	228.13	64.8	107.38	176.29	122.64	73.03	24.46	231.32	119.26	30.12	61.25	114.36	108.14	444.72	193.01	176.29	95.34	417.77	237.86	72.52	89.51	356.05	46.5	896.64	460.44	172.65	171.45	59.97	358.54
TCEAL8	2090.03	2090.03	1322.37	1674.06	1923.14	1605.83	1745.2	2997.45	2018.8	1923.14	1617.0	1977.24	1397.83	1369.04	1051.79	1397.83	1175.27	1313.23	1059.11	1639.59	1457.23	1191.69	753.83	1605.83	1540.37	1950.0	1529.73	1369.04	928.3	3060.45	1175.27	780.44	1498.22	2758.13	896.64	1806.78	1721.16	1295.13	1540.37	1819.35	2224.63
TFE3	848.22	848.22	708.18	1066.48	1081.39	1183.45	872.1	647.07	995.0	854.13	878.17	921.88	518.15	536.45	547.75	583.07	909.17	688.78	830.75	791.35	693.58	579.04	476.71	808.0	748.61	785.88	647.07	743.43	587.13	1350.18	1437.15	480.04	620.67	1378.57	543.96	967.76	836.53	543.96	1286.18	753.83	733.19
TGOLN2	4481.23	3235.01	1781.89	3690.52	3540.14	3325.99	3982.99	4095.0	3212.66	3794.3	1651.0	1498.22	2119.22	878.17	1529.73	2502.97	2434.5	1498.22	2303.12	1529.73	2163.77	1233.75	808.0	2400.97	1369.04	1923.14	1350.18	1977.24	915.51	4639.29	3395.89	1662.49	4038.61	3018.3	909.17	3928.15	5954.47	1651.0	3124.78	1594.73	2956.17
TMED7-TICAM2	72.01	60.82	20.26	54.72	48.18	67.12	54.72	176.29	52.82	63.89	12.64	18.03	5.06	5.77	3.53	17.9	50.27	7.82	15.56	1.41	22.26	4.17	7.51	40.64	26.28	13.22	7.75	32.13	3.38	74.58	35.76	9.7	50.27	16.15	5.41	38.95	60.82	4.82	35.25	4.03	21.16
TMEM132B	4.28	8.99	0.34	0.43	7.69	10.79	7.17	13.72	1.75	23.59	6.21	1.33	1.43	1.97	0.99	4.21	0.43	1.27	5.92	1.45	3.96	0.42	0.32	1.28	4.7	40.93	0.29	2.2	0.32	14.78	2.76	0.99	0.35	3.08	0.0	19.39	2.12	0.0	3.17	1.87	7.94
TMX2-CTNND1	0.0	3.53	0.0	0.0	8.65	5.02	7.46	6.94	3.79	13.12	4.54	2.63	0.0	0.0	0.0	0.0	0.0	2.48	0.0	0.0	5.68	0.0	0.0	0.0	0.0	7.75	0.0	0.0	0.0	22.1	3.06	0.0	0.0	8.19	0.0	47.84	0.0	2.41	3.5	0.0	9.13
TNPO1	1628.26	703.28	285.03	486.75	1322.37	909.17	954.43	2485.67	854.13	1259.69	423.61	669.92	145.02	226.54	175.07	486.75	297.17	279.14	387.02	289.02	457.25	297.17	149.12	381.68	358.54	1073.91	175.07	409.15	177.53	684.02	703.28	236.21	454.09	733.19	221.86	1407.55	638.15	186.4	540.19	139.07	796.86
TOR1A	1001.93	872.1	642.59	796.86	802.41	738.29	674.59	802.41	791.35	780.44	511.0	785.88	466.88	500.46	444.72	493.56	444.72	457.25	775.05	587.13	543.96	441.64	525.39	647.07	607.87	591.22	503.95	503.95	429.54	808.0	669.92	460.44	624.99	909.17	336.79	896.64	733.19	587.13	620.67	688.78	693.58
TROVE2	414.87	244.57	105.15	248.0	460.44	332.14	361.04	656.11	299.25	447.82	239.52	199.85	49.56	92.7	62.12	115.97	161.02	162.14	173.85	125.24	232.94	128.79	68.07	152.28	226.54	265.87	114.36	169.07	74.06	323.03	173.85	84.63	185.11	267.73	86.43	457.25	231.32	63.89	281.09	70.01	264.03
TSNAX	915.51	866.07	429.54	616.37	866.07	802.41	1088.92	1350.18	780.44	1127.35	435.55	518.15	287.01	312.0	389.72	441.64	343.89	325.29	438.59	423.61	503.95	559.28	429.54	476.71	656.11	753.83	379.04	476.71	312.0	995.0	493.56	307.69	656.11	660.68	295.11	1143.1	733.19	346.29	575.03	293.07	836.53
TSPEAR	0.95	0.0	0.34	0.0	1.43	2.76	4.74	0.72	1.77	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.69	0.34	0.0	0.0	0.32	1.62	0.0	0.0	0.36	0.32	0.0	3.38	0.0	0.0	0.82	0.0	2.01
UBE2A	1331.57	1286.18	890.44	1709.26	1529.73	1477.58	1457.23	2400.97	1477.58	1519.15	1127.35	1199.98	974.5	825.0	830.75	896.64	967.76	928.3	1487.87	1051.79	954.43	854.13	633.73	1199.98	1104.13	1104.13	1044.52	1119.56	660.68	1781.89	1073.91	703.28	1175.27	2701.35	728.11	1508.65	1088.92	836.53	1208.34	1111.82	1378.57
UBQLN2	738.29	738.29	450.94	733.19	738.29	738.29	748.61	1359.57	708.18	693.58	559.28	603.67	275.28	336.79	291.04	423.61	529.06	414.87	486.75	447.82	511.0	414.87	182.55	444.72	620.67	830.75	438.59	463.65	244.57	967.76	336.79	264.03	480.04	836.53	255.0	450.94	473.41	295.11	674.59	318.57	633.73
UFL1	624.99	612.11	271.48	409.15	476.71	414.87	454.09	981.29	414.87	555.41	303.44	206.94	118.43	271.48	187.71	279.14	228.13	223.41	325.29	193.01	275.28	295.11	173.85	281.09	281.09	406.31	146.03	363.56	226.54	490.14	356.05	221.86	314.17	525.39	77.25	483.38	406.31	149.12	334.46	133.36	429.54
