	TCGA.FU.A3HZ.01A.11R.A213.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07.1	GTEX.S7SF.0426.SM.3K2B7	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ
ADSL	1651.0	447.82	1359.57	1216.75	1216.75	775.05	583.07	660.68	591.22	651.58	723.08	941.27	1127.35	587.13	819.3	825.0	620.67	866.07	941.27	514.56	511.0	341.51	587.13	995.0	351.14	693.58	463.65	764.36	397.93	529.06	231.32	1467.37	1331.57	1487.87	1388.16
AL645728.1	10.24	6.89	24.63	6.57	21.16	5.92	16.15	6.62	5.23	3.5	8.25	12.0	11.04	8.71	5.59	4.54	6.52	12.55	6.94	8.92	3.72	6.21	5.19	17.13	3.56	9.06	1.08	11.13	8.92	1.36	0.0	11.64	12.18	13.83	12.0
ALG1	896.64	358.54	808.0	890.44	738.29	555.41	587.13	518.15	503.95	497.0	518.15	679.29	688.78	432.53	607.87	647.07	500.46	633.73	647.07	358.54	387.02	457.25	507.46	638.15	348.71	679.29	521.76	647.07	629.35	603.67	0.0	1151.06	967.76	915.51	1081.39
ALG3	1651.0	1295.13	2591.27	2400.97	1950.0	1870.53	1709.26	1268.46	1388.16	1259.69	1529.73	2271.4	2163.77	1104.13	1662.49	1639.59	1628.26	1977.24	1628.26	1135.2	1151.06	1127.35	1388.16	2163.77	902.89	1745.2	1378.57	1936.53	1519.15	1359.57	0.56	2351.53	2271.4	2303.12	3190.46
APEX1	6294.04	1447.15	3665.02	4095.0	3124.78	2520.38	1857.6	2384.37	2240.11	2287.2	2434.5	2434.5	3443.31	1781.89	3146.52	3146.52	2956.17	2384.37	3372.43	1561.89	1936.53	1572.76	2047.0	4010.71	1651.0	2720.15	1794.29	2875.3	1745.2	2090.03	0.48	5076.84	5292.48	3124.78	5479.15
APEX2	435.55	211.31	395.18	318.57	323.03	218.79	318.57	251.48	208.38	194.36	234.57	351.14	307.69	189.02	267.73	214.27	198.47	309.83	356.05	198.47	223.41	201.25	178.77	287.01	197.09	187.71	217.27	301.33	221.86	199.85	339.14	579.04	571.05	454.09	483.38
ARMCX5	158.79	86.43	267.73	158.79	162.14	66.65	181.28	110.43	88.88	83.45	73.03	113.56	119.26	90.14	77.25	104.42	105.89	116.78	209.84	120.1	59.13	80.01	82.87	178.77	38.95	74.06	72.52	111.99	47.17	75.64	0.32	153.34	256.78	132.44	228.13
ATAD3A	1304.15	323.03	791.35	470.14	483.38	341.51	361.04	327.56	293.07	264.03	503.95	373.81	688.78	193.01	327.56	312.0	414.87	503.95	423.61	295.11	295.11	329.84	185.11	454.09	303.44	258.57	277.2	346.29	291.04	212.78	0.68	902.89	791.35	825.0	872.1
ATP6V0D1	3168.41	1250.98	2451.44	2627.46	2720.15	2075.59	1561.89	1359.57	1407.55	1617.0	2609.3	1977.24	1467.37	1295.13	2758.13	1551.09	1733.13	2032.85	1936.53	1277.29	1059.11	1378.57	1733.13	1437.15	1233.75	2047.0	1447.15	2178.83	1561.89	1617.0	2287.2	6935.54	5913.33	5751.61	7433.4
BAG1	2468.49	981.29	3039.3	1832.01	2400.97	1487.87	1277.29	1088.92	878.17	995.0	1277.29	1572.76	2682.69	947.83	1709.26	1331.57	1388.16	1583.71	1896.65	1073.91	995.0	753.83	785.88	1991.0	1044.52	1359.57	723.08	1388.16	872.1	1350.18	0.96	3303.0	3081.75	2104.58	1870.53
CD320	3768.09	334.46	684.02	571.05	607.87	389.72	205.5	316.37	423.61	353.59	325.29	629.35	974.5	190.34	616.37	503.95	299.25	591.22	392.44	293.07	327.56	353.59	312.0	329.84	161.02	361.04	309.83	753.83	389.72	283.05	0.51	2520.38	2148.82	1605.83	2739.08
CERK	1242.34	232.94	323.03	518.15	733.19	363.56	341.51	199.85	202.66	236.21	185.11	435.55	305.55	161.02	555.41	368.65	299.25	497.0	327.56	132.44	193.01	271.48	211.31	332.14	208.38	265.87	232.94	329.84	212.78	186.4	0.66	387.02	514.56	389.72	361.04
CFL1	33224.42	9215.48	20030.74	15075.35	19754.96	13586.57	12764.83	10659.59	9945.68	10154.69	14461.21	14765.09	14765.09	9344.14	13872.08	11424.74	11664.82	14065.74	15180.22	11424.74	8538.88	7485.11	10883.59	13306.94	9808.75	12415.75	10440.2	13586.57	10225.32	8538.88	599.49	42054.3	43236.64	32315.87	30361.44
CIAPIN1	1883.54	417.77	981.29	941.27	995.0	571.05	651.58	647.07	457.25	363.56	860.08	743.43	848.22	500.46	698.41	595.34	486.75	1037.29	642.59	454.09	497.0	397.93	403.5	665.29	279.14	403.5	457.25	967.76	454.09	483.38	0.42	1225.22	1051.79	1051.79	1350.18
CLCC1	307.69	229.72	470.14	397.93	521.76	327.56	420.68	267.73	221.86	269.6	199.85	341.51	314.17	361.04	301.33	269.6	397.93	486.75	429.54	271.48	269.6	323.03	366.09	493.56	267.73	251.48	212.78	325.29	212.78	167.9	0.65	733.19	356.05	551.56	307.69
CYB561D2	830.75	532.74	1135.2	934.76	1286.18	642.59	620.67	511.0	490.14	669.92	791.35	703.28	981.29	583.07	579.04	748.61	529.06	780.44	825.0	463.65	262.2	379.04	624.99	988.12	490.14	836.53	571.05	825.0	507.46	395.18	0.0	1427.22	909.17	974.5	1477.58
DCAF13	941.27	228.13	819.3	651.58	607.87	392.44	426.57	305.55	258.57	217.27	346.29	414.87	426.57	371.22	395.18	305.55	264.03	368.65	486.75	215.77	214.27	103.69	264.03	616.37	105.89	285.03	191.67	376.41	197.09	341.51	0.0	684.02	974.5	995.0	769.69
DDB1	3874.05	1745.2	2855.44	2485.67	2520.38	1883.54	1769.57	1709.26	1781.89	1806.78	1870.53	1794.29	2240.11	1721.16	2367.9	1844.76	1950.0	2351.53	1977.24	1639.59	1745.2	1651.0	1781.89	2240.11	1857.6	2240.11	1417.35	1936.53	1806.78	1551.09	0.91	4869.99	5076.84	3467.27	4575.41
DNAJC11	1088.92	483.38	808.0	684.02	796.86	728.11	703.28	547.75	607.87	414.87	579.04	642.59	878.17	575.03	759.08	665.29	563.18	866.07	733.19	466.88	536.45	575.03	547.75	753.83	279.14	543.96	463.65	842.36	500.46	595.34	0.46	656.11	665.29	759.08	688.78
EEF1B2	23330.64	6607.01	23169.48	22380.2	31870.96	12502.12	12329.98	7280.4	9876.98	8778.97	15499.21	13968.57	17078.76	6792.79	15934.98	14065.74	14663.09	17558.94	15392.14	9025.81	14561.8	5255.91	8479.89	21468.49	7695.57	10808.41	5555.65	17437.64	7180.15	10733.74	1.28	30361.44	37901.36	22535.88	23656.34
EIF2B3	848.22	423.61	902.89	748.61	647.07	595.34	633.73	511.0	547.75	514.56	624.99	529.06	660.68	497.0	521.76	514.56	642.59	708.18	708.18	438.59	620.67	356.05	521.76	836.53	547.75	490.14	503.95	599.49	480.04	559.28	0.09	733.19	708.18	769.69	848.22
EIF3M	8598.28	2816.11	7589.61	6426.31	6337.83	4010.71	4575.41	3928.15	3794.3	4010.71	4388.98	4210.15	4671.57	3639.7	4419.52	3665.02	3639.7	4298.64	5594.3	3928.15	3372.43	2004.85	3515.68	5555.65	2720.15	3742.05	3039.3	4181.07	2875.3	4268.94	1.0	9945.68	8718.32	7032.37	7032.37
EIF6	4239.45	2609.3	6121.9	5711.87	6471.02	4239.45	2367.9	2777.33	3060.45	3018.3	3665.02	4543.8	5329.3	2224.63	4388.98	4298.64	3639.7	3847.29	5954.47	3190.46	3124.78	1674.06	3146.52	5329.3	3257.52	3018.3	2384.37	3820.7	1977.24	3081.75	363.56	5183.54	5147.73	4298.64	4836.35
FAU	23169.48	13968.57	30999.42	17804.06	23492.92	17804.06	16157.44	11992.79	13968.57	14867.79	17558.94	20451.65	20593.91	13123.73	16960.78	14971.21	24832.5	14461.21	19082.0	17317.18	15075.35	9409.14	13399.51	25530.66	17927.91	16496.96	11189.6	15075.35	13586.57	15607.02	21919.61	26614.89	39237.98	31650.8	25179.16
GAPDH	172949.54	39510.91	86474.27	96616.71	68318.04	53973.86	38966.94	30151.71	33922.56	39510.91	44761.41	50011.46	37379.55	46019.85	79572.48	40904.3	34635.37	55877.28	51062.33	40904.3	25887.07	12160.22	44145.15	46339.95	33224.42	53973.86	25179.16	59887.86	42937.97	30999.42	753.83	110216.97	150561.19	62431.08	70238.75
GPI	12943.04	3847.29	7382.04	8963.45	6652.97	5403.7	5751.61	3639.7	3564.78	4481.23	5831.91	9876.98	6745.86	4298.64	7537.18	6381.92	4937.99	8718.32	5292.48	4298.64	3212.66	2384.37	3467.27	6561.36	2720.15	4607.24	3325.99	8022.41	5913.33	4972.34	1.28	10296.45	11664.82	4836.35	10659.59
HNRNPA1	43236.64	6516.03	13306.94	13399.51	26431.04	7966.99	7749.1	5479.15	4671.57	6471.02	7081.29	13033.07	15285.81	5672.41	10585.95	11189.6	8022.41	10733.74	15499.21	6471.02	4836.35	3901.01	5872.48	14461.21	5112.16	7433.4	4066.71	8479.89	3540.14	4388.98	1.28	30361.44	57448.23	14971.21	34158.52
HNRNPA3	10883.59	2682.69	3257.52	3168.41	3847.29	2609.3	2468.49	1685.71	1781.89	1733.13	2384.37	3768.09	2701.35	1709.26	2796.65	2956.17	3303.0	4181.07	3564.78	2485.67	2178.83	2271.4	1936.53	3564.78	2209.26	1407.55	2193.99	2193.99	1304.15	1733.13	1.06	6699.25	6121.9	4704.07	4152.18
