	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.131YS.0626.SM.5EGKL	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7247.01A.11R.2016.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN
GP6	0.0	11.3	15.11	1.45	24.63	9.85	14.67	3.69	2.73	6.01	9.63	16.03	4.31	1.31	0.84	2.1	0.0	0.19	0.0	8.92
IGSF22	0.0	46.5	76.17	73.03	128.79	101.54	45.53	45.53	46.84	98.04	68.55	61.68	95.34	29.48	0.53	0.0	0.0	0.17	4.03	2.23
INPP5J	2.51	72.01	543.96	53.57	1250.98	341.51	187.71	171.45	255.0	463.65	769.69	1447.15	384.34	28.86	22.1	10.08	0.0	0.23	8.13	8.85
MUCL1	0.0	2216726.5	736332.6	828417.36	593956.43	462789.59	1273174.62	1255646.43	900270.11	294926.33	887875.81	524287.0	1299926.74	281.09	802.41	22.1	0.0	0.22	503.95	9635979.21
NECAB3	152.28	536.45	1151.06	450.94	1639.59	1030.12	289.02	466.88	830.75	780.44	928.3	1104.13	928.3	194.36	191.67	170.25	0.0	0.31	154.42	301.33
NEIL1	9.78	612.11	1259.69	52.82	1498.22	551.56	232.94	152.28	318.57	1233.75	1119.56	1923.14	981.29	6.16	24.99	18.97	0.0	1.1	31.45	59.55
NEK10	1.55	161.02	1104.13	14.35	961.07	1059.11	11.38	7.57	258.57	902.89	363.56	2976.74	2485.67	4.35	4.58	0.33	0.0	0.0	0.21	26.47
NUTM2A	0.0	39.79	63.0	20.56	116.78	85.82	37.59	5.32	30.78	61.68	44.89	18.43	1.19	7.28	9.93	4.74	0.0	0.14	0.48	9.78
P4HTM	71.5	567.1	1066.48	476.71	1313.23	1030.12	638.15	540.19	1001.93	878.17	1304.15	1498.22	563.18	55.89	114.36	15.8	0.0	0.72	73.54	314.17
PAF1	928.3	1331.57	1757.34	656.11	1651.0	1685.71	860.08	1059.11	1781.89	1651.0	1529.73	2434.5	1388.16	1183.45	961.07	698.41	0.0	0.8	511.0	909.17
PARP10	251.48	947.83	1388.16	878.17	2047.0	2061.24	529.06	612.11	607.87	1407.55	1551.09	1844.76	521.76	190.34	287.01	140.04	0.0	0.89	299.25	303.44
PARP3	33.3	269.6	764.36	400.71	638.15	928.3	178.77	366.09	551.56	483.38	1143.1	1709.26	791.35	63.0	191.67	21.78	0.0	0.66	125.24	336.79
PBLD	8.32	139.07	142.01	98.73	264.03	224.97	159.9	38.95	100.83	171.45	265.87	202.66	127.0	22.1	33.78	18.03	0.0	0.32	38.12	28.04
PI4KB	432.53	1051.79	1322.37	921.88	2148.82	1183.45	1127.35	1037.29	1540.37	1745.2	2119.22	2047.0	967.76	890.44	723.08	483.38	0.0	1.03	536.45	1304.15
PLEKHH3	86.43	591.22	1151.06	854.13	1583.71	1151.06	633.73	866.07	775.05	1477.58	1350.18	1477.58	1268.46	532.74	514.56	426.57	0.0	0.57	232.94	571.05
