	TCGA.A6.5665.11A.01R.1653.07	TCGA.AA.3531.11A.01R.A32Z.07	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.W5WG.2426.SM.4LMI6	GTEX.14DAR.1526.SM.5RQIX	TCGA.KN.8433.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.7851.11A.01R.2203.13	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
ABHD17B	503.95	343.89	693.58	555.41	346.29	591.22	361.04	346.29	244.57	379.04	454.09	403.5	117.6	167.9	112.77	161.02	149.12	212.78	187.71	264.03	603.67	277.2	232.94	140.04	104.42	139.07	141.02	108.14	112.77	199.85	120.94
ABRACL	3491.39	4181.07	6887.62	6699.25	2816.11	4010.71	2400.97	2573.36	1651.0	3168.41	5041.77	3395.89	426.57	164.42	2090.03	633.73	2209.26	1832.01	2417.67	1159.07	1268.46	819.3	1199.98	1745.2	802.41	1437.15	902.89	1551.09	1936.53	1135.2	1832.01
ACOX1	3235.01	2178.83	3690.52	3349.13	825.0	1832.01	1350.18	878.17	1001.93	1617.0	1540.37	1540.37	244.57	775.05	733.19	587.13	603.67	647.07	327.56	1909.85	2682.69	1037.29	967.76	571.05	343.89	463.65	389.72	460.44	392.44	575.03	187.71
ACSL5	4066.71	3665.02	9025.81	9151.82	4836.35	6792.79	7589.61	4937.99	3443.31	7857.29	6294.04	6561.36	94.01	145.02	28.86	25.35	262.2	1583.71	1023.0	1073.91	12589.08	1605.83	599.49	197.09	131.51	75.64	253.23	395.18	206.94	145.02	193.01
ADCY6	1447.15	1096.5	1467.37	1250.98	2004.85	2148.82	1936.53	1896.65	1447.15	2163.77	1721.16	1896.65	273.37	624.99	187.71	441.64	447.82	536.45	457.25	1001.93	785.88	775.05	395.18	529.06	447.82	438.59	713.11	323.03	457.25	759.08	423.61
ADTRP	866.07	1447.15	6840.04	10296.45	3847.29	4972.34	3955.48	3639.7	1923.14	5076.84	5672.41	1806.78	22.26	1.6	8.45	11.38	10.96	860.08	373.81	392.44	3928.15	954.43	299.25	2.89	348.71	14.45	19.11	199.85	33.06	8.51	49.56
AGPAT2	6471.02	5041.77	8718.32	10225.32	3768.09	6699.25	5041.77	3928.15	4419.52	4358.66	6652.97	5329.3	1923.14	723.08	1001.93	583.07	743.43	3820.7	3146.52	3280.18	7130.55	1977.24	1583.71	1769.57	525.39	1081.39	1832.01	1508.65	1051.79	1583.71	1340.84
ALPI	116.78	332.14	1008.9	1950.0	571.05	872.1	607.87	299.25	206.94	848.22	718.08	753.83	0.0	0.0	105.89	2.53	8.99	5.23	0.0	30.78	1529.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANPEP	8901.53	12853.63	38966.94	43840.21	6699.25	15075.35	15934.98	31432.17	4639.29	23656.34	17078.76	20593.91	34.02	31.45	32092.64	603.67	29531.18	4152.18	34.02	2997.45	41188.81	2997.45	463.65	101.54	65.26	45.21	105.89	507.46	74.58	115.16	77.79
APPL2	4210.15	4869.99	4802.93	4937.99	1819.35	3467.27	2835.7	1529.73	1628.26	2875.3	3190.46	3325.99	406.31	656.11	412.0	669.92	802.41	708.18	1594.73	1066.48	2018.8	1277.29	941.27	366.09	371.22	518.15	480.04	460.44	514.56	480.04	318.57
