	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ABHD14A	2645.74	2287.2	2090.03	2555.58	1870.53	2835.7	2367.9	2133.97	2855.44	2004.85	4736.79	2047.0	2434.5	1923.14	909.17	780.44	1216.75	1111.82	1059.11	2240.11	928.3	1143.1	1216.75	796.86	1540.37	1487.87	1519.15	2032.85	1674.06	1628.26	2133.97	1044.52	1340.84	1417.35	1369.04	802.41	1088.92	1870.53	1286.18	1119.56	802.41	819.3	1151.06	1617.0	1066.48	1605.83	1369.04	1030.12	1304.15	1498.22	2287.2
ACOT8	723.08	743.43	854.13	1111.82	1104.13	860.08	896.64	688.78	785.88	738.29	1225.22	1059.11	988.12	728.11	473.41	476.71	493.56	620.67	555.41	651.58	543.96	769.69	521.76	493.56	651.58	518.15	665.29	693.58	559.28	599.49	796.86	583.07	669.92	651.58	660.68	575.03	540.19	764.36	599.49	642.59	563.18	457.25	616.37	660.68	603.67	830.75	748.61	607.87	540.19	759.08	599.49
AIP	2739.08	2367.9	2224.63	3168.41	3280.18	3395.89	2997.45	3168.41	2682.69	2133.97	4358.66	2573.36	2720.15	2061.24	1457.23	1397.83	1551.09	1519.15	1721.16	2335.28	1322.37	1794.29	1605.83	1794.29	2032.85	1605.83	1769.57	2915.45	2351.53	2609.3	2537.92	1477.58	1844.76	1561.89	2163.77	1519.15	1662.49	2047.0	1313.23	1950.0	1757.34	1427.22	1572.76	2303.12	1806.78	2777.33	1594.73	1437.15	1605.83	2645.74	2319.15
AKT1S1	1096.5	1225.22	1059.11	1143.1	1143.1	1015.93	1208.34	1286.18	1001.93	1081.39	1561.89	1111.82	1111.82	1044.52	476.71	872.1	651.58	1023.0	1059.11	842.36	693.58	703.28	1175.27	785.88	1044.52	842.36	974.5	1096.5	981.29	967.76	961.07	791.35	1044.52	665.29	967.76	819.3	995.0	1191.69	961.07	1044.52	995.0	902.89	866.07	1127.35	902.89	1167.14	954.43	954.43	1037.29	921.88	1008.9
ARL6IP4	7537.18	7589.61	6164.49	8022.41	5672.41	6745.86	7857.29	8479.89	6745.86	6887.62	6983.79	6381.92	6516.03	5954.47	2777.33	3124.78	3690.52	4937.99	4543.8	4869.99	3060.45	3564.78	4450.27	4239.45	5112.16	4298.64	5147.73	6381.92	6426.31	5006.93	5995.9	3614.55	5366.37	3349.13	5672.41	3212.66	4903.87	5479.15	5076.84	6164.49	4802.93	3955.48	3820.7	6337.83	4152.18	5995.9	4607.24	4358.66	4671.57	6471.02	6207.38
B3GAT3	1519.15	1277.29	1359.57	1519.15	1233.75	1457.23	1508.65	1529.73	1088.92	1208.34	1697.45	1674.06	1295.13	1081.39	299.25	748.61	500.46	860.08	947.83	684.02	441.64	633.73	703.28	587.13	866.07	748.61	830.75	842.36	679.29	813.63	890.44	733.19	743.43	543.96	1159.07	748.61	642.59	1023.0	1277.29	753.83	733.19	674.59	941.27	1183.45	642.59	1015.93	698.41	753.83	698.41	1073.91	738.29
BSG	17317.18	16269.83	22072.07	30151.71	23820.89	17927.91	19482.97	21320.18	18304.63	17317.18	32767.0	14971.21	18950.18	16843.62	7642.41	9409.14	7642.41	15824.9	14065.74	18819.27	7485.11	11345.82	12764.83	9409.14	17078.76	14461.21	13492.72	20451.65	15285.81	10659.59	23009.42	9740.98	16157.44	9409.14	18178.19	9215.48	13968.57	18950.18	13681.08	10368.08	11909.94	9945.68	12943.04	22535.88	19892.37	18052.61	14561.8	10014.87	14461.21	17804.06	13681.08
C11orf68	1519.15	1059.11	981.29	1794.29	1369.04	1397.83	1295.13	1594.73	1135.2	1088.92	1369.04	1208.34	1119.56	1119.56	753.83	928.3	825.0	1111.82	1015.93	1104.13	860.08	1250.98	915.51	830.75	1417.35	961.07	1037.29	1359.57	909.17	1540.37	1119.56	995.0	1081.39	842.36	902.89	1001.93	1001.93	1388.16	819.3	995.0	1059.11	836.53	967.76	947.83	1044.52	1359.57	954.43	860.08	884.29	1277.29	1286.18
C11orf83	251.48	258.57	234.57	420.68	231.32	429.54	392.44	242.88	301.33	246.28	397.93	265.87	303.44	239.52	78.89	86.43	145.02	220.32	162.14	198.47	96.68	117.6	161.02	108.9	229.72	214.27	229.72	217.27	151.22	170.25	164.42	143.01	249.73	68.07	309.83	122.64	150.17	293.07	217.27	212.78	150.17	112.77	107.38	309.83	163.28	277.2	171.45	142.01	224.97	205.5	249.73
C19orf53	5441.3	4181.07	5672.41	5872.48	7130.55	5711.87	7485.11	4937.99	7032.37	4066.71	7642.41	4239.45	6652.97	5403.7	1883.54	1832.01	1950.0	3325.99	2468.49	4210.15	2032.85	3212.66	2997.45	2224.63	3515.68	3124.78	2935.74	4512.4	5147.73	4010.71	4419.52	1733.13	3901.01	2485.67	4210.15	2720.15	2855.44	4123.49	2720.15	3564.78	2573.36	2895.31	2591.27	4937.99	3491.39	4575.41	2777.33	2400.97	2875.3	5403.7	4450.27
