	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.R53T.1326.SM.48FCQ	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XMK1.1726.SM.4B64Z	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.12KS4.2426.SM.5LU8P	GTEX.PX3G.1426.SM.48U1J	GTEX.ZAB4.2226.SM.5HL97	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14E7W.1326.SM.5RQIV	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZVT3.2126.SM.59HL2
ACSS2	5791.62	5147.73	5006.93	5594.3	1950.0	6079.61	6250.56	6207.38	7280.4	7280.4	3257.52	6207.38	3257.52	4328.55	3847.29	4450.27	2287.2	0.0	0.38	1651.0	1651.0	1617.0	1721.16	2032.85	1639.59	1936.53	1617.0	2434.5
ALDH18A1	1923.14	2133.97	2319.15	2384.37	775.05	2502.97	3060.45	1674.06	2119.22	2018.8	1313.23	2255.7	1685.71	2104.58	1088.92	1819.35	825.0	0.0	0.11	279.14	543.96	483.38	371.22	718.08	723.08	830.75	486.75	511.0
ALKBH4	220.32	208.38	246.28	183.82	162.14	253.23	234.57	169.07	209.84	224.97	194.36	221.86	103.69	191.67	176.29	244.57	157.68	0.0	0.0	41.52	67.59	63.45	69.52	75.64	28.86	69.52	66.18	109.66
ANAPC5	2133.97	1674.06	1991.0	1529.73	2303.12	2018.8	1769.57	1794.29	1977.24	2178.83	2434.5	1950.0	1950.0	1794.29	2555.58	2104.58	1870.53	0.0	0.56	579.04	497.0	748.61	665.29	1359.57	651.58	1417.35	1268.46	1225.22
ARSD	665.29	1008.9	1119.56	624.99	316.37	1397.83	988.12	607.87	866.07	1447.15	406.31	819.3	466.88	656.11	603.67	1059.11	289.02	299.25	194.36	332.14	92.05	111.21	336.79	460.44	366.09	366.09	417.77	571.05
C16orf70	307.69	271.48	353.59	208.38	218.79	256.78	289.02	301.33	220.32	327.56	303.44	287.01	175.07	275.28	305.55	329.84	217.27	0.0	0.22	165.57	136.19	205.5	144.01	182.55	108.9	134.3	177.53	248.0
C16orf91	470.14	540.19	551.56	587.13	307.69	395.18	417.77	397.93	450.94	473.41	503.95	507.46	368.65	638.15	248.0	470.14	329.84	0.0	0.08	171.45	204.07	171.45	158.79	205.5	96.01	226.54	161.02	181.28
C17orf59	466.88	283.05	403.5	246.28	373.81	599.49	435.55	297.17	366.09	339.14	204.07	351.14	189.02	651.58	204.07	403.5	307.69	0.0	0.05	50.63	82.87	112.77	76.71	145.02	36.53	90.14	151.22	241.19
C6orf203	842.36	819.3	1104.13	438.59	414.87	656.11	988.12	753.83	836.53	1008.9	780.44	872.1	363.56	1119.56	559.28	638.15	470.14	0.0	0.0	144.01	118.43	96.68	117.6	176.29	132.44	236.21	163.28	249.73
C8orf82	669.92	547.75	366.09	521.76	473.41	1051.79	830.75	669.92	753.83	493.56	397.93	808.0	262.2	733.19	423.61	638.15	334.46	0.0	0.47	126.12	126.12	182.55	137.14	316.37	146.03	161.02	228.13	607.87
CAAP1	518.15	551.56	813.63	738.29	236.21	540.19	575.03	579.04	567.1	769.69	525.39	642.59	406.31	518.15	490.14	460.44	291.04	0.0	0.39	75.11	92.7	172.65	161.02	145.02	224.97	228.13	129.69	149.12
CHCHD1	1709.26	1359.57	1709.26	1104.13	1119.56	1199.98	1508.65	1508.65	1477.58	1498.22	1477.58	1662.49	872.1	2591.27	934.76	1175.27	1175.27	0.0	0.4	314.17	361.04	480.04	409.15	703.28	476.71	819.3	507.46	813.63
