	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
AC004466.1	16.39	25.35	24.46	14.67	40.07	54.72	18.29	39.22	89.51	5.36	54.72	53.19	4.13	12.27	84.04	40.64	24.63	5.36	8.25	15.11	5.02	18.7	10.71	59.97	21.63	6.26	49.21	15.22	5.19	62.12	17.77	12.55	27.25	31.0	9.2	4.17	10.71	40.93	31.67	63.0	32.59	43.63	59.55	47.17	83.45	21.94	62.12	18.56	124.37	17.25	9.13	7.06	47.84	3.29	8.99	6.11	16.63	1.71	16.88	14.35	17.9	22.92	31.67	3.32	15.11	217.27	40.36	75.64	46.18	66.18	87.03	102.97	29.48	38.67	88.88	30.78	33.78	21.94	64.34	64.34	48.18	165.57	44.57
AC008443.1	0.0	7.06	21.78	0.0	0.0	46.84	0.0	0.0	71.5	20.41	48.87	0.0	0.0	0.0	54.72	42.41	46.18	0.0	0.0	4.78	0.0	0.0	0.0	53.19	16.51	9.13	29.91	5.5	14.89	24.81	49.21	3.66	0.0	0.0	0.0	0.0	4.54	32.36	3.96	27.05	103.69	52.08	373.81	0.0	309.83	69.52	0.0	21.16	713.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.68	0.0	0.0	348.71	24.63	287.01	33.78	96.68	248.0	135.24	27.44	0.0	155.5	46.84	0.0	0.0	76.17	42.41	0.0	10.63	108.14
AC105020.1	10.88	18.84	14.89	6.62	10.0	22.59	5.41	13.03	35.25	5.19	21.32	13.62	2.84	2.73	21.63	42.11	2.1	9.41	6.36	4.9	1.14	6.11	5.28	25.54	11.64	3.47	17.9	13.22	4.21	12.64	7.11	10.08	11.38	6.84	4.17	2.86	3.44	27.05	13.12	18.16	32.82	25.72	18.43	28.04	59.13	14.89	15.68	11.21	107.38	2.86	4.17	5.15	6.78	1.73	3.47	4.24	9.93	1.66	20.56	6.57	2.76	6.01	10.0	0.75	6.94	381.68	10.71	28.04	28.86	54.33	51.71	75.11	22.92	63.45	21.63	21.16	10.08	17.0	27.64	62.56	15.22	55.1	27.64
AC137932.1	5.11	11.13	23.59	1.35	6.06	10.0	3.53	7.28	11.13	2.07	13.93	6.36	3.35	5.15	21.47	15.68	0.0	3.38	4.46	2.41	0.87	1.81	0.99	16.03	6.31	2.46	3.0	7.75	1.0	17.13	6.62	4.9	9.06	5.45	2.43	4.98	3.56	6.41	7.06	12.0	50.98	17.51	20.41	31.0	38.4	18.16	8.38	25.17	57.08	3.35	3.72	3.0	1.55	1.28	2.61	1.64	17.38	3.53	4.28	2.76	1.3	6.52	15.22	0.79	2.92	57.49	12.45	54.33	17.13	66.65	62.12	42.71	15.22	17.51	26.86	15.8	22.26	12.55	23.42	37.59	9.56	23.42	17.25
ACCS	387.02	255.0	387.02	87.03	195.72	791.35	199.85	122.64	384.34	90.14	387.02	114.36	170.25	85.82	656.11	616.37	78.34	144.01	279.14	82.29	74.06	121.79	120.94	543.96	167.9	52.08	140.04	163.28	88.88	616.37	159.9	187.71	201.25	187.71	151.22	108.14	156.59	389.72	267.73	194.36	921.88	165.57	190.34	514.56	660.68	351.14	145.02	656.11	275.28	70.01	48.87	44.57	28.24	25.35	38.95	36.79	117.6	80.57	95.34	34.51	110.43	95.34	58.71	27.64	108.14	1651.0	143.01	571.05	301.33	575.03	921.88	708.18	108.14	194.36	575.03	291.04	162.14	220.32	223.41	269.6	232.94	688.78	271.48
AGAP5	24.28	75.11	67.12	29.91	96.68	126.12	70.51	52.82	190.34	31.22	100.83	98.73	23.42	61.25	236.21	155.5	32.36	82.29	32.36	52.45	26.67	33.06	21.47	141.02	59.13	32.59	73.03	66.18	44.57	142.01	70.51	70.51	64.8	74.06	19.11	35.25	81.14	89.51	66.18	60.39	112.77	77.25	139.07	86.43	170.25	118.43	40.36	125.24	182.55	21.01	23.59	16.39	7.57	4.94	18.16	26.67	75.11	25.17	55.49	29.91	19.53	39.22	57.49	12.55	35.25	334.46	71.5	170.25	100.13	133.36	228.13	126.12	88.88	130.6	130.6	72.01	51.35	87.03	325.29	167.9	77.79	181.28	361.04
AGAP6	215.77	170.25	178.77	55.1	193.01	285.03	77.79	112.77	348.71	62.12	267.73	163.28	47.84	78.89	417.77	412.0	43.94	131.51	75.64	63.89	46.84	54.33	33.54	242.88	126.12	56.28	187.71	176.29	78.34	291.04	195.72	147.06	122.64	116.78	38.4	67.59	115.97	260.38	145.02	173.85	503.95	223.41	406.31	228.13	493.56	234.57	110.43	366.09	703.28	74.58	38.12	41.81	25.91	21.94	38.12	50.98	244.57	79.45	108.14	49.56	29.91	74.06	150.17	23.76	55.1	559.28	126.12	438.59	229.72	521.76	612.11	518.15	144.01	253.23	392.44	148.09	214.27	155.5	325.29	441.64	150.17	275.28	332.14
AHSA2	679.29	693.58	884.29	162.14	587.13	1127.35	297.17	289.02	1277.29	190.34	1023.0	647.07	246.28	255.0	1540.37	1322.37	189.02	262.2	220.32	226.54	221.86	198.47	94.01	1437.15	529.06	332.14	665.29	429.54	497.0	915.51	486.75	1233.75	348.71	255.0	183.82	267.73	444.72	571.05	426.57	529.06	1991.0	703.28	1322.37	1233.75	2915.45	713.11	514.56	1119.56	2502.97	59.13	100.83	72.01	151.22	43.02	78.34	64.34	684.02	198.47	395.18	102.25	105.89	246.28	323.03	45.53	125.24	3280.18	395.18	1936.53	967.76	1936.53	1605.83	1745.2	521.76	866.07	1745.2	511.0	808.0	514.56	1104.13	1096.5	669.92	1697.45	1167.14
AKAP17A	265.87	201.25	205.5	140.04	299.25	423.61	155.5	187.71	327.56	129.69	384.34	189.02	123.5	220.32	532.74	511.0	170.25	178.77	249.73	101.54	141.02	126.12	135.24	457.25	260.38	149.12	226.54	277.2	156.59	412.0	231.32	256.78	193.01	197.09	76.17	166.73	232.94	228.13	334.46	301.33	563.18	297.17	389.72	414.87	567.1	387.02	167.9	503.95	599.49	169.07	153.34	165.57	102.25	133.36	165.57	232.94	256.78	223.41	351.14	161.02	140.04	134.3	209.84	116.78	147.06	723.08	211.31	511.0	307.69	651.58	679.29	647.07	208.38	303.44	432.53	376.41	371.22	307.69	320.8	346.29	356.05	450.94	575.03
AKAP8L	785.88	941.27	902.89	518.15	1127.35	1208.34	708.18	708.18	2434.5	599.49	1781.89	1674.06	1617.0	921.88	2520.38	1769.57	579.04	1001.93	967.76	563.18	688.78	819.3	638.15	1909.85	2032.85	808.0	1437.15	954.43	791.35	1605.83	1304.15	909.17	769.69	796.86	540.19	674.59	1044.52	1135.2	1051.79	1378.57	3491.39	1159.07	1583.71	1519.15	2075.59	1583.71	1467.37	1733.13	3395.89	612.11	1059.11	551.56	603.67	571.05	529.06	698.41	1143.1	543.96	848.22	684.02	536.45	785.88	860.08	703.28	579.04	2537.92	872.1	1991.0	1498.22	2468.49	2645.74	2018.8	1059.11	1030.12	1733.13	1073.91	1191.69	656.11	1151.06	1651.0	1529.73	2104.58	2739.08
