	TCGA.BA.5557.01A.01R.1514.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.HE.A5NJ.01A.11R.A26U.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.BQ.5894.01A.11R.1592.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZTPG.1426.SM.51MT3	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5428.01A.01R.1628.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.3411.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07.1
AASS	35.25	43.32	15.91	84.63	132.44	80.01	48.87	195.72	0.83	130.6	139.07	110.43	275.28	376.41	95.34	271.48	129.69	126.12	109.66	146.03	77.25	103.69	312.0	68.55	113.56	143.01	153.34	126.12	334.46	253.23	55.1	139.07	155.5	77.25	239.52	232.94	110.43	221.86	423.61	175.07	77.79	134.3	163.28	36.79	127.89	106.63	127.0	83.45	81.14	0.0	47.84	25.72	7.46	95.34	64.8	95.34
ARL13B	73.54	100.83	101.54	100.83	122.64	166.73	142.01	136.19	55.49	269.6	134.3	139.07	332.14	224.97	199.85	264.03	194.36	132.44	190.34	172.65	134.3	84.04	244.57	149.12	90.14	134.3	209.84	356.05	178.77	217.27	189.02	94.67	273.37	218.79	214.27	231.32	147.06	170.25	211.31	264.03	165.57	151.22	199.85	41.22	164.42	30.12	87.65	121.79	59.97	176.29	55.49	64.8	76.71	66.18	63.89	66.18
BICD2	2209.26	363.56	301.33	384.34	237.86	323.03	229.72	387.02	50.27	503.95	221.86	269.6	665.29	423.61	309.83	426.57	551.56	314.17	381.68	503.95	339.14	314.17	599.49	389.72	529.06	312.0	532.74	336.79	368.65	341.51	412.0	267.73	547.75	305.55	480.04	486.75	283.05	409.15	470.14	417.77	279.14	323.03	441.64	244.57	244.57	142.01	143.01	91.41	242.88	0.0	90.14	85.22	420.68	182.55	381.68	182.55
BRSK1	56.68	6.36	4.17	4.54	5.77	92.7	100.13	157.68	0.0	260.38	96.01	71.5	260.38	450.94	167.9	547.75	366.09	236.21	86.43	249.73	218.79	26.28	269.6	115.16	135.24	94.67	301.33	77.25	193.01	132.44	167.9	127.89	153.34	307.69	283.05	363.56	3.23	293.07	612.11	111.99	80.01	21.78	134.3	89.51	49.21	12.18	3.44	0.14	27.25	0.0	38.4	71.5	8.85	42.41	159.9	42.41
BTBD19	81.14	24.81	18.03	43.02	30.34	82.29	170.25	137.14	1.68	191.67	279.14	145.02	258.57	417.77	103.69	111.99	283.05	147.06	204.07	173.85	55.89	74.58	161.02	49.21	180.02	26.47	215.77	249.73	58.71	166.73	309.83	152.28	66.18	305.55	201.25	211.31	33.3	231.32	591.22	156.59	64.34	37.85	228.13	16.27	75.11	50.63	86.43	77.79	42.71	54.33	33.78	24.63	1.89	11.82	29.27	11.82
C20orf194	64.34	279.14	183.82	161.02	139.07	289.02	172.65	258.57	24.81	234.57	102.25	197.09	226.54	248.0	239.52	320.8	206.94	187.71	226.54	212.78	132.44	146.03	223.41	180.02	206.94	153.34	131.51	363.56	312.0	169.07	212.78	158.79	224.97	246.28	295.11	251.48	281.09	314.17	341.51	320.8	167.9	205.5	289.02	110.43	197.09	27.44	33.06	19.68	108.9	0.0	32.36	36.27	39.22	72.01	45.21	72.01
C7orf63	22.26	52.82	11.55	18.03	30.34	127.0	318.57	115.16	15.0	212.78	124.37	97.36	595.34	493.56	27.05	423.61	269.6	136.19	151.22	241.19	95.34	108.9	265.87	36.01	164.42	31.0	318.57	232.94	159.9	96.01	167.9	52.45	226.54	122.64	314.17	341.51	101.54	511.0	819.3	183.82	98.73	74.58	110.43	40.93	72.01	5.45	24.11	28.04	88.88	0.0	42.71	94.01	21.01	36.01	11.04	36.01
CCDC30	10.31	105.89	25.54	19.11	20.86	114.36	150.17	115.97	3.92	267.73	94.67	76.71	178.77	205.5	111.99	195.72	151.22	183.82	217.27	156.59	76.71	124.37	237.86	36.79	133.36	58.3	157.68	206.94	217.27	180.02	212.78	114.36	185.11	112.77	214.27	248.0	165.57	223.41	329.84	214.27	92.05	113.56	176.29	57.49	81.71	3.66	4.86	14.03	12.93	0.0	17.9	16.51	1.1	29.06	4.21	29.06
CCDC40	16.63	108.14	76.17	53.57	28.86	305.55	289.02	291.04	10.31	642.59	103.69	137.14	802.41	684.02	63.0	521.76	397.93	293.07	301.33	571.05	164.42	209.84	718.08	88.88	518.15	258.57	429.54	183.82	325.29	163.28	511.0	121.79	587.13	190.34	567.1	708.18	107.38	429.54	921.88	366.09	256.78	285.03	267.73	172.65	135.24	14.24	10.24	14.14	50.63	0.0	34.51	31.9	17.13	13.93	26.1	13.93
CCDC74A	29.7	143.01	15.11	10.16	9.2	414.87	444.72	295.11	5.19	1159.07	376.41	12.27	480.04	796.86	193.01	435.55	638.15	312.0	384.34	688.78	902.89	171.45	684.02	444.72	575.03	371.22	470.14	366.09	251.48	379.04	470.14	198.47	493.56	339.14	571.05	679.29	287.01	909.17	884.29	255.0	204.07	202.66	444.72	525.39	260.38	3.41	6.41	14.14	150.17	0.0	34.26	164.42	12.55	43.63	108.14	43.63
CTC-241N9.1	3.76	38.67	22.75	28.45	25.91	49.21	59.55	85.22	21.01	61.68	71.0	48.87	48.18	117.6	10.88	50.27	57.49	43.02	36.27	94.01	43.02	100.83	65.26	26.28	52.45	48.18	52.82	34.51	59.55	44.57	58.71	44.57	34.02	16.88	47.5	90.77	64.34	60.82	94.01	68.07	44.57	31.9	24.99	78.34	38.4	8.65	8.99	10.63	14.45	0.0	13.52	7.82	8.85	24.63	7.69	24.63
