	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.E2.A1L6.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC018755.1	34.51	10.08	7.4	13.22	23.42	23.93	37.32	6.16	29.48	13.12	69.03	16.63	22.26	26.47	4.74	16.63	23.25	26.67	12.27	13.72	18.29	8.51	13.12	15.34	17.0	7.34	15.8	7.11	8.25	22.92	10.16	19.25	31.22	12.64	28.65	24.46	23.25	9.56	23.25	28.65	37.59	21.78	4.46	3.66	0.0	7.11	7.94	2.12	4.24	9.2	3.06	3.99	8.78	12.74	0.61	4.9	6.36	4.62	11.3	4.78	4.21	0.0	0.12
AMPD3	122.64	170.25	155.5	69.52	145.02	162.14	267.73	139.07	171.45	215.77	94.01	120.94	314.17	147.06	43.94	119.26	106.63	110.43	177.53	175.07	140.04	161.02	127.0	212.78	201.25	84.04	185.11	84.04	166.73	305.55	175.07	86.43	187.71	58.3	251.48	76.71	124.37	204.07	175.07	376.41	133.36	256.78	96.68	26.67	20.71	15.34	18.97	15.0	11.3	18.97	11.38	25.54	28.65	9.56	24.81	52.08	13.62	18.84	20.71	18.84	7.51	194.36	115.97
APITD1	1030.12	547.75	591.22	748.61	753.83	536.45	988.12	332.14	1030.12	575.03	511.0	669.92	947.83	591.22	293.07	674.59	536.45	769.69	470.14	921.88	432.53	819.3	543.96	642.59	967.76	638.15	514.56	323.03	688.78	470.14	583.07	620.67	651.58	1331.57	551.56	420.68	878.17	356.05	723.08	466.88	708.18	514.56	186.4	182.55	262.2	387.02	205.5	312.0	198.47	403.5	244.57	96.68	146.03	218.79	507.46	209.84	177.53	204.07	220.32	246.28	59.97	0.0	0.0
APPL1	961.07	500.46	559.28	368.65	599.49	209.84	536.45	190.34	400.71	540.19	769.69	423.61	559.28	616.37	279.14	575.03	559.28	447.82	165.57	476.71	624.99	575.03	521.76	490.14	660.68	480.04	201.25	397.93	836.53	1225.22	215.77	441.64	260.38	915.51	444.72	299.25	490.14	511.0	480.04	748.61	262.2	277.2	161.02	197.09	103.69	98.04	130.6	127.0	121.79	94.01	100.83	89.51	133.36	152.28	138.1	176.29	44.25	159.9	177.53	135.24	150.17	0.0	0.46
BMI1	2875.3	1066.48	872.1	819.3	878.17	642.59	2090.03	1322.37	2367.9	1572.76	2591.27	1044.52	1104.13	769.69	1001.93	1073.91	1199.98	583.07	1359.57	1936.53	1857.6	2075.59	941.27	2682.69	2075.59	551.56	1051.79	1151.06	995.0	2255.7	830.75	1051.79	638.15	3060.45	974.5	995.0	1073.91	1242.34	1259.69	1159.07	848.22	928.3	603.67	563.18	392.44	412.0	417.77	277.2	389.72	536.45	293.07	265.87	466.88	802.41	256.78	599.49	212.78	348.71	497.0	441.64	142.01	0.0	0.54
BTRC	543.96	283.05	138.1	198.47	348.71	211.31	281.09	95.34	241.19	371.22	836.53	281.09	384.34	928.3	251.48	246.28	260.38	299.25	217.27	441.64	612.11	616.37	267.73	660.68	825.0	363.56	295.11	265.87	379.04	547.75	336.79	435.55	147.06	503.95	567.1	353.59	1104.13	353.59	159.9	819.3	325.29	265.87	85.22	114.36	60.82	67.12	56.68	79.45	66.18	84.63	52.82	58.3	64.34	77.25	50.63	83.45	52.82	67.59	88.26	80.01	36.53	0.0	0.37
C12orf55	10.0	12.55	3.14	6.01	7.11	3.29	15.45	3.41	14.45	5.19	16.63	4.35	15.22	7.17	1.3	13.52	15.22	2.61	3.89	8.45	4.66	12.18	4.82	6.67	3.44	2.51	5.19	3.06	2.81	4.86	5.36	4.13	5.23	20.41	6.26	2.86	5.11	6.36	4.5	4.74	9.13	3.47	0.45	0.96	1.25	0.46	1.1	0.0	2.2	1.39	0.0	1.17	3.2	3.06	0.0	5.06	0.0	1.55	1.5	0.55	0.0	0.0	0.04
C5orf38	450.94	291.04	8.78	264.03	136.19	305.55	1757.34	1119.56	2303.12	470.14	921.88	201.25	988.12	3491.39	23.42	110.43	2271.4	10.39	1081.39	41.81	173.85	866.07	376.41	2915.45	5954.47	189.02	64.8	131.51	90.77	287.01	102.97	113.56	332.14	540.19	947.83	371.22	152.28	293.07	397.93	836.53	1104.13	1794.29	1.51	0.0	0.0	0.0	0.0	0.0	16.88	0.0	0.0	0.0	0.99	0.0	0.0	4.03	0.0	0.0	0.0	0.0	5.15	0.0	0.43
C5orf42	255.0	144.01	65.72	63.0	125.24	82.87	289.02	48.18	136.19	244.57	264.03	106.63	224.97	185.11	68.07	103.69	41.81	138.1	191.67	187.71	198.47	182.55	101.54	156.59	211.31	108.14	194.36	67.12	169.07	285.03	50.98	74.58	157.68	167.9	208.38	105.89	163.28	147.06	125.24	325.29	76.17	95.34	40.36	39.5	28.86	10.88	17.38	8.58	9.63	11.47	13.62	30.56	38.95	50.98	13.83	43.32	9.93	23.42	22.59	18.43	5.82	0.0	0.43
C5orf49	132.44	57.08	0.0	61.68	59.97	43.63	303.44	16.27	88.88	108.14	92.7	26.47	214.27	120.1	15.34	135.24	275.28	49.21	29.91	53.57	162.14	98.73	51.71	100.83	27.64	59.55	66.65	56.68	18.29	74.58	30.34	32.13	14.89	167.9	64.34	60.82	47.84	58.3	41.52	86.43	45.85	78.34	16.15	15.22	2.34	42.41	14.67	22.26	31.0	2.01	8.85	1.28	11.38	0.0	8.71	21.32	9.27	14.24	14.24	24.11	6.84	0.0	0.0
CCDC176	363.56	169.07	127.89	241.19	175.07	161.02	656.11	175.07	299.25	214.27	607.87	185.11	339.14	457.25	236.21	420.68	412.0	339.14	218.79	223.41	289.02	780.44	275.28	470.14	1119.56	171.45	120.1	271.48	356.05	186.4	121.79	167.9	98.73	318.57	395.18	214.27	251.48	214.27	332.14	463.65	198.47	211.31	39.79	58.3	28.45	67.59	21.16	41.52	53.95	27.84	27.84	32.82	101.54	43.94	40.07	35.76	23.08	80.57	108.14	52.45	41.22	0.0	0.06
CNOT8	2664.15	954.43	723.08	961.07	941.27	860.08	1639.59	356.05	1427.22	1340.84	1709.26	775.05	1417.35	1225.22	1030.12	1073.91	1073.91	947.83	591.22	1662.49	934.76	1583.71	1119.56	1037.29	1709.26	759.08	796.86	1388.16	981.29	1769.57	753.83	1216.75	813.63	1023.0	2133.97	1088.92	780.44	1001.93	915.51	967.76	791.35	612.11	473.41	486.75	241.19	432.53	312.0	224.97	348.71	187.71	353.59	403.5	353.59	426.57	460.44	500.46	281.09	384.34	379.04	348.71	147.06	0.0	0.69
