	GTEX.14AS3.1626.SM.5S2OY	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.TSE9.2826.SM.4DXTF	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.64.1678.01A.01R.0946.07	TCGA.05.5428.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.37.4135.01A.01R.1100.07	TCGA.18.3421.01A.01R.0980.07	TCGA.34.5234.01A.01R.1635.07	TCGA.37.4130.01A.01R.1100.07	TCGA.AG.3591.01A.01R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13D11.1226.SM.5IFGA	GTEX.ZYVF.0526.SM.5E43E	GTEX.1399U.1326.SM.5IJET	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.ZAK1.2526.SM.5S2N7	GTEX.14BIM.2226.SM.5SI8Y	GTEX.TSE9.2626.SM.4DXV2	GTEX.RU72.2626.SM.4TT75	GTEX.W5WG.1326.SM.4LMI9	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT
ADCK1	122.64	149.12	166.73	113.56	51.35	111.21	49.56	130.6	63.0	46.84	48.18	56.68	149.12	64.34	48.18	164.42	126.12	122.64	150.17	142.01	194.36	205.5	72.52	297.17	118.43	332.14	218.79	130.6	170.25	303.44
ADRA1D	5.73	3.06	135.24	0.48	1.77	0.0	0.39	0.0	0.0	1.58	0.0	0.77	4.98	17.25	22.43	1.31	2.03	36.01	4.7	66.18	7.82	31.67	82.29	31.0	16.27	51.71	13.12	60.39	19.25	23.76
ANAPC2	279.14	521.76	884.29	271.48	218.79	211.31	164.42	128.79	236.21	249.73	236.21	255.0	206.94	244.57	273.37	595.34	147.06	525.39	1051.79	995.0	1350.18	1277.29	361.04	1781.89	559.28	1225.22	1030.12	848.22	1066.48	1427.22
ANKRD13B	58.3	24.11	366.09	119.26	37.32	25.35	12.55	1.25	84.63	46.84	30.56	70.01	124.37	33.54	16.63	194.36	56.28	193.01	170.25	41.22	336.79	180.02	58.71	277.2	169.07	559.28	444.72	239.52	264.03	466.88
ANKS3	189.02	256.78	684.02	81.14	79.45	55.1	108.14	69.52	186.4	86.43	159.9	307.69	88.26	144.01	201.25	373.81	40.36	400.71	713.11	417.77	941.27	1037.29	301.33	1059.11	708.18	1015.93	848.22	591.22	866.07	941.27
AP001055.1	2.25	9.56	82.29	7.82	4.58	0.0	1.57	0.0	43.94	14.24	3.96	14.24	6.94	5.19	21.78	22.92	0.0	28.24	163.28	28.24	75.64	47.5	10.79	90.77	29.27	202.66	37.05	56.28	73.54	111.21
ARAP3	185.11	97.36	866.07	57.89	71.5	18.03	36.27	24.63	43.02	53.95	51.35	80.01	32.59	94.01	47.17	158.79	12.36	397.93	248.0	412.0	559.28	974.5	379.04	1059.11	718.08	1331.57	507.46	493.56	785.88	426.57
ARFGAP1	371.22	656.11	1721.16	454.09	669.92	281.09	603.67	171.45	1135.2	698.41	575.03	1059.11	656.11	796.86	1662.49	1397.83	246.28	1286.18	1923.14	1350.18	2287.2	1977.24	412.0	2319.15	1233.75	2335.28	1628.26	1304.15	1417.35	2303.12
ARHGEF2	902.89	473.41	1561.89	262.2	279.14	269.6	236.21	77.79	490.14	665.29	583.07	1059.11	543.96	518.15	373.81	1304.15	454.09	1427.22	1963.57	848.22	2555.58	1977.24	1304.15	2573.36	1781.89	2573.36	1508.65	1268.46	2047.0	2075.59
ARHGEF40	1208.34	441.64	2555.58	63.89	262.2	22.75	101.54	194.36	258.57	110.43	183.82	152.28	52.08	348.71	299.25	414.87	34.75	656.11	684.02	371.22	1447.15	1896.65	262.2	1628.26	1427.22	2591.27	1605.83	1359.57	890.44	890.44
ASIC3	13.32	21.32	176.29	5.73	3.72	2.32	2.03	2.94	96.68	45.85	9.78	17.64	23.59	3.47	21.32	59.13	4.86	228.13	110.43	49.56	143.01	87.65	13.83	221.86	59.55	269.6	63.0	70.51	162.14	146.03
ATXN2L	981.29	884.29	2255.7	476.71	713.11	599.49	579.04	199.85	1088.92	775.05	674.59	1044.52	1745.2	748.61	1015.93	1540.37	595.34	1617.0	2520.38	1551.09	2351.53	2075.59	1015.93	2645.74	1857.6	3257.52	2193.99	1561.89	1896.65	2287.2
