	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DO.A1JZ.11A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.X8HC.0726.SM.46MWG	GTEX.VUSG.0426.SM.3GIKD	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ABHD10	599.49	525.39	339.14	450.94	463.65	507.46	447.82	521.76	420.68	547.75	323.03	423.61	463.65	376.41	392.44	532.74	521.76	473.41	460.44	503.95	384.34	733.19	551.56	409.15	493.56	426.57	305.55	463.65	403.5	441.64	325.29	616.37	836.53	493.56	769.69	346.29	647.07	915.51	563.18	718.08	555.41	638.15	612.11	764.36	738.29	543.96	616.37	1008.9	563.18	1233.75	518.15	679.29	551.56	587.13	638.15	563.18	836.53	616.37	802.41	629.35	511.0	775.05	525.39	743.43	547.75	447.82	293.07	669.92	769.69	669.92	518.15	532.74	679.29	743.43	884.29	884.29	587.13	642.59	633.73	559.28	738.29	543.96	830.75	665.29	669.92	693.58	825.0	728.11	723.08	511.0	532.74	638.15	547.75	579.04	713.11	748.61	642.59	808.0	718.08	660.68	780.44	476.71	915.51	743.43	775.05	620.67	529.06	332.14	718.08	567.1	748.61	743.43
ACBD5	358.54	177.53	237.86	206.94	363.56	260.38	202.66	293.07	277.2	314.17	348.71	297.17	256.78	246.28	236.21	307.69	371.22	366.09	323.03	309.83	329.84	248.0	187.71	329.84	373.81	279.14	236.21	256.78	256.78	223.41	237.86	444.72	463.65	620.67	878.17	182.55	454.09	532.74	540.19	497.0	447.82	603.67	665.29	400.71	441.64	514.56	974.5	532.74	607.87	718.08	441.64	507.46	532.74	447.82	368.65	426.57	679.29	392.44	511.0	486.75	703.28	490.14	473.41	529.06	476.71	438.59	387.02	325.29	638.15	612.11	612.11	420.68	454.09	483.38	866.07	842.36	470.14	454.09	612.11	392.44	563.18	723.08	567.1	412.0	559.28	909.17	521.76	559.28	466.88	511.0	591.22	480.04	373.81	579.04	738.29	432.53	483.38	642.59	381.68	432.53	511.0	318.57	612.11	638.15	486.75	395.18	536.45	356.05	414.87	665.29	633.73	860.08
ADH5	1397.83	1437.15	1340.84	1781.89	1551.09	1561.89	1313.23	1857.6	1551.09	1477.58	1819.35	1498.22	1697.45	1583.71	1769.57	1350.18	1923.14	1697.45	1529.73	1721.16	1388.16	2018.8	1397.83	1277.29	1437.15	1467.37	2434.5	1477.58	1806.78	1639.59	1561.89	2090.03	2855.44	3280.18	3325.99	1806.78	3235.01	2895.31	3039.3	2701.35	2976.74	3039.3	3212.66	2400.97	3372.43	2004.85	3491.39	3303.0	2335.28	3419.52	3982.99	2816.11	2627.46	2935.74	3146.52	2627.46	2627.46	2417.67	3280.18	3103.19	2915.45	2976.74	3395.89	3190.46	3190.46	2956.17	2255.7	2193.99	2935.74	2537.92	2816.11	2796.65	3280.18	2178.83	3372.43	3039.3	2935.74	2485.67	3039.3	2701.35	3235.01	2935.74	2915.45	2451.44	2664.15	2720.15	2835.7	2434.5	2682.69	3018.3	3325.99	2520.38	3467.27	2609.3	2682.69	2434.5	2367.9	3060.45	2367.9	3589.58	3901.01	1709.26	2701.35	3467.27	2485.67	2875.3	2335.28	1909.85	3146.52	3146.52	3467.27	2835.7
ADIPOR2	629.35	480.04	387.02	547.75	563.18	591.22	403.5	591.22	507.46	612.11	753.83	567.1	536.45	633.73	718.08	466.88	583.07	521.76	624.99	595.34	551.56	595.34	441.64	551.56	511.0	460.44	497.0	426.57	624.99	454.09	511.0	1066.48	1250.98	1015.93	1331.57	1066.48	909.17	1304.15	1015.93	1369.04	1277.29	954.43	1295.13	1268.46	1304.15	1242.34	1551.09	1594.73	1059.11	1519.15	1199.98	728.11	718.08	1037.29	1143.1	902.89	1794.29	981.29	1143.1	1044.52	808.0	764.36	1051.79	1051.79	1313.23	718.08	848.22	808.0	1023.0	1304.15	1313.23	836.53	915.51	748.61	1628.26	1225.22	884.29	1191.69	860.08	921.88	1167.14	1088.92	967.76	884.29	1199.98	1457.23	921.88	1015.93	559.28	1037.29	1757.34	1037.29	819.3	1167.14	1073.91	733.19	947.83	995.0	1159.07	1081.39	1015.93	642.59	1119.56	1427.22	878.17	842.36	902.89	660.68	909.17	1199.98	1151.06	1331.57
AFG3L2	688.78	514.56	426.57	595.34	633.73	583.07	521.76	540.19	624.99	595.34	813.63	514.56	454.09	579.04	651.58	638.15	591.22	665.29	638.15	567.1	698.41	612.11	521.76	559.28	559.28	483.38	470.14	454.09	463.65	483.38	511.0	769.69	1096.5	1143.1	1111.82	638.15	1015.93	1250.98	954.43	974.5	1467.37	1135.2	1073.91	928.3	1143.1	988.12	878.17	1313.23	909.17	1127.35	1008.9	1001.93	764.36	967.76	915.51	954.43	1008.9	902.89	1359.57	1378.57	909.17	1001.93	1183.45	988.12	1519.15	785.88	674.59	579.04	836.53	1175.27	1008.9	1088.92	1437.15	947.83	1417.35	1313.23	981.29	890.44	878.17	769.69	1216.75	848.22	1233.75	915.51	1023.0	830.75	848.22	1250.98	890.44	1127.35	1183.45	872.1	1096.5	1216.75	1073.91	1378.57	974.5	1250.98	1175.27	1059.11	1030.12	555.41	981.29	1437.15	909.17	1151.06	733.19	591.22	934.76	1167.14	1073.91	967.76
AKAP10	258.57	161.02	198.47	211.31	199.85	228.13	187.71	295.11	212.78	262.2	351.14	237.86	208.38	201.25	208.38	229.72	251.48	234.57	267.73	291.04	253.23	249.73	221.86	271.48	267.73	209.84	211.31	183.82	260.38	202.66	234.57	336.79	420.68	400.71	387.02	323.03	389.72	493.56	348.71	366.09	339.14	460.44	392.44	341.51	395.18	417.77	381.68	591.22	242.88	559.28	403.5	392.44	312.0	283.05	318.57	412.0	426.57	323.03	414.87	381.68	406.31	400.71	339.14	417.77	426.57	318.57	295.11	320.8	483.38	395.18	389.72	389.72	371.22	356.05	483.38	595.34	332.14	358.54	329.84	314.17	406.31	371.22	371.22	293.07	444.72	397.93	285.03	435.55	318.57	414.87	406.31	314.17	389.72	366.09	426.57	358.54	316.37	389.72	351.14	293.07	379.04	258.57	361.04	497.0	414.87	420.68	256.78	277.2	334.46	312.0	412.0	361.04
ANK3	277.2	269.6	392.44	312.0	181.28	155.5	157.68	323.03	212.78	307.69	490.14	540.19	403.5	197.09	114.36	221.86	295.11	242.88	642.59	400.71	264.03	368.65	334.46	343.89	327.56	351.14	318.57	150.17	395.18	351.14	363.56	995.0	1096.5	769.69	1447.15	902.89	521.76	759.08	521.76	1594.73	1015.93	684.02	1397.83	1208.34	1159.07	896.64	775.05	1572.76	753.83	1407.55	400.71	896.64	1081.39	514.56	785.88	532.74	848.22	583.07	454.09	669.92	961.07	796.86	679.29	665.29	497.0	656.11	555.41	591.22	854.13	785.88	713.11	616.37	708.18	848.22	1397.83	1369.04	934.76	848.22	713.11	947.83	842.36	764.36	1216.75	514.56	764.36	1001.93	356.05	796.86	1037.29	547.75	629.35	1467.37	417.77	764.36	961.07	361.04	447.82	748.61	785.88	579.04	928.3	547.75	1023.0	713.11	836.53	825.0	620.67	211.31	693.58	1023.0	551.56	967.76
ANKMY2	320.8	260.38	205.5	368.65	285.03	373.81	291.04	376.41	289.02	327.56	363.56	316.37	297.17	279.14	291.04	341.51	336.79	320.8	397.93	353.59	312.0	348.71	283.05	291.04	336.79	269.6	312.0	267.73	376.41	303.44	297.17	559.28	423.61	470.14	642.59	361.04	363.56	379.04	426.57	559.28	358.54	392.44	426.57	371.22	490.14	346.29	447.82	543.96	473.41	660.68	346.29	521.76	476.71	287.01	384.34	346.29	429.54	379.04	381.68	490.14	483.38	480.04	406.31	486.75	320.8	417.77	387.02	514.56	470.14	387.02	432.53	316.37	414.87	414.87	708.18	656.11	420.68	293.07	493.56	483.38	381.68	536.45	563.18	305.55	368.65	536.45	426.57	414.87	463.65	395.18	412.0	414.87	336.79	457.25	417.77	339.14	387.02	381.68	384.34	460.44	438.59	341.51	511.0	486.75	435.55	450.94	379.04	363.56	493.56	441.64	348.71	532.74
ANKRD46	231.32	182.55	181.28	137.14	172.65	173.85	140.04	249.73	195.72	226.54	277.2	187.71	195.72	178.77	177.53	183.82	320.8	189.02	212.78	246.28	166.73	204.07	173.85	176.29	183.82	194.36	158.79	124.37	202.66	150.17	190.34	518.15	493.56	547.75	780.44	129.69	373.81	400.71	395.18	381.68	289.02	356.05	603.67	412.0	476.71	248.0	708.18	660.68	473.41	819.3	223.41	397.93	500.46	323.03	277.2	392.44	493.56	258.57	532.74	312.0	583.07	384.34	277.2	341.51	334.46	493.56	217.27	287.01	607.87	514.56	423.61	366.09	343.89	466.88	802.41	1030.12	384.34	309.83	441.64	343.89	403.5	713.11	547.75	334.46	441.64	753.83	366.09	406.31	483.38	339.14	358.54	373.81	253.23	303.44	441.64	366.09	287.01	343.89	320.8	381.68	480.04	341.51	633.73	356.05	373.81	423.61	381.68	353.59	518.15	575.03	497.0	493.56
ANO5	21.78	3.5	14.03	13.32	12.93	14.89	5.96	17.77	8.13	7.34	31.22	13.22	0.77	11.73	4.13	20.56	8.51	14.03	4.86	27.84	10.63	13.83	11.91	23.42	7.11	9.48	12.93	13.72	8.51	8.45	16.15	56.28	81.71	62.12	164.42	15.91	90.14	87.65	85.82	154.42	23.25	45.85	67.59	115.16	67.12	21.32	98.04	139.07	59.97	228.13	15.22	76.71	57.49	32.36	57.49	61.68	45.21	23.59	47.5	55.1	52.45	54.72	18.56	65.26	34.51	52.82	45.21	32.13	129.69	30.56	134.3	26.47	43.02	164.42	320.8	78.89	36.79	19.11	77.25	50.27	67.59	89.51	63.89	48.18	61.25	115.97	74.58	45.53	54.72	74.06	32.59	47.5	27.64	45.85	96.01	51.71	37.85	53.19	102.97	30.12	65.26	48.87	171.45	92.05	118.43	67.12	34.51	15.8	82.87	150.17	59.13	92.05
