	GTEX.S7SE.0926.SM.2XCD6	GTEX.SIU8.0926.SM.5SI87	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.11EQ8.0826.SM.5N9FG	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI
AC008964.1	1059.11	397.93	463.65	409.15	264.03	194.36	110.43	9.34	2.78	14.03	16.63	11.55	53.19	316.37	265.87	35.5	98.73	104.42	40.64	69.52	13.42	36.79	20.56	47.17	7.06	18.03	5.36	38.95
AIM2	1208.34	95.34	277.2	164.42	141.02	62.12	23.59	5.77	4.28	3.56	6.94	13.93	26.86	228.13	66.65	19.39	11.91	45.85	16.51	18.16	2.66	14.35	24.28	8.25	3.86	1.33	6.57	4.06
AKNA	1498.22	909.17	921.88	1037.29	753.83	547.75	204.07	271.48	84.63	152.28	205.5	127.0	466.88	1030.12	384.34	156.59	423.61	314.17	267.73	287.01	111.21	129.69	182.55	204.07	94.01	91.41	128.79	176.29
AMICA1	4575.41	7803.01	514.56	1066.48	583.07	429.54	158.79	128.79	7.11	44.57	39.5	44.25	356.05	791.35	624.99	70.01	226.54	287.01	117.6	379.04	21.47	87.03	30.56	182.55	22.59	35.5	40.36	73.54
ANXA2R	295.11	73.03	101.54	163.28	81.14	57.89	33.06	16.63	11.21	18.16	12.64	15.56	48.18	105.15	37.32	12.36	24.81	23.76	35.5	64.8	17.38	20.11	14.24	16.75	11.64	21.01	11.64	13.62
APBB1IP	571.05	603.67	483.38	500.46	368.65	246.28	70.51	87.03	6.78	133.36	64.8	46.18	98.04	273.37	142.01	46.18	163.28	107.38	26.86	78.89	19.39	92.05	29.06	42.11	3.69	25.72	20.26	48.18
APOL1	3103.19	3901.01	1896.65	1088.92	1242.34	1088.92	389.72	323.03	31.67	164.42	420.68	221.86	493.56	738.29	1806.78	269.6	432.53	669.92	239.52	674.59	155.5	285.03	334.46	358.54	127.0	136.19	166.73	185.11
ARHGAP25	1340.84	928.3	656.11	693.58	463.65	327.56	193.01	72.01	19.53	50.63	50.98	74.58	146.03	525.39	183.82	53.19	146.03	208.38	125.24	297.17	47.5	146.03	29.48	55.49	49.21	43.94	46.84	82.87
ARHGAP30	1605.83	1923.14	660.68	753.83	518.15	426.57	75.11	123.5	24.81	27.25	70.01	62.56	80.57	796.86	363.56	52.82	127.0	205.5	54.33	138.1	14.24	111.99	34.51	47.17	26.28	34.26	32.36	114.36
ARHGAP9	1781.89	1870.53	1286.18	2287.2	995.0	769.69	265.87	172.65	57.89	32.82	140.04	62.56	500.46	1819.35	2061.24	172.65	406.31	339.14	158.79	480.04	74.06	221.86	34.51	262.2	29.06	37.05	27.44	173.85
