	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A15P.01A.11R.A115.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07
ACAP2	155.5	332.14	679.29	205.5	473.41	327.56	293.07	172.65	267.73	223.41	220.32	172.65	373.81	336.79	336.79	307.69	244.57	223.41	595.34	376.41	303.44	314.17	281.09	279.14	275.28	376.41	206.94	162.14	106.63	69.03	62.12	111.21	102.97	67.59	52.08	75.11	92.7	69.03	69.52	74.06
ADNP2	69.52	325.29	395.18	221.86	193.01	336.79	260.38	176.29	202.66	93.35	209.84	147.06	346.29	199.85	260.38	279.14	208.38	175.07	183.82	191.67	195.72	157.68	162.14	368.65	228.13	480.04	183.82	194.36	93.35	64.34	76.17	129.69	54.72	64.34	62.12	43.63	43.63	56.28	72.52	50.63
ALG11	29.7	191.67	387.02	113.56	197.09	162.14	170.25	92.7	229.72	96.68	79.45	115.16	164.42	255.0	202.66	113.56	90.14	108.9	373.81	275.28	102.25	117.6	109.66	209.84	91.41	166.73	38.12	88.26	46.5	21.78	43.63	65.26	29.48	26.86	42.11	28.04	22.59	13.42	37.59	17.77
AMBRA1	182.55	595.34	563.18	316.37	387.02	389.72	343.89	242.88	426.57	368.65	231.32	555.41	575.03	320.8	529.06	214.27	379.04	332.14	423.61	414.87	334.46	366.09	224.97	493.56	346.29	733.19	507.46	376.41	234.57	183.82	130.6	223.41	145.02	206.94	253.23	221.86	156.59	183.82	164.42	147.06
ANKFY1	87.65	320.8	351.14	251.48	417.77	444.72	497.0	351.14	320.8	228.13	256.78	226.54	607.87	389.72	444.72	285.03	271.48	264.03	511.0	497.0	198.47	220.32	395.18	348.71	206.94	591.22	236.21	199.85	92.05	121.79	114.36	120.1	82.87	55.49	80.57	53.57	73.54	46.5	64.8	92.05
ARHGEF25	111.21	356.05	232.94	126.12	182.55	269.6	120.1	265.87	264.03	153.34	327.56	177.53	228.13	314.17	329.84	145.02	309.83	287.01	191.67	150.17	194.36	599.49	223.41	255.0	215.77	332.14	457.25	260.38	50.63	12.74	82.29	27.84	134.3	68.55	60.82	8.99	66.65	20.26	22.75	38.12
ASXL2	55.1	215.77	320.8	90.14	277.2	201.25	175.07	103.69	215.77	85.82	105.89	128.79	297.17	231.32	215.77	120.1	94.01	147.06	297.17	244.57	115.16	215.77	137.14	127.0	128.79	221.86	103.69	68.55	56.28	39.5	29.27	73.54	47.84	43.32	31.22	33.54	20.86	20.41	27.64	35.0
BOD1L1	223.41	514.56	381.68	450.94	612.11	518.15	426.57	305.55	500.46	511.0	293.07	346.29	603.67	518.15	470.14	406.31	295.11	339.14	547.75	444.72	379.04	503.95	412.0	490.14	476.71	551.56	316.37	366.09	157.68	75.64	89.51	209.84	156.59	182.55	96.01	78.89	80.01	59.55	89.51	221.86
C17orf85	346.29	327.56	312.0	493.56	490.14	521.76	638.15	395.18	318.57	251.48	332.14	255.0	713.11	518.15	500.46	283.05	389.72	279.14	470.14	607.87	177.53	447.82	341.51	591.22	285.03	450.94	265.87	171.45	169.07	96.68	131.51	154.42	175.07	90.14	115.16	73.03	91.41	115.16	97.36	135.24
C4orf36	43.02	125.24	167.9	78.89	77.79	136.19	49.91	198.47	77.25	137.14	181.28	52.82	164.42	88.88	209.84	105.89	104.42	81.71	91.41	115.16	49.21	157.68	123.5	156.59	125.24	117.6	131.51	297.17	11.55	44.89	19.25	36.53	24.28	45.85	18.7	42.41	25.91	40.36	44.89	37.32
C9orf172	3.38	36.01	12.74	24.81	16.15	47.17	20.86	10.71	14.89	6.89	13.03	18.84	26.28	21.78	7.4	21.01	19.11	11.38	3.59	33.3	17.77	47.84	32.82	21.01	5.5	44.89	13.62	48.18	3.03	7.11	2.18	6.06	3.26	11.13	3.17	3.32	1.0	10.63	5.02	10.16
CCAR2	1088.92	2627.46	2319.15	2976.74	2119.22	2935.74	2875.3	1073.91	1697.45	1233.75	2720.15	802.41	2855.44	1977.24	3060.45	1467.37	1199.98	1857.6	1583.71	2384.37	669.92	1427.22	1081.39	6607.01	2758.13	1819.35	825.0	1277.29	819.3	563.18	878.17	791.35	629.35	642.59	571.05	343.89	521.76	435.55	532.74	555.41
CELF1	426.57	1369.04	1519.15	713.11	1331.57	1081.39	934.76	684.02	1151.06	708.18	638.15	954.43	1295.13	954.43	1111.82	854.13	842.36	836.53	1216.75	1175.27	967.76	1519.15	656.11	974.5	1331.57	1639.59	872.1	583.07	490.14	693.58	339.14	507.46	358.54	579.04	373.81	358.54	423.61	397.93	351.14	473.41
CNOT6L	122.64	316.37	323.03	145.02	723.08	466.88	368.65	299.25	412.0	186.4	287.01	205.5	463.65	480.04	387.02	366.09	231.32	283.05	493.56	371.22	193.01	273.37	271.48	234.57	251.48	525.39	251.48	177.53	71.5	71.0	72.52	142.01	113.56	66.18	42.11	54.33	44.25	37.59	72.52	97.36
