	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.F7.A50I.01A.11R.A28V.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CN.4738.01A.02R.1514.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	TCGA.22.5491.01A.01R.1635.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.22.5479.01A.31R.1949.07	TCGA.22.4605.01A.21R.2125.07	TCGA.34.2608.01A.02R.0851.07	TCGA.96.8169.01A.11R.2296.07	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.85.8049.01A.11R.2247.07	TCGA.56.8624.01A.11R.2403.07
C10orf107	1.51	567.1	1540.37	4.24	2.18	4.5	1.5	2.56	2.58	1.31	0.58	0.96	0.0	2.43	0.43	15.34	0.91	43.63	0.52	2.05	1.53	0.48	13.03	4.98	5.32	0.89	0.0	0.0	18.03	0.54	0.51	0.49	1.6	0.0	0.48	1.39	0.47	0.0	1.36	11.38	0.0	7.88	0.6	0.85	1.75	208.38	0.99	1268.46	293.07	1583.71	728.11	339.14	2163.77	941.27	37.85	20.86	81.71	173.85	73.54	32.82	47.17	48.52	23.59
C15orf26	17.77	301.33	981.29	5.19	2.01	1.01	1.55	1.35	0.0	2.27	3.59	12.45	0.41	0.0	4.46	25.17	2.27	31.9	6.52	1.83	0.0	2.92	12.09	2.27	11.47	0.4	1.22	1.28	9.13	2.51	1.95	0.78	0.73	1.04	2.2	6.36	1.1	4.21	0.42	0.0	0.0	7.4	0.52	1.77	5.73	95.34	0.87	217.27	64.34	195.72	212.78	249.73	543.96	264.03	25.72	14.89	40.93	70.01	58.3	30.56	33.06	53.95	15.68
C16orf71	3.72	373.81	1977.24	26.1	5.41	9.13	3.26	6.31	5.54	0.39	2.66	5.06	1.14	0.39	2.84	11.21	7.63	43.94	3.06	9.06	2.63	0.74	19.68	1.81	7.0	2.56	6.84	8.78	17.38	2.46	4.9	8.99	2.07	1.35	3.56	11.55	5.82	4.13	5.68	4.9	1.6	8.99	0.0	3.44	3.76	141.02	2.92	392.44	109.66	379.04	387.02	279.14	616.37	406.31	40.93	20.56	92.7	97.36	66.65	45.85	81.14	105.89	25.17
C1orf141	0.0	14.67	78.89	1.64	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	15.8	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	1.1	0.0	1.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.3	0.0	0.0	0.0	0.0	0.0	30.12	0.0	120.1	42.11	152.28	143.01	105.15	101.54	214.27	19.68	17.51	21.47	20.26	21.32	9.48	10.55	33.78	5.36
C1orf87	11.21	1883.54	5594.3	2.78	3.17	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	11.47	0.0	85.22	0.0	0.31	0.0	0.0	0.0	1.25	10.24	0.0	0.0	0.0	13.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.31	0.0	0.61	0.0	0.31	0.0	0.0	1.06	182.55	0.0	819.3	256.78	1233.75	1127.35	591.22	1331.57	884.29	40.64	28.65	100.13	171.45	101.54	69.03	66.18	77.79	26.67
C20orf96	62.56	802.41	1167.14	74.58	46.18	35.76	103.69	60.39	20.86	80.57	26.28	35.5	21.47	20.86	28.04	76.71	95.34	105.15	43.32	24.99	16.51	16.03	110.43	24.46	65.72	29.7	33.78	11.47	82.87	25.17	25.35	42.41	33.54	47.84	100.13	58.3	18.97	14.03	27.84	71.0	23.76	66.65	20.71	25.17	41.22	253.23	12.74	679.29	366.09	1143.1	1407.55	547.75	1233.75	1427.22	191.67	173.85	202.66	285.03	226.54	161.02	251.48	229.72	132.44
C21orf128	3.03	103.69	199.85	2.68	0.0	0.16	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.34	0.61	2.32	0.0	15.11	0.37	0.68	0.0	0.0	2.12	0.42	1.33	0.71	0.37	0.0	2.41	0.39	0.0	0.0	0.0	0.0	0.0	0.77	0.67	0.33	0.0	1.93	0.38	0.0	0.44	0.0	1.1	44.25	1.2	72.52	32.13	62.12	64.34	33.06	52.08	46.5	23.59	33.3	36.01	37.59	33.06	11.73	19.68	35.76	10.71
C22orf15	9.13	309.83	780.44	2.18	2.01	1.2	1.97	2.68	2.36	0.44	0.0	2.07	0.0	5.11	0.0	11.21	2.34	72.52	0.0	0.0	0.0	0.8	1.85	1.89	14.89	0.0	0.46	0.39	7.51	0.48	1.62	1.2	1.83	1.41	0.0	0.47	2.56	0.0	0.46	1.77	0.47	1.51	0.0	0.0	2.01	116.78	1.35	642.59	187.71	1175.27	693.58	423.61	1023.0	733.19	85.22	27.44	156.59	199.85	127.0	57.08	151.22	129.69	43.02
C2orf73	18.97	183.82	579.04	1.33	0.0	0.18	0.45	0.64	0.37	3.96	0.0	1.55	0.0	1.04	0.0	3.63	0.0	13.03	0.0	1.39	0.0	0.0	0.42	2.63	6.31	0.0	0.0	0.0	3.44	1.6	0.0	0.0	0.0	0.0	0.0	1.17	3.41	0.68	0.0	0.0	0.0	1.39	0.0	0.0	0.0	73.54	1.22	249.73	48.87	320.8	209.84	158.79	251.48	241.19	15.56	2.71	44.57	70.51	42.71	22.26	48.52	44.25	4.94
CACNA2D2	0.0	27.84	16.63	45.53	3.14	1.04	2.66	4.28	1.53	3.2	3.76	2.03	1.51	16.03	1.31	5.63	5.68	8.45	6.31	3.47	2.25	1.04	13.83	10.71	4.9	1.91	4.21	0.93	4.66	2.56	6.67	3.17	1.01	1.36	3.11	1.14	1.43	0.61	4.17	5.15	1.14	3.47	4.5	2.61	3.69	17.51	1.69	2119.22	5517.27	1104.13	145.02	5292.48	2816.11	4388.98	15.11	175.07	5.11	123.5	108.14	37.59	8.0	25.17	148.09
CATSPERD	0.0	567.1	7537.18	0.71	4.74	0.0	1.62	0.58	0.33	0.67	0.0	0.0	0.0	0.0	0.27	12.83	0.32	26.86	0.0	0.0	0.0	0.0	0.0	0.0	18.16	0.0	0.71	4.03	2.97	0.0	0.0	0.0	5.11	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	242.88	0.0	1359.57	379.04	1733.13	848.22	624.99	1104.13	1447.15	143.01	17.25	137.14	197.09	177.53	82.87	35.5	87.65	46.5
CCDC108	2.86	6337.83	38697.77	10.79	1.46	0.8	0.09	0.99	0.78	0.0	0.0	0.0	0.0	1.45	0.0	7.63	0.39	55.49	0.4	0.74	0.0	0.0	0.0	0.47	8.65	0.0	0.0	0.0	8.0	0.0	0.0	0.39	0.0	0.36	0.0	0.0	2.46	0.0	0.0	1.68	0.0	0.38	0.0	0.38	0.0	172.65	0.0	447.82	285.03	872.1	595.34	414.87	981.29	791.35	32.82	43.32	105.89	212.78	63.0	94.67	83.45	142.01	40.07
CCDC113	53.19	579.04	2816.11	39.79	23.76	9.63	34.75	16.39	15.34	15.45	33.78	7.0	15.22	19.11	43.94	32.36	4.74	154.42	13.32	49.56	9.56	24.63	37.05	17.25	24.81	34.02	17.64	17.25	72.52	13.32	11.38	5.11	36.79	8.58	11.47	21.63	23.42	23.93	27.25	37.59	29.27	33.78	8.78	29.48	14.67	256.78	25.35	511.0	144.01	521.76	379.04	303.44	733.19	441.64	50.98	43.94	80.57	208.38	108.9	117.6	108.9	120.1	73.03
CCDC114	19.68	6516.03	20030.74	14.24	12.64	2.32	17.64	7.22	1.75	2.89	1.08	3.08	0.0	6.52	5.45	28.86	5.59	109.66	0.96	2.41	1.07	1.28	16.75	0.61	6.26	0.53	2.61	1.46	19.11	1.01	0.54	0.0	3.44	1.19	1.3	1.85	3.11	2.36	0.55	17.51	3.92	21.16	0.64	1.25	2.97	185.11	0.57	497.0	157.68	1757.34	819.3	591.22	1183.45	819.3	48.52	115.97	183.82	218.79	111.99	169.07	105.15	135.24	89.51
CCDC170	14.67	591.22	3847.29	10.79	3.03	4.35	3.89	1.89	3.99	2.86	2.16	3.44	1.1	5.45	2.46	21.63	5.68	107.38	2.61	1.04	2.14	2.07	5.82	16.75	21.01	3.53	2.63	0.91	17.25	6.62	7.63	3.56	2.34	1.6	2.78	1.55	3.38	2.36	2.97	12.18	16.51	1.04	7.17	4.31	5.82	348.71	7.51	1572.76	215.77	1111.82	830.75	559.28	2178.83	1745.2	43.63	32.59	42.41	195.72	88.26	71.0	44.25	83.45	37.59
CCDC181	1.81	190.34	417.77	4.78	1.14	1.17	8.92	0.82	0.0	2.1	1.08	0.55	0.93	0.0	0.46	11.04	0.53	37.59	1.36	2.03	0.6	2.03	1.06	1.08	5.87	0.0	3.0	0.45	7.17	0.57	0.54	0.53	1.97	1.19	0.0	1.83	0.51	1.25	2.18	1.19	2.25	2.01	0.0	0.49	2.56	124.37	1.5	543.96	99.43	500.46	490.14	265.87	785.88	587.13	23.93	16.88	41.52	87.03	26.47	28.65	34.51	38.67	7.17
CCDC33	6.26	3794.3	12502.12	3.99	0.0	0.0	8.25	0.0	0.0	0.72	0.0	0.38	0.0	0.68	0.0	11.21	0.36	48.52	0.37	1.03	0.42	0.0	0.0	0.0	5.5	0.0	0.38	0.0	9.7	0.0	0.0	0.0	0.66	0.0	0.0	0.0	2.01	0.0	0.0	1.6	0.0	0.68	0.0	0.33	0.73	151.22	0.0	279.14	125.24	743.43	567.1	256.78	599.49	361.04	35.25	30.34	105.89	150.17	76.17	61.25	72.52	82.87	23.93
