	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.D8.A1XZ.01A.11R.A14M.07	TCGA.AR.A1AK.01A.21R.A12P.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0W3.01A.11R.A109.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.C8.A12M.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.C8.A273.01A.11R.A16F.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.FU.A3TX.01A.11R.A22U.07	TCGA.F4.6459.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.7197.01A.11R.2203.13
AARS	2351.53	1857.6	2209.26	2384.37	3589.58	2591.27	1015.93	967.76	2271.4	848.22	3372.43	796.86	974.5	988.12	1159.07	3515.68	2075.59	2384.37	1540.37	1135.2	1806.78	2417.67	3901.01	1073.91	1369.04	1662.49	830.75	890.44	748.61	1369.04	1896.65	1216.75	1313.23	1151.06	1896.65	1304.15	3690.52	981.29	928.3	1340.84	1733.13	860.08	3794.3	819.3	1685.71	995.0	836.53	1081.39	1697.45	3081.75	1769.57	1340.84	1119.56	1322.37	1605.83	1745.2	3443.31	2178.83	2591.27	1225.22	988.12	1594.73	947.83	1268.46	1781.89	2664.15	2451.44	2468.49	2400.97	713.11	1709.26	1427.22	2004.85	1685.71	1427.22	1322.37	1639.59	1417.35	3190.46	1427.22	1721.16	2178.83	1233.75	1963.57	1225.22	1242.34	1639.59	1023.0	1066.48	2502.97	2287.2	1806.78	4543.8	1551.09	1697.45	1936.53	1051.79	1233.75	802.41	4152.18	0.0	4639.29
ACD	836.53	432.53	521.76	775.05	769.69	638.15	205.5	409.15	457.25	303.44	599.49	249.73	353.59	323.03	358.54	325.29	567.1	612.11	395.18	242.88	486.75	500.46	412.0	255.0	264.03	314.17	206.94	309.83	223.41	273.37	409.15	327.56	406.31	285.03	599.49	379.04	343.89	356.05	285.03	708.18	351.14	348.71	493.56	260.38	633.73	182.55	234.57	318.57	423.61	353.59	629.35	301.33	339.14	248.0	414.87	251.48	473.41	679.29	397.93	368.65	249.73	466.88	260.38	305.55	417.77	325.29	825.0	480.04	620.67	251.48	493.56	327.56	616.37	356.05	555.41	260.38	406.31	215.77	277.2	511.0	275.28	543.96	189.02	454.09	199.85	283.05	624.99	379.04	373.81	708.18	665.29	441.64	500.46	277.2	460.44	500.46	387.02	285.03	285.03	1001.93	0.0	928.3
ACSF3	808.0	231.32	420.68	381.68	314.17	444.72	201.25	429.54	563.18	381.68	796.86	214.27	341.51	267.73	271.48	684.02	503.95	435.55	281.09	186.4	346.29	497.0	438.59	255.0	248.0	228.13	314.17	283.05	232.94	260.38	463.65	248.0	447.82	255.0	395.18	348.71	490.14	353.59	246.28	547.75	220.32	165.57	483.38	264.03	450.94	202.66	307.69	314.17	417.77	361.04	438.59	271.48	293.07	361.04	307.69	351.14	579.04	656.11	368.65	277.2	198.47	503.95	299.25	147.06	476.71	493.56	587.13	454.09	303.44	214.27	403.5	271.48	497.0	603.67	381.68	226.54	269.6	271.48	281.09	305.55	33.78	271.48	241.19	529.06	172.65	142.01	514.56	301.33	220.32	336.79	409.15	665.29	612.11	256.78	426.57	217.27	334.46	336.79	161.02	1697.45	0.0	1104.13
ADAT1	1407.55	775.05	708.18	1417.35	1304.15	988.12	629.35	435.55	1073.91	397.93	2163.77	483.38	470.14	642.59	543.96	728.11	878.17	633.73	612.11	669.92	583.07	1628.26	1135.2	567.1	591.22	669.92	420.68	503.95	409.15	624.99	974.5	389.72	780.44	651.58	848.22	981.29	1127.35	503.95	500.46	802.41	441.64	660.68	1467.37	647.07	1331.57	775.05	389.72	583.07	974.5	521.76	981.29	373.81	559.28	1151.06	567.1	708.18	1066.48	915.51	825.0	595.34	293.07	1397.83	470.14	825.0	1081.39	780.44	1051.79	693.58	748.61	426.57	728.11	961.07	1066.48	603.67	599.49	656.11	463.65	693.58	2209.26	591.22	633.73	507.46	441.64	607.87	490.14	414.87	813.63	536.45	713.11	1199.98	2537.92	1397.83	1233.75	688.78	748.61	753.83	540.19	514.56	277.2	934.76	0.0	1359.57
AKTIP	1477.58	808.0	1359.57	1001.93	660.68	647.07	493.56	414.87	872.1	295.11	819.3	607.87	563.18	376.41	435.55	567.1	738.29	819.3	733.19	457.25	860.08	738.29	785.88	647.07	693.58	511.0	329.84	599.49	463.65	896.64	902.89	379.04	595.34	547.75	723.08	884.29	1437.15	642.59	444.72	1030.12	733.19	397.93	825.0	403.5	1104.13	547.75	521.76	483.38	1066.48	612.11	1037.29	866.07	444.72	656.11	647.07	414.87	656.11	624.99	995.0	412.0	551.56	629.35	392.44	738.29	748.61	748.61	1216.75	884.29	656.11	490.14	764.36	476.71	934.76	854.13	629.35	583.07	470.14	438.59	651.58	420.68	633.73	567.1	420.68	769.69	503.95	571.05	878.17	403.5	525.39	674.59	1697.45	981.29	921.88	395.18	825.0	819.3	620.67	551.56	189.02	665.29	0.0	713.11
ANKRD11	2271.4	575.03	1044.52	728.11	961.07	743.43	547.75	480.04	967.76	708.18	947.83	265.87	483.38	368.65	493.56	688.78	688.78	825.0	575.03	463.65	656.11	665.29	1304.15	412.0	450.94	511.0	409.15	373.81	441.64	612.11	825.0	693.58	934.76	603.67	660.68	693.58	679.29	591.22	476.71	884.29	314.17	532.74	909.17	503.95	674.59	392.44	429.54	447.82	808.0	521.76	775.05	486.75	718.08	669.92	373.81	490.14	819.3	860.08	603.67	406.31	395.18	759.08	444.72	256.78	860.08	693.58	764.36	571.05	555.41	540.19	638.15	591.22	808.0	624.99	607.87	483.38	579.04	358.54	387.02	674.59	543.96	332.14	438.59	884.29	246.28	381.68	607.87	603.67	438.59	1008.9	1340.84	1008.9	1059.11	466.88	612.11	718.08	559.28	490.14	500.46	1594.73	0.0	2271.4
AP1G1	1119.56	612.11	961.07	1225.22	1378.57	825.0	660.68	356.05	1159.07	341.51	2287.2	555.41	629.35	486.75	543.96	688.78	759.08	878.17	1359.57	693.58	915.51	1467.37	1870.53	693.58	540.19	775.05	470.14	529.06	358.54	1369.04	1286.18	444.72	934.76	753.83	1081.39	981.29	995.0	536.45	392.44	698.41	551.56	819.3	1583.71	808.0	796.86	679.29	559.28	703.28	1259.69	698.41	1369.04	603.67	693.58	1096.5	769.69	587.13	1023.0	1286.18	1561.89	567.1	423.61	1427.22	1088.92	1023.0	1340.84	884.29	1286.18	1127.35	1127.35	412.0	813.63	698.41	1167.14	830.75	791.35	595.34	571.05	884.29	728.11	633.73	934.76	454.09	536.45	928.3	813.63	429.54	921.88	607.87	872.1	1417.35	2255.7	2018.8	1572.76	629.35	830.75	525.39	426.57	384.34	260.38	1159.07	409.15	1073.91
ATMIN	967.76	507.46	629.35	866.07	642.59	616.37	493.56	329.84	915.51	246.28	796.86	387.02	571.05	403.5	373.81	1088.92	543.96	540.19	647.07	466.88	713.11	854.13	536.45	476.71	318.57	435.55	361.04	463.65	368.65	309.83	1081.39	373.81	785.88	679.29	470.14	591.22	1015.93	441.64	423.61	603.67	376.41	447.82	785.88	371.22	559.28	417.77	368.65	432.53	688.78	423.61	830.75	363.56	460.44	575.03	718.08	400.71	830.75	693.58	669.92	507.46	323.03	860.08	429.54	432.53	698.41	620.67	1447.15	521.76	974.5	432.53	379.04	432.53	738.29	642.59	435.55	547.75	480.04	486.75	518.15	363.56	351.14	447.82	307.69	579.04	389.72	503.95	426.57	368.65	493.56	866.07	1250.98	1088.92	791.35	384.34	633.73	563.18	271.48	376.41	139.07	669.92	0.0	688.78
ATXN1L	447.82	236.21	327.56	277.2	476.71	232.94	262.2	124.37	291.04	119.26	457.25	111.21	189.02	161.02	180.02	108.14	244.57	253.23	325.29	148.09	189.02	412.0	293.07	205.5	125.24	182.55	111.99	173.85	127.89	293.07	297.17	173.85	400.71	212.78	163.28	232.94	283.05	228.13	139.07	279.14	127.0	209.84	299.25	237.86	214.27	172.65	195.72	204.07	283.05	178.77	336.79	140.04	201.25	293.07	187.71	232.94	281.09	368.65	417.77	127.89	126.12	403.5	173.85	177.53	351.14	242.88	323.03	163.28	295.11	148.09	217.27	175.07	423.61	173.85	211.31	221.86	159.9	148.09	183.82	198.47	173.85	143.01	134.3	206.94	202.66	125.24	166.73	163.28	303.44	255.0	647.07	460.44	361.04	177.53	237.86	109.66	115.97	137.14	85.82	363.56	0.0	476.71
BANP	559.28	202.66	339.14	339.14	361.04	371.22	214.27	312.0	279.14	299.25	460.44	157.68	295.11	204.07	191.67	301.33	376.41	356.05	260.38	181.28	283.05	366.09	285.03	195.72	223.41	185.11	209.84	285.03	186.4	251.48	420.68	305.55	244.57	229.72	198.47	241.19	336.79	214.27	215.77	307.69	251.48	265.87	356.05	236.21	224.97	177.53	312.0	215.77	417.77	221.86	387.02	189.02	301.33	229.72	260.38	320.8	265.87	457.25	269.6	211.31	265.87	366.09	283.05	158.79	414.87	356.05	353.59	271.48	351.14	182.55	208.38	193.01	291.04	323.03	273.37	187.71	260.38	289.02	229.72	265.87	281.09	166.73	271.48	460.44	148.09	191.67	412.0	293.07	164.42	389.72	450.94	612.11	351.14	191.67	423.61	221.86	253.23	228.13	242.88	514.56	0.0	438.59
