	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.NFK9.1526.SM.3LK7B	GTEX.WFON.1126.SM.4LVMA	GTEX.145LT.1426.SM.5O9B3	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
ABCD2	6.89	5.96	4.39	3.79	0.37	0.93	1.2	0.39	0.49	0.0	3.99	1.69	2.36	3.47	8.45	22.1	4.1	4.31	19.82	14.24	19.53	28.45	17.38	28.86	24.28	10.08	2.51	9.34	5.06	11.38	7.11	10.24	2.51	1.07	0.56	1.41	8.45	3.06	4.5	5.41	1.81
ADAM33	400.71	480.04	1.91	1.55	1.2	7.34	1.73	3.38	2.66	0.95	8.92	0.95	0.0	63.0	279.14	503.95	143.01	237.86	1295.13	426.57	555.41	1651.0	1617.0	1407.55	1359.57	525.39	89.51	356.05	242.88	236.21	164.42	325.29	18.43	19.11	105.15	96.01	89.51	22.26	90.14	57.08	6.41
ADAMTS8	74.58	87.03	5.77	0.48	4.03	6.52	2.84	5.96	7.46	10.55	3.14	4.66	3.35	13.93	96.01	171.45	33.78	221.86	269.6	137.14	759.08	253.23	117.6	295.11	120.94	63.0	13.93	124.37	19.53	53.95	34.51	114.36	3.47	12.45	4.94	7.4	20.41	2.07	10.24	2.05	10.79
ANKRD35	36.01	39.22	1.81	0.0	1.87	3.32	2.05	0.82	1.03	0.87	5.45	7.69	0.0	42.41	30.34	75.11	27.25	54.72	77.79	48.87	94.67	149.12	163.28	156.59	150.17	154.42	29.06	63.0	44.89	37.32	49.21	105.15	1.95	4.28	3.44	12.93	26.47	3.92	6.01	3.86	3.29
ANTXR2	780.44	3124.78	172.65	5255.91	28.65	44.57	112.77	49.21	105.15	273.37	275.28	57.08	114.36	334.46	2434.5	2915.45	1191.69	1540.37	4704.07	2739.08	5112.16	7911.95	7803.01	5672.41	7382.04	3515.68	373.81	1350.18	591.22	483.38	684.02	1639.59	185.11	100.13	51.35	105.15	607.87	96.68	169.07	191.67	129.69
AOC3	921.88	1487.87	327.56	94.01	99.43	309.83	229.72	151.22	82.29	53.57	444.72	92.7	39.22	1250.98	961.07	2739.08	466.88	1697.45	3955.48	2573.36	6294.04	5041.77	4639.29	5292.48	5517.27	1781.89	325.29	1950.0	575.03	947.83	954.43	2739.08	426.57	392.44	255.0	426.57	1259.69	341.51	371.22	356.05	480.04
ARHGEF25	551.56	890.44	70.01	19.68	17.77	84.04	35.25	101.54	40.36	255.0	171.45	31.0	115.16	307.69	303.44	961.07	273.37	555.41	2163.77	775.05	1844.76	2193.99	2004.85	2758.13	2855.44	1066.48	161.02	723.08	332.14	400.71	381.68	656.11	120.94	57.08	68.07	277.2	620.67	35.76	154.42	111.99	152.28
ASB2	314.17	1023.0	4.06	7.75	9.27	16.03	3.69	4.06	13.12	4.74	50.63	9.48	39.5	72.52	262.2	1066.48	156.59	358.54	1769.57	733.19	2400.97	2133.97	1467.37	2303.12	2384.37	848.22	77.25	819.3	129.69	199.85	353.59	595.34	7.75	3.03	3.89	8.85	35.0	5.54	10.55	16.27	4.78
ATP1A2	234.57	536.45	20.26	4.43	3.76	18.43	13.52	3.29	5.59	1.33	11.82	7.82	12.64	27.64	74.58	642.59	65.72	176.29	1397.83	432.53	1088.92	1359.57	1183.45	1561.89	2224.63	753.83	95.34	1127.35	59.13	63.45	713.11	221.86	17.0	10.88	7.4	148.09	73.03	49.21	26.28	23.25	17.38
BAI3	22.43	24.28	2.66	0.96	5.82	2.34	5.63	2.78	0.51	1.69	1.35	3.82	0.48	2.58	4.74	53.19	7.69	9.13	84.04	30.12	25.72	150.17	165.57	139.07	142.01	25.72	5.06	18.7	6.26	5.15	12.64	24.81	4.94	3.96	4.62	28.65	8.71	4.43	12.27	12.83	19.39
BMPER	28.65	17.38	1.36	1.46	5.19	6.11	4.9	5.63	1.03	0.87	0.92	7.69	4.35	8.38	68.07	74.58	23.59	100.83	69.52	89.51	224.97	305.55	283.05	229.72	228.13	187.71	12.09	84.04	13.22	20.26	12.0	92.05	13.72	0.0	19.39	7.11	14.56	2.76	7.88	4.86	20.86
C20orf166	7.11	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.91	11.47	0.0	3.35	21.63	8.71	78.34	35.0	8.92	48.87	32.82	2.01	0.0	1.03	2.46	2.32	1.07	1.81	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0
C3orf70	90.14	215.77	20.41	6.26	1.13	10.31	5.68	4.03	1.53	3.44	15.22	2.58	1.46	58.3	80.01	241.19	71.0	66.18	426.57	217.27	511.0	529.06	420.68	547.75	616.37	166.73	23.93	96.68	50.27	40.36	63.89	145.02	43.32	43.94	32.36	32.36	100.83	16.88	50.63	48.87	26.67
CCDC69	780.44	1909.85	143.01	73.03	198.47	583.07	226.54	88.88	50.27	52.08	181.28	146.03	141.02	353.59	583.07	1769.57	212.78	361.04	4298.64	1583.71	2434.5	3467.27	3716.2	4123.49	4298.64	2351.53	406.31	1350.18	529.06	836.53	703.28	1447.15	84.63	131.51	76.71	733.19	336.79	167.9	224.97	271.48	110.43
