	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.V1.A9OL.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.YL.A8SL.01B.21R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.A4ZV.01A.11R.A26U.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.ZG.A9L5.01A.12R.A41O.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S8.01A.11R.A37L.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.A46G.01A.31R.A26U.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07
ANLN	17.9	25.91	12.45	24.63	58.71	9.2	11.64	77.25	10.71	111.99	29.91	265.87	14.89	24.28	209.84	30.34	52.45	54.33	81.14	14.35	34.26	8.45	20.26	150.17	8.99	19.11	10.79	20.56	30.34	15.68	71.5	20.86	12.18	94.67	17.9	72.01	51.35	24.11	16.75	131.51	173.85	123.5	36.79	20.56	89.51	5.23	21.78	63.89	83.45	31.0	29.48	14.14	27.84	32.36	21.47	19.53	10.16	16.27	11.73	10.88	12.64	21.47	10.31
APOBEC3B	31.0	41.52	8.92	0.0	34.75	25.17	15.11	78.34	11.73	204.07	44.57	26.28	8.92	29.7	92.05	14.78	47.17	13.03	56.28	18.84	42.11	15.0	30.78	54.33	15.68	33.06	13.03	46.18	20.56	31.0	85.22	43.94	14.03	63.0	23.42	81.71	50.63	31.9	35.25	87.03	63.89	73.03	36.27	27.84	50.27	8.71	19.82	59.13	49.21	28.45	21.63	21.32	20.26	47.84	23.08	10.88	10.71	20.26	18.43	9.06	12.45	23.08	38.4
ARID3A	64.34	44.25	63.45	41.81	144.01	82.87	65.26	170.25	100.13	53.19	108.9	90.14	108.9	110.43	191.67	74.06	211.31	158.79	113.56	53.57	115.16	52.45	172.65	189.02	58.71	150.17	100.83	86.43	108.14	57.49	65.26	189.02	108.9	190.34	100.83	89.51	108.9	84.63	74.58	209.84	246.28	165.57	127.89	76.17	287.01	43.94	176.29	116.78	204.07	53.95	83.45	55.49	198.47	116.78	59.55	45.85	51.35	51.35	42.71	76.17	40.36	40.07	31.67
ASF1B	49.56	46.84	19.53	52.45	220.32	18.56	18.84	214.27	25.91	205.5	68.07	417.77	51.35	35.76	197.09	58.3	176.29	64.34	134.3	42.41	73.03	25.91	51.35	79.45	36.27	32.13	13.52	66.65	53.19	22.43	285.03	73.54	35.76	147.06	43.32	127.0	94.01	41.52	36.79	379.04	265.87	123.5	85.82	50.63	251.48	10.63	38.4	125.24	82.87	94.01	36.01	27.64	97.36	84.04	56.68	34.26	13.83	30.56	11.04	16.39	15.68	34.75	46.18
ASPM	8.38	4.58	2.27	5.68	24.81	2.1	2.86	57.89	5.68	51.71	10.96	122.64	8.0	8.19	53.57	6.78	35.25	14.45	26.86	4.5	9.85	2.14	4.35	19.68	4.5	3.76	3.53	9.7	6.57	3.47	31.22	9.7	7.11	32.59	6.06	44.89	19.82	5.23	7.46	69.52	62.12	35.5	8.0	7.88	22.26	1.55	5.96	15.56	27.05	12.45	7.69	2.68	10.08	7.94	6.26	6.11	1.58	3.32	1.43	2.89	2.61	1.89	3.0
AURKA	21.78	29.7	23.76	32.59	88.88	53.19	29.27	204.07	18.84	150.17	40.07	237.86	44.57	37.59	249.73	47.17	79.45	57.89	79.45	34.02	51.71	31.0	34.75	142.01	34.02	23.59	23.42	41.52	45.85	34.02	103.69	43.02	27.84	119.26	34.51	117.6	75.64	42.41	38.4	129.69	139.07	149.12	48.52	37.05	96.68	26.67	80.57	41.81	99.43	37.05	45.53	41.52	48.18	47.17	37.05	30.12	25.35	25.54	16.88	33.78	21.78	27.44	22.26
AURKB	42.71	50.98	17.25	31.0	135.24	36.79	20.11	143.01	23.08	189.02	58.71	368.65	40.64	39.5	265.87	45.21	195.72	137.14	104.42	31.0	86.43	12.83	54.72	143.01	20.56	36.01	21.16	45.53	53.19	16.27	426.57	60.39	29.06	195.72	61.68	115.97	111.99	53.95	36.01	351.14	234.57	199.85	103.69	52.08	190.34	15.34	20.41	90.14	189.02	34.75	50.63	26.47	137.14	53.57	51.71	23.25	16.27	16.63	5.28	11.55	14.24	19.39	15.22
BBC3	52.08	92.7	79.45	55.89	193.01	76.71	69.52	126.12	60.39	138.1	65.72	480.04	111.21	102.25	412.0	114.36	138.1	351.14	55.89	97.36	127.89	51.35	153.34	159.9	90.14	52.82	82.87	122.64	71.5	51.35	154.42	136.19	72.01	264.03	112.77	113.56	84.04	117.6	80.57	193.01	176.29	253.23	177.53	65.72	211.31	124.37	55.1	131.51	406.31	83.45	100.13	137.14	218.79	105.89	79.45	49.56	37.85	57.89	40.36	43.02	57.49	94.67	137.14
BIRC5	39.22	52.45	17.9	40.64	269.6	34.51	23.08	297.17	33.3	384.34	61.68	256.78	43.94	54.33	309.83	61.68	279.14	140.04	178.77	33.78	93.35	14.03	44.89	281.09	48.18	38.12	17.38	76.17	49.21	24.11	381.68	107.38	22.1	139.07	43.63	246.28	112.77	53.19	51.71	314.17	239.52	265.87	86.43	53.57	309.83	15.11	38.4	102.25	332.14	101.54	56.28	38.4	180.02	87.65	66.18	22.75	9.34	21.01	7.82	11.04	18.16	21.94	15.56
BLM	21.32	18.29	10.63	29.06	39.22	13.52	17.38	54.72	13.72	44.89	22.92	101.54	17.25	22.59	38.4	16.88	17.51	29.27	57.89	24.99	32.13	13.03	10.39	27.44	17.0	14.56	8.51	21.32	7.0	17.51	95.34	30.78	24.46	47.5	20.26	47.5	36.01	23.08	22.75	78.34	46.84	43.02	29.91	35.0	52.82	15.91	12.93	23.08	28.86	31.0	23.25	13.72	41.52	20.41	26.47	23.93	12.64	8.92	16.75	10.63	14.24	16.15	19.97
