	GTEX.W5X1.2326.SM.3GIL6	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11WQK.2226.SM.5CVL7	GTEX.1212Z.2026.SM.5N9EA	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
AC003002.6	8.51	3.86	30.12	7.17	29.7	22.75	2.97	9.85	6.46	0.0	4.13	2.32	2.05	6.31	0.0
AGTPBP1	299.25	120.94	127.89	175.07	146.03	138.1	121.79	356.05	69.03	30.56	64.34	37.32	28.24	43.32	19.39
AKAP10	718.08	299.25	358.54	279.14	395.18	271.48	325.29	303.44	212.78	45.53	136.19	58.71	52.82	55.89	44.57
ANKRD13C	665.29	220.32	234.57	206.94	262.2	220.32	264.03	395.18	142.01	53.95	143.01	74.58	125.24	67.59	48.18
ANKRD44	518.15	255.0	194.36	363.56	329.84	395.18	220.32	206.94	89.51	14.56	50.27	57.08	18.43	60.82	36.27
AP4E1	234.57	89.51	95.34	131.51	129.69	133.36	115.97	147.06	41.22	31.45	41.81	52.45	25.91	28.45	15.56
ATXN2	884.29	669.92	1044.52	1044.52	1104.13	974.5	1066.48	1508.65	890.44	363.56	607.87	587.13	470.14	420.68	242.88
C5orf24	1295.13	647.07	830.75	780.44	1001.93	1023.0	703.28	860.08	599.49	353.59	341.51	229.72	242.88	241.19	258.57
CDKL3	417.77	67.59	121.79	87.03	68.07	127.89	105.15	116.78	79.45	57.08	49.91	34.75	19.11	44.25	10.47
CEP70	753.83	420.68	301.33	373.81	295.11	381.68	348.71	518.15	273.37	175.07	231.32	209.84	281.09	260.38	103.69
CPEB4	400.71	223.41	193.01	381.68	316.37	473.41	373.81	656.11	197.09	131.51	214.27	190.34	100.83	114.36	127.0
CPNE8	708.18	167.9	115.97	251.48	260.38	193.01	164.42	363.56	98.73	117.6	149.12	147.06	92.05	82.87	82.29
DOK6	84.04	42.11	31.22	18.29	48.18	28.86	53.57	37.59	10.79	0.57	13.72	8.32	3.06	3.69	3.38
ERBB2IP	1991.0	603.67	518.15	435.55	432.53	406.31	483.38	684.02	198.47	163.28	299.25	356.05	158.79	209.84	89.51
ESCO1	500.46	111.21	109.66	249.73	165.57	136.19	141.02	262.2	69.03	74.58	79.45	102.25	84.04	90.77	17.64
FBXW11	1295.13	412.0	514.56	397.93	591.22	563.18	563.18	665.29	281.09	234.57	253.23	297.17	153.34	190.34	226.54
FGD6	134.3	111.99	141.02	275.28	157.68	119.26	106.63	133.36	46.5	21.47	38.12	33.3	25.91	30.34	9.27
GLIPR1	796.86	660.68	567.1	616.37	872.1	698.41	571.05	450.94	220.32	26.67	115.16	103.69	73.03	73.03	44.57
GNPDA2	1350.18	444.72	599.49	314.17	457.25	441.64	435.55	444.72	339.14	29.48	81.71	139.07	16.39	70.51	17.38
GPALPP1	728.11	289.02	281.09	318.57	353.59	327.56	332.14	327.56	241.19	103.69	171.45	239.52	127.0	166.73	78.89
GPR75-ASB3	624.99	223.41	231.32	305.55	226.54	221.86	209.84	325.29	181.28	89.51	135.24	134.3	85.82	113.56	105.15
HAUS6	406.31	90.14	100.13	154.42	114.36	98.04	120.1	223.41	42.41	18.97	65.72	37.59	26.67	36.53	15.91
IRAK4	599.49	224.97	186.4	356.05	387.02	147.06	325.29	293.07	108.14	102.25	128.79	108.9	90.77	121.79	36.01
ITGAV	988.12	583.07	591.22	1059.11	884.29	718.08	642.59	1447.15	414.87	59.55	249.73	293.07	113.56	244.57	49.21
KIAA0226	281.09	169.07	285.03	379.04	368.65	389.72	361.04	612.11	229.72	42.71	77.25	78.89	47.5	68.55	39.5
KIAA0226L	173.85	138.1	36.79	46.18	44.25	28.24	20.86	71.5	25.72	7.94	21.94	8.78	9.85	13.93	7.51
KIAA1586	473.41	144.01	121.79	127.0	139.07	115.16	106.63	101.54	32.13	66.65	63.89	72.01	84.63	67.12	11.38
LACC1	486.75	87.65	69.52	167.9	103.69	87.65	82.29	115.16	54.72	20.26	39.5	37.59	26.47	75.64	31.45
MAK16	417.77	140.04	151.22	201.25	206.94	165.57	198.47	371.22	115.97	38.4	105.15	58.3	61.25	53.95	26.67
MITD1	1540.37	728.11	529.06	854.13	555.41	438.59	503.95	1286.18	563.18	432.53	373.81	392.44	316.37	493.56	110.43
MOB1B	358.54	145.02	190.34	190.34	224.97	249.73	253.23	341.51	148.09	35.5	68.55	40.93	44.89	25.91	17.25
MPDZ	2032.85	563.18	1340.84	1857.6	1883.54	1950.0	1378.57	733.19	454.09	279.14	267.73	511.0	379.04	493.56	595.34
MSL3	836.53	521.76	507.46	629.35	723.08	543.96	529.06	1066.48	483.38	176.29	307.69	212.78	201.25	277.2	114.36
NAA25	387.02	176.29	204.07	289.02	239.52	165.57	205.5	314.17	138.1	57.89	61.25	62.12	53.95	55.49	29.06
NAA35	638.15	287.01	275.28	297.17	275.28	301.33	318.57	351.14	187.71	53.57	137.14	96.01	107.38	125.24	72.01
NEMF	1066.48	476.71	660.68	813.63	764.36	759.08	884.29	1233.75	346.29	273.37	239.52	166.73	183.82	189.02	66.18
NOL8	1096.5	403.5	412.0	575.03	656.11	423.61	457.25	1037.29	373.81	125.24	246.28	123.5	376.41	256.78	38.95
NUPL1	708.18	267.73	239.52	351.14	351.14	316.37	379.04	733.19	224.97	61.25	136.19	130.6	96.68	117.6	87.65
ODF2L	1697.45	353.59	291.04	688.78	536.45	348.71	395.18	1111.82	158.79	34.75	242.88	122.64	43.02	69.03	10.55
OSTM1	1037.29	728.11	842.36	1322.37	1447.15	1322.37	808.0	753.83	559.28	127.0	417.77	220.32	123.5	162.14	84.63
OTUD6B	603.67	150.17	122.64	191.67	172.65	163.28	157.68	201.25	60.82	50.98	55.49	45.21	67.12	50.63	17.51
OXSR1	764.36	432.53	444.72	679.29	620.67	669.92	563.18	555.41	295.11	197.09	214.27	234.57	189.02	169.07	145.02
PCDHB15	91.41	70.01	180.02	137.14	291.04	142.01	78.89	231.32	54.72	4.03	19.53	4.43	4.98	12.09	8.92
PHF20L1	1119.56	260.38	316.37	500.46	435.55	395.18	412.0	591.22	155.5	115.97	159.9	129.69	114.36	141.02	34.26
POGLUT1	373.81	170.25	171.45	177.53	237.86	167.9	180.02	460.44	111.21	87.03	194.36	62.56	112.77	119.26	53.95
POLR2B	2384.37	1023.0	1096.5	1437.15	1143.1	1119.56	1008.9	1745.2	507.46	281.09	669.92	647.07	323.03	432.53	332.14
RAB31	1721.16	988.12	1697.45	3081.75	3168.41	3257.52	1757.34	1487.87	802.41	25.54	305.55	75.11	66.18	121.79	53.95
RAB3GAP2	579.04	214.27	234.57	285.03	320.8	246.28	260.38	559.28	132.44	75.11	163.28	158.79	101.54	123.5	35.5
RARS2	1427.22	559.28	532.74	432.53	483.38	387.02	470.14	514.56	341.51	226.54	406.31	332.14	185.11	287.01	269.6
RASA2	432.53	112.77	111.21	187.71	214.27	130.6	163.28	301.33	91.41	24.11	35.76	32.82	30.12	28.24	18.43
RASSF8	1745.2	429.54	1088.92	387.02	616.37	688.78	567.1	599.49	205.5	22.59	61.68	23.42	34.02	41.22	13.93
RP11-849H4.2	57.08	42.71	41.52	53.19	51.71	58.71	76.71	69.03	49.56	26.1	24.81	21.16	23.08	15.0	25.54
RPAP2	633.73	229.72	198.47	231.32	244.57	228.13	232.94	289.02	190.34	117.6	125.24	167.9	135.24	180.02	26.47
RQCD1	728.11	441.64	392.44	540.19	540.19	389.72	518.15	791.35	395.18	287.01	291.04	312.0	314.17	327.56	182.55
SEC31A	6121.9	2485.67	2855.44	2485.67	3039.3	2591.27	2895.31	3564.78	2240.11	1208.34	3190.46	1870.53	1963.57	2351.53	2319.15
SENP1	412.0	119.26	170.25	197.09	173.85	131.51	142.01	181.28	66.18	42.41	53.19	70.01	41.52	53.95	22.59
SMYD4	180.02	156.59	256.78	131.51	202.66	157.68	234.57	223.41	171.45	38.4	77.25	75.11	46.5	50.63	48.18
SUPT20H	1051.79	633.73	764.36	819.3	753.83	647.07	723.08	1104.13	595.34	101.54	291.04	262.2	165.57	218.79	87.65
TCP11L1	293.07	218.79	242.88	244.57	289.02	299.25	277.2	218.79	104.42	73.03	102.25	111.21	73.54	102.97	43.02
TMEM67	392.44	99.43	113.56	103.69	177.53	121.79	125.24	265.87	155.5	15.34	33.3	8.65	19.68	14.56	6.01
TPM2	9606.86	303217.87	1063212.58	706337.4	663619.99	2392353.91	408505.64	44452.21	148488.36	764.36	1304.15	642.59	1397.83	1030.12	157.68
TPP2	1111.82	486.75	444.72	551.56	507.46	473.41	470.14	830.75	224.97	134.3	301.33	406.31	189.02	312.0	195.72
TYW5	164.42	94.01	64.34	94.01	110.43	67.59	96.68	189.02	61.25	79.45	43.63	56.68	62.56	45.53	30.34
UBA6	866.07	217.27	253.23	633.73	305.55	291.04	281.09	406.31	153.34	34.51	121.79	72.01	52.82	81.14	63.0
UBXN2B	775.05	255.0	303.44	301.33	384.34	348.71	293.07	432.53	170.25	299.25	108.9	198.47	173.85	248.0	102.25
USP49	125.24	45.53	64.8	43.94	53.57	42.71	66.65	143.01	36.79	11.3	22.1	12.83	14.78	11.82	1.91
WDR36	551.56	135.24	144.01	183.82	187.71	120.1	156.59	293.07	74.58	112.77	97.36	78.89	82.87	78.89	69.52
WWC2	583.07	159.9	356.05	214.27	291.04	281.09	262.2	241.19	145.02	58.3	173.85	73.03	102.25	115.97	60.39
ZNF274	507.46	329.84	450.94	246.28	395.18	384.34	460.44	728.11	217.27	143.01	135.24	181.28	316.37	264.03	186.4
ZNF280C	92.05	30.34	32.36	108.14	49.21	37.05	50.27	88.88	15.56	5.77	13.03	13.93	13.42	12.74	4.5
ZNF326	629.35	341.51	303.44	470.14	417.77	334.46	432.53	529.06	191.67	154.42	183.82	100.83	127.89	165.57	93.35
ZNF354A	343.89	217.27	267.73	255.0	305.55	267.73	239.52	536.45	189.02	61.68	75.64	65.26	48.87	50.98	5.73
ZNF383	323.03	114.36	113.56	97.36	132.44	123.5	116.78	191.67	64.8	9.7	52.08	31.22	37.05	45.53	13.42
ZNF385D	173.85	50.63	124.37	1628.26	1119.56	1023.0	353.59	1088.92	363.56	0.0	78.34	5.96	45.85	8.78	2.34
ZNF417	246.28	94.01	90.77	98.73	149.12	116.78	180.02	214.27	95.34	23.59	50.27	25.54	27.25	54.33	35.0
