	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.LL.A440.01A.11R.A24H.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	TCGA.86.A4P8.01A.11R.A24X.07	GTEX.13NZ9.0926.SM.5KM12	GTEX.13N11.0326.SM.5LUA3	TCGA.34.8454.11A.01R.2326.07	GTEX.13NZ9.1126.SM.5MR37
AC124890.1	5.41	5.41	7.11	2.2	0.0	0.04	0.0	0.0	0.0	0.0	1.83	0.27	0.82	1.71	0.0	0.77	0.28	0.24	0.0	1.64	0.27	3.14	0.05	3.76	1.77	16.51	7.11	8.32	4.03	7.57
AHSA2	329.84	329.84	1322.37	264.03	78.89	115.97	96.68	82.29	51.35	70.51	124.37	80.57	256.78	226.54	86.43	223.41	185.11	108.14	80.01	291.04	95.34	197.09	124.37	226.54	164.42	2319.15	1104.13	1044.52	703.28	1583.71
ANKRD13D	540.19	540.19	1519.15	429.54	74.06	182.55	206.94	57.89	73.03	136.19	155.5	145.02	351.14	255.0	70.01	237.86	85.22	105.15	81.71	607.87	71.5	164.42	47.17	303.44	189.02	1757.34	1745.2	1467.37	941.27	1467.37
ANKS3	253.23	253.23	525.39	136.19	37.59	104.42	53.19	58.3	53.57	53.19	59.97	108.9	189.02	111.21	81.14	129.69	70.01	98.73	57.49	277.2	54.72	121.79	40.36	150.17	72.52	466.88	567.1	612.11	414.87	775.05
AP000322.54	33.54	33.54	36.01	19.68	5.82	5.87	5.28	8.45	6.89	4.03	4.78	0.97	15.34	17.9	6.78	11.04	9.78	13.83	4.98	15.11	9.63	14.03	0.75	10.96	13.42	57.08	65.26	65.26	40.36	84.63
AP003068.6	9.85	9.85	24.81	8.99	2.16	3.11	5.02	1.25	3.08	2.61	4.06	4.7	9.56	8.25	2.81	7.4	5.19	3.44	2.14	10.47	2.92	8.92	2.84	8.25	5.59	30.56	38.12	20.26	8.38	51.35
ARAP1	1175.27	1175.27	2591.27	1008.9	457.25	599.49	698.41	435.55	368.65	279.14	620.67	376.41	974.5	785.88	343.89	665.29	651.58	447.82	536.45	1135.2	361.04	638.15	426.57	860.08	813.63	4298.64	6887.62	2796.65	2816.11	2875.3
ARHGEF1	1233.75	1233.75	2485.67	1617.0	460.44	1216.75	660.68	688.78	392.44	470.14	791.35	981.29	1096.5	1037.29	884.29	909.17	703.28	1044.52	532.74	1685.71	665.29	708.18	379.04	848.22	961.07	6337.83	4450.27	6561.36	3395.89	6294.04
ATG16L2	231.32	231.32	1143.1	444.72	59.55	211.31	147.06	141.02	163.28	90.77	244.57	88.88	336.79	285.03	108.9	373.81	139.07	199.85	115.16	493.56	177.53	115.97	151.22	412.0	223.41	2384.37	1674.06	1709.26	1044.52	1104.13
ATXN7L2	68.55	68.55	120.1	53.19	11.3	20.71	21.47	30.12	21.16	19.68	34.26	30.34	42.41	34.75	28.65	70.01	29.06	24.81	22.26	47.84	23.42	28.86	20.86	46.84	48.18	144.01	217.27	194.36	75.64	348.71
