	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.X8HC.1326.SM.46MWB	GTEX.ZF2S.1226.SM.4WWAX	GTEX.147F3.0826.SM.5NQA7	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7097.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.AK.3454.01A.02R.1277.07	TCGA.38.4625.01A.01R.1206.07	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13	GTEX.13OVJ.2326.SM.5IJGA
ACAT2	4481.23	1119.56	842.36	698.41	1572.76	813.63	129.69	197.09	813.63	884.29	529.06	166.73	480.04	316.37	189.02	191.67	0.0	392.44	3515.68	514.56	4607.24	1457.23	967.76	163.28	934.76	2367.9	1909.85	105.89	197.09
ACER1	423.61	1242.34	361.04	638.15	3928.15	6607.01	2.39	3.17	110.43	273.37	31.0	1.23	1.36	37.85	4.28	0.36	0.0	91.41	4543.8	329.84	6699.25	764.36	189.02	16.51	2835.7	1551.09	2915.45	0.0	0.53
ADAD2	62.56	366.09	66.65	140.04	532.74	283.05	4.54	6.16	166.73	166.73	36.01	3.08	5.02	45.21	6.16	6.01	0.0	86.43	108.14	40.36	429.54	173.85	237.86	29.06	228.13	106.63	190.34	0.0	1.95
ANKRD31	42.71	10.96	2.2	41.52	59.13	57.08	1.35	1.91	13.83	9.34	2.97	0.46	2.36	1.27	2.66	6.52	0.0	4.62	71.0	7.82	105.89	20.71	20.56	3.53	24.99	16.75	56.28	13.12	2.29
ANXA2	107948.72	128373.58	62431.08	83528.61	148488.36	202841.44	12415.75	13872.08	61571.56	51417.5	28132.47	9740.98	31870.96	33224.42	11424.74	10733.74	27553.49	35363.15	97288.74	41188.81	112532.89	82378.63	35363.15	32994.92	93325.55	74243.68	90773.53	2224.63	9808.75
ARF6	14065.74	8778.97	4512.4	5112.16	12076.21	18819.27	902.89	825.0	4010.71	3768.09	2468.49	884.29	1457.23	2271.4	802.41	2178.83	1487.87	2645.74	7966.99	3395.89	11745.96	6652.97	3443.31	2451.44	9215.48	8191.0	10296.45	684.02	961.07
ARNTL2	2384.37	656.11	371.22	866.07	1844.76	1498.22	64.34	90.77	813.63	551.56	169.07	38.4	143.01	258.57	32.13	40.07	0.0	255.0	1757.34	435.55	1467.37	1175.27	420.68	212.78	1286.18	1769.57	1977.24	29.48	50.98
ARPC2	15934.98	23009.42	11267.44	18689.27	27745.15	23820.89	4869.99	5403.7	12329.98	10959.3	7589.61	4123.49	5954.47	6294.04	4181.07	4769.75	5594.3	8658.09	20030.74	7695.57	23492.92	13306.94	11035.54	8247.98	18304.63	15824.9	19754.96	3690.52	3124.78
ARPC5L	3564.78	2178.83	1857.6	1977.24	1923.14	2796.65	1037.29	915.51	1685.71	1407.55	1498.22	866.07	1015.93	974.5	785.88	733.19	1594.73	1151.06	2591.27	1709.26	2956.17	1936.53	1183.45	1304.15	3325.99	2777.33	3690.52	890.44	503.95
ATP6V0C	16611.71	11267.44	8901.53	8022.41	14461.21	16383.0	4869.99	4328.55	11584.24	8963.45	4543.8	3146.52	4512.4	4481.23	3515.68	4268.94	0.0	6250.56	9409.14	6471.02	11035.54	8901.53	4972.34	3928.15	10883.59	10883.59	15499.21	5219.6	6207.38
