	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
ACAP2	521.76	334.46	316.37	255.0	217.27	204.07	293.07	291.04	273.37	248.0	202.66	314.17	190.34	316.37	162.14	279.14	218.79	239.52	212.78	249.73	153.34	212.78	127.0	204.07	209.84	143.01	180.02	118.43	84.04	87.03	129.69	228.13	197.09	228.13	155.5	101.54	98.73	140.04	121.79	155.5	175.07	120.1	133.36	297.17	218.79	117.6	135.24	161.02	285.03	111.21	120.94	258.57	242.88	249.73	74.58	141.02	146.03	50.63	102.25	186.4	136.19	92.05	120.1	131.51	101.54	120.94	170.25	135.24	190.34	109.66	183.82	775.05	995.0	616.37	438.59	283.05	336.79	297.17	343.89	353.59	361.04	260.38	571.05	223.41	147.06	223.41	429.54	303.44	181.28	275.28	281.09	191.67	397.93	218.79	295.11
ADARB1	543.96	947.83	83.45	193.01	435.55	1073.91	1259.69	1175.27	633.73	860.08	1572.76	830.75	435.55	791.35	1216.75	848.22	1088.92	1183.45	1250.98	941.27	1066.48	1304.15	124.37	53.95	70.51	128.79	49.91	47.84	214.27	48.52	34.51	131.51	100.13	58.3	75.11	54.33	85.82	133.36	73.54	78.89	80.57	133.36	48.52	78.34	102.97	102.97	239.52	149.12	624.99	19.97	72.52	139.07	198.47	197.09	124.37	55.1	27.64	30.56	60.82	131.51	108.14	96.68	53.95	32.82	48.18	85.82	44.25	63.45	53.19	93.35	253.23	1111.82	1233.75	400.71	688.78	151.22	264.03	301.33	896.64	802.41	454.09	90.14	287.01	137.14	130.6	164.42	353.59	450.94	244.57	189.02	156.59	346.29	152.28	158.79	376.41
AHRR	16.75	7.46	63.0	59.13	45.21	5.36	157.68	13.32	7.88	13.72	38.95	5.87	29.7	5.36	12.09	7.28	5.5	12.45	12.93	4.58	96.68	14.14	7.69	17.13	4.39	11.64	2.94	3.29	16.63	14.45	8.51	11.55	4.82	12.0	6.62	6.11	14.35	2.89	5.63	10.71	11.21	20.71	16.27	6.57	6.11	3.47	16.03	21.01	14.56	4.7	23.08	5.82	5.54	8.38	1.23	2.51	13.72	6.11	3.14	3.86	1.31	12.27	7.17	4.1	14.89	5.02	7.75	4.39	1.62	4.62	20.41	486.75	85.22	16.39	24.81	44.89	5.41	7.46	13.83	23.59	33.78	32.36	35.0	12.18	18.03	29.27	14.45	65.72	7.88	48.52	9.7	20.26	18.97	15.22	18.97
AL354808.2	3.26	3.53	3.06	4.1	7.88	3.29	20.26	15.68	24.11	20.56	4.94	10.96	6.26	10.0	5.96	39.5	9.85	18.16	7.46	10.79	0.0	6.78	0.0	1.93	0.0	0.0	0.0	1.23	1.43	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	1.2	0.0	0.0	4.1	1.45	0.0	6.73	4.31	0.0	1.48	21.63	0.0	0.0	2.68	3.56	0.0	1.6	0.0	0.0	2.53	0.0	0.0	1.73	0.0	0.0	2.23	1.22	0.0	0.0	0.0	0.0	0.0	3.03	21.94	1.43	33.06	16.63	11.47	1.1	8.45	6.06	12.09	11.64	8.71	4.54	2.78	0.0	5.23	13.32	13.12	2.53	5.06	0.0	0.0	4.1	0.0	9.06
AL358333.1	563.18	142.01	139.07	177.53	0.0	532.74	967.76	164.42	454.09	1059.11	612.11	665.29	551.56	669.92	116.78	1191.69	486.75	212.78	629.35	242.88	297.17	244.57	137.14	56.68	17.25	85.82	36.01	11.3	58.71	39.5	70.01	163.28	119.26	45.85	59.97	63.0	84.63	190.34	46.18	103.69	41.22	148.09	0.0	0.0	115.97	147.06	0.0	189.02	312.0	5.02	27.84	69.03	172.65	190.34	0.0	69.03	150.17	21.01	14.24	143.01	39.5	0.0	5.87	19.82	36.27	10.39	63.0	46.84	62.56	27.84	287.01	603.67	660.68	444.72	1199.98	78.89	169.07	50.27	332.14	277.2	177.53	130.6	651.58	0.0	98.73	58.71	314.17	248.0	162.14	289.02	197.09	0.0	147.06	384.34	0.0
ANKRD12	269.6	187.71	68.55	74.58	253.23	371.22	312.0	392.44	343.89	353.59	348.71	341.51	381.68	363.56	387.02	215.77	285.03	397.93	215.77	303.44	346.29	318.57	154.42	320.8	239.52	166.73	162.14	60.82	88.26	169.07	146.03	283.05	205.5	269.6	157.68	209.84	163.28	356.05	103.69	193.01	178.77	206.94	166.73	305.55	173.85	101.54	281.09	143.01	206.94	57.08	67.59	189.02	181.28	197.09	323.03	43.02	46.5	81.14	40.93	124.37	82.87	36.53	74.06	59.13	68.55	128.79	58.3	50.98	185.11	71.0	96.01	1733.13	353.59	679.29	988.12	387.02	323.03	830.75	660.68	563.18	466.88	309.83	514.56	237.86	126.12	202.66	314.17	327.56	201.25	215.77	80.01	142.01	215.77	97.36	299.25
ANKS1B	90.77	87.65	8.45	35.76	49.56	89.51	72.52	132.44	141.02	144.01	152.28	81.14	131.51	107.38	71.0	78.89	102.25	117.6	102.97	121.79	72.52	75.64	27.44	13.22	11.13	26.86	15.34	135.24	10.79	25.35	12.55	30.78	98.04	17.13	43.94	14.03	19.82	71.0	60.39	40.07	48.18	48.18	21.63	33.54	332.14	305.55	72.52	37.32	137.14	11.47	5.02	35.0	100.13	98.73	115.16	98.04	77.79	64.8	42.11	65.72	37.59	30.34	201.25	54.72	73.03	169.07	108.14	128.79	22.1	29.27	49.91	607.87	53.57	55.89	128.79	8.85	35.0	71.0	202.66	73.03	153.34	12.55	177.53	35.76	45.21	25.72	73.54	76.71	46.18	94.67	37.59	61.68	198.47	63.45	343.89
ANTXR1	2573.36	1175.27	215.77	275.28	432.53	1104.13	2367.9	1923.14	2163.77	2119.22	2047.0	2004.85	1081.39	2209.26	1199.98	1561.89	1628.26	2075.59	1844.76	2271.4	1008.9	1369.04	80.57	226.54	624.99	251.48	39.22	98.73	87.65	101.54	98.04	167.9	435.55	148.09	50.98	44.57	197.09	186.4	215.77	114.36	253.23	309.83	295.11	157.68	305.55	209.84	332.14	454.09	2609.3	7.06	547.75	490.14	460.44	409.15	201.25	107.38	23.59	379.04	285.03	190.34	1572.76	473.41	73.03	212.78	500.46	532.74	224.97	406.31	58.71	50.27	620.67	4704.07	1191.69	1127.35	583.07	457.25	1685.71	988.12	1304.15	2178.83	1540.37	334.46	3955.48	156.59	80.01	234.57	928.3	1378.57	503.95	429.54	147.06	1883.54	490.14	88.26	1059.11
AOC3	4671.57	5147.73	371.22	921.88	1487.87	5633.22	2520.38	4066.71	3564.78	3467.27	5329.3	3515.68	2255.7	3564.78	3768.09	2816.11	4038.61	4639.29	3982.99	4639.29	3124.78	3124.78	327.56	68.07	140.04	204.07	94.01	41.22	309.83	105.15	58.3	454.09	167.9	68.55	170.25	59.13	239.52	158.79	143.01	246.28	277.2	400.71	220.32	171.45	41.52	414.87	376.41	441.64	3124.78	30.78	153.34	397.93	1044.52	493.56	24.11	103.69	60.39	82.29	47.84	202.66	53.57	314.17	54.33	25.35	31.9	444.72	14.89	39.22	194.36	457.25	1250.98	11345.82	5292.48	536.45	2739.08	198.47	848.22	1697.45	3955.48	2875.3	3515.68	175.07	2739.08	325.29	197.09	575.03	1819.35	2255.7	954.43	775.05	392.44	1259.69	371.22	480.04	555.41
ARRDC3	2895.31	1008.9	454.09	332.14	366.09	379.04	1529.73	1037.29	1350.18	521.76	854.13	872.1	395.18	759.08	693.58	1963.57	1674.06	358.54	1605.83	775.05	414.87	460.44	813.63	511.0	387.02	320.8	153.34	214.27	151.22	305.55	212.78	447.82	363.56	297.17	406.31	190.34	279.14	599.49	264.03	444.72	253.23	323.03	291.04	189.02	1151.06	1015.93	8538.88	358.54	4769.75	156.59	307.69	403.5	1721.16	1651.0	289.02	241.19	334.46	193.01	343.89	234.57	346.29	473.41	171.45	363.56	279.14	423.61	273.37	358.54	426.57	406.31	1008.9	10512.82	1250.98	1119.56	571.05	629.35	511.0	409.15	738.29	1519.15	981.29	457.25	1159.07	890.44	289.02	624.99	967.76	540.19	397.93	941.27	633.73	1662.49	1233.75	339.14	988.12
