	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.L5.A4OG.11A.12R.A260.31	GTEX.ZAB4.1226.SM.5CVN5	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AASS	42.41	140.04	93.35	82.29	70.51	85.22	55.49	18.03	133.36	139.07	60.82	373.81	470.14	432.53	669.92	0.0	0.78
ABI3BP	58.3	361.04	51.35	334.46	19.53	334.46	102.25	9.85	329.84	208.38	61.25	638.15	1066.48	854.13	2133.97	0.0	0.61
AC021860.1	0.0	6.89	0.78	2.23	2.89	2.34	5.59	1.89	11.38	14.24	1.23	31.9	41.81	22.1	50.98	0.0	0.39
AC138969.4	92.7	612.11	392.44	1208.34	341.51	674.59	1044.52	209.84	1277.29	1605.83	426.57	1870.53	1651.0	2148.82	7749.1	0.0	1.11
AC139426.2	0.37	7.69	2.01	5.77	0.39	2.56	3.66	1.77	7.46	6.21	3.69	29.7	17.38	22.59	14.56	0.0	0.21
ACCS	88.26	249.73	105.89	150.17	111.99	138.1	161.02	44.57	389.72	208.38	101.54	514.56	514.56	679.29	1508.65	0.0	0.75
ADAMTS10	17.0	101.54	137.14	82.87	81.14	99.43	71.5	10.31	163.28	329.84	122.64	260.38	175.07	607.87	656.11	0.0	0.96
ADCY4	32.59	115.16	61.25	162.14	125.24	147.06	76.17	38.12	371.22	277.2	92.7	728.11	620.67	909.17	1119.56	0.0	0.82
AGAP4	0.0	120.94	70.01	125.24	55.49	82.29	112.77	1.77	96.68	85.22	36.01	136.19	273.37	255.0	791.35	0.0	1.0
AGAP6	31.22	159.9	87.03	94.01	125.24	128.79	145.02	118.43	265.87	211.31	87.03	223.41	236.21	518.15	698.41	0.0	1.19
AGER	7.28	96.01	15.8	29.91	21.63	24.99	60.82	34.26	85.82	65.72	22.75	102.25	99.43	307.69	559.28	0.0	0.28
AHSA2	85.22	460.44	283.05	483.38	348.71	356.05	521.76	209.84	1322.37	909.17	143.01	1199.98	1427.22	2384.37	3325.99	0.0	1.58
AMT	11.82	90.14	43.02	100.13	48.52	58.3	208.38	76.17	189.02	283.05	59.55	559.28	476.71	860.08	2520.38	0.0	0.99
ANKAR	29.91	40.36	41.22	52.45	30.34	56.28	63.89	11.3	67.59	85.22	24.11	103.69	126.12	138.1	251.48	0.0	0.12
ANKDD1A	8.19	36.53	13.22	38.67	28.65	28.45	32.36	11.21	50.98	52.45	36.27	93.35	127.89	171.45	414.87	0.0	0.33
ANKRD18A	8.51	25.72	25.17	38.67	0.38	14.03	78.34	0.0	100.13	113.56	0.4	74.58	39.5	58.71	6.41	0.0	0.35
ANKS3	114.36	251.48	195.72	348.71	223.41	211.31	291.04	301.33	384.34	503.95	212.78	389.72	309.83	555.41	713.11	0.0	0.78
ANKZF1	246.28	447.82	358.54	403.5	295.11	409.15	486.75	638.15	688.78	723.08	323.03	860.08	796.86	1844.76	2240.11	0.0	0.88
ARHGEF25	91.41	279.14	183.82	198.47	115.97	209.84	71.5	105.15	368.65	329.84	202.66	660.68	802.41	780.44	3690.52	0.0	0.61
ARID3B	23.93	79.45	42.41	75.64	63.45	61.68	62.12	50.27	92.7	97.36	67.12	84.63	82.29	171.45	141.02	0.0	0.73
ATAD3B	41.81	162.14	78.34	64.8	55.89	122.64	176.29	158.79	223.41	264.03	74.06	264.03	228.13	483.38	497.0	0.0	1.36
B3GAT2	2.39	4.94	2.53	5.11	2.92	2.76	5.59	0.72	6.11	8.99	2.78	7.4	14.78	16.88	23.76	0.0	0.43
BCL2	379.04	389.72	135.24	476.71	307.69	150.17	518.15	211.31	665.29	884.29	91.41	620.67	698.41	117.6	277.2	0.0	0.45
BCL2L2	348.71	563.18	373.81	444.72	486.75	941.27	769.69	400.71	1151.06	583.07	429.54	1030.12	854.13	1369.04	1397.83	0.0	0.83
C16orf3	1.68	9.06	10.39	3.92	3.82	7.4	7.11	2.71	12.18	20.11	2.71	24.81	22.59	26.67	5.68	0.0	0.09
C3orf35	3.44	17.25	10.96	14.24	14.67	15.68	19.97	9.56	25.17	15.34	14.45	24.46	26.67	38.12	63.0	0.0	0.49
C8orf58	46.18	128.79	136.19	153.34	164.42	134.3	140.04	142.01	212.78	193.01	132.44	303.44	297.17	215.77	199.85	0.0	0.29
C9orf47	2.51	5.82	3.32	3.44	6.06	3.26	5.96	0.89	5.45	9.78	3.32	10.96	51.71	21.01	87.03	0.0	0.18
CAPN10	144.01	262.2	153.34	133.36	164.42	246.28	165.57	242.88	384.34	312.0	199.85	379.04	316.37	638.15	595.34	0.0	1.03
CAPRIN2	30.78	154.42	125.24	137.14	92.7	109.66	167.9	60.39	169.07	191.67	166.73	277.2	275.28	373.81	780.44	0.0	0.84
CCDC130	199.85	674.59	356.05	392.44	480.04	476.71	638.15	525.39	819.3	728.11	371.22	780.44	780.44	1322.37	1832.01	0.0	1.19
CCDC142	40.36	114.36	94.01	84.04	115.97	109.66	135.24	89.51	209.84	134.3	109.66	141.02	134.3	199.85	107.38	55.1	128.79
CCDC36	0.68	5.77	4.31	17.38	4.03	7.17	3.66	0.64	10.71	20.86	8.32	22.92	29.48	13.42	35.0	0.0	0.2
CCDC84	90.77	232.94	173.85	336.79	314.17	173.85	384.34	423.61	547.75	518.15	122.64	395.18	518.15	819.3	1674.06	0.0	1.14
CDK3	27.25	86.43	52.08	43.94	55.49	46.84	115.16	52.82	88.26	119.26	57.89	172.65	173.85	218.79	189.02	0.0	0.97
CDKL4	0.0	0.74	0.32	0.66	0.97	1.04	0.64	0.0	1.31	1.89	1.06	1.06	2.86	1.69	1.19	0.0	0.0
CLCN6	50.63	100.83	76.71	146.03	88.26	134.3	130.6	53.95	137.14	166.73	61.68	316.37	346.29	307.69	406.31	0.0	0.87
CLDN15	48.52	108.14	49.91	89.51	69.52	109.66	59.13	49.56	140.04	112.77	45.53	234.57	173.85	229.72	283.05	0.0	0.69
CLK2	381.68	981.29	961.07	748.61	848.22	1037.29	1331.57	860.08	1733.13	1088.92	1051.79	947.83	967.76	1467.37	1331.57	0.0	0.82
COLQ	4.98	29.27	25.17	23.59	29.91	23.76	25.72	22.26	28.04	48.52	38.4	45.53	53.57	54.72	127.0	0.0	0.39
CPEB2	260.38	351.14	384.34	412.0	329.84	265.87	264.03	124.37	480.04	660.68	366.09	301.33	384.34	356.05	381.68	0.0	0.51
CXorf65	0.0	16.88	0.0	7.11	0.0	3.08	7.17	4.54	12.18	13.52	2.76	5.36	22.26	13.12	26.28	0.0	0.53
DDX11	175.07	279.14	299.25	195.72	271.48	242.88	293.07	117.6	323.03	379.04	206.94	476.71	447.82	258.57	244.57	0.0	0.71
DFNB31	47.84	162.14	122.64	201.25	234.57	285.03	220.32	248.0	423.61	450.94	72.01	295.11	271.48	256.78	480.04	0.0	0.33
DGKE	56.28	77.25	81.71	66.65	34.51	75.64	49.21	25.35	134.3	183.82	52.08	77.79	98.73	95.34	237.86	0.0	0.38
DNASE1	108.14	169.07	194.36	194.36	151.22	145.02	158.79	108.14	271.48	275.28	194.36	346.29	256.78	435.55	351.14	0.0	0.51
DTX3	339.14	733.19	497.0	555.41	511.0	612.11	497.0	507.46	808.0	802.41	688.78	825.0	967.76	967.76	2701.35	0.0	0.78
EIF4A2	3540.14	9606.86	4671.57	6561.36	5594.3	5831.91	6561.36	3235.01	8538.88	9215.48	6561.36	8421.31	9876.98	7966.99	8305.36	6983.79	1781.89
FAM160A2	368.65	599.49	332.14	555.41	536.45	638.15	624.99	409.15	896.64	733.19	318.57	934.76	836.53	1059.11	1331.57	0.0	0.77
FAM160B2	132.44	802.41	759.08	547.75	872.1	967.76	764.36	426.57	1286.18	679.29	703.28	1250.98	954.43	1896.65	2434.5	0.0	1.19
FBXO9	764.36	1159.07	1508.65	1407.55	1628.26	1487.87	1304.15	1662.49	1832.01	1628.26	1044.52	1447.15	1369.04	1963.57	1639.59	1066.48	260.38
FRY	128.79	215.77	376.41	438.59	356.05	273.37	409.15	142.01	271.48	607.87	194.36	518.15	703.28	698.41	460.44	0.0	0.38
GABBR1	205.5	423.61	269.6	305.55	100.83	293.07	289.02	59.13	703.28	571.05	473.41	961.07	813.63	1127.35	2417.67	0.0	1.38
GOLGA8K	0.0	5.02	2.01	2.41	0.38	1.46	1.35	0.0	5.77	5.82	1.5	9.48	7.82	8.78	12.09	0.0	0.27
GOLGA8M	0.4	10.63	13.03	5.28	5.87	13.12	4.1	0.97	4.94	21.63	4.17	22.26	25.17	24.11	49.56	0.0	0.4
GOLGA8Q	3.89	23.76	15.0	18.03	5.54	9.56	5.45	1.55	21.94	38.67	3.44	23.25	69.52	21.63	82.29	0.0	0.48
GOLGA8R	1.08	12.64	18.29	14.56	5.96	25.54	18.97	1.91	29.91	41.22	4.28	60.39	74.06	65.72	194.36	0.0	0.52
HINFP	115.16	267.73	211.31	346.29	262.2	211.31	332.14	269.6	392.44	314.17	151.22	423.61	483.38	684.02	825.0	0.0	0.56
HIP1R	493.56	493.56	358.54	656.11	753.83	547.75	748.61	780.44	921.88	884.29	603.67	642.59	607.87	1295.13	563.18	0.0	0.88
HNRNPA1L2	77.79	208.38	99.43	176.29	108.14	135.24	123.5	109.66	191.67	206.94	122.64	267.73	314.17	143.01	312.0	0.0	0.28
HNRNPH1	1857.6	9279.58	6250.56	8421.31	5791.62	5672.41	7032.37	3124.78	10014.87	7589.61	5255.91	11112.3	11345.82	11267.44	10883.59	4010.71	67377.47
HOOK2	518.15	902.89	866.07	684.02	830.75	1073.91	1008.9	1104.13	1896.65	1295.13	595.34	1519.15	1135.2	1572.76	872.1	0.0	0.85
JMJD7-PLA2G4B	18.03	46.5	15.68	37.85	41.81	54.33	55.49	19.97	103.69	87.03	21.63	194.36	197.09	180.02	264.03	0.0	1.06
KLHL3	18.43	26.86	34.51	37.05	24.63	37.05	22.43	2.14	49.91	59.55	22.75	98.73	122.64	103.69	221.86	17.77	60.82
LENG8	239.52	1304.15	579.04	587.13	884.29	813.63	1242.34	460.44	3124.78	1583.71	525.39	3257.52	2555.58	7230.1	8022.41	0.0	1.77
LETMD1	825.0	974.5	780.44	915.51	1073.91	896.64	1268.46	848.22	1628.26	1697.45	476.71	1819.35	2061.24	1313.23	2047.0	878.17	1135.2
LRRC37B	72.52	226.54	47.84	137.14	170.25	181.28	237.86	132.44	239.52	309.83	61.25	293.07	323.03	307.69	591.22	0.0	0.55
LY6G5B	5.19	63.45	32.82	46.84	43.94	50.27	77.79	23.93	128.79	90.77	28.45	237.86	299.25	551.56	679.29	0.0	1.23
MBD6	242.88	660.68	656.11	1001.93	713.11	769.69	967.76	748.61	1467.37	1487.87	629.35	1073.91	1081.39	1674.06	1167.14	0.0	1.08
METTL22	114.36	215.77	143.01	215.77	169.07	162.14	198.47	165.57	316.37	361.04	237.86	343.89	403.5	563.18	842.36	0.0	0.57
MYEF2	221.86	547.75	503.95	285.03	212.78	466.88	293.07	98.73	620.67	551.56	503.95	297.17	314.17	441.64	921.88	0.0	0.8
NEK3	96.01	305.55	189.02	194.36	164.42	135.24	157.68	66.18	271.48	256.78	195.72	248.0	264.03	291.04	406.31	0.0	0.48
NFKBID	23.25	114.36	53.57	77.25	88.26	59.55	77.79	91.41	137.14	129.69	49.21	155.5	189.02	171.45	256.78	0.0	0.46
NPIPB8	0.0	3.0	2.58	4.86	2.27	3.96	5.41	0.0	12.83	10.08	2.07	15.0	6.06	37.32	63.89	0.0	0.58
NPPA	0.0	0.0	0.0	4.28	2.56	3.63	2.12	0.83	4.28	4.86	0.0	5.82	16.15	125.24	178.77	0.0	0.74
OCM	0.0	8.0	0.99	2.36	3.32	1.79	8.45	7.63	5.73	9.63	1.1	15.45	4.03	17.0	5.15	0.0	0.04
OGT	638.15	1199.98	713.11	1001.93	1059.11	1030.12	1051.79	423.61	2032.85	1225.22	607.87	2303.12	2119.22	2739.08	4010.71	0.0	1.22
OXR1	271.48	759.08	599.49	567.1	603.67	616.37	473.41	221.86	708.18	674.59	395.18	981.29	1037.29	642.59	567.1	0.0	0.39
PARP6	406.31	974.5	423.61	995.0	733.19	633.73	791.35	587.13	947.83	1388.16	728.11	1268.46	1457.23	1508.65	2255.7	753.83	318.57
PDE8A	186.4	309.83	191.67	214.27	241.19	334.46	209.84	103.69	297.17	356.05	211.31	363.56	466.88	775.05	1037.29	0.0	0.46
PEAR1	15.91	85.82	44.57	79.45	57.49	142.01	35.0	36.79	178.77	131.51	31.67	314.17	281.09	255.0	312.0	0.0	0.67
PELO	130.6	295.11	237.86	206.94	295.11	285.03	265.87	199.85	392.44	177.53	223.41	301.33	348.71	346.29	529.06	0.0	0.47
PHF1	785.88	1369.04	1111.82	1015.93	1143.1	1191.69	1457.23	2255.7	2520.38	2417.67	1167.14	1991.0	2645.74	1709.26	2384.37	0.0	0.44
PHLDB2	41.81	318.57	555.41	224.97	229.72	190.34	473.41	19.25	429.54	890.44	358.54	559.28	764.36	575.03	1519.15	0.0	0.66
PILRB	59.97	915.51	249.73	518.15	406.31	406.31	1015.93	884.29	1963.57	1605.83	323.03	1651.0	1233.75	1844.76	1639.59	0.0	1.31
PIWIL4	4.82	23.93	14.14	20.86	11.73	15.0	23.93	5.28	26.47	24.99	13.93	37.32	113.56	92.05	229.72	0.0	0.56
PLA2G4B	0.0	59.13	35.25	45.85	47.5	62.56	74.06	108.9	154.42	108.14	29.27	214.27	201.25	454.09	463.65	0.0	1.1
POU6F1	20.86	90.77	57.89	117.6	122.64	111.21	87.03	80.01	144.01	208.38	73.03	384.34	325.29	373.81	728.11	0.0	0.71
RBM19	189.02	293.07	241.19	228.13	275.28	301.33	246.28	248.0	406.31	320.8	320.8	438.59	470.14	514.56	703.28	0.0	1.07
RBM44	0.41	2.46	1.45	5.32	1.13	1.57	4.13	1.85	4.62	4.86	3.47	16.39	6.94	9.34	12.45	0.0	0.39
RBM6	271.48	1225.22	679.29	1037.29	1001.93	743.43	1111.82	713.11	1350.18	1674.06	563.18	1639.59	1870.53	3168.41	4388.98	819.3	607.87
RNF44	149.12	555.41	432.53	295.11	575.03	651.58	358.54	241.19	723.08	559.28	334.46	830.75	647.07	878.17	961.07	0.0	0.61
