	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.L5.A4OG.11A.12R.A260.31	GTEX.ZAB4.1226.SM.5CVN5	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
RNPC3	98.73	318.57	197.09	193.01	193.01	197.09	189.02	123.5	260.38	299.25	239.52	703.28	679.29	830.75	1208.34	0.0	0.79
RP11-382J12.1	0.0	5.02	2.97	2.07	0.71	2.89	2.32	0.0	5.45	4.28	0.77	3.32	4.46	5.15	10.0	0.0	0.15
RP11-3B7.1	0.37	1.58	0.39	5.77	1.06	3.26	3.32	0.92	5.45	14.56	3.32	13.93	15.56	12.74	23.25	0.0	0.13
RP11-574K11.31	3.44	18.56	15.22	11.21	11.3	13.62	17.25	10.0	26.67	27.05	8.19	26.86	34.02	61.25	94.01	0.0	0.58
RP11-894J14.5	0.0	3.06	0.66	2.71	6.31	3.56	1.95	1.13	4.7	5.77	0.0	10.88	9.93	5.82	11.64	0.0	0.0
RP5-966M1.6	0.84	10.0	5.11	20.71	11.21	13.52	23.08	12.0	30.78	40.36	6.41	28.45	40.07	66.18	137.14	0.0	0.91
RRAGD	46.5	181.28	54.33	56.28	102.25	97.36	201.25	14.45	289.02	444.72	69.52	186.4	231.32	204.07	190.34	166.73	77.25
SALL1	4.31	4.24	10.63	20.41	8.19	4.66	6.52	0.34	12.27	23.25	6.52	11.82	9.48	21.32	12.27	0.0	0.2
SCGB2A2	736332.6	1800541.22	845824.19	1318073.06	1163466.92	1238359.56	1034138.94	1751305.3	1600397.78	8805660.77	1187913.85	13033.07	7642.41	0.0	3.11	0.0	0.0
SEC31B	8.85	65.72	28.45	61.68	15.68	37.59	36.01	31.22	101.54	109.66	22.59	204.07	214.27	348.71	665.29	0.0	1.28
SHISA7	0.0	0.0	0.0	0.69	0.0	0.0	0.34	0.0	0.68	0.78	0.38	1.1	1.85	1.25	1.14	0.0	0.0
SLC17A7	3.08	6.41	1.35	7.0	0.39	11.47	1.68	0.61	10.55	11.73	2.92	54.72	27.64	70.01	113.56	0.0	0.36
SLC25A2	0.0	0.0	0.0	1.46	0.0	0.0	1.41	0.33	0.74	2.07	0.0	1.57	0.82	2.46	4.24	0.0	0.13
SLC25A34	2.36	13.03	4.21	7.82	6.62	7.11	8.19	3.66	22.75	21.63	5.77	39.5	35.25	57.49	109.66	0.0	0.58
SLC26A10	1.62	22.26	4.66	13.03	4.74	14.45	7.17	8.19	29.91	31.67	23.08	107.38	119.26	329.84	713.11	0.0	1.14
SNRNP70	2119.22	2502.97	2485.67	2209.26	2777.33	2956.17	3081.75	2895.31	4095.0	3168.41	2915.45	4704.07	4358.66	7485.11	7331.05	0.0	1.13
SOGA3	1.51	6.31	4.46	1.66	4.21	4.17	2.25	0.0	7.51	5.28	2.14	22.59	27.25	12.64	7.75	0.0	0.0
THBS4	507.46	1519.15	211.31	718.08	77.79	1143.1	293.07	42.11	2119.22	1242.34	88.88	733.19	373.81	283.05	902.89	0.0	0.36
TMC1	0.3	1.1	0.32	1.62	0.96	3.06	2.81	0.27	7.06	8.78	1.04	8.99	5.63	3.35	4.66	0.0	0.01
TSKS	0.69	0.0	0.73	2.16	1.43	1.16	0.39	0.0	1.81	4.43	1.19	2.32	6.52	5.77	13.93	0.0	0.16
TTN	0.37	3.86	1.36	3.41	1.71	1.83	2.01	0.34	4.39	3.89	0.78	9.48	10.71	23.25	25.17	0.0	0.18
TYK2	708.18	1208.34	995.0	1331.57	1119.56	1208.34	1508.65	1388.16	1745.2	1605.83	1001.93	1583.71	1721.16	2956.17	2875.3	0.0	1.35
UBAP1L	4.46	22.59	7.11	21.01	22.92	27.84	19.97	21.16	30.56	54.72	7.88	112.77	84.63	86.43	98.73	0.0	0.68
UPF1	540.19	743.43	813.63	854.13	941.27	921.88	878.17	669.92	902.89	1001.93	693.58	1051.79	860.08	1001.93	1081.39	0.0	0.97
VILL	59.97	136.19	78.89	108.14	158.79	117.6	137.14	127.89	236.21	211.31	98.73	232.94	242.88	395.18	327.56	0.0	0.44
VIP	0.72	0.0	1.1	3.96	3.2	3.06	3.82	0.97	5.36	8.58	1.6	11.47	12.83	185.11	587.13	0.0	0.56
ZBTB32	1.31	10.47	3.69	4.17	3.44	3.66	3.38	0.93	6.21	12.09	1.17	9.85	27.05	18.84	5.77	0.0	0.19
ZCCHC9	212.78	490.14	406.31	414.87	389.72	366.09	406.31	409.15	525.39	409.15	450.94	493.56	529.06	470.14	624.99	0.0	0.13
ZDHHC17	202.66	387.02	212.78	318.57	202.66	236.21	275.28	50.98	297.17	356.05	175.07	665.29	825.0	466.88	679.29	0.0	0.72
ZGLP1	8.38	43.02	10.55	45.21	31.9	26.47	69.52	65.26	71.0	92.7	15.11	95.34	85.22	120.94	73.54	0.0	0.34
ZNF692	209.84	543.96	500.46	406.31	480.04	514.56	878.17	981.29	1059.11	718.08	540.19	819.3	753.83	1208.34	1721.16	0.0	1.11
ZNF852	21.47	66.18	48.18	53.57	45.53	55.1	57.89	19.11	69.52	64.34	26.67	85.82	88.26	79.45	101.54	0.0	0.33
