	GTEX.132AR.2826.SM.5IJFV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.D7.A6EZ.01A.11R.A31P.31	GTEX.RWS6.1326.SM.47JXB	GTEX.132AR.1526.SM.5KM1L
ACYP2	285.03	0.0	0.47	693.58	620.67	518.15	674.59	718.08	591.22	450.94	642.59	251.48	450.94	351.14
ADD2	21.78	0.0	0.25	463.65	70.01	221.86	177.53	24.99	191.67	172.65	748.61	6.16	0.05	2.39
ADIPOR1	1369.04	3018.3	954.43	3018.3	3039.3	2835.7	2664.15	3280.18	2777.33	3419.52	3491.39	1745.2	1159.07	915.51
AL590822.2	0.0	0.0	0.0	33.3	6.26	53.19	23.93	24.81	26.28	15.91	35.0	9.93	16.15	0.0
AMELY	0.0	0.0	0.0	5.45	2.32	3.26	12.09	8.45	4.9	8.78	14.03	0.0	0.0	0.0
ANXA3	64.8	0.0	0.57	2303.12	3280.18	3540.14	1583.71	3018.3	2287.2	1870.53	2303.12	2119.22	1023.0	115.16
APEH	1159.07	0.0	0.04	3955.48	2537.92	3103.19	3124.78	2682.69	2104.58	2400.97	3190.46	1733.13	1870.53	769.69
ATCAY	25.91	0.0	0.11	14.89	16.51	8.32	38.67	22.26	34.26	12.74	29.7	0.0	0.03	2.97
BPIFB2	0.0	0.0	0.04	165.57	981.29	135.24	764.36	603.67	915.51	148.09	785.88	0.0	0.0	1.11
CANT1	2451.44	1167.14	112.77	6887.62	4210.15	5479.15	4298.64	5006.93	4268.94	4038.61	5954.47	1794.29	743.43	1936.53
CAPNS1	7642.41	6471.02	854.13	10959.3	15075.35	9945.68	14262.1	11992.79	10440.2	7382.04	16843.62	7485.11	6164.49	6207.38
CBWD6	507.46	0.0	0.84	791.35	547.75	967.76	988.12	647.07	591.22	583.07	896.64	480.04	341.51	297.17
CD58	381.68	0.0	0.68	197.09	260.38	185.11	256.78	201.25	183.82	152.28	285.03	159.9	114.36	165.57
CHMP2A	5112.16	0.0	1.01	6381.92	7803.01	4639.29	6840.04	5329.3	5517.27	4328.55	6983.79	4210.15	3589.58	4328.55
CLDND2	6.31	0.0	0.44	123.5	119.26	68.55	138.1	94.01	69.52	44.89	120.94	25.54	78.34	34.02
CLIC1	7589.61	0.0	1.08	11827.67	12589.08	10585.95	11827.67	11504.21	11035.54	9673.69	13492.72	11827.67	4298.64	5366.37
CLMN	320.8	194.36	37.05	567.1	132.44	373.81	334.46	366.09	178.77	332.14	620.67	287.01	170.25	239.52
CNPPD1	1781.89	0.0	0.25	2777.33	2384.37	2591.27	3081.75	2701.35	2434.5	1991.0	2976.74	1066.48	954.43	1216.75
COPB2	1628.26	0.0	0.85	2434.5	2609.3	3395.89	2835.7	2875.3	2701.35	3847.29	3847.29	3443.31	1628.26	1529.73
COPRS	1519.15	0.0	0.58	2434.5	2148.82	1883.54	2163.77	2537.92	2255.7	1844.76	1963.57	1135.2	1883.54	1225.22
CORO1B	2335.28	1857.6	866.07	5995.9	5872.48	5594.3	6745.86	5041.77	6337.83	4450.27	8421.31	2701.35	2384.37	2400.97
COX5A	7749.1	0.0	0.8	7081.29	11664.82	5913.33	5329.3	5112.16	5954.47	4769.75	8191.0	5006.93	4543.8	3742.05
CREB3L4	559.28	0.0	0.45	5555.65	12160.22	6207.38	5995.9	6840.04	4512.4	3742.05	7642.41	281.09	1674.06	2193.99
CTNNBIP1	163.28	0.0	0.12	1733.13	896.64	1457.23	1191.69	1175.27	974.5	493.56	1697.45	299.25	698.41	346.29
CYFIP2	339.14	114.36	80.01	909.17	802.41	612.11	1127.35	1051.79	532.74	616.37	748.61	211.31	395.18	363.56
CYP20A1	205.5	0.0	0.27	214.27	199.85	269.6	223.41	237.86	204.07	248.0	291.04	209.84	141.02	127.0
DAPK2	128.79	0.0	0.39	470.14	563.18	231.32	435.55	540.19	220.32	197.09	412.0	59.13	29.91	95.34
DCAF11	947.83	0.0	0.32	1819.35	1508.65	1857.6	1896.65	1467.37	1572.76	1617.0	1977.24	1199.98	679.29	363.56
DIRC2	236.21	0.0	0.43	490.14	197.09	450.94	351.14	567.1	460.44	334.46	638.15	152.28	85.22	260.38
DNAJC4	656.11	0.0	0.77	2400.97	4239.45	1923.14	2537.92	2537.92	2287.2	1977.24	2319.15	579.04	1883.54	1250.98
DNASE1L1	271.48	0.0	0.47	825.0	651.58	703.28	567.1	890.44	753.83	603.67	921.88	842.36	490.14	167.9
DPY30	2032.85	0.0	0.43	2303.12	2796.65	2400.97	2609.3	2485.67	2468.49	2255.7	2701.35	2075.59	2119.22	1923.14
ECH1	4419.52	0.0	0.58	11504.21	10733.74	9808.75	8963.45	8538.88	7749.1	4481.23	12244.81	2915.45	2591.27	2451.44
EIF2B4	941.27	890.44	743.43	1594.73	2032.85	1745.2	1936.53	1617.0	1477.58	1030.12	1883.54	896.64	1111.82	909.17
EIF4EBP3	591.22	0.0	0.57	2335.28	4010.71	684.02	3212.66	1651.0	1709.26	1159.07	1844.76	204.07	896.64	395.18
EIF4G1	2997.45	4736.79	579.04	5954.47	4358.66	7331.05	5672.41	5672.41	6652.97	6294.04	6792.79	4639.29	3146.52	2287.2
EPN3	71.0	0.0	0.0	1857.6	1037.29	1397.83	1721.16	1216.75	1295.13	1081.39	1896.65	567.1	255.0	90.14
EVPL	65.72	0.0	0.41	409.15	248.0	587.13	575.03	693.58	403.5	232.94	348.71	341.51	307.69	48.18
FAM110A	108.14	0.0	0.52	713.11	571.05	1008.9	934.76	748.61	753.83	665.29	780.44	297.17	72.01	103.69
FAM154B	22.1	0.0	0.0	297.17	123.5	82.87	277.2	218.79	78.89	154.42	241.19	34.02	150.17	89.51
FNDC8	0.0	0.0	0.01	1.19	3.79	2.73	3.79	2.41	0.0	0.95	2.48	0.61	0.0	0.0
GGT1	256.78	0.0	0.35	9344.14	20737.16	6294.04	4210.15	4010.71	3690.52	2271.4	15607.02	134.3	264.03	103.69
GNB2	8247.98	0.0	1.28	19618.49	13306.94	11267.44	12502.12	12676.65	10659.59	9215.48	15392.14	5041.77	5633.22	7081.29
GPN2	409.15	0.0	0.16	679.29	423.61	703.28	802.41	638.15	444.72	454.09	733.19	532.74	373.81	346.29
