	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF
ABCC10	124.37	144.01	212.78	265.87	242.88	400.71	412.0	281.09	260.38	223.41	633.73	327.56	204.07	368.65	441.64	363.56	336.79	341.51	269.6	400.71	285.03	397.93	368.65	387.02	275.28	283.05	387.02	392.44	273.37	314.17	397.93	190.34	265.87	417.77	414.87	275.28	291.04	353.59	195.72	320.8	587.13	241.19	371.22	248.0	291.04	397.93	329.84	221.86	316.37	145.02	409.15	320.8	395.18	320.8	325.29	301.33	403.5	457.25	283.05	325.29	503.95	395.18	500.46	371.22	346.29	454.09	353.59	373.81	301.33	248.0	144.01	176.29
ABHD16A	703.28	848.22	651.58	1030.12	1639.59	1498.22	1369.04	1819.35	1883.54	1295.13	1295.13	1709.26	1216.75	1745.2	1519.15	1407.55	1781.89	1745.2	2047.0	1457.23	1583.71	1639.59	1721.16	1963.57	1388.16	1561.89	1322.37	1529.73	1322.37	1437.15	1594.73	1023.0	1277.29	2018.8	1651.0	1175.27	1594.73	1487.87	1498.22	1572.76	1721.16	1508.65	1639.59	1225.22	1498.22	1359.57	1819.35	1519.15	1697.45	928.3	1437.15	1447.15	1437.15	1832.01	1199.98	1594.73	1628.26	1819.35	1295.13	1540.37	1857.6	1447.15	1628.26	1477.58	1487.87	1651.0	1378.57	1259.69	1540.37	1304.15	579.04	802.41
ACP6	279.14	98.04	397.93	486.75	412.0	642.59	934.76	559.28	733.19	1044.52	1030.12	665.29	748.61	665.29	1059.11	703.28	738.29	703.28	529.06	785.88	708.18	825.0	490.14	1477.58	656.11	764.36	698.41	1477.58	529.06	669.92	743.43	708.18	728.11	995.0	1015.93	728.11	947.83	551.56	587.13	511.0	775.05	791.35	633.73	559.28	688.78	791.35	1104.13	674.59	769.69	447.82	624.99	941.27	915.51	1104.13	583.07	599.49	674.59	896.64	928.3	872.1	1135.2	703.28	1037.29	928.3	759.08	587.13	395.18	361.04	575.03	356.05	97.36	202.66
ACTR1B	1151.06	819.3	728.11	1277.29	1233.75	1369.04	1331.57	1277.29	1199.98	1745.2	1519.15	1199.98	1159.07	1832.01	1498.22	1250.98	1605.83	1397.83	1378.57	1467.37	1268.46	1508.65	1378.57	1709.26	1208.34	1051.79	1477.58	1487.87	1191.69	1529.73	1457.23	1119.56	1359.57	1457.23	1551.09	1250.98	1697.45	1407.55	1208.34	1191.69	1447.15	1417.35	1498.22	1407.55	1498.22	1437.15	1685.71	1167.14	1617.0	1151.06	1427.22	1583.71	1498.22	1477.58	1199.98	1427.22	1498.22	1628.26	1447.15	1519.15	1437.15	1467.37	1639.59	1457.23	1331.57	1572.76	1191.69	1369.04	1304.15	1304.15	769.69	423.61
AKAP8L	279.14	497.0	387.02	813.63	1183.45	1508.65	1733.13	921.88	1286.18	954.43	2090.03	1487.87	559.28	1883.54	1216.75	921.88	1159.07	1369.04	1651.0	1447.15	1857.6	2224.63	1175.27	1991.0	753.83	981.29	1369.04	2018.8	1081.39	665.29	1208.34	665.29	785.88	1508.65	1551.09	988.12	1250.98	1295.13	1225.22	1806.78	2537.92	1242.34	1781.89	836.53	941.27	1051.79	1950.0	995.0	1331.57	525.39	1015.93	2018.8	1250.98	1304.15	743.43	954.43	1477.58	1794.29	1605.83	872.1	2090.03	1477.58	2664.15	860.08	1340.84	1721.16	830.75	921.88	825.0	961.07	177.53	473.41
ANAPC2	211.31	432.53	204.07	571.05	1044.52	1096.5	1378.57	733.19	884.29	947.83	1447.15	1008.9	450.94	1295.13	1030.12	848.22	1096.5	1044.52	1427.22	1066.48	1008.9	1250.98	808.0	1143.1	647.07	988.12	1191.69	1259.69	780.44	733.19	738.29	441.64	647.07	1183.45	1111.82	718.08	1037.29	1030.12	1030.12	1051.79	1397.83	928.3	1191.69	688.78	688.78	1015.93	1340.84	708.18	1030.12	638.15	785.88	1295.13	1037.29	1015.93	575.03	769.69	1119.56	1167.14	1183.45	669.92	1628.26	1268.46	1709.26	854.13	1119.56	1059.11	961.07	738.29	743.43	674.59	147.06	301.33
AP003733.1	2.84	0.64	1.81	6.16	11.73	12.55	17.13	7.06	7.0	16.15	18.29	8.85	2.41	13.42	6.52	7.63	8.0	9.78	15.34	18.84	12.64	16.27	7.69	24.46	3.08	6.06	17.25	29.48	10.63	4.06	10.08	3.29	5.59	16.03	6.67	4.39	8.51	6.78	15.0	11.13	33.54	22.75	14.45	3.11	6.57	7.51	14.03	2.71	8.65	5.5	12.18	18.97	12.09	19.11	3.26	4.46	14.78	12.0	17.25	4.43	28.86	7.4	37.32	3.82	9.2	12.0	8.38	3.26	4.58	2.34	0.68	1.08
ARHGAP8	114.36	177.53	279.14	316.37	669.92	981.29	1427.22	348.71	988.12	738.29	748.61	647.07	241.19	802.41	438.59	529.06	928.3	660.68	579.04	723.08	497.0	656.11	412.0	825.0	540.19	518.15	1015.93	651.58	368.65	426.57	612.11	316.37	521.76	808.0	642.59	454.09	412.0	551.56	483.38	555.41	1819.35	392.44	941.27	454.09	490.14	967.76	1277.29	275.28	575.03	368.65	376.41	1037.29	785.88	674.59	486.75	647.07	583.07	688.78	723.08	476.71	2645.74	748.61	1167.14	785.88	738.29	412.0	392.44	253.23	473.41	228.13	41.52	33.06
ASPDH	0.0	0.0	0.0	2.76	0.0	0.0	1.81	7.06	3.63	2.81	27.84	8.45	2.76	6.46	1.48	1.48	5.54	2.32	3.32	0.0	2.2	8.58	4.62	9.06	0.0	2.18	2.34	8.45	4.28	6.94	7.0	0.0	3.53	1.81	15.8	3.92	4.98	4.31	3.89	8.32	22.43	2.23	11.04	1.85	2.34	11.13	4.39	1.04	2.16	0.0	0.0	13.12	7.82	3.38	2.78	0.0	3.53	3.41	3.38	3.14	19.11	2.63	13.72	0.93	7.57	4.66	2.71	0.0	0.0	0.0	0.0	3.14
ATXN2L	599.49	1498.22	698.41	1397.83	1857.6	1709.26	1936.53	1437.15	1583.71	1417.35	1685.71	1551.09	1059.11	1794.29	1583.71	1331.57	1437.15	1529.73	2303.12	1561.89	1605.83	1639.59	1233.75	2178.83	1331.57	1295.13	1628.26	2224.63	1159.07	1427.22	1359.57	1088.92	1096.5	1628.26	1540.37	1259.69	1769.57	1697.45	1447.15	1508.65	2209.26	1583.71	1923.14	1259.69	1225.22	1508.65	1950.0	1605.83	1605.83	1313.23	1359.57	2287.2	1407.55	1359.57	1487.87	1781.89	1350.18	1322.37	1950.0	1143.1	2502.97	1081.39	1617.0	1594.73	1950.0	1135.2	1208.34	1242.34	934.76	1259.69	595.34	1127.35
