	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.A565.01A.31R.A28H.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	TCGA.AA.3527.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.ZYVF.2826.SM.5GIDK	GTEX.146FH.2426.SM.5Q5EW	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.XAJ8.0726.SM.47JY5	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZG7Y.1826.SM.4WWD3	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.AF.3400.11A.01R.A32Z.07	TCGA.FP.A4BF.01A.12R.A36D.31
ABHD15	189.02	152.28	275.28	244.57	232.94	220.32	256.78	299.25	314.17	323.03	332.14	371.22	339.14	329.84	279.14	343.89	283.05	293.07	256.78	341.51	283.05	166.73	397.93	299.25	406.31	409.15	249.73	130.6	218.79	209.84	253.23	414.87	258.57	432.53	336.79	249.73	231.32	218.79	309.83	412.0	234.57	343.89	215.77	236.21	318.57	379.04	156.59	366.09	312.0	293.07	159.9	277.2	283.05	348.71	371.22	293.07	185.11	323.03	395.18	208.38	341.51	289.02	229.72	366.09	353.59	255.0	301.33	329.84	392.44	281.09	111.21	232.94	395.18	151.22	236.21	379.04	215.77	199.85	403.5	387.02	392.44	329.84	248.0	368.65	358.54	291.04	387.02	214.27	329.84	312.0	356.05	232.94	301.33	348.71	220.32	293.07	293.07	400.71	339.14	384.34	205.5	325.29	258.57	273.37	371.22	305.55	275.28	197.09	327.56	293.07	221.86	265.87	279.14	214.27	307.69	265.87	229.72	363.56	164.42	212.78	379.04	281.09	209.84	195.72
ACSS2	3982.99	2224.63	2434.5	4095.0	5672.41	3794.3	3768.09	7749.1	6337.83	5954.47	7382.04	7081.29	7537.18	5791.62	5711.87	6471.02	6607.01	5076.84	5147.73	8078.22	7433.4	1583.71	7749.1	6516.03	6887.62	7749.1	4769.75	1950.0	2777.33	4450.27	3564.78	7331.05	5517.27	8022.41	8022.41	5672.41	3419.52	3564.78	7642.41	7230.1	4736.79	7857.29	4095.0	2163.77	5913.33	6983.79	1909.85	8022.41	5751.61	7537.18	5594.3	1950.0	5183.54	7485.11	6699.25	6037.61	1628.26	6561.36	6471.02	4038.61	6079.61	7749.1	3874.05	5594.3	6607.01	5441.3	6250.56	6935.54	7642.41	7803.01	1769.57	2004.85	6250.56	1540.37	6207.38	7911.95	5147.73	1519.15	6745.86	7280.4	7485.11	7695.57	4123.49	7081.29	8598.28	8963.45	5872.48	3540.14	9540.5	6207.38	8421.31	4869.99	7382.04	7857.29	3257.52	7642.41	7331.05	4328.55	6471.02	6426.31	1594.73	8901.53	3847.29	4210.15	7280.4	6983.79	4607.24	1832.01	7230.1	5995.9	4450.27	3349.13	7331.05	4769.75	5329.3	4358.66	2287.2	5594.3	1769.57	2224.63	6381.92	7382.04	3614.55	1857.6
ACVR1B	518.15	412.0	447.82	599.49	660.68	723.08	656.11	974.5	775.05	1216.75	1183.45	830.75	1159.07	688.78	1104.13	934.76	825.0	878.17	718.08	915.51	981.29	400.71	1001.93	1096.5	1143.1	1151.06	642.59	353.59	403.5	703.28	463.65	1295.13	669.92	1233.75	1199.98	836.53	836.53	656.11	995.0	1151.06	536.45	988.12	674.59	493.56	1023.0	1143.1	575.03	1008.9	796.86	860.08	780.44	339.14	703.28	1073.91	1023.0	830.75	329.84	1225.22	1159.07	551.56	1135.2	902.89	669.92	961.07	1008.9	1167.14	1199.98	1127.35	1467.37	1216.75	323.03	384.34	1066.48	346.29	878.17	941.27	688.78	406.31	981.29	1191.69	1498.22	1015.93	688.78	1259.69	1081.39	884.29	1073.91	603.67	1073.91	890.44	1030.12	713.11	1088.92	1183.45	642.59	1059.11	785.88	708.18	1286.18	1191.69	392.44	802.41	647.07	743.43	1259.69	1001.93	928.3	353.59	1369.04	995.0	713.11	397.93	909.17	633.73	866.07	660.68	441.64	1037.29	246.28	400.71	1277.29	981.29	575.03	460.44
ANKS4B	651.58	198.47	171.45	215.77	318.57	457.25	281.09	1143.1	1151.06	1594.73	1242.34	1437.15	1331.57	1127.35	1268.46	1127.35	1023.0	1059.11	1191.69	1242.34	1191.69	146.03	1594.73	1407.55	1529.73	1340.84	1225.22	212.78	327.56	1001.93	438.59	1769.57	836.53	1923.14	1529.73	1059.11	860.08	656.11	1437.15	1487.87	688.78	1340.84	713.11	206.94	1250.98	1651.0	301.33	1662.49	1030.12	1498.22	1225.22	193.01	1030.12	1487.87	1605.83	941.27	214.27	1417.35	1487.87	595.34	1073.91	1378.57	759.08	1322.37	1322.37	1340.84	1457.23	1477.58	1806.78	1709.26	60.39	151.22	1519.15	198.47	1191.69	1437.15	928.3	175.07	1709.26	1388.16	1963.57	1369.04	813.63	1628.26	1417.35	1119.56	1388.16	616.37	1447.15	1151.06	1529.73	713.11	1561.89	1594.73	473.41	1216.75	1023.0	1023.0	1540.37	1617.0	297.17	1073.91	753.83	954.43	1605.83	1519.15	1304.15	127.89	1685.71	1417.35	796.86	483.38	928.3	878.17	1216.75	738.29	256.78	1388.16	153.34	262.2	1857.6	1295.13	231.32	111.21
BCL2L14	507.46	148.09	33.78	211.31	351.14	173.85	172.65	1008.9	1159.07	1119.56	1225.22	954.43	1044.52	1175.27	651.58	1369.04	1135.2	941.27	629.35	1119.56	915.51	176.29	967.76	1066.48	1051.79	1167.14	988.12	217.27	447.82	884.29	587.13	1487.87	775.05	1331.57	1295.13	1030.12	688.78	525.39	1119.56	1216.75	688.78	1183.45	457.25	103.69	1059.11	1268.46	267.73	1572.76	813.63	785.88	909.17	195.72	1081.39	947.83	1127.35	1044.52	289.02	890.44	1191.69	514.56	1322.37	1088.92	954.43	1175.27	1304.15	1208.34	866.07	1216.75	1628.26	2209.26	66.65	226.54	1572.76	150.17	1340.84	1477.58	723.08	127.89	1639.59	1127.35	1447.15	1407.55	713.11	1457.23	1467.37	819.3	1250.98	441.64	974.5	1225.22	1397.83	769.69	1167.14	1331.57	612.11	1167.14	1037.29	954.43	1639.59	1233.75	106.63	1059.11	981.29	616.37	1508.65	1369.04	703.28	205.5	1242.34	1111.82	836.53	529.06	764.36	647.07	1183.45	830.75	376.41	974.5	73.54	244.57	1304.15	1059.11	143.01	277.2
BDH1	860.08	1378.57	466.88	1794.29	4512.4	1199.98	2319.15	4481.23	5255.91	4869.99	5006.93	5791.62	4937.99	4543.8	4210.15	5183.54	3928.15	3564.78	3419.52	4543.8	4639.29	503.95	4937.99	4512.4	5292.48	4450.27	4181.07	1721.16	1572.76	3103.19	2133.97	4869.99	3060.45	5219.6	4903.87	3794.3	3190.46	1923.14	4972.34	5041.77	2720.15	5366.37	2777.33	718.08	5403.7	6207.38	981.29	4903.87	4038.61	4607.24	3665.02	928.3	3491.39	5479.15	4802.93	3614.55	1216.75	4210.15	4903.87	2400.97	3982.99	5219.6	3280.18	3614.55	4358.66	3955.48	5041.77	4607.24	5076.84	5594.3	295.11	785.88	5076.84	981.29	3955.48	5995.9	3395.89	836.53	4736.79	4575.41	4704.07	5006.93	3081.75	5711.87	6079.61	4358.66	4543.8	2591.27	4298.64	5441.3	5872.48	3018.3	4450.27	5711.87	2133.97	4972.34	4802.93	4239.45	5995.9	4836.35	1487.87	4802.93	2777.33	3039.3	5255.91	5672.41	3467.27	688.78	5041.77	5555.65	2875.3	1950.0	4298.64	3060.45	3847.29	2915.45	1457.23	4450.27	579.04	1378.57	4239.45	4575.41	1639.59	450.94
C2orf72	764.36	165.57	159.9	182.55	171.45	231.32	312.0	1225.22	1447.15	1051.79	1175.27	1322.37	1191.69	1096.5	1015.93	1295.13	1794.29	981.29	1104.13	1388.16	988.12	221.86	1331.57	1151.06	1313.23	1225.22	1191.69	173.85	454.09	1081.39	629.35	1662.49	1044.52	1183.45	1583.71	1529.73	1001.93	476.71	1167.14	1259.69	473.41	1397.83	660.68	96.68	1397.83	1685.71	457.25	1561.89	921.88	698.41	718.08	173.85	988.12	1037.29	1175.27	1167.14	341.51	1437.15	1268.46	514.56	1111.82	1819.35	954.43	1167.14	1651.0	1151.06	947.83	1295.13	1447.15	1359.57	108.9	221.86	1685.71	299.25	1088.92	1447.15	890.44	158.79	1467.37	1340.84	1313.23	1477.58	878.17	1322.37	1709.26	890.44	1350.18	500.46	1388.16	1427.22	1572.76	1199.98	1096.5	1674.06	435.55	1199.98	1467.37	915.51	1639.59	1066.48	73.54	1159.07	1073.91	642.59	1594.73	1617.0	775.05	163.28	1427.22	1191.69	1023.0	511.0	1073.91	791.35	1127.35	878.17	264.03	1151.06	83.45	226.54	1397.83	1066.48	521.76	277.2
C3orf83	182.55	42.41	11.38	136.19	180.02	171.45	105.89	248.0	162.14	285.03	285.03	234.57	199.85	157.68	189.02	226.54	153.34	154.42	165.57	215.77	215.77	33.78	217.27	236.21	183.82	232.94	161.02	56.68	94.67	166.73	127.0	271.48	128.79	223.41	295.11	153.34	147.06	135.24	255.0	277.2	102.97	198.47	115.97	21.78	253.23	312.0	37.85	249.73	155.5	148.09	132.44	64.8	149.12	215.77	229.72	193.01	57.89	217.27	237.86	92.7	271.48	237.86	112.77	182.55	239.52	241.19	195.72	244.57	339.14	343.89	22.43	32.13	273.37	44.89	173.85	253.23	129.69	64.34	251.48	253.23	265.87	244.57	141.02	318.57	269.6	123.5	269.6	104.42	271.48	221.86	255.0	103.69	220.32	275.28	60.82	281.09	191.67	183.82	316.37	176.29	63.89	180.02	116.78	146.03	299.25	205.5	159.9	52.82	277.2	255.0	151.22	78.34	141.02	111.21	181.28	149.12	84.63	217.27	34.02	49.21	236.21	236.21	49.21	30.12
CES3	403.5	616.37	217.27	669.92	1135.2	1001.93	633.73	4639.29	4066.71	4298.64	5329.3	4123.49	5255.91	3982.99	4388.98	4903.87	4836.35	3564.78	4010.71	5479.15	5219.6	156.59	3901.01	6561.36	2875.3	7433.4	3280.18	909.17	1561.89	2855.44	2997.45	6935.54	2682.69	5329.3	5183.54	4607.24	3060.45	2485.67	5219.6	4575.41	2573.36	5441.3	2485.67	414.87	5633.22	5366.37	563.18	5076.84	3665.02	3395.89	2816.11	215.77	2148.82	3419.52	4181.07	3874.05	599.49	6561.36	6250.56	1781.89	5329.3	4543.8	3491.39	4769.75	5831.91	5791.62	5041.77	4328.55	5006.93	7382.04	177.53	423.61	5831.91	281.09	4239.45	6079.61	3081.75	267.73	4607.24	5633.22	8022.41	4607.24	2485.67	5791.62	6381.92	4512.4	5112.16	2209.26	4388.98	4543.8	7911.95	3665.02	5672.41	8134.41	1286.18	5633.22	4769.75	3639.7	6607.01	6079.61	500.46	4903.87	2384.37	3124.78	6983.79	5006.93	3124.78	656.11	5329.3	4575.41	3768.09	1540.37	3794.3	2400.97	4038.61	2609.3	1023.0	3847.29	264.03	567.1	6426.31	4268.94	703.28	13.12
CMTM4	228.13	223.41	981.29	567.1	612.11	409.15	708.18	1819.35	1340.84	1819.35	1745.2	1651.0	1628.26	1369.04	1225.22	1685.71	1551.09	1551.09	1369.04	1277.29	1583.71	511.0	2119.22	1709.26	1963.57	1936.53	1477.58	414.87	684.02	1159.07	1001.93	2148.82	802.41	1498.22	2104.58	1073.91	1259.69	934.76	1819.35	2061.24	1008.9	1685.71	866.07	444.72	1529.73	1963.57	684.02	1832.01	1340.84	1551.09	1295.13	400.71	1111.82	1417.35	1745.2	1340.84	521.76	1674.06	1721.16	967.76	1216.75	1757.34	1023.0	1551.09	1977.24	1605.83	1745.2	2148.82	1697.45	2018.8	417.77	463.65	1857.6	447.82	1561.89	1757.34	1519.15	432.53	1844.76	1963.57	1794.29	1883.54	981.29	2133.97	1628.26	1572.76	1721.16	915.51	1721.16	1519.15	1936.53	1216.75	1378.57	1819.35	743.43	1963.57	1519.15	1437.15	1651.0	1794.29	450.94	1709.26	1242.34	1044.52	1991.0	1923.14	1417.35	432.53	1870.53	1427.22	1208.34	738.29	1397.83	1277.29	1407.55	1216.75	450.94	1378.57	426.57	543.96	1721.16	1674.06	1594.73	189.02
