	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.13YAN.0926.SM.5O9C3	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.14C38.0826.SM.5S2U8	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
AHCYL1	825.0	607.87	1286.18	915.51	633.73	830.75	819.3	825.0	825.0	738.29	1242.34	1051.79	764.36	1313.23	995.0	1175.27	1143.1	638.15	1551.09	2240.11	2701.35	1794.29	2271.4	2224.63	2835.7	2997.45	5517.27	3467.27	3103.19	3742.05	4038.61	1175.27	2485.67	3039.3	3081.75	3060.45	2664.15	2400.97	2739.08	3443.31	3280.18	2468.49	3124.78	2417.67	3515.68	3443.31	3928.15	3081.75	2627.46	2855.44	2133.97	2739.08	2591.27	2537.92	2609.3	2468.49	2758.13	1832.01	2555.58	2367.9	3349.13	2758.13	2682.69	2609.3	2835.7	2739.08	3639.7	2400.97	3103.19	2384.37	2627.46	748.61	896.64	1427.22	1617.0	2119.22	1733.13	1662.49	2090.03	1896.65	1417.35	2335.28	1397.83	1819.35	1883.54	1733.13	2178.83
ANK2	12.55	0.0	23.93	0.67	15.68	24.11	19.53	16.75	1.55	6.62	12.55	0.33	13.83	40.36	24.46	6.73	15.11	3.47	17.77	426.57	3280.18	1508.65	1322.37	1529.73	11584.24	1639.59	4210.15	8778.97	3742.05	4937.99	2573.36	109.66	4181.07	3847.29	1991.0	2367.9	3742.05	2956.17	2335.28	2835.7	2537.92	2163.77	2956.17	2468.49	4358.66	3124.78	2956.17	2720.15	2163.77	3794.3	4181.07	2739.08	1561.89	4123.49	1963.57	2271.4	3018.3	684.02	2047.0	2119.22	4095.0	2104.58	2240.11	1427.22	2758.13	5479.15	5147.73	2133.97	1119.56	4972.34	2935.74	8.58	0.0	295.11	157.68	76.71	156.59	239.52	127.0	178.77	397.93	214.27	100.83	748.61	64.34	169.07	155.5
ANK3	348.71	376.41	108.14	88.88	314.17	178.77	153.34	316.37	12.0	124.37	124.37	271.48	134.3	316.37	97.36	444.72	126.12	62.12	82.87	208.38	1844.76	1104.13	1844.76	1037.29	2209.26	1857.6	2255.7	3303.0	3955.48	5711.87	4972.34	432.53	2287.2	2739.08	1757.34	1662.49	1991.0	2047.0	2468.49	3190.46	2434.5	2032.85	2645.74	1923.14	3303.0	2384.37	2758.13	2018.8	2240.11	2468.49	1991.0	2739.08	1674.06	1870.53	1457.23	2193.99	2351.53	961.07	1832.01	1697.45	2240.11	1757.34	2163.77	2061.24	2335.28	2573.36	2537.92	1685.71	1662.49	2061.24	2384.37	96.68	0.0	651.58	283.05	339.14	432.53	703.28	693.58	1081.39	587.13	616.37	486.75	518.15	309.83	547.75	473.41
ANXA7	2417.67	1242.34	1135.2	1605.83	1519.15	2485.67	1583.71	2485.67	3081.75	854.13	1242.34	2367.9	1304.15	2148.82	1143.1	2537.92	1295.13	1519.15	1674.06	3146.52	4210.15	4903.87	4239.45	4836.35	5112.16	2777.33	4704.07	4607.24	6079.61	4210.15	4607.24	6164.49	3955.48	3955.48	3325.99	3665.02	4419.52	4512.4	4869.99	3874.05	4358.66	4066.71	4268.94	4181.07	4575.41	4298.64	4543.8	3614.55	3690.52	4419.52	4358.66	3467.27	4268.94	4481.23	4268.94	4836.35	3955.48	4298.64	3982.99	4123.49	4481.23	3874.05	3874.05	3564.78	4123.49	4010.71	4123.49	3901.01	4450.27	3768.09	4123.49	2271.4	3742.05	3768.09	3303.0	3443.31	2451.44	3303.0	3081.75	2895.31	2976.74	3467.27	2664.15	3280.18	3190.46	2796.65	3665.02
ARHGAP24	46.18	2.01	67.12	8.65	28.04	49.21	40.36	23.08	29.48	62.56	56.28	4.86	66.65	56.28	31.67	42.71	31.67	9.2	61.25	178.77	2609.3	2555.58	2319.15	2335.28	3589.58	1457.23	2119.22	2075.59	3540.14	3372.43	2796.65	1651.0	2287.2	3039.3	2032.85	2739.08	2627.46	2434.5	2915.45	3303.0	2555.58	2335.28	3168.41	2319.15	3168.41	3168.41	2976.74	2956.17	2287.2	2777.33	2758.13	3018.3	1794.29	2758.13	1844.76	2271.4	2485.67	2148.82	2468.49	1883.54	2468.49	2319.15	2434.5	2287.2	2287.2	2351.53	3280.18	1950.0	1806.78	2018.8	2555.58	339.14	0.0	571.05	258.57	287.01	921.88	921.88	121.79	775.05	426.57	417.77	603.67	1259.69	563.18	256.78	400.71
ARL3	167.9	165.57	145.02	183.82	156.59	152.28	198.47	325.29	208.38	106.63	126.12	206.94	119.26	193.01	107.38	293.07	185.11	251.48	181.28	228.13	368.65	629.35	371.22	595.34	921.88	363.56	389.72	348.71	514.56	403.5	353.59	295.11	417.77	420.68	371.22	409.15	348.71	397.93	476.71	409.15	457.25	417.77	450.94	543.96	351.14	438.59	392.44	444.72	381.68	429.54	629.35	371.22	480.04	389.72	346.29	450.94	429.54	529.06	392.44	341.51	423.61	371.22	395.18	339.14	384.34	384.34	392.44	400.71	312.0	368.65	373.81	105.89	167.9	454.09	273.37	406.31	376.41	420.68	305.55	429.54	368.65	395.18	493.56	429.54	361.04	256.78	358.54
ARSK	36.53	36.79	26.1	29.27	81.71	60.39	56.28	50.27	26.1	36.27	53.95	56.68	30.56	106.63	45.21	60.82	37.85	35.0	34.26	58.3	166.73	128.79	123.5	158.79	99.43	94.67	127.89	140.04	218.79	198.47	140.04	96.01	122.64	157.68	142.01	115.16	147.06	155.5	127.0	155.5	149.12	143.01	194.36	134.3	163.28	136.19	133.36	150.17	137.14	120.94	141.02	135.24	167.9	158.79	154.42	171.45	130.6	140.04	121.79	115.97	118.43	129.69	130.6	121.79	108.9	104.42	120.94	114.36	104.42	113.56	128.79	46.18	0.0	125.24	74.58	67.59	61.25	125.24	117.6	137.14	139.07	68.55	87.65	125.24	82.29	94.01	85.22
ASB8	334.46	255.0	470.14	305.55	303.44	180.02	205.5	348.71	291.04	309.83	547.75	406.31	329.84	438.59	381.68	356.05	309.83	215.77	438.59	457.25	660.68	693.58	595.34	656.11	713.11	514.56	848.22	860.08	785.88	808.0	728.11	813.63	748.61	872.1	693.58	802.41	713.11	669.92	743.43	896.64	764.36	660.68	842.36	723.08	947.83	848.22	878.17	764.36	684.02	759.08	764.36	780.44	698.41	748.61	559.28	718.08	808.0	728.11	693.58	743.43	703.28	647.07	738.29	703.28	620.67	728.11	836.53	660.68	638.15	723.08	759.08	351.14	275.28	444.72	435.55	316.37	423.61	559.28	361.04	551.56	480.04	551.56	361.04	529.06	620.67	392.44	567.1
ASNA1	836.53	1191.69	1208.34	1617.0	1191.69	1832.01	1963.57	1950.0	1832.01	1674.06	1295.13	1313.23	1745.2	1685.71	1467.37	1081.39	1685.71	1388.16	1572.76	1322.37	2835.7	4450.27	2573.36	4181.07	3982.99	2018.8	2664.15	2758.13	3190.46	3168.41	2384.37	2319.15	3589.58	2351.53	2148.82	1936.53	2075.59	2434.5	3419.52	2400.97	2664.15	2682.69	2240.11	3639.7	2119.22	2451.44	2209.26	2384.37	1963.57	2537.92	4123.49	2335.28	3124.78	2537.92	2451.44	2224.63	2287.2	2935.74	2682.69	2682.69	2997.45	2664.15	2645.74	2133.97	3124.78	2739.08	2591.27	2682.69	2935.74	2627.46	2777.33	1135.2	0.0	2193.99	1617.0	2004.85	1191.69	1781.89	1745.2	1437.15	2075.59	1923.14	1674.06	2032.85	1378.57	1304.15	1883.54
ATP6V1A	583.07	194.36	423.61	228.13	532.74	412.0	518.15	486.75	728.11	397.93	269.6	599.49	262.2	525.39	423.61	507.46	521.76	234.57	607.87	279.14	2319.15	1977.24	2335.28	2400.97	4704.07	2271.4	6337.83	3349.13	4181.07	5995.9	5441.3	934.76	2400.97	3540.14	3982.99	2796.65	3103.19	2816.11	2119.22	2976.74	2777.33	2609.3	3060.45	2119.22	3349.13	2835.7	3349.13	3257.52	3124.78	2796.65	2163.77	3212.66	2287.2	3018.3	2224.63	2796.65	2485.67	1923.14	2591.27	2061.24	2573.36	2255.7	2133.97	2627.46	2319.15	2627.46	2915.45	2400.97	2451.44	2133.97	2609.3	429.54	387.02	802.41	441.64	575.03	457.25	612.11	563.18	748.61	587.13	753.83	579.04	759.08	567.1	500.46	660.68
