	TCGA.AZ.6605.11A.01R.1839.07	GTEX.14A5H.1626.SM.5SIAN	GTEX.13O1R.2426.SM.5KLZZ	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12WSJ.0726.SM.5GCN6	GTEX.13O61.1026.SM.5L3F6	GTEX.SNMC.0426.SM.4DM5Y	GTEX.131XF.0926.SM.5BC69	GTEX.U4B1.0926.SM.4DXUV	GTEX.WRHK.0426.SM.4MVOG	GTEX.RU1J.0426.SM.46MUK	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.WFON.0926.SM.4LVMK	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.13111.1226.SM.5GCNC	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.1399U.1626.SM.5P9J3	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
AGO4	287.01	103.69	71.0	366.09	303.44	426.57	356.05	480.04	486.75	463.65	460.44	312.0	480.04	403.5	327.56	366.09	0.0	0.59	305.55	343.89	76.71	120.94	127.0	64.34	262.2	96.01	111.21	119.26	68.55	82.29	155.5	94.01	159.9	127.89	83.45
AJUBA	101.54	24.99	17.0	132.44	231.32	228.13	197.09	155.5	154.42	158.79	237.86	277.2	285.03	191.67	237.86	113.56	0.0	0.3	56.28	70.51	29.27	19.97	110.43	98.73	107.38	50.98	96.68	60.39	59.97	38.95	73.03	81.71	16.63	42.71	39.22
ANKRD27	703.28	293.07	329.84	607.87	785.88	463.65	624.99	656.11	738.29	529.06	796.86	595.34	708.18	595.34	616.37	595.34	0.0	0.62	543.96	587.13	423.61	358.54	521.76	381.68	718.08	450.94	514.56	532.74	423.61	808.0	595.34	336.79	379.04	693.58	466.88
ANKS1A	1350.18	277.2	242.88	3395.89	1340.84	1135.2	1340.84	1487.87	1457.23	1605.83	1508.65	1322.37	1674.06	1572.76	1286.18	1407.55	0.0	0.27	915.51	1151.06	669.92	884.29	693.58	660.68	1159.07	1051.79	780.44	796.86	470.14	708.18	1030.12	902.89	878.17	802.41	802.41
ANXA3	616.37	651.58	177.53	1008.9	7032.37	3614.55	5112.16	3847.29	4802.93	5006.93	4972.34	3491.39	2664.15	3303.0	3039.3	3665.02	0.0	0.57	1561.89	1322.37	954.43	1498.22	629.35	1191.69	3257.52	2502.97	1135.2	395.18	567.1	450.94	1199.98	1651.0	1639.59	540.19	1030.12
ASAP1	348.71	226.54	269.6	642.59	713.11	921.88	902.89	713.11	713.11	555.41	723.08	612.11	713.11	607.87	748.61	679.29	228.13	249.73	507.46	525.39	363.56	435.55	361.04	373.81	493.56	379.04	432.53	379.04	312.0	295.11	473.41	339.14	603.67	371.22	323.03
C11orf63	75.11	21.32	24.81	181.28	122.64	166.73	96.01	229.72	178.77	148.09	128.79	123.5	175.07	95.34	104.42	128.79	0.0	0.27	72.01	82.29	76.71	147.06	70.01	125.24	78.89	47.84	74.58	90.77	73.54	95.34	34.75	79.45	67.12	63.45	71.0
C17orf50	0.0	0.0	0.0	4.31	1.66	1.58	3.29	15.8	6.46	1.73	20.86	11.91	16.39	5.5	15.11	6.16	0.0	0.0	2.32	6.31	3.0	1.99	4.94	0.0	9.56	0.0	1.38	0.0	4.5	0.0	2.51	2.18	1.14	4.58	2.46
C2CD3	262.2	116.78	147.06	267.73	381.68	575.03	684.02	325.29	343.89	316.37	665.29	307.69	555.41	403.5	441.64	343.89	0.0	0.59	279.14	279.14	265.87	297.17	211.31	169.07	351.14	205.5	167.9	256.78	255.0	218.79	256.78	387.02	258.57	217.27	260.38
C7orf41	1721.16	463.65	341.51	3349.13	2502.97	2682.69	1923.14	2956.17	4038.61	2163.77	2609.3	2032.85	2287.2	2075.59	2193.99	2090.03	145.02	71.5	1199.98	1127.35	775.05	896.64	1104.13	1397.83	1295.13	669.92	928.3	1313.23	961.07	1066.48	928.3	1008.9	656.11	1051.79	743.43
CCDC148	10.39	2.23	2.01	11.13	9.56	44.57	29.06	47.17	22.75	24.11	41.81	24.28	27.64	30.78	36.01	22.92	0.0	0.0	18.97	13.42	10.63	6.62	4.39	8.65	11.3	1.48	3.82	5.15	10.71	6.73	32.82	8.45	3.5	6.89	4.74
CCDC50	791.35	493.56	420.68	1081.39	1250.98	1008.9	890.44	1199.98	988.12	1322.37	1250.98	1073.91	1561.89	728.11	1259.69	928.3	0.0	0.71	1059.11	1081.39	447.82	616.37	429.54	403.5	769.69	595.34	412.0	480.04	718.08	551.56	514.56	395.18	559.28	412.0	307.69
CDC42BPA	669.92	361.04	228.13	518.15	599.49	718.08	743.43	718.08	780.44	723.08	896.64	656.11	884.29	708.18	665.29	669.92	223.41	61.68	669.92	738.29	507.46	563.18	346.29	307.69	1044.52	426.57	450.94	309.83	224.97	248.0	297.17	423.61	423.61	329.84	348.71
